Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
Trials
1,X,5,22,1174,New Target,1,861
1,CKCKC,151,,,Incorrect,1,870
1,BEBCB,181,2,1318,Correct,1,917
1,OGOLO,162,2,870,Correct,1,843
1,NQNLN,163,2,577,Correct,1,821
1,THTHT,151,1,677,Correct,1,906
1,MTMUM,171,2,761,Correct,1,816
1,QPQWQ,162,2,702,Correct,1,906
1,HXHXH,7,3,1124,Correct,1,713
1,BHBKB,171,2,668,Incorrect,1,843
1,WOWOW,151,1,935,Correct,1,666
1,EBEBE,152,1,1173,Correct,1,872
1,P,6,13,1706,New Target,1,889
1,GUGUG,151,1,889,Correct,1,918
1,CBXBC,223,1,721,Correct,1,869
1,VLVLV,151,1,842,Correct,1,828
1,XCDMD,231,2,617,Incorrect,1,759
1,QZQDQ,181,2,898,Correct,1,946
1,WKWPW,82,3,881,Correct,1,706
2,F,6,17,2205,New Target,2,703
