Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1096,Correct,0,695
1,DLDUD,16,2,792,Correct,0,709
1,PDPGP,16,2,799,Correct,0,743
1,MWMWM,15,1,906,Correct,0,662
1,FTFTF,15,1,790,Correct,0,950
1,AXAMA,16,2,648,Correct,0,898
1,RYRGR,16,2,664,Correct,0,663
1,DODOD,15,1,532,Correct,0,698
1,QTQAQ,16,2,640,Correct,0,901
1,YEYEY,15,1,792,Correct,0,877
2,GYGDG,16,2,702,Correct,0,936
2,SWSWS,15,1,516,Correct,0,909
2,HLHUH,16,2,761,Correct,0,686
2,DEDED,15,1,547,Correct,0,774
2,ZPZOZ,16,2,709,Correct,0,703
2,ATATA,15,1,610,Correct,0,675
2,QOQOQ,15,1,913,Correct,0,715
2,FPFGF,16,2,629,Correct,0,789
2,TRTET,16,2,814,Correct,0,907
2,DQDQD,15,1,983,Correct,0,653
AT Practice
1,TKTKT,15,,,False,0,743
1,SLSUS,16,,,False,0,845
1,VZVGV,7,2,1101,False,0,799
1,XWXZX,7,2,1531,False,0,667
1,ATATA,15,3,1482,False,0,659
1,HXZMH,16,2,902,Correct,0,759
1,TZTZT,7,3,998,Correct,0,843
1,UOUOU,15,,,False,0,907
1,ZTWAW,16,2,775,Correct,0,786
1,RZRER,7,3,769,Correct,0,677
2,JYJDJ,16,2,1222,Correct,0,670
2,DWDWD,15,1,806,Correct,0,909
2,GNGNG,7,3,668,Correct,0,812
2,NEZEZ,16,2,1288,False,0,762
2,RNROR,7,2,928,False,0,724
2,QTQNQ,7,3,704,Correct,0,799
2,HOHON,15,1,1019,Correct,0,791
2,KPKGK,16,2,888,Correct,0,828
2,DRDED,16,2,886,Correct,0,905
2,LNLNL,7,3,632,Correct,0,793
4,GLGLG,15,2,1069,False,0,693
4,DTDID,16,2,827,Correct,0,746
4,SMSGS,16,2,1210,Correct,0,949
4,ZFZYZ,7,3,813,Correct,0,896
4,TSTFT,7,3,737,Correct,0,854
4,OFOFO,7,3,902,Correct,0,879
4,WYFGW,16,2,1142,Correct,0,843
4,WYWYW,15,1,796,Correct,0,818
4,MFMCM,7,3,1133,Correct,0,909
4,HQHEH,16,2,1042,Correct,0,910
Trials
1,D,5,3,10559,New Target,1,852
1,ZNZYZ,161,2,986,Correct,1,874
1,FZFZF,151,1,781,Correct,1,806
1,RKRKR,152,1,950,Correct,1,856
1,RXRNR,161,2,813,Correct,1,683
1,CNCFC,162,2,1082,Correct,1,705
1,PDPDP,7,3,934,Correct,1,928
1,CPCFC,14,2,1532,Correct,1,774
1,VLVNV,162,,,Incorrect,1,795
1,KFKFK,151,1,723,Correct,1,777
1,ZNZNZ,152,1,988,Correct,1,922
1,KCKPD,235,2,741,Correct,1,662
1,ZKZFZ,222,2,670,Correct,1,849
1,NRNZN,162,2,751,Correct,1,715
1,KXKRK,163,2,907,Correct,1,789
1,YPYZY,164,2,869,Correct,1,710
1,FKDKF,223,1,792,Correct,1,876
1,RPRPR,113,1,974,Correct,1,892
1,VRVKV,161,2,765,Correct,1,935
1,RFRPR,162,2,1030,Correct,1,893
1,KVKVK,151,1,708,Correct,1,872
1,YKYVY,161,2,637,Correct,1,914
1,VDVDV,8,1,737,Incorrect,1,663
1,DVZVZ,221,1,896,Correct,1,695
1,YFYFY,113,1,774,Correct,1,768
1,ZYZYZ,152,1,794,Correct,1,916
1,VLVXV,161,2,822,Correct,1,803
1,DPXZX,231,2,994,Correct,1,681
1,RYRYR,113,1,729,Correct,1,711
1,PDPNP,91,2,778,Incorrect,1,683
1,KXKXK,13,1,868,Correct,1,843
1,ZYZYZ,152,1,958,Correct,1,766
1,VKVKV,153,1,820,Correct,1,722
1,YZYZY,154,1,701,Correct,1,802
1,NLNZN,161,2,832,Correct,1,687
1,ZNDYZ,233,2,883,Correct,1,898
1,PCPXP,222,2,777,Correct,1,853
1,ZVZFZ,162,2,708,Correct,1,735
1,RCRZR,163,2,753,Correct,1,752
1,LRLRL,151,1,770,Correct,1,665
1,ZDZDZ,10,1,839,Incorrect,1,925
1,RNRZR,14,2,785,Correct,1,703
1,CXCYC,162,2,735,Correct,1,656
1,RCRLR,163,2,706,Correct,1,670
1,FRFRF,151,1,930,Correct,1,748
1,XFXFX,152,1,822,Correct,1,815
1,RPRLR,161,2,802,Correct,1,674
1,YXYRY,162,2,609,Correct,1,651
1,FYFYF,151,1,689,Correct,1,862
1,YZYVY,161,2,674,Correct,1,746
1,YKYKY,151,1,797,Correct,1,891
1,XRXRX,152,1,744,Correct,1,721
1,XVXZX,161,2,703,Correct,1,918
1,PDPDP,11,1,704,Incorrect,1,690
1,ZFZFZ,13,1,1101,Correct,1,780
1,PXPXP,152,1,1045,Correct,1,950
1,LYLYL,153,1,789,Correct,1,788
1,NKNKD,225,1,831,Correct,1,817
1,ZNZNZ,113,1,667,Correct,1,720
1,PYPZP,161,2,772,Correct,1,933
1,XPXPX,151,1,705,Correct,1,709
1,VLVLV,152,2,953,Incorrect,1,903
1,PKPXP,161,1,877,Incorrect,1,790
1,FZFZF,151,1,700,Correct,1,949
1,LDLDL,12,3,856,Correct,1,816
2,U,5,3,1363,New Target,2,705
2,ZVZFZ,161,2,804,Correct,2,943
2,FZFZF,151,1,702,Correct,2,835
2,RFRFR,152,1,806,Correct,2,924
2,NZNKN,161,2,798,Correct,2,847
2,FZFNF,162,2,889,Correct,2,775
2,RXRXR,151,1,721,Correct,2,768
2,KRKYK,161,2,843,Correct,2,868
2,NZNPN,162,2,870,Correct,2,733
2,XPXPX,151,1,698,Correct,2,881
2,CUCUC,7,3,666,Correct,2,758
2,RFRFR,13,1,659,Correct,2,946
2,VYVXV,161,2,789,Correct,2,747
2,VDVDV,191,1,953,Correct,2,918
2,ZKZRZ,15,2,849,Correct,2,677
2,XCXCX,151,1,714,Correct,2,733
2,CNCUC,82,3,985,Correct,2,704
2,RCRCR,13,1,793,Correct,2,893
2,ZPZXZ,161,2,773,Correct,2,711
2,FKFYF,162,2,914,Correct,2,789
2,ZFZYZ,163,2,787,Correct,2,938
2,PXPXP,151,1,780,Correct,2,797
2,URCKC,231,2,965,Correct,2,809
2,PCPCP,113,1,695,Correct,2,781
2,XNXNX,152,1,791,Correct,2,742
2,RCRZR,161,2,783,Correct,2,818
2,XVXVX,151,1,957,Correct,2,740
2,NRNRN,152,1,928,Correct,2,850
2,FPFPF,225,1,691,Correct,2,818
2,XVXFX,222,2,868,Correct,2,726
2,PRPRP,151,1,926,Correct,2,744
2,FYFCF,161,2,910,Correct,2,897
2,XUXFX,91,3,705,Correct,2,806
2,CYCVC,14,2,865,Correct,2,777
2,VDVKV,172,2,854,Correct,2,863
2,YCYCY,15,1,827,Correct,2,874
2,NKNLN,161,2,862,Correct,2,937
2,XPUKX,233,2,1016,Correct,2,711
2,ZPZPZ,113,1,905,Correct,2,840
2,KRKRK,152,1,898,Correct,2,701
2,XKXKX,153,1,869,Correct,2,921
2,YUYVY,101,3,677,Correct,2,915
2,XKXFU,235,2,1200,Correct,2,874
2,NFNFN,113,1,854,Correct,2,861
2,KDKDK,193,1,648,Correct,2,901
2,XYXKX,16,2,856,Correct,2,800
2,YZUZY,223,2,1035,Incorrect,2,938
2,KFKVK,222,2,778,Correct,2,851
2,LYLYL,151,1,839,Correct,2,741
2,CXCDC,184,2,860,Incorrect,2,860
2,XZXNX,16,2,882,Correct,2,858
2,PXPXP,151,1,739,Correct,2,946
2,ZRZYZ,161,2,816,Correct,2,797
2,PUPYP,111,3,701,Correct,2,694
2,RNRNR,14,1,792,Correct,2,831
2,KDKDK,195,1,720,Correct,2,880
2,KNKNK,15,1,712,Correct,2,867
2,PRPKP,161,2,803,Correct,2,843
2,UNYNY,221,1,913,Correct,2,674
2,NYNYN,113,1,984,Correct,2,763
2,YXYXY,152,1,901,Incorrect,2,938
2,RDRDR,196,1,792,Correct,2,825
2,FCFCF,15,1,789,Correct,2,687
2,ZKZKZ,152,1,768,Correct,2,700
2,ZUZUZ,12,3,604,Correct,2,708
3,E,5,3,2430,New Target,3,909
3,YZYZY,151,1,1267,Correct,3,726
3,VFVNV,161,2,721,Correct,3,661
3,KYKYK,151,1,765,Correct,3,829
3,NKNKN,152,1,967,Correct,3,802
3,XVXNX,161,2,948,Correct,3,906
3,RERFR,71,3,780,Correct,3,681
3,XNXNX,13,1,618,Correct,3,720
3,NXNXN,152,1,761,Correct,3,832
3,ZLZNZ,161,2,674,Correct,3,838
3,CUCNC,171,2,872,Correct,3,651
3,FYFRF,16,2,974,Correct,3,819
3,ZLZLZ,151,1,705,Correct,3,761
3,YZYZY,152,1,785,Correct,3,795
3,CYCYC,153,1,635,Correct,3,693
3,VUVUV,192,1,761,Correct,3,900
3,PXPRP,16,2,822,Correct,3,722
