Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,632,Correct,0,732
1,DLDUD,16,2,632,Correct,0,697
1,PDPGP,16,2,816,Correct,0,880
1,MWMWM,15,1,458,Correct,0,712
1,FTFTF,15,2,443,False,0,840
1,AXAMA,16,2,624,Correct,0,792
1,RYRGR,16,2,617,Correct,0,870
1,DODOD,15,1,534,Correct,0,761
1,QTQAQ,16,2,534,Correct,0,820
1,YEYEY,15,1,449,Correct,0,868
2,GYGDG,16,2,580,Correct,0,870
2,SWSWS,15,1,504,Correct,0,669
2,HLHUH,16,2,556,Correct,0,772
2,DEDED,15,1,716,Correct,0,796
2,ZPZOZ,16,2,535,Correct,0,761
2,ATATA,15,1,455,Correct,0,773
2,QOQOQ,15,1,471,Correct,0,867
2,FPFGF,16,2,627,Correct,0,896
2,TRTET,16,2,508,Correct,0,857
2,DQDQD,15,1,721,Correct,0,678
4,PLPLP,15,1,697,Correct,0,786
4,ATAIA,16,2,544,Correct,0,884
4,SKSGS,16,2,604,Correct,0,904
4,ZYZYZ,15,1,715,Correct,0,784
4,QSQSQ,15,1,511,Correct,0,897
4,TZTDT,16,2,550,Correct,0,677
4,JYJGJ,16,2,657,Correct,0,934
4,DYDYD,15,1,462,Correct,0,736
4,LTLCL,16,2,508,Correct,0,883
4,FQFEF,16,2,527,Correct,0,774
AT Practice
1,TKTKT,15,1,1012,Correct,0,846
1,SLSUS,16,2,519,Correct,0,665
1,VZVGV,7,3,764,Correct,0,653
1,XWXZX,7,2,713,False,0,680
1,ATATA,15,1,796,Correct,0,937
1,HXZMH,16,2,580,Correct,0,796
1,TZTZT,7,3,463,Correct,0,899
1,UOUOU,15,1,590,Correct,0,908
1,ZTWAW,16,2,476,Correct,0,833
1,RZRER,7,3,528,Correct,0,732
2,JYJDJ,16,2,791,Correct,0,721
2,DWDWD,15,1,777,Correct,0,887
2,GNGNG,7,1,1178,False,0,896
2,NEZEZ,16,1,1053,Correct,0,935
2,RNROR,7,3,651,Correct,0,779
2,QTQNQ,7,3,728,Correct,0,782
2,HOHON,15,1,869,Correct,0,719
2,KPKGK,16,2,807,Correct,0,848
2,DRDED,16,2,976,Correct,0,716
2,LNLNL,7,3,759,Correct,0,677
4,GLGLG,15,1,1057,Correct,0,916
4,DTDID,16,2,621,Correct,0,758
4,SMSGS,16,2,863,Correct,0,673
4,ZFZYZ,7,3,767,Correct,0,861
4,TSTFT,7,3,867,Correct,0,893
4,OFOFO,7,3,687,Correct,0,939
4,WYFGW,16,2,660,Correct,0,901
4,WYWYW,15,1,432,Correct,0,781
4,MFMCM,7,3,669,Correct,0,919
4,HQHEH,16,2,835,Correct,0,906
Trials
1,D,5,3,10827,New Target,1,887
1,BNBYB,161,2,990,Correct,1,868
1,FBFBF,151,1,724,Correct,1,720
1,RKRKR,152,1,830,Correct,1,865
1,QSQNQ,161,2,883,Correct,1,887
1,CTCFC,162,2,849,Correct,1,659
1,PDPDP,7,3,577,Correct,1,936
1,OPOFO,14,2,733,Correct,1,918
1,HLHNH,162,2,824,Correct,1,832
1,MFMFM,151,3,852,Incorrect,1,719
1,BTBTB,152,1,929,Correct,1,699
1,MCMPD,235,2,937,Correct,1,777
1,BMBFB,222,2,832,Correct,1,764
1,NTNZN,162,2,1015,Correct,1,756
1,MXMRM,163,2,745,Correct,1,820
1,APABA,164,2,1106,Correct,1,885
1,FMDMF,223,1,805,Correct,1,665
1,QPQPQ,113,1,814,Correct,1,840
1,VQVMV,161,2,1192,Correct,1,749
1,RERPR,162,2,822,Correct,1,668
1,KVKVK,151,1,827,Correct,1,913
1,AKAHA,161,2,903,Correct,1,686
1,VDVDV,8,1,527,Incorrect,1,720
1,DUGUG,221,2,687,Incorrect,1,869
1,AFAFA,113,1,860,Correct,1,823
1,GYGYG,152,1,724,Correct,1,814
1,VXVSV,161,2,748,Correct,1,931
1,DOWGW,231,2,1145,Correct,1,776
1,QYQYQ,113,1,793,Correct,1,698
1,ODONO,91,3,815,Correct,1,905
1,MSMSM,13,1,681,Correct,1,752
1,GYGYG,152,1,682,Correct,1,722
1,UMUMU,153,1,747,Correct,1,723
1,BZBZB,154,1,723,Correct,1,850
1,NTNBN,161,2,945,Correct,1,742
1,GNDYG,233,2,1002,Correct,1,729
1,OCOSO,222,2,924,Correct,1,828
1,BHBFB,162,2,1088,Correct,1,860
1,QCQBQ,163,2,874,Correct,1,907
1,LQLQL,151,1,930,Correct,1,743
1,ZDZDZ,10,3,1556,Correct,1,815
1,QNQZQ,14,2,1370,Correct,1,715
1,CSCYC,162,2,847,Correct,1,877
1,RCRLR,163,2,911,Correct,1,831
1,FRFRF,151,1,1358,Correct,1,657
1,WFWFW,152,1,1323,Correct,1,723
1,QOQLQ,161,2,862,Correct,1,665
1,AWAQA,162,2,1004,Correct,1,870
1,EAEAE,151,1,1074,Correct,1,849
1,AGAUA,161,2,925,Correct,1,736
1,YMYMY,151,1,1039,Correct,1,949
1,XQXQX,152,1,760,Correct,1,873
1,SHSGS,161,2,779,Correct,1,672
1,PDPDP,11,3,771,Correct,1,723
1,ZGZGZ,13,1,757,Correct,1,680
1,OXOXO,152,1,1147,Correct,1,731
1,LYLYL,153,1,754,Correct,1,672
1,NKNKD,225,1,1079,Correct,1,734
1,GNGNG,113,1,814,Correct,1,933
1,OYOBO,161,2,1192,Correct,1,875
1,SOSOS,151,1,910,Correct,1,652
1,VHVHV,152,1,861,Correct,1,667
1,OKOXO,161,2,716,Correct,1,831
1,EZEZE,151,1,1284,Correct,1,687
1,LDLDL,12,3,707,Correct,1,904
2,U,5,3,3829,New Target,2,728
2,BVBEB,161,2,878,Correct,2,792
2,FBFBF,151,1,856,Correct,2,885
2,RFRFR,152,1,828,Correct,2,747
2,NBNKN,161,2,781,Correct,2,777
2,MKMNM,162,2,1008,Correct,2,750
2,QXQXQ,151,1,729,Correct,2,748
2,MQMYM,161,2,847,Correct,2,682
2,TGTPT,162,2,817,Correct,2,801
2,XOXOX,151,1,729,Correct,2,673
2,CUCUC,7,3,688,Correct,2,681
2,RFRFR,13,1,710,Correct,2,807
2,VYVSV,161,2,645,Correct,2,783
2,VDVDV,191,1,,Correct,2,833
2,GKGQG,15,2,1016,Correct,2,690
2,SCSCS,151,1,824,Correct,2,949
2,CTCUC,82,3,753,Correct,2,884
2,RCRCR,13,1,790,Correct,2,787
2,BOBXB,161,2,663,Correct,2,779
2,FMFAF,162,2,749,Correct,2,726
2,BEBAB,163,2,1127,Correct,2,761
2,PWPWP,151,1,711,Correct,2,917
2,UQCKC,231,2,789,Correct,2,942
2,OCOCO,113,1,648,Correct,2,693
2,TNTNT,152,1,744,Correct,2,692
2,QCQGQ,161,2,797,Correct,2,773
2,WVWVW,151,1,987,Correct,2,769
2,TQTQT,152,1,695,Correct,2,680
2,FOFOF,225,1,675,Correct,2,668
2,WVWFW,222,2,1005,Correct,2,679
2,SWSWS,151,1,643,Correct,2,886
2,FYFCF,161,2,629,Correct,2,880
2,SUSWS,91,2,591,Incorrect,2,726
2,CACHC,14,2,712,Correct,2,825
2,VDVKV,172,2,821,Correct,2,914
2,YCYCY,15,1,696,Correct,2,715
2,NMNTN,161,2,627,Correct,2,684
2,XOUKX,233,2,1243,Correct,2,768
2,BPBPB,113,1,1079,Correct,2,838
2,MRMRM,152,1,772,Correct,2,697
2,XMXMX,153,1,708,Correct,2,724
2,AUAHA,101,3,872,Correct,2,860
2,XKXEU,235,2,1081,Correct,2,757
2,TFTFT,113,1,686,Correct,2,860
2,MDMDM,193,1,611,Correct,2,787
2,WYWMW,16,2,701,Correct,2,695
2,AZUZA,223,1,1171,Correct,2,757
2,KEKHK,222,2,682,Correct,2,753
2,LALAL,151,1,764,Correct,2,720
2,CWCDC,184,2,890,Incorrect,2,921
2,SGSTS,16,2,885,Correct,2,861
2,PXPXP,151,1,674,Correct,2,927
2,GRGYG,161,2,876,Correct,2,671
2,PUPOP,111,3,832,Correct,2,839
2,RNRNR,14,1,758,Correct,2,734
2,KDKDK,195,1,712,Correct,2,893
2,KTKTK,15,1,792,Correct,2,871
2,OROKO,161,2,850,Correct,2,676
2,UNANA,221,1,929,Correct,2,787
2,TATAT,113,1,602,Correct,2,869
2,AWAWA,152,1,681,Incorrect,2,652
2,RDRDR,196,1,704,Correct,2,684
2,FCFCF,15,1,560,Correct,2,855
2,ZMZMZ,152,1,679,Correct,2,901
2,BUBUB,12,1,602,Incorrect,2,919
3,E,5,3,4097,New Target,3,840
3,YZYZY,151,1,829,Correct,3,868
3,VFVNV,161,2,655,Correct,3,662
3,KAKAK,151,1,813,Correct,3,768
3,TKTKT,152,1,1043,Correct,3,823
3,WHWTW,161,2,710,Correct,3,919
3,QEQFQ,71,3,833,Correct,3,737
