Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,684
1,DLDUD,16,,,False,0,680
1,PDPGP,16,,,False,0,860
1,MWMWM,15,1,1225,Correct,0,837
1,FTFTF,15,1,911,Correct,0,738
1,AXAMA,16,2,1198,Correct,0,884
1,RYRGR,16,2,1379,Correct,0,840
1,DODOD,15,2,895,False,0,950
1,QTQAQ,16,,,False,0,702
1,YEYEY,15,1,1014,Correct,0,917
2,GYGDG,16,2,957,Correct,0,945
2,SWSWS,15,1,914,Correct,0,674
2,HLHUH,16,2,1008,Correct,0,905
2,DEDED,15,2,1204,False,0,658
2,ZPZOZ,16,2,1421,Correct,0,688
2,ATATA,15,1,983,Correct,0,924
2,QOQOQ,15,1,946,Correct,0,892
2,FPFGF,16,2,934,Correct,0,772
2,TRTET,16,2,1033,Correct,0,719
2,DQDQD,15,1,1011,Correct,0,836
AT Practice
1,TKTKT,15,1,1035,Correct,0,697
1,SLSUS,16,2,1372,Correct,0,751
1,VZVGV,7,2,1065,False,0,949
1,XWXZX,7,3,1449,Correct,0,675
1,ATATA,15,1,1404,Correct,0,686
1,HXZMH,16,,,False,0,671
1,TZTZT,7,1,1368,False,0,762
1,UOUOU,15,1,1138,Correct,0,933
1,ZTWAW,16,,,False,0,763
1,RZRER,7,2,981,False,0,863
2,JYJDJ,16,2,995,Correct,0,949
2,DWDWD,15,,,False,0,831
2,GNGNG,7,3,897,Correct,0,882
2,NEZEZ,16,1,943,Correct,0,836
2,RNROR,7,3,1088,Correct,0,779
2,QTQNQ,7,2,1058,False,0,671
2,HOHON,15,1,941,Correct,0,794
2,KPKGK,16,2,1279,Correct,0,740
2,DRDED,16,2,1493,Correct,0,711
2,LNLNL,7,3,1020,Correct,0,907
4,GLGLG,15,,,False,0,896
4,DTDID,16,2,1017,Correct,0,874
4,SMSGS,16,2,997,Correct,0,866
4,ZFZYZ,7,2,1025,False,0,846
4,TSTFT,7,2,1178,False,0,907
4,OFOFO,7,,,False,0,867
4,WYFGW,16,2,1379,Correct,0,866
4,WYWYW,15,1,1587,Correct,0,798
4,MFMCM,7,2,1295,False,0,718
4,HQHEH,16,,,False,0,720
1,TKTKT,15,1,1126,Correct,0,786
1,SLSUS,16,2,1314,Correct,0,717
1,VZVGV,7,3,931,Correct,0,803
1,XWXZX,7,,,False,0,708
1,ATATA,15,1,1036,Correct,0,922
1,HXZMH,16,3,941,False,0,675
1,TZTZT,7,3,814,Correct,0,740
1,UOUOU,15,1,782,Correct,0,902
1,ZTWAW,16,2,1047,Correct,0,742
1,RZRER,7,1,1239,False,0,739
2,JYJDJ,16,1,1534,False,0,854
2,DWDWD,15,1,935,Correct,0,865
2,GNGNG,7,1,1115,False,0,733
2,NEZEZ,16,3,1125,False,0,830
2,RNROR,7,1,960,False,0,801
2,QTQNQ,7,1,1322,False,0,934
2,HOHON,15,1,1174,Correct,0,941
2,KPKGK,16,,,False,0,898
2,DRDED,16,1,929,False,0,832
2,LNLNL,7,1,1156,False,0,740
