Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1270,Correct,0,695
1,DLDUD,16,2,1392,Correct,0,678
1,PDPGP,16,2,945,Correct,0,763
1,MWMWM,15,1,1502,Correct,0,847
1,FTFTF,15,1,905,Correct,0,856
1,AXAMA,16,2,782,Correct,0,749
1,RYRGR,16,2,835,Correct,0,797
1,DODOD,15,1,940,Correct,0,678
1,QTQAQ,16,2,735,Correct,0,708
1,YEYEY,15,1,1062,Correct,0,870
2,GYGDG,16,2,1219,Correct,0,926
2,SWSWS,15,1,789,Correct,0,875
2,HLHUH,16,2,1106,Correct,0,663
2,DEDED,15,1,641,Correct,0,694
2,ZPZOZ,16,2,682,Correct,0,864
2,ATATA,15,1,658,Correct,0,824
2,QOQOQ,15,1,695,Correct,0,944
2,FPFGF,16,2,690,Correct,0,743
2,TRTET,16,2,695,Correct,0,909
2,DQDQD,15,1,846,Correct,0,939
AT Practice
1,TKTKT,15,1,795,Correct,0,902
1,SLSUS,16,2,1040,Correct,0,825
1,VZVGV,7,1,795,False,0,807
1,XWXZX,7,2,1158,False,0,708
1,ATATA,15,1,1150,Correct,0,843
1,HXZMH,16,2,1369,Correct,0,747
1,TZTZT,7,1,1000,False,0,852
1,UOUOU,15,1,669,Correct,0,657
1,ZTWAW,16,2,1079,Correct,0,740
1,RZRER,7,3,1161,Correct,0,704
2,JYJDJ,16,2,1316,Correct,0,828
2,DWDWD,15,1,842,Correct,0,692
2,GNGNG,7,1,739,False,0,703
2,NEZEZ,16,1,1053,Correct,0,714
2,RNROR,7,3,796,Correct,0,732
2,QTQNQ,7,3,1203,Correct,0,782
2,HOHON,15,1,521,Correct,0,803
2,KPKGK,16,2,989,Correct,0,691
2,DRDED,16,2,911,Correct,0,717
2,LNLNL,7,3,638,Correct,0,902
4,GLGLG,15,1,885,Correct,0,697
4,DTDID,16,2,1028,Correct,0,943
4,SMSGS,16,2,997,Correct,0,730
4,ZFZYZ,7,2,1011,False,0,781
4,TSTFT,7,,,False,0,896
4,OFOFO,7,1,1080,False,0,675
4,WYFGW,16,2,1155,Correct,0,846
4,WYWYW,15,1,795,Correct,0,798
4,MFMCM,7,3,1233,Correct,0,754
4,HQHEH,16,2,1018,Correct,0,662
1,TKTKT,15,1,746,Correct,0,819
1,SLSUS,16,2,913,Correct,0,826
1,VZVGV,7,3,932,Correct,0,750
1,XWXZX,7,3,1047,Correct,0,782
1,ATATA,15,1,1026,Correct,0,803
1,HXZMH,16,2,1132,Correct,0,930
1,TZTZT,7,3,854,Correct,0,731
1,UOUOU,15,1,797,Correct,0,735
1,ZTWAW,16,2,951,Correct,0,686
1,RZRER,7,3,952,Correct,0,724
Trials
1,D,5,3,1168,New Target,1,789
1,BNBYB,161,,,Incorrect,1,946
1,FBFBF,151,1,937,Correct,1,926
1,RKRKR,152,,,Incorrect,1,912
1,QSQNQ,161,15,1409,Incorrect,1,864
1,CTCFC,162,8,1380,Incorrect,1,789
1,PDPDP,7,16,1367,Incorrect,1,783
1,OPOFO,14,,,Incorrect,1,673
1,HLHNH,162,,,Incorrect,1,948
1,MFMFM,151,17,1536,Incorrect,1,839
1,BTBTB,152,8,1102,Incorrect,1,756
1,MCMPD,235,23,1357,Incorrect,1,793
1,BMBFB,222,27,1333,Incorrect,1,675
1,NTNZN,162,8,1194,Incorrect,1,792
1,MXMRM,163,22,1256,Incorrect,1,650
1,APABA,164,13,1471,Incorrect,1,797
1,FMDMF,223,27,1199,Incorrect,1,751
1,QPQPQ,113,13,1276,Incorrect,1,780
1,VQVMV,161,4,1340,Incorrect,1,936
1,RERPR,162,,,Incorrect,1,651
1,KVKVK,151,24,1168,Incorrect,1,860
1,AKAHA,161,1,1257,Incorrect,1,893
1,VDVDV,8,16,1172,Incorrect,1,715
1,DUGUG,221,10,1258,Incorrect,1,913
1,AFAFA,113,17,852,Incorrect,1,772
1,GYGYG,152,9,1111,Incorrect,1,932
1,VXVSV,161,22,1083,Incorrect,1,672
1,DOWGW,231,12,1528,Incorrect,1,938
1,QYQYQ,113,9,1282,Incorrect,1,823
1,ODONO,91,16,1369,Incorrect,1,844
1,MSMSM,13,27,887,Incorrect,1,907
1,GYGYG,152,9,954,Incorrect,1,855
1,UMUMU,153,3,410,Incorrect,1,869
1,BZBZB,154,25,1093,Incorrect,1,710
1,NTNBN,161,,,Incorrect,1,773
1,GNDYG,233,18,1109,Incorrect,1,665
1,OCOSO,222,12,1021,Incorrect,1,950
1,BHBFB,162,25,1052,Incorrect,1,844
1,QCQBQ,163,4,1441,Incorrect,1,694
1,LQLQL,151,2,1184,Incorrect,1,831
1,ZDZDZ,10,21,1149,Incorrect,1,731
1,QNQZQ,14,4,1353,Incorrect,1,772
1,CSCYC,162,23,1008,Incorrect,1,730
1,RCRLR,163,7,1101,Incorrect,1,914
1,FRFRF,151,17,874,Incorrect,1,782
1,WFWFW,152,5,1036,Incorrect,1,934
1,QOQLQ,161,4,1243,Incorrect,1,870
1,AWAQA,162,14,883,Incorrect,1,841
1,EAEAE,151,6,1164,Incorrect,1,698
1,AGAUA,161,14,821,Incorrect,1,832
1,YMYMY,151,9,1308,Incorrect,1,829
1,XQXQX,152,22,921,Incorrect,1,672
1,SHSGS,161,15,738,Incorrect,1,679
1,PDPDP,11,13,1389,Incorrect,1,823
1,ZGZGZ,13,21,957,Incorrect,1,860
1,OXOXO,152,12,981,Incorrect,1,653
1,LYLYL,153,2,1221,Incorrect,1,839
1,NKNKD,225,26,955,Incorrect,1,891
1,GNGNG,113,18,905,Incorrect,1,924
1,OYOBO,161,12,882,Incorrect,1,694
1,SOSOS,151,15,856,Incorrect,1,855
1,VHVHV,152,24,842,Incorrect,1,922
1,OKOXO,161,12,823,Incorrect,1,704
1,EZEZE,151,6,1098,Incorrect,1,938
1,LDLDL,12,2,1045,Incorrect,1,884
2,U,5,3,9232,New Target,2,868
2,BVBEB,161,,,Incorrect,2,941
2,FBFBF,151,,,Incorrect,2,724
2,RFRFR,152,,,Incorrect,2,932
2,NBNKN,161,,,Incorrect,2,826
2,MKMNM,162,,,Incorrect,2,680
2,QXQXQ,151,,,Incorrect,2,677
2,MQMYM,161,,,Incorrect,2,678
2,TGTPT,162,,,Incorrect,2,928
2,XOXOX,151,,,Incorrect,2,782
2,CUCUC,7,10,696,Incorrect,2,800
2,RFRFR,13,,,Incorrect,2,673
2,VYVSV,161,,,Incorrect,2,737
2,VDVDV,191,,,Incorrect,2,700
2,GKGQG,15,,,Incorrect,2,832
2,SCSCS,151,,,Incorrect,2,945
2,CTCUC,82,10,974,Incorrect,2,731
2,RCRCR,13,,,Incorrect,2,797
2,BOBXB,161,,,Incorrect,2,857
2,FMFAF,162,,,Incorrect,2,754
2,BEBAB,163,,,Incorrect,2,882
2,PWPWP,151,,,Incorrect,2,653
2,UQCKC,231,10,642,Incorrect,2,706
2,OCOCO,113,,,Incorrect,2,938
2,TNTNT,152,,,Incorrect,2,829
2,QCQGQ,161,,,Incorrect,2,777
2,WVWVW,151,,,Incorrect,2,727
2,TQTQT,152,,,Incorrect,2,660
2,FOFOF,225,,,Incorrect,2,726
2,WVWFW,222,,,Incorrect,2,788
2,SWSWS,151,,,Incorrect,2,772
2,FYFCF,161,,,Incorrect,2,860
2,SUSWS,91,10,483,Incorrect,2,918
2,CACHC,14,,,Incorrect,2,798
2,VDVKV,172,,,Incorrect,2,795
2,YCYCY,15,,,Incorrect,2,838
2,NMNTN,161,,,Incorrect,2,701
2,XOUKX,233,10,666,Incorrect,2,770
2,BPBPB,113,,,Incorrect,2,836
2,MRMRM,152,,,Incorrect,2,659
2,XMXMX,153,,,Incorrect,2,750
2,AUAHA,101,10,505,Incorrect,2,885
2,XKXEU,235,10,609,Incorrect,2,750
2,TFTFT,113,,,Incorrect,2,925
2,MDMDM,193,,,Incorrect,2,857
2,WYWMW,16,,,Incorrect,2,807
2,AZUZA,223,10,540,Incorrect,2,714
2,KEKHK,222,,,Incorrect,2,868
2,LALAL,151,,,Incorrect,2,700
2,CWCDC,184,,,Incorrect,2,923
2,SGSTS,16,,,Incorrect,2,940
2,PXPXP,151,,,Incorrect,2,863
2,GRGYG,161,,,Incorrect,2,904
2,PUPOP,111,10,596,Incorrect,2,783
2,RNRNR,14,,,Incorrect,2,816
2,KDKDK,195,,,Incorrect,2,946
2,KTKTK,15,,,Incorrect,2,766
2,OROKO,161,,,Incorrect,2,757
2,UNANA,221,10,472,Incorrect,2,858
2,TATAT,113,,,Incorrect,2,939
2,AWAWA,152,,,Incorrect,2,841
2,RDRDR,196,,,Incorrect,2,813
2,FCFCF,15,,,Incorrect,2,668
2,ZMZMZ,152,,,Incorrect,2,710
2,BUBUB,12,10,567,Incorrect,2,886
3,E,5,3,17507,New Target,3,820
