Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,655
1,DLDUD,16,2,1513,Correct,0,850
1,PDPGP,16,2,1076,Correct,0,736
1,MWMWM,15,1,781,Correct,0,913
1,FTFTF,15,1,1298,Correct,0,846
1,AXAMA,16,2,754,Correct,0,885
1,RYRGR,16,2,765,Correct,0,720
1,DODOD,15,1,615,Correct,0,763
1,QTQAQ,16,2,646,Correct,0,701
1,YEYEY,15,1,559,Correct,0,910
2,GYGDG,16,2,622,Correct,0,665
2,SWSWS,15,1,622,Correct,0,708
2,HLHUH,16,2,778,Correct,0,813
2,DEDED,15,1,622,Correct,0,908
2,ZPZOZ,16,2,519,Correct,0,905
2,ATATA,15,2,630,False,0,848
2,QOQOQ,15,1,900,Correct,0,775
2,FPFGF,16,2,552,Correct,0,723
2,TRTET,16,2,764,Correct,0,705
2,DQDQD,15,1,714,Correct,0,659
AT Practice
1,TKTKT,15,1,852,Correct,0,722
1,SLSUS,16,2,727,Correct,0,777
1,VZVGV,7,2,845,False,0,885
1,XWXZX,7,2,931,False,0,780
1,ATATA,15,1,655,Correct,0,942
1,HXZMH,16,2,671,Correct,0,690
1,TZTZT,7,3,646,Correct,0,941
1,UOUOU,15,1,705,Correct,0,797
1,ZTWAW,16,2,744,Correct,0,880
1,RZRER,7,2,752,False,0,782
2,JYJDJ,16,2,1115,Correct,0,707
2,DWDWD,15,1,679,Correct,0,708
2,GNGNG,7,3,591,Correct,0,826
2,NEZEZ,16,1,825,Correct,0,895
2,RNROR,7,3,730,Correct,0,869
2,QTQNQ,7,3,609,Correct,0,827
2,HOHON,15,1,1119,Correct,0,785
2,KPKGK,16,2,1194,Correct,0,785
2,DRDED,16,2,1007,Correct,0,821
2,LNLNL,7,3,605,Correct,0,772
4,GLGLG,15,1,1014,Correct,0,821
4,DTDID,16,2,945,Correct,0,896
4,SMSGS,16,2,799,Correct,0,824
4,ZFZYZ,7,3,1045,Correct,0,775
4,TSTFT,7,3,885,Correct,0,764
4,OFOFO,7,3,649,Correct,0,739
4,WYFGW,16,2,1032,Correct,0,682
4,WYWYW,15,2,736,False,0,866
4,MFMCM,7,3,798,Correct,0,689
4,HQHEH,16,2,1053,Correct,0,923
Trials
1,D,5,3,5129,New Target,1,732
1,BNBYB,161,2,1213,Correct,1,720
1,FBFBF,151,1,1587,Correct,1,882
1,RKRKR,152,1,982,Correct,1,664
1,QSQNQ,161,2,1196,Correct,1,684
1,CTCFC,162,,,Incorrect,1,727
1,PDPDP,7,3,1237,Correct,1,859
1,OPOFO,14,2,985,Correct,1,884
1,HLHNH,162,2,1289,Correct,1,830
1,MFMFM,151,1,848,Correct,1,804
1,BTBTB,152,1,1201,Correct,1,944
1,MCMPD,235,2,767,Correct,1,667
1,BMBFB,222,2,828,Correct,1,789
1,NTNZN,162,,,Incorrect,1,823
1,MXMRM,163,2,680,Correct,1,933
1,APABA,164,2,692,Correct,1,802
1,FMDMF,223,3,965,Incorrect,1,779
1,QPQPQ,113,1,1310,Correct,1,656
1,VQVMV,161,2,935,Correct,1,782
1,RERPR,162,2,1004,Correct,1,736
1,KVKVK,151,1,1087,Correct,1,771
1,AKAHA,161,2,806,Correct,1,936
1,VDVDV,8,3,787,Correct,1,657
1,DUGUG,221,1,964,Correct,1,658
1,AFAFA,113,1,1051,Correct,1,698
1,GYGYG,152,1,1045,Correct,1,895
1,VXVSV,161,2,782,Correct,1,670
1,DOWGW,231,2,836,Correct,1,884
1,QYQYQ,113,1,1191,Correct,1,898
1,ODONO,91,3,835,Correct,1,797
1,MSMSM,13,1,887,Correct,1,913
1,GYGYG,152,1,1230,Correct,1,734
1,UMUMU,153,1,1034,Correct,1,682
1,BZBZB,154,1,1049,Correct,1,823
1,NTNBN,161,2,1258,Correct,1,753
1,GNDYG,233,2,956,Correct,1,937
1,OCOSO,222,,,Incorrect,1,884
1,BHBFB,162,2,1220,Correct,1,936
1,QCQBQ,163,2,1254,Correct,1,947
1,LQLQL,151,1,985,Correct,1,885
1,ZDZDZ,10,3,855,Correct,1,943
1,QNQZQ,14,2,731,Correct,1,880
1,CSCYC,162,2,887,Correct,1,752
1,RCRLR,163,2,636,Correct,1,853
1,FRFRF,151,1,926,Correct,1,817
1,WFWFW,152,1,1284,Correct,1,727
1,QOQLQ,161,1,1092,Incorrect,1,933
1,AWAQA,162,2,1071,Correct,1,872
1,EAEAE,151,1,1284,Correct,1,654
1,AGAUA,161,2,889,Correct,1,801
1,YMYMY,151,1,940,Correct,1,913
1,XQXQX,152,1,1380,Correct,1,737
1,SHSGS,161,2,760,Correct,1,795
1,PDPDP,11,3,854,Correct,1,700
1,ZGZGZ,13,2,1503,Incorrect,1,720
1,OXOXO,152,1,1145,Correct,1,935
1,LYLYL,153,1,1003,Correct,1,678
1,NKNKD,225,1,1021,Correct,1,844
1,GNGNG,113,1,877,Correct,1,820
1,OYOBO,161,2,808,Correct,1,744
1,SOSOS,151,1,864,Correct,1,825
1,VHVHV,152,1,1011,Correct,1,880
1,OKOXO,161,2,1088,Correct,1,928
1,EZEZE,151,1,1123,Correct,1,716
1,LDLDL,12,3,700,Correct,1,855
2,U,5,3,7571,New Target,2,729
2,BVBEB,161,2,1245,Correct,2,941
2,FBFBF,151,1,1239,Correct,2,804
2,RFRFR,152,1,1102,Correct,2,880
2,NBNKN,161,2,1129,Correct,2,860
2,MKMNM,162,,,Incorrect,2,739
2,QXQXQ,151,1,738,Correct,2,880
2,MQMYM,161,2,924,Correct,2,888
2,TGTPT,162,2,813,Correct,2,926
2,XOXOX,151,,,Incorrect,2,803
2,CUCUC,7,1,1007,Incorrect,2,865
2,RFRFR,13,1,1491,Correct,2,686
2,VYVSV,161,3,702,Incorrect,2,879
2,VDVDV,191,,,Incorrect,2,851
2,GKGQG,15,2,1400,Correct,2,711
2,SCSCS,151,1,1062,Correct,2,909
2,CTCUC,82,2,1255,Incorrect,2,766
2,RCRCR,13,1,991,Correct,2,799
2,BOBXB,161,2,847,Correct,2,871
2,FMFAF,162,2,852,Correct,2,837
2,BEBAB,163,2,1398,Correct,2,948
2,PWPWP,151,1,962,Correct,2,937
2,UQCKC,231,2,1177,Correct,2,667
2,OCOCO,113,1,1030,Correct,2,735
2,TNTNT,152,1,1082,Correct,2,691
2,QCQGQ,161,2,1452,Correct,2,696
2,WVWVW,151,1,1263,Correct,2,794
2,TQTQT,152,1,1180,Correct,2,673
2,FOFOF,225,1,714,Correct,2,726
2,WVWFW,222,2,1297,Correct,2,931
2,SWSWS,151,,,Incorrect,2,908
2,FYFCF,161,,,Incorrect,2,804
2,SUSWS,91,2,1511,Incorrect,2,879
2,CACHC,14,,,Incorrect,2,903
2,VDVKV,172,,,Incorrect,2,925
2,YCYCY,15,,,Incorrect,2,920
2,NMNTN,161,,,Incorrect,2,690
2,XOUKX,233,2,923,Correct,2,691
2,BPBPB,113,1,1170,Correct,2,712
2,MRMRM,152,1,1216,Correct,2,753
2,XMXMX,153,1,919,Correct,2,870
2,AUAHA,101,,,Incorrect,2,859
2,XKXEU,235,2,690,Correct,2,880
2,TFTFT,113,1,859,Correct,2,945
2,MDMDM,193,,,Incorrect,2,788
2,WYWMW,16,3,1235,Incorrect,2,679
2,AZUZA,223,1,1355,Correct,2,864
2,KEKHK,222,2,1267,Correct,2,745
2,LALAL,151,1,1212,Correct,2,694
2,CWCDC,184,2,823,Incorrect,2,815
2,SGSTS,16,2,1364,Correct,2,655
2,PXPXP,151,1,1323,Correct,2,778
2,GRGYG,161,3,1137,Incorrect,2,740
2,PUPOP,111,2,1202,Incorrect,2,650
2,RNRNR,14,1,968,Correct,2,870
2,KDKDK,195,1,749,Correct,2,731
2,KTKTK,15,1,1042,Correct,2,919
2,OROKO,161,2,917,Correct,2,745
2,UNANA,221,1,861,Correct,2,686
2,TATAT,113,1,1457,Correct,2,841
2,AWAWA,152,1,1076,Incorrect,2,804
2,RDRDR,196,1,964,Correct,2,819
2,FCFCF,15,1,1219,Correct,2,851
2,ZMZMZ,152,1,1580,Correct,2,823
2,BUBUB,12,1,795,Incorrect,2,663
3,E,5,3,6963,New Target,3,788
3,YZYZY,151,1,1011,Correct,3,941
3,VFVNV,161,2,839,Correct,3,708
3,KAKAK,151,1,1068,Correct,3,842
3,TKTKT,152,1,705,Correct,3,654
3,WHWTW,161,2,738,Correct,3,694
3,QEQFQ,71,3,1361,Correct,3,701
3,XNXNX,13,1,1066,Correct,3,724
3,TXTXT,152,1,957,Correct,3,662
3,GLGNG,161,2,948,Correct,3,762
3,CUCTC,171,2,1379,Correct,3,939
3,FAFQF,16,2,1370,Correct,3,726
3,ZLZLZ,151,1,1021,Correct,3,823
3,YZYZY,152,1,927,Correct,3,783
3,CYCYC,153,,,Incorrect,3,709
