Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1568,Correct,0,931
1,DLDUD,16,2,583,Correct,0,845
1,PDPGP,16,1,463,False,0,931
1,MWMWM,15,1,770,Correct,0,784
1,FTFTF,15,1,615,Correct,0,859
1,AXAMA,16,2,792,Correct,0,694
1,RYRGR,16,1,764,False,0,871
1,DODOD,15,1,926,Correct,0,937
1,QTQAQ,16,2,1088,Correct,0,768
1,YEYEY,15,1,574,Correct,0,726
AT Practice
1,TKTKT,15,1,846,Correct,0,923
1,SLSUS,16,2,672,Correct,0,797
1,VZVGV,7,3,533,Correct,0,899
1,XWXZX,7,2,739,False,0,867
1,ATATA,15,1,1195,Correct,0,753
1,HXZMH,16,2,881,Correct,0,911
1,TZTZT,7,3,421,Correct,0,671
1,UOUOU,15,1,616,Correct,0,827
1,ZTWAW,16,3,474,False,0,715
1,RZRER,7,2,718,False,0,699
2,JYJDJ,16,2,1231,Correct,0,789
2,DWDWD,15,1,981,Correct,0,733
2,GNGNG,7,3,740,Correct,0,828
2,NEZEZ,16,1,862,Correct,0,745
2,RNROR,7,3,933,Correct,0,715
2,QTQNQ,7,2,825,False,0,728
2,HOHON,15,1,856,Correct,0,922
2,KPKGK,16,2,793,Correct,0,867
2,DRDED,16,2,878,Correct,0,821
2,LNLNL,7,3,577,Correct,0,833
4,GLGLG,15,1,1158,Correct,0,729
4,DTDID,16,2,609,Correct,0,728
4,SMSGS,16,1,644,False,0,675
4,ZFZYZ,7,3,572,Correct,0,938
4,TSTFT,7,3,690,Correct,0,654
4,OFOFO,7,3,848,Correct,0,671
4,WYFGW,16,2,1046,Correct,0,793
4,WYWYW,15,1,963,Correct,0,773
4,MFMCM,7,3,1043,Correct,0,843
4,HQHEH,16,2,1108,Correct,0,711
Trials
1,D,5,3,45784,New Target,1,680
1,ZNZYZ,161,2,1546,Correct,1,718
1,FZFZF,151,1,1026,Correct,1,916
1,RKRKR,152,1,792,Correct,1,661
1,RXRNR,161,2,648,Correct,1,698
1,CNCFC,162,2,795,Correct,1,670
1,PDPDP,7,3,464,Correct,1,950
1,CPCFC,14,2,829,Correct,1,654
1,VLVNV,162,2,825,Correct,1,698
1,KFKFK,151,1,700,Correct,1,905
1,ZNZNZ,152,1,991,Correct,1,657
1,KCKPD,235,2,1317,Correct,1,717
1,ZKZFZ,222,2,735,Correct,1,713
1,NRNZN,162,2,682,Correct,1,831
1,KXKRK,163,2,741,Correct,1,907
1,YPYZY,164,2,623,Correct,1,809
1,FKDKF,223,1,787,Correct,1,718
1,RPRPR,113,1,883,Correct,1,679
1,VRVKV,161,2,698,Correct,1,738
1,RFRPR,162,2,1348,Correct,1,864
1,KVKVK,151,1,1038,Correct,1,685
1,YKYVY,161,2,628,Correct,1,667
1,VDVDV,8,3,561,Correct,1,873
1,DVZVZ,221,1,1089,Correct,1,868
1,YFYFY,113,1,658,Correct,1,795
1,ZYZYZ,152,1,912,Correct,1,836
1,VLVXV,161,2,611,Correct,1,895
1,DPXZX,231,2,708,Correct,1,750
1,RYRYR,113,1,594,Correct,1,798
1,PDPNP,91,3,514,Correct,1,836
1,KXKXK,13,1,720,Correct,1,914
1,ZYZYZ,152,1,588,Correct,1,829
1,VKVKV,153,1,617,Correct,1,914
1,YZYZY,154,1,579,Correct,1,918
1,NLNZN,161,2,726,Correct,1,738
1,ZNDYZ,233,2,769,Correct,1,829
1,PCPXP,222,2,640,Correct,1,694
1,ZVZFZ,162,2,698,Correct,1,927
1,RCRZR,163,2,580,Correct,1,844
1,LRLRL,151,1,870,Correct,1,823
1,ZDZDZ,10,3,449,Correct,1,727
1,RNRZR,14,2,644,Correct,1,929
1,CXCYC,162,2,624,Correct,1,881
1,RCRLR,163,2,700,Correct,1,833
1,FRFRF,151,1,750,Correct,1,708
1,XFXFX,152,1,725,Correct,1,892
1,RPRLR,161,2,707,Correct,1,808
1,YXYRY,162,2,612,Correct,1,717
1,FYFYF,151,1,647,Correct,1,719
1,YZYVY,161,2,790,Correct,1,800
1,YKYKY,151,1,932,Correct,1,706
1,XRXRX,152,1,732,Correct,1,728
1,XVXZX,161,2,662,Correct,1,836
1,PDPDP,11,3,737,Correct,1,874
1,ZFZFZ,13,1,656,Correct,1,696
1,PXPXP,152,1,637,Correct,1,817
1,LYLYL,153,1,601,Correct,1,938
1,NKNKD,225,1,684,Correct,1,710
1,ZNZNZ,113,2,555,Incorrect,1,778
1,PYPZP,161,2,896,Correct,1,734
1,XPXPX,151,1,890,Correct,1,763
1,VLVLV,152,1,736,Correct,1,737
1,PKPXP,161,2,1085,Correct,1,782
1,FZFZF,151,1,886,Correct,1,928
1,LDLDL,12,3,679,Correct,1,928
2,U,5,3,2838,New Target,2,925
2,ZVZFZ,161,2,924,Correct,2,760
2,FZFZF,151,1,769,Correct,2,821
2,RFRFR,152,1,873,Correct,2,849
2,NZNKN,161,2,781,Correct,2,896
2,FZFNF,162,2,1076,Correct,2,877
2,RXRXR,151,1,840,Correct,2,658
2,KRKYK,161,2,883,Correct,2,762
2,NZNPN,162,2,744,Correct,2,821
2,XPXPX,151,1,711,Correct,2,788
2,CUCUC,7,3,498,Correct,2,817
2,RFRFR,13,1,637,Correct,2,675
2,VYVXV,161,2,543,Correct,2,734
2,VDVDV,191,,,Incorrect,2,693
2,ZKZRZ,15,2,769,Correct,2,763
2,XCXCX,151,1,728,Correct,2,833
2,CNCUC,82,3,744,Correct,2,751
2,RCRCR,13,1,866,Correct,2,870
2,ZPZXZ,161,2,651,Correct,2,757
2,FKFYF,162,2,586,Correct,2,828
2,ZFZYZ,163,2,702,Correct,2,740
2,PXPXP,151,1,717,Correct,2,738
2,URCKC,231,2,924,Correct,2,744
2,PCPCP,113,1,946,Correct,2,761
2,XNXNX,152,1,792,Correct,2,699
2,RCRZR,161,2,888,Correct,2,680
2,XVXVX,151,1,684,Correct,2,787
2,NRNRN,152,1,873,Correct,2,810
2,FPFPF,225,1,700,Correct,2,909
2,XVXFX,222,2,606,Correct,2,734
2,PRPRP,151,1,1061,Correct,2,650
2,FYFCF,161,2,804,Correct,2,873
2,XUXFX,91,3,716,Correct,2,826
2,CYCVC,14,2,718,Correct,2,666
2,VDVKV,172,1,718,Incorrect,2,658
2,YCYCY,15,1,841,Correct,2,811
2,NKNLN,161,2,721,Correct,2,831
2,XPUKX,233,2,1138,Correct,2,652
2,ZPZPZ,113,1,779,Correct,2,876
2,KRKRK,152,1,707,Correct,2,850
2,XKXKX,153,1,643,Correct,2,742
2,YUYVY,101,3,740,Correct,2,790
2,XKXFU,235,2,835,Correct,2,657
2,NFNFN,113,1,760,Correct,2,839
2,KDKDK,193,2,1476,Incorrect,2,788
2,XYXKX,16,2,806,Correct,2,751
2,YZUZY,223,1,849,Correct,2,789
2,KFKVK,222,2,794,Correct,2,780
2,LYLYL,151,1,914,Correct,2,854
2,CXCDC,184,2,1141,Incorrect,2,843
2,XZXNX,16,2,677,Correct,2,672
2,PXPXP,151,1,1054,Correct,2,888
2,ZRZYZ,161,2,715,Correct,2,835
2,PUPYP,111,3,807,Correct,2,830
2,RNRNR,14,1,865,Correct,2,783
2,KDKDK,195,1,621,Correct,2,662
2,KNKNK,15,1,890,Correct,2,877
2,PRPKP,161,2,765,Correct,2,894
2,UNYNY,221,1,1140,Correct,2,893
2,NYNYN,113,1,717,Correct,2,868
2,YXYXY,152,1,647,Incorrect,2,832
2,RDRDR,196,1,1240,Correct,2,753
2,FCFCF,15,1,716,Correct,2,896
2,ZKZKZ,152,1,656,Correct,2,662
2,ZUZUZ,12,3,718,Correct,2,823
3,E,5,3,4373,New Target,3,931
3,YZYZY,151,1,909,Correct,3,791
3,VFVNV,161,2,742,Correct,3,676
3,KYKYK,151,1,803,Correct,3,791
3,NKNKN,152,1,1544,Correct,3,905
3,XVXNX,161,2,854,Correct,3,801
3,RERFR,71,3,658,Correct,3,684
3,XNXNX,13,1,819,Correct,3,724
3,NXNXN,152,1,653,Correct,3,755
3,ZLZNZ,161,2,670,Correct,3,759
3,CUCNC,171,2,890,Correct,3,886
3,FYFRF,16,2,742,Correct,3,695
3,ZLZLZ,151,1,872,Correct,3,655
3,YZYZY,152,1,719,Correct,3,808
3,CYCYC,153,1,795,Correct,3,770
3,VUVUV,192,1,1555,Correct,3,856
3,PXPRP,16,2,1277,Correct,3,875
3,YPYPY,151,1,881,Correct,3,931
3,CECEC,8,3,775,Correct,3,827
3,VNENV,223,2,656,Incorrect,3,826
3,KRKFK,222,2,862,Correct,3,805
3,XLXLE,225,1,852,Correct,3,830
3,RFRUR,183,2,894,Correct,3,729
3,XRXLX,16,2,709,Correct,3,743
3,NZNPN,162,2,759,Correct,3,663
3,XZXZX,151,1,677,Correct,3,718
