Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1278,Correct,0,910
1,DLDUD,16,2,1053,Correct,0,904
1,PDPGP,16,2,970,Correct,0,786
1,MWMWM,15,1,1332,Correct,0,942
1,FTFTF,15,1,1001,Correct,0,686
1,AXAMA,16,2,788,Correct,0,878
1,RYRGR,16,2,796,Correct,0,700
1,DODOD,15,1,594,Correct,0,805
1,QTQAQ,16,2,943,Correct,0,871
1,YEYEY,15,1,593,Correct,0,720
2,GYGDG,16,2,1449,Correct,0,861
2,SWSWS,15,1,554,Correct,0,725
2,HLHUH,16,2,613,Correct,0,869
2,DEDED,15,1,655,Correct,0,894
2,ZPZOZ,16,1,630,False,0,927
2,ATATA,15,1,722,Correct,0,836
2,QOQOQ,15,1,620,Correct,0,796
2,FPFGF,16,2,617,Correct,0,825
2,TRTET,16,2,721,Correct,0,907
2,DQDQD,15,1,629,Correct,0,945
AT Practice
1,TKTKT,15,1,1426,Correct,0,914
1,SLSUS,16,2,736,Correct,0,796
1,VZVGV,7,2,955,False,0,767
1,XWXZX,7,3,924,Correct,0,805
1,ATATA,15,2,1171,False,0,651
1,HXZMH,16,2,1160,Correct,0,913
1,TZTZT,7,3,896,Correct,0,812
1,UOUOU,15,1,870,Correct,0,734
1,ZTWAW,16,2,746,Correct,0,686
1,RZRER,7,3,645,Correct,0,748
2,JYJDJ,16,2,1211,Correct,0,794
2,DWDWD,15,1,947,Correct,0,738
2,GNGNG,7,3,637,Correct,0,912
2,NEZEZ,16,2,971,False,0,761
2,RNROR,7,2,1179,False,0,772
2,QTQNQ,7,3,939,Correct,0,662
2,HOHON,15,1,767,Correct,0,689
2,KPKGK,16,2,755,Correct,0,755
2,DRDED,16,2,1098,Correct,0,944
2,LNLNL,7,3,710,Correct,0,701
Trials
1,D,5,3,1476,New Target,1,652
1,BNBYB,161,2,1107,Correct,1,797
1,FBFBF,151,2,1053,Incorrect,1,940
1,RKRKR,152,1,905,Correct,1,883
1,QSQNQ,161,2,1066,Correct,1,922
1,CTCFC,162,2,761,Correct,1,776
1,PDPDP,7,16,977,Incorrect,1,859
1,OPOFO,14,,,Incorrect,1,773
1,HLHNH,162,2,956,Correct,1,876
1,MFMFM,151,3,1585,Incorrect,1,683
1,BTBTB,152,,,Incorrect,1,737
1,MCMPD,235,2,1133,Correct,1,724
1,BMBFB,222,,,Incorrect,1,916
1,NTNZN,162,2,989,Correct,1,917
1,MXMRM,163,2,786,Correct,1,742
1,APABA,164,2,935,Correct,1,919
1,FMDMF,223,2,631,Incorrect,1,881
1,QPQPQ,113,2,769,Incorrect,1,868
1,VQVMV,161,2,649,Correct,1,815
1,RERPR,162,1,838,Incorrect,1,880
1,KVKVK,151,1,1024,Correct,1,674
1,AKAHA,161,2,1340,Correct,1,908
1,VDVDV,8,3,1267,Correct,1,812
1,DUGUG,221,1,1191,Correct,1,869
1,AFAFA,113,1,1224,Correct,1,659
1,GYGYG,152,,,Incorrect,1,770
1,VXVSV,161,2,842,Correct,1,901
1,DOWGW,231,3,803,Incorrect,1,793
1,QYQYQ,113,1,860,Correct,1,870
1,ODONO,91,2,1039,Incorrect,1,942
1,MSMSM,13,3,732,Incorrect,1,882
1,GYGYG,152,2,1323,Incorrect,1,738
1,UMUMU,153,1,1069,Correct,1,843
1,BZBZB,154,1,760,Correct,1,903
1,NTNBN,161,2,729,Correct,1,679
1,GNDYG,233,3,1084,Incorrect,1,671
1,OCOSO,222,2,933,Correct,1,898
1,BHBFB,162,2,1227,Correct,1,767
1,QCQBQ,163,2,995,Correct,1,863
1,LQLQL,151,1,964,Correct,1,801
1,ZDZDZ,10,3,740,Correct,1,895
1,QNQZQ,14,2,738,Correct,1,767
1,CSCYC,162,3,831,Incorrect,1,711
1,RCRLR,163,2,647,Correct,1,847
1,FRFRF,151,2,774,Incorrect,1,821
1,WFWFW,152,1,834,Correct,1,723
1,QOQLQ,161,2,1259,Correct,1,756
1,AWAQA,162,2,821,Correct,1,703
1,EAEAE,151,1,930,Correct,1,661
1,AGAUA,161,2,683,Correct,1,687
1,YMYMY,151,1,841,Correct,1,803
1,XQXQX,152,1,692,Correct,1,691
1,SHSGS,161,3,1588,Incorrect,1,792
1,PDPDP,11,1,1344,Incorrect,1,841
1,ZGZGZ,13,3,895,Incorrect,1,881
1,OXOXO,152,2,628,Incorrect,1,845
1,LYLYL,153,1,985,Correct,1,727
1,NKNKD,225,1,1354,Correct,1,810
1,GNGNG,113,1,1002,Correct,1,944
1,OYOBO,161,2,877,Correct,1,699
1,SOSOS,151,1,967,Correct,1,671
1,VHVHV,152,1,1045,Correct,1,939
1,OKOXO,161,3,1160,Incorrect,1,769
1,EZEZE,151,1,644,Correct,1,751
1,LDLDL,12,1,817,Incorrect,1,846
2,U,5,3,504,New Target,2,890
2,BVBEB,161,2,1199,Correct,2,948
2,FBFBF,151,1,831,Correct,2,676
2,RFRFR,152,1,823,Correct,2,797
2,NBNKN,161,2,895,Correct,2,794
2,MKMNM,162,2,1095,Correct,2,764
2,QXQXQ,151,1,934,Correct,2,815
2,MQMYM,161,2,837,Correct,2,897
2,TGTPT,162,2,846,Correct,2,721
2,XOXOX,151,1,875,Correct,2,651
2,CUCUC,7,3,749,Correct,2,905
2,RFRFR,13,1,823,Correct,2,865
2,VYVSV,161,2,845,Correct,2,844
2,VDVDV,191,1,1233,Correct,2,935
2,GKGQG,15,2,846,Correct,2,683
2,SCSCS,151,1,1261,Correct,2,661
2,CTCUC,82,3,992,Correct,2,908
2,RCRCR,13,1,697,Correct,2,650
2,BOBXB,161,2,714,Correct,2,690
2,FMFAF,162,2,726,Correct,2,758
2,BEBAB,163,2,1017,Correct,2,695
2,PWPWP,151,1,872,Correct,2,867
2,UQCKC,231,2,803,Correct,2,695
2,OCOCO,113,1,937,Correct,2,846
2,TNTNT,152,1,783,Correct,2,723
2,QCQGQ,161,2,919,Correct,2,806
2,WVWVW,151,2,1099,Incorrect,2,865
2,TQTQT,152,1,777,Correct,2,813
2,FOFOF,225,1,1249,Correct,2,858
2,WVWFW,222,2,907,Correct,2,808
2,SWSWS,151,1,721,Correct,2,822
2,FYFCF,161,2,617,Correct,2,931
2,SUSWS,91,3,965,Correct,2,930
2,CACHC,14,2,636,Correct,2,740
2,VDVKV,172,2,555,Correct,2,763
2,YCYCY,15,2,577,Incorrect,2,749
2,NMNTN,161,2,1060,Correct,2,843
2,XOUKX,233,,,Incorrect,2,888
2,BPBPB,113,1,1070,Correct,2,784
2,MRMRM,152,1,913,Correct,2,726
2,XMXMX,153,1,886,Correct,2,804
2,AUAHA,101,2,872,Incorrect,2,932
2,XKXEU,235,2,1101,Correct,2,880
2,TFTFT,113,1,782,Correct,2,723
2,MDMDM,193,1,786,Correct,2,945
2,WYWMW,16,2,649,Correct,2,837
2,AZUZA,223,1,834,Correct,2,929
2,KEKHK,222,2,550,Correct,2,940
2,LALAL,151,1,586,Correct,2,756
2,CWCDC,184,2,634,Incorrect,2,840
2,SGSTS,16,2,725,Correct,2,944
2,PXPXP,151,1,740,Correct,2,741
2,GRGYG,161,2,708,Correct,2,726
2,PUPOP,111,2,720,Incorrect,2,869
2,RNRNR,14,1,752,Correct,2,741
2,KDKDK,195,1,924,Correct,2,749
2,KTKTK,15,1,1332,Correct,2,694
2,OROKO,161,2,1127,Correct,2,863
2,UNANA,221,2,737,Incorrect,2,864
2,TATAT,113,2,636,Incorrect,2,779
2,AWAWA,152,1,781,Incorrect,2,799
2,RDRDR,196,1,533,Correct,2,858
2,FCFCF,15,1,676,Correct,2,896
2,ZMZMZ,152,1,644,Correct,2,776
2,BUBUB,12,1,504,Incorrect,2,728
3,E,5,3,424,New Target,3,758
3,YZYZY,151,1,1095,Correct,3,776
3,VFVNV,161,2,1216,Correct,3,927
3,KAKAK,151,1,823,Correct,3,808
3,TKTKT,152,2,706,Incorrect,3,777
3,WHWTW,161,2,701,Correct,3,854
3,QEQFQ,71,3,942,Correct,3,717
3,XNXNX,13,1,766,Correct,3,938
3,TXTXT,152,1,760,Correct,3,863
3,GLGNG,161,2,756,Correct,3,808
3,CUCTC,171,2,833,Correct,3,746
3,FAFQF,16,2,762,Correct,3,801
3,ZLZLZ,151,1,1068,Correct,3,661
3,YZYZY,152,1,701,Correct,3,776
3,CYCYC,153,1,1015,Correct,3,895
3,HUHUH,192,1,842,Correct,3,782
3,OSORO,16,2,705,Correct,3,800
3,YOYOY,151,1,588,Correct,3,876
3,CECEC,8,3,1165,Correct,3,735
3,VNENV,223,1,1020,Correct,3,730
3,KQKFK,222,2,1024,Correct,3,751
3,XLXLE,225,1,787,Correct,3,799
3,QFQUQ,183,2,1181,Correct,3,823
3,SWSLS,16,2,742,Correct,3,817
