Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1107,Correct,0,933
1,DLDUD,16,1,1096,False,0,919
1,PDPGP,16,1,884,False,0,771
1,MWMWM,15,1,1268,Correct,0,813
1,FTFTF,15,1,1269,Correct,0,909
1,AXAMA,16,,,False,0,843
1,RYRGR,16,1,855,False,0,924
1,DODOD,15,1,935,Correct,0,929
1,QTQAQ,16,2,818,Correct,0,936
1,YEYEY,15,1,703,Correct,0,679
2,GYGDG,16,2,1317,Correct,0,936
2,SWSWS,15,1,528,Correct,0,935
2,HLHUH,16,2,1109,Correct,0,667
2,DEDED,15,1,627,Correct,0,698
2,ZPZOZ,16,2,881,Correct,0,756
2,ATATA,15,1,821,Correct,0,767
2,QOQOQ,15,1,768,Correct,0,692
2,FPFGF,16,2,641,Correct,0,856
2,TRTET,16,2,812,Correct,0,782
2,DQDQD,15,1,877,Correct,0,931
4,PLPLP,15,1,1240,Correct,0,694
4,ATAIA,16,2,991,Correct,0,751
4,SKSGS,16,2,715,Correct,0,875
4,ZYZYZ,15,1,497,Correct,0,908
4,QSQSQ,15,2,498,False,0,784
4,TZTDT,16,2,695,Correct,0,693
4,JYJGJ,16,2,594,Correct,0,821
4,DYDYD,15,1,691,Correct,0,760
4,LTLCL,16,2,803,Correct,0,687
4,FQFEF,16,2,654,Correct,0,737
AT Practice
1,TKTKT,15,,,False,0,784
1,SLSUS,16,1,791,False,0,843
1,VZVGV,7,2,826,False,0,829
1,XWXZX,7,,,False,0,889
1,ATATA,15,1,644,Correct,0,803
1,HXZMH,16,2,1332,Correct,0,703
1,TZTZT,7,3,923,Correct,0,667
1,UOUOU,15,1,970,Correct,0,854
1,ZTWAW,16,2,902,Correct,0,949
1,RZRER,7,3,775,Correct,0,798
2,JYJDJ,16,2,1000,Correct,0,800
2,DWDWD,15,1,610,Correct,0,901
2,GNGNG,7,3,636,Correct,0,913
2,NEZEZ,16,2,785,False,0,946
2,RNROR,7,3,1344,Correct,0,939
2,QTQNQ,7,2,966,False,0,708
2,HOHON,15,1,1321,Correct,0,692
2,KPKGK,16,2,1098,Correct,0,808
2,DRDED,16,2,1144,Correct,0,691
2,LNLNL,7,3,973,Correct,0,880
4,GLGLG,15,1,772,Correct,0,696
4,DTDID,16,2,771,Correct,0,677
4,SMSGS,16,2,1112,Correct,0,812
4,ZFZYZ,7,3,1104,Correct,0,844
4,TSTFT,7,,,False,0,879
4,OFOFO,7,1,723,False,0,696
4,WYFGW,16,2,918,Correct,0,918
4,WYWYW,15,1,1035,Correct,0,728
4,MFMCM,7,2,1172,False,0,881
4,HQHEH,16,2,1101,Correct,0,777
1,TKTKT,15,1,1016,Correct,0,708
1,SLSUS,16,1,987,False,0,658
1,VZVGV,7,2,1175,False,0,900
1,XWXZX,7,,,False,0,662
1,ATATA,15,1,1157,Correct,0,869
1,HXZMH,16,3,941,False,0,784
1,TZTZT,7,3,975,Correct,0,841
1,UOUOU,15,1,1288,Correct,0,931
1,ZTWAW,16,2,1341,Correct,0,748
1,RZRER,7,3,962,Correct,0,651
2,JYJDJ,16,2,942,Correct,0,742
2,DWDWD,15,3,1168,False,0,729
2,GNGNG,7,3,918,Correct,0,795
2,NEZEZ,16,,,False,0,781
2,RNROR,7,3,976,Correct,0,819
2,QTQNQ,7,1,908,False,0,879
2,HOHON,15,3,1226,False,0,905
2,KPKGK,16,2,893,Correct,0,928
2,DRDED,16,2,1088,Correct,0,798
2,LNLNL,7,3,650,Correct,0,824
4,GLGLG,15,1,898,Correct,0,924
4,DTDID,16,2,991,Correct,0,934
4,SMSGS,16,2,1073,Correct,0,684
4,ZFZYZ,7,3,957,Correct,0,772
4,TSTFT,7,2,841,False,0,872
4,OFOFO,7,1,816,False,0,757
4,WYFGW,16,3,818,False,0,853
4,WYWYW,15,1,886,Correct,0,866
4,MFMCM,7,1,1146,False,0,735
4,HQHEH,16,2,1106,Correct,0,789
1,TKTKT,15,1,809,Correct,0,650
1,SLSUS,16,1,833,False,0,754
1,VZVGV,7,2,776,False,0,761
1,XWXZX,7,3,899,Correct,0,683
1,ATATA,15,1,645,Correct,0,800
1,HXZMH,16,3,589,False,0,902
1,TZTZT,7,3,682,Correct,0,823
1,UOUOU,15,1,821,Correct,0,773
1,ZTWAW,16,3,752,False,0,708
1,RZRER,7,1,803,False,0,874
2,JYJDJ,16,2,757,Correct,0,867
2,DWDWD,15,1,975,Correct,0,755
2,GNGNG,7,1,817,False,0,737
2,NEZEZ,16,1,886,Correct,0,764
2,RNROR,7,3,1178,Correct,0,782
2,QTQNQ,7,1,834,False,0,805
2,HOHON,15,2,1477,False,0,913
2,KPKGK,16,1,922,False,0,919
2,DRDED,16,1,1324,False,0,778
2,LNLNL,7,3,856,Correct,0,946
4,GLGLG,15,1,758,Correct,0,908
4,DTDID,16,2,1242,Correct,0,843
4,SMSGS,16,2,910,Correct,0,846
4,ZFZYZ,7,3,844,Correct,0,940
4,TSTFT,7,3,1311,Correct,0,870
4,OFOFO,7,1,1395,False,0,720
4,WYFGW,16,,,False,0,828
4,WYWYW,15,1,1340,Correct,0,753
4,MFMCM,7,3,1368,Correct,0,919
4,HQHEH,16,2,1349,Correct,0,927
Trials
1,D,5,3,19903,New Target,1,747
1,ZNZYZ,161,1,970,Incorrect,1,722
1,FZFZF,151,,,Incorrect,1,826
1,RKRKR,152,1,1276,Correct,1,740
1,RXRNR,161,2,1256,Correct,1,664
1,CNCFC,162,1,1246,Incorrect,1,879
1,PDPDP,7,3,889,Correct,1,757
1,CPCFC,14,2,1301,Correct,1,690
1,VLVNV,162,3,1527,Incorrect,1,939
1,KFKFK,151,,,Incorrect,1,927
1,ZNZNZ,152,3,1256,Incorrect,1,822
1,KCKPD,235,2,1454,Correct,1,835
1,ZKZFZ,222,1,1068,Incorrect,1,910
1,NRNZN,162,,,Incorrect,1,883
1,KXKRK,163,1,1474,Incorrect,1,875
1,YPYZY,164,1,1220,Incorrect,1,751
1,FKDKF,223,2,813,Incorrect,1,808
1,RPRPR,113,1,1267,Correct,1,890
1,VRVKV,161,2,1220,Correct,1,938
1,RFRPR,162,1,1485,Incorrect,1,765
1,KVKVK,151,1,1116,Correct,1,862
1,YKYVY,161,2,1397,Correct,1,890
1,VDVDV,8,3,1039,Correct,1,652
1,DVZVZ,221,2,1375,Incorrect,1,845
1,YFYFY,113,1,1126,Correct,1,748
1,ZYZYZ,152,1,1123,Correct,1,840
1,VLVXV,161,2,844,Correct,1,884
1,DPXZX,231,,,Incorrect,1,795
1,RYRYR,113,1,1166,Correct,1,784
1,PDPNP,91,3,652,Correct,1,723
1,KXKXK,13,1,1000,Correct,1,889
1,ZYZYZ,152,1,899,Correct,1,924
1,VKVKV,153,1,1162,Correct,1,731
1,YZYZY,154,1,1322,Correct,1,658
1,NLNZN,161,1,1265,Incorrect,1,738
1,ZNDYZ,233,,,Incorrect,1,914
1,PCPXP,222,,,Incorrect,1,731
1,ZVZFZ,162,1,1387,Incorrect,1,825
1,RCRZR,163,,,Incorrect,1,802
1,LRLRL,151,1,981,Correct,1,907
1,ZDZDZ,10,3,827,Correct,1,693
1,RNRZR,14,1,942,Incorrect,1,907
1,CXCYC,162,1,919,Incorrect,1,774
1,RCRLR,163,2,949,Correct,1,930
1,FRFRF,151,1,979,Correct,1,918
1,XFXFX,152,1,1012,Correct,1,838
1,RPRLR,161,1,1437,Incorrect,1,653
1,YXYRY,162,2,799,Correct,1,740
1,FYFYF,151,1,728,Correct,1,808
1,YZYVY,161,1,887,Incorrect,1,747
1,YKYKY,151,1,910,Correct,1,820
1,XRXRX,152,1,1030,Correct,1,718
1,XVXZX,161,1,929,Incorrect,1,949
1,PDPDP,11,1,884,Incorrect,1,940
1,ZFZFZ,13,1,776,Correct,1,853
1,PXPXP,152,1,1157,Correct,1,749
1,LYLYL,153,1,758,Correct,1,708
1,NKNKD,225,1,755,Correct,1,711
1,ZNZNZ,113,1,687,Correct,1,782
1,PYPZP,161,1,1439,Incorrect,1,719
1,XPXPX,151,1,896,Correct,1,830
1,VLVLV,152,1,1064,Correct,1,707
1,PKPXP,161,1,1272,Incorrect,1,804
1,FZFZF,151,1,944,Correct,1,826
1,LDLDL,12,1,867,Incorrect,1,854
2,U,5,3,13432,New Target,2,937
2,ZVZFZ,161,1,938,Incorrect,2,908
2,FZFZF,151,1,948,Correct,2,689
2,RFRFR,152,1,1365,Correct,2,891
2,NZNKN,161,,,Incorrect,2,933
2,FZFNF,162,1,1133,Incorrect,2,738
2,RXRXR,151,,,Incorrect,2,907
2,KRKYK,161,2,1488,Correct,2,771
2,NZNPN,162,,,Incorrect,2,902
2,XPXPX,151,1,1192,Correct,2,792
2,CUCUC,7,1,658,Incorrect,2,713
