Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,942
1,DLDUD,16,2,1103,Correct,0,667
1,PDPGP,16,1,694,False,0,847
1,MWMWM,15,1,705,Correct,0,774
1,FTFTF,15,1,670,Correct,0,708
1,AXAMA,16,1,712,False,0,769
1,RYRGR,16,2,802,Correct,0,840
1,DODOD,15,1,538,Correct,0,732
1,QTQAQ,16,1,780,False,0,778
1,YEYEY,15,1,724,Correct,0,737
2,GYGDG,16,2,741,Correct,0,783
2,SWSWS,15,1,590,Correct,0,743
2,HLHUH,16,2,896,Correct,0,749
2,DEDED,15,1,752,Correct,0,852
2,ZPZOZ,16,2,711,Correct,0,852
2,ATATA,15,1,562,Correct,0,733
2,QOQOQ,15,1,642,Correct,0,839
2,FPFGF,16,2,718,Correct,0,812
2,TRTET,16,2,667,Correct,0,677
2,DQDQD,15,1,609,Correct,0,877
4,PLPLP,15,2,605,False,0,696
4,ATAIA,16,2,685,Correct,0,765
4,SKSGS,16,2,778,Correct,0,735
4,ZYZYZ,15,1,738,Correct,0,715
4,QSQSQ,15,1,717,Correct,0,767
4,TZTDT,16,2,632,Correct,0,690
4,JYJGJ,16,1,676,False,0,752
4,DYDYD,15,1,763,Correct,0,918
4,LTLCL,16,2,824,Correct,0,695
4,FQFEF,16,2,761,Correct,0,948
AT Practice
1,TKTKT,15,1,825,Correct,0,922
1,SLSUS,16,2,779,Correct,0,910
1,VZVGV,7,3,793,Correct,0,669
1,XWXZX,7,2,640,False,0,712
1,ATATA,15,1,590,Correct,0,780
1,HXZMH,16,3,768,False,0,742
1,TZTZT,7,3,747,Correct,0,730
1,UOUOU,15,1,720,Correct,0,856
1,ZTWAW,16,2,654,Correct,0,650
1,RZRER,7,3,471,Correct,0,884
2,JYJDJ,16,2,785,Correct,0,777
2,DWDWD,15,1,700,Correct,0,709
2,GNGNG,7,3,563,Correct,0,930
2,NEZEZ,16,2,692,False,0,779
2,RNROR,7,3,711,Correct,0,664
2,QTQNQ,7,3,788,Correct,0,718
2,HOHON,15,1,686,Correct,0,731
2,KPKGK,16,2,775,Correct,0,786
2,DRDED,16,2,867,Correct,0,681
2,LNLNL,7,3,669,Correct,0,658
4,GLGLG,15,1,756,Correct,0,852
4,DTDID,16,2,685,Correct,0,756
4,SMSGS,16,2,742,Correct,0,845
4,ZFZYZ,7,3,576,Correct,0,722
4,TSTFT,7,3,672,Correct,0,790
4,OFOFO,7,1,630,False,0,866
4,WYFGW,16,2,705,Correct,0,861
4,WYWYW,15,3,526,False,0,761
4,MFMCM,7,3,688,Correct,0,767
4,HQHEH,16,2,733,Correct,0,758
Trials
1,D,5,3,8507,New Target,1,870
1,ZNZYZ,161,2,822,Correct,1,854
1,FZFZF,151,3,779,Incorrect,1,910
1,RKRKR,152,1,725,Correct,1,815
1,RXRNR,161,2,849,Correct,1,824
1,CNCFC,162,2,796,Correct,1,699
1,PDPDP,7,3,449,Correct,1,935
1,CPCFC,14,3,995,Incorrect,1,892
1,VLVNV,162,2,784,Correct,1,908
1,KFKFK,151,1,775,Correct,1,917
1,ZNZNZ,152,1,734,Correct,1,883
1,KCKPD,235,2,679,Correct,1,899
1,ZKZFZ,222,3,739,Incorrect,1,844
1,NRNZN,162,2,854,Correct,1,660
1,KXKRK,163,2,754,Correct,1,678
1,YPYZY,164,2,700,Correct,1,850
1,FKDKF,223,1,805,Correct,1,929
1,RPRPR,113,1,927,Correct,1,799
1,VRVKV,161,2,705,Correct,1,915
1,RFRPR,162,2,811,Correct,1,927
1,KVKVK,151,1,642,Correct,1,906
1,YKYVY,161,2,709,Correct,1,758
1,VDVDV,8,3,713,Correct,1,667
1,DVZVZ,221,2,630,Incorrect,1,723
1,YFYFY,113,1,626,Correct,1,938
1,ZYZYZ,152,1,702,Correct,1,920
1,VLVXV,161,2,686,Correct,1,744
1,DPXZX,231,1,777,Incorrect,1,836
1,RYRYR,113,1,787,Correct,1,797
1,PDPNP,91,3,767,Correct,1,765
1,KXKXK,13,1,587,Correct,1,740
1,ZYZYZ,152,1,619,Correct,1,820
1,VKVKV,153,1,617,Correct,1,818
1,YZYZY,154,1,584,Correct,1,821
1,NLNZN,161,2,696,Correct,1,839
1,ZNDYZ,233,2,724,Correct,1,880
1,PCPXP,222,2,641,Correct,1,727
1,ZVZFZ,162,2,596,Correct,1,724
1,RCRZR,163,2,617,Correct,1,699
1,LRLRL,151,1,1133,Correct,1,735
1,ZDZDZ,10,3,774,Correct,1,874
1,RNRZR,14,2,754,Correct,1,731
1,CXCYC,162,2,684,Correct,1,863
1,RCRLR,163,2,843,Correct,1,727
1,FRFRF,151,1,678,Correct,1,695
1,XFXFX,152,1,565,Correct,1,795
1,RPRLR,161,2,743,Correct,1,854
1,YXYRY,162,2,726,Correct,1,676
1,FYFYF,151,1,710,Correct,1,736
1,YZYVY,161,2,645,Correct,1,700
1,YKYKY,151,1,617,Correct,1,710
1,XRXRX,152,1,664,Correct,1,848
1,XVXZX,161,2,693,Correct,1,814
1,PDPDP,11,3,677,Correct,1,771
1,ZFZFZ,13,1,721,Correct,1,849
1,PXPXP,152,1,621,Correct,1,824
1,LYLYL,153,1,654,Correct,1,769
1,NKNKD,225,1,592,Correct,1,698
1,ZNZNZ,113,1,657,Correct,1,842
1,PYPZP,161,2,702,Correct,1,828
1,XPXPX,151,1,606,Correct,1,730
1,VLVLV,152,1,610,Correct,1,716
1,PKPXP,161,2,750,Correct,1,888
1,FZFZF,151,1,789,Correct,1,909
1,LDLDL,12,3,674,Correct,1,686
2,U,5,3,3581,New Target,2,684
2,ZVZFZ,161,2,719,Correct,2,758
2,FZFZF,151,1,633,Correct,2,841
2,RFRFR,152,1,699,Correct,2,721
2,NZNKN,161,2,830,Correct,2,667
2,FZFNF,162,2,745,Correct,2,708
2,RXRXR,151,1,597,Correct,2,745
2,KRKYK,161,2,617,Correct,2,757
2,NZNPN,162,2,681,Correct,2,800
2,XPXPX,151,1,581,Correct,2,872
2,CUCUC,7,1,634,Incorrect,2,697
2,RFRFR,13,1,984,Correct,2,874
2,VYVXV,161,2,711,Correct,2,883
2,VDVDV,191,1,771,Correct,2,893
2,ZKZRZ,15,2,751,Correct,2,775
2,XCXCX,151,1,606,Correct,2,708
2,CNCUC,82,3,717,Correct,2,816
2,RCRCR,13,1,666,Correct,2,720
2,ZPZXZ,161,2,966,Correct,2,909
2,FKFYF,162,2,821,Correct,2,874
2,ZFZYZ,163,2,1263,Correct,2,780
2,PXPXP,151,3,1077,Incorrect,2,890
2,URCKC,231,2,978,Correct,2,846
2,PCPCP,113,1,754,Correct,2,888
2,XNXNX,152,1,720,Correct,2,660
2,RCRZR,161,2,780,Correct,2,770
2,XVXVX,151,1,741,Correct,2,827
2,NRNRN,152,1,687,Correct,2,825
2,FPFPF,225,1,669,Correct,2,769
2,XVXFX,222,2,864,Correct,2,722
2,PRPRP,151,1,711,Correct,2,773
2,FYFCF,161,2,785,Correct,2,847
2,XUXFX,91,3,1044,Correct,2,939
2,CYCVC,14,2,1268,Correct,2,795
2,VDVKV,172,2,762,Correct,2,858
2,YCYCY,15,1,697,Correct,2,671
2,NKNLN,161,2,763,Correct,2,651
2,XPUKX,233,2,855,Correct,2,804
2,ZPZPZ,113,1,883,Correct,2,682
2,KRKRK,152,1,750,Correct,2,727
2,XKXKX,153,1,669,Correct,2,685
2,YUYVY,101,2,774,Incorrect,2,915
2,XKXFU,235,2,1155,Correct,2,797
2,NFNFN,113,1,1055,Correct,2,771
2,KDKDK,193,1,656,Correct,2,797
2,XYXKX,16,2,863,Correct,2,834
2,YZUZY,223,2,872,Incorrect,2,755
2,KFKVK,222,2,987,Correct,2,856
2,LYLYL,151,1,832,Correct,2,700
2,CXCDC,184,2,756,Incorrect,2,878
2,XZXNX,16,2,842,Correct,2,920
2,PXPXP,151,1,643,Correct,2,717
2,ZRZYZ,161,2,914,Correct,2,829
2,PUPYP,111,3,1015,Correct,2,845
2,RNRNR,14,1,970,Correct,2,787
2,KDKDK,195,1,657,Correct,2,655
2,KNKNK,15,1,715,Correct,2,895
2,PRPKP,161,2,873,Correct,2,769
2,UNYNY,221,1,739,Correct,2,731
2,NYNYN,113,2,780,Incorrect,2,832
2,YXYXY,152,1,834,Incorrect,2,940
2,RDRDR,196,1,842,Correct,2,823
2,FCFCF,15,1,590,Correct,2,872
2,ZKZKZ,152,1,620,Correct,2,895
2,ZUZUZ,12,3,495,Correct,2,753
3,E,5,3,1569,New Target,3,702
3,YZYZY,151,1,672,Correct,3,652
3,VFVNV,161,2,685,Correct,3,783
3,KYKYK,151,1,619,Correct,3,812
3,NKNKN,152,1,924,Correct,3,741
3,XVXNX,161,2,855,Correct,3,686
3,RERFR,71,3,831,Correct,3,824
