Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,809
1,DLDUD,16,,,False,0,741
1,PDPGP,16,2,1171,Correct,0,812
1,MWMWM,15,1,887,Correct,0,941
1,FTFTF,15,2,981,False,0,914
1,AXAMA,16,2,1395,Correct,0,815
1,RYRGR,16,2,895,Correct,0,876
1,DODOD,15,1,744,Correct,0,685
1,QTQAQ,16,2,926,Correct,0,908
1,YEYEY,15,1,796,Correct,0,838
2,GYGDG,16,2,1077,Correct,0,717
2,SWSWS,15,1,831,Correct,0,801
2,HLHUH,16,2,897,Correct,0,868
2,DEDED,15,1,647,Correct,0,723
2,ZPZOZ,16,2,846,Correct,0,906
2,ATATA,15,1,799,Correct,0,910
2,QOQOQ,15,1,1329,Correct,0,902
2,FPFGF,16,2,814,Correct,0,947
2,TRTET,16,2,783,Correct,0,875
2,DQDQD,15,1,1114,Correct,0,665
4,PLPLP,15,1,1289,Correct,0,681
4,ATAIA,16,2,776,Correct,0,908
4,SKSGS,16,,,False,0,812
4,ZYZYZ,15,1,1095,Correct,0,781
4,QSQSQ,15,1,837,Correct,0,756
4,TZTDT,16,2,1198,Correct,0,663
4,JYJGJ,16,2,1193,Correct,0,763
4,DYDYD,15,1,756,Correct,0,677
4,LTLCL,16,2,770,Correct,0,651
4,FQFEF,16,2,743,Correct,0,873
DT Practice
1,TKTKT,15,1,1224,Correct,0,688
1,SLSUS,16,2,992,Correct,0,682
1,VZVGV,7,[3],[980],False,0,811
1,XWXZX,7,,,False,0,852
1,ATATA,15,1,817,Correct,0,757
1,HXZMH,16,2,919,Correct,0,770
1,TZTZT,7,[1][3],[1256][1560],Correct,0,725
1,UOUOU,15,1,1010,Correct,0,740
1,ZTWAW,16,2,1548,Correct,0,908
1,RZRER,7,[1],[1442],False,0,745
2,JYJDJ,16,1,988,False,0,934
2,DWDWD,15,1,1047,Correct,0,942
2,GNGNG,7,[1],[801],False,0,910
2,NEZEZ,16,,,False,0,873
2,RNROR,7,[1],[1254],False,0,718
2,QTQNQ,7,[2],[1546],False,0,838
2,HOHON,15,1,1466,Correct,0,718
2,KPKGK,16,,,False,0,853
2,DRDED,16,,,False,0,701
2,LNLNL,7,,,False,0,932
4,GLGLG,15,1,857,Correct,0,816
4,DTDID,16,2,875,Correct,0,892
4,SMSGS,16,2,1280,Correct,0,739
4,ZFZYZ,7,[2],[1252],False,0,677
4,TSTFT,7,[2][3],[1062][1318],Correct,0,665
4,OFOFO,7,[1][3],[1074][1394],Correct,0,947
4,WYFGW,16,2,928,Correct,0,784
4,WYWYW,15,1,928,Correct,0,815
4,MFMCM,7,[2][2],[931][1539],False,0,807
4,HQHEH,16,1,1296,False,0,944
1,TKTKT,15,1,1190,Correct,0,740
1,SLSUS,16,2,1063,Correct,0,934
1,VZVGV,7,[2],[1244],False,0,703
1,XWXZX,7,[2][3],[1278][1566],Correct,0,949
1,ATATA,15,1,807,Correct,0,706
1,HXZMH,16,2,1283,Correct,0,654
1,TZTZT,7,[1][3],[857][1209],Correct,0,908
1,UOUOU,15,1,791,Correct,0,665
1,ZTWAW,16,2,1418,Correct,0,873
1,RZRER,7,[2],[1407],False,0,769
2,JYJDJ,16,,,False,0,880
2,DWDWD,15,1,857,Correct,0,769
2,GNGNG,7,[1][3],[1064][1288],Correct,0,849
2,NEZEZ,16,1,1356,Correct,0,742
2,RNROR,7,[2],[1346],False,0,856
2,QTQNQ,7,[2][3],[1163][1403],Correct,0,857
2,HOHON,15,1,849,Correct,0,738
2,KPKGK,16,2,1233,Correct,0,876
2,DRDED,16,1,1415,False,0,804
2,LNLNL,7,,,False,0,859
4,GLGLG,15,1,977,Correct,0,778
4,DTDID,16,2,733,Correct,0,903
4,SMSGS,16,2,873,Correct,0,732
4,ZFZYZ,7,[2][3],[889][1290],Correct,0,775
4,TSTFT,7,[2][3],[835][1123],Correct,0,817
4,OFOFO,7,[1][3],[972][1420],Correct,0,845
4,WYFGW,16,2,1234,Correct,0,775
4,WYWYW,15,1,813,Correct,0,676
4,MFMCM,7,[2][3],[924][1276],Correct,0,698
4,HQHEH,16,1,1170,False,0,938
Trials
1,D,5,3,18609,New Target,1,939
1,ZNZYZ,161,,,Incorrect,1,796
1,FZFZF,151,1,1355,Correct,1,746
1,RKRKR,152,1,1488,Correct,1,817
1,RXRNR,161,2,702,Correct,1,818
1,CNCFC,162,2,937,Correct,1,889
1,PDPDP,7,[1][1],[871][1303],Incorrect,1,930
1,CPCFC,14,2,1179,Correct,1,679
1,VLVNV,162,2,914,Correct,1,936
1,KFKFK,151,1,856,Correct,1,772
1,ZNZNZ,152,1,939,Correct,1,911
1,KCKPD,235,2,1571,Correct,1,669
1,ZKZFZ,222,2,1356,Correct,1,883
1,NRNZN,162,2,1094,Correct,1,734
1,KXKRK,163,2,770,Correct,1,770
1,YPYZY,164,2,799,Correct,1,756
1,FKDKF,223,,,Incorrect,1,801
1,RPRPR,113,1,1315,Correct,1,808
1,VRVKV,161,2,728,Correct,1,772
1,RFRPR,162,2,965,Correct,1,723
1,KVKVK,151,1,1141,Correct,1,908
1,YKYVY,161,2,755,Correct,1,763
1,VDVDV,8,[1][3],[723][995],Correct,1,778
1,DVZVZ,221,1,1408,Correct,1,723
1,YFYFY,113,1,679,Correct,1,671
1,ZYZYZ,152,1,623,Correct,1,934
1,VLVXV,161,2,718,Correct,1,817
1,DPXZX,231,2,1373,Correct,1,734
1,RYRYR,113,1,720,Correct,1,842
1,PDPNP,91,[2],[1234],Incorrect,1,683
1,KXKXK,13,1,1208,Correct,1,788
1,ZYZYZ,152,1,740,Correct,1,681
1,VKVKV,153,1,748,Correct,1,866
1,YZYZY,154,1,808,Correct,1,744
1,NLNZN,161,2,659,Correct,1,738
1,ZNDYZ,233,2,1170,Correct,1,785
1,PCPXP,222,2,1256,Correct,1,932
1,ZVZFZ,162,2,672,Correct,1,768
1,RCRZR,163,2,800,Correct,1,759
1,LRLRL,151,1,760,Correct,1,813
1,ZDZDZ,10,[1][3],[787][1107],Correct,1,870
1,RNRZR,14,2,723,Correct,1,929
1,CXCYC,162,2,819,Correct,1,734
1,RCRLR,163,2,698,Correct,1,832
1,FRFRF,151,1,885,Correct,1,824
1,XFXFX,152,1,680,Correct,1,856
1,RPRLR,161,2,806,Correct,1,767
1,YXYRY,162,2,655,Correct,1,798
1,FYFYF,151,2,769,Incorrect,1,731
1,YZYVY,161,1,1099,Incorrect,1,761
1,YKYKY,151,1,683,Correct,1,711
1,XRXRX,152,1,614,Correct,1,855
1,XVXZX,161,2,1114,Correct,1,713
1,PDPDP,11,[1][3],[814][1086],Correct,1,756
1,ZFZFZ,13,1,967,Correct,1,676
1,PXPXP,152,1,565,Correct,1,948
1,LYLYL,153,1,833,Correct,1,899
1,NKNKD,225,1,841,Correct,1,842
1,ZNZNZ,113,1,603,Correct,1,944
1,PYPZP,161,2,729,Correct,1,845
1,XPXPX,151,1,695,Correct,1,733
1,VLVLV,152,1,578,Correct,1,923
1,PKPXP,161,2,1077,Correct,1,739
1,FZFZF,151,1,532,Correct,1,801
1,LDLDL,12,[1][3],[694][982],Correct,1,724
2,U,5,3,3048,New Target,2,650
2,ZVZFZ,161,2,944,Correct,2,682
2,FZFZF,151,1,673,Correct,2,903
2,RFRFR,152,1,995,Correct,2,737
2,NZNKN,161,2,835,Correct,2,862
2,FZFNF,162,1,639,Incorrect,2,696
2,RXRXR,151,1,698,Correct,2,933
2,KRKYK,161,2,819,Correct,2,880
2,NZNPN,162,2,718,Correct,2,779
2,XPXPX,151,1,971,Correct,2,824
2,CUCUC,7,[1][3],[1251][1459],Correct,2,669
2,RFRFR,13,1,887,Correct,2,871
2,VYVXV,161,2,834,Correct,2,712
2,VDVDV,191,1,876,Correct,2,752
2,ZKZRZ,15,2,927,Correct,2,941
2,XCXCX,151,1,756,Correct,2,748
2,CNCUC,82,[2][3],[1088][1344],Correct,2,777
2,RCRCR,13,1,901,Correct,2,656
2,ZPZXZ,161,2,702,Correct,2,704
2,FKFYF,162,2,1099,Correct,2,837
2,ZFZYZ,163,2,789,Correct,2,916
2,PXPXP,151,1,816,Correct,2,767
2,URCKC,231,2,1383,Correct,2,786
2,PCPCP,113,1,904,Correct,2,897
2,XNXNX,152,1,654,Correct,2,836
2,RCRZR,161,2,492,Correct,2,772
2,XVXVX,151,1,717,Correct,2,922
2,NRNRN,152,1,556,Correct,2,744
2,FPFPF,225,1,576,Correct,2,737
2,XVXFX,222,2,694,Correct,2,672
2,PRPRP,151,1,693,Correct,2,741
2,FYFCF,161,2,688,Correct,2,856
2,XUXFX,91,[1][3],[834][1058],Incorrect,2,769
2,CYCVC,14,2,1001,Correct,2,800
2,VDVKV,172,1,879,Incorrect,2,678
