Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,802
1,DLDUD,16,2,1475,Correct,0,756
1,PDPGP,16,2,1410,Correct,0,757
1,MWMWM,15,1,1027,Correct,0,778
1,FTFTF,15,1,1308,Correct,0,915
1,AXAMA,16,1,1055,False,0,773
1,RYRGR,16,2,974,Correct,0,690
1,DODOD,15,1,1105,Correct,0,680
1,QTQAQ,16,2,925,Correct,0,766
1,YEYEY,15,1,736,Correct,0,764
2,GYGDG,16,2,930,Correct,0,913
2,SWSWS,15,1,781,Correct,0,924
2,HLHUH,16,2,1061,Correct,0,746
2,DEDED,15,1,926,Correct,0,865
2,ZPZOZ,16,2,813,Correct,0,903
2,ATATA,15,1,910,Correct,0,884
2,QOQOQ,15,1,1435,Correct,0,926
2,FPFGF,16,2,765,Correct,0,665
2,TRTET,16,2,743,Correct,0,740
2,DQDQD,15,1,1084,Correct,0,883
4,PLPLP,15,1,958,Correct,0,693
4,ATAIA,16,2,943,Correct,0,739
4,SKSGS,16,2,1082,Correct,0,923
4,ZYZYZ,15,1,673,Correct,0,944
4,QSQSQ,15,1,618,Correct,0,878
4,TZTDT,16,2,599,Correct,0,757
4,JYJGJ,16,2,993,Correct,0,902
4,DYDYD,15,1,901,Correct,0,652
4,LTLCL,16,2,649,Correct,0,745
4,FQFEF,16,2,815,Correct,0,908
DT Practice
1,TKTKT,15,1,1364,Correct,0,659
1,SLSUS,16,2,851,Correct,0,839
1,VZVGV,7,,,False,0,869
1,XWXZX,7,,,False,0,757
1,ATATA,15,1,1202,Correct,0,938
1,HXZMH,16,2,1157,Correct,0,851
1,TZTZT,7,[1][3],[964][1108],Correct,0,654
1,UOUOU,15,1,966,Correct,0,919
1,ZTWAW,16,2,933,Correct,0,806
1,RZRER,7,[2][3],[990][1214],Correct,0,844
2,JYJDJ,16,2,1045,Correct,0,859
2,DWDWD,15,1,1126,Correct,0,666
2,GNGNG,7,[1][3],[1329][1553],Correct,0,753
2,NEZEZ,16,1,1323,Correct,0,652
2,RNROR,7,[2][3],[1049][1257],Correct,0,704
2,QTQNQ,7,[2][3],[1249][1409],Correct,0,715
2,HOHON,15,1,972,Correct,0,658
2,KPKGK,16,2,1182,Correct,0,750
2,DRDED,16,2,962,Correct,0,834
2,LNLNL,7,[1][3],[899][1043],Correct,0,827
4,GLGLG,15,1,881,Correct,0,781
4,DTDID,16,2,1002,Correct,0,676
4,SMSGS,16,2,1016,Correct,0,813
4,ZFZYZ,7,[1][3],[1076][1220],False,0,785
4,TSTFT,7,[2][3],[1097][1320],Correct,0,912
4,OFOFO,7,[1],[1021],False,0,682
4,WYFGW,16,2,1315,Correct,0,749
4,WYWYW,15,1,1284,Correct,0,849
4,MFMCM,7,[2][3],[1271][1463],Correct,0,871
4,HQHEH,16,2,1161,Correct,0,795
Trials
1,D,5,3,10741,New Target,1,727
1,ZNZYZ,161,2,1315,Correct,1,861
1,FZFZF,151,1,1011,Correct,1,909
1,RKRKR,152,1,920,Correct,1,726
1,RXRNR,161,2,1022,Correct,1,754
1,CNCFC,162,2,770,Correct,1,671
1,PDPDP,7,[1][3],[826][1082],Correct,1,709
1,CPCFC,14,2,971,Correct,1,776
1,VLVNV,162,2,842,Correct,1,857
1,KFKFK,151,1,920,Correct,1,685
1,ZNZNZ,152,1,1064,Correct,1,946
1,KCKPD,235,2,953,Correct,1,704
1,ZKZFZ,222,2,1170,Correct,1,664
1,NRNZN,162,2,654,Correct,1,808
1,KXKRK,163,2,1005,Correct,1,760
1,YPYZY,164,2,641,Correct,1,782
1,FKDKF,223,2,912,Incorrect,1,860
1,RPRPR,113,2,537,Incorrect,1,664
1,VRVKV,161,2,504,Correct,1,910
1,RFRPR,162,2,640,Correct,1,680
1,KVKVK,151,1,894,Correct,1,810
1,YKYVY,161,2,1242,Correct,1,663
1,VDVDV,8,[1][3],[1006][1230],Correct,1,669
1,DVZVZ,221,1,984,Correct,1,896
1,YFYFY,113,1,725,Correct,1,946
1,ZYZYZ,152,1,789,Correct,1,747
1,VLVXV,161,2,834,Correct,1,680
1,DPXZX,231,2,795,Correct,1,744
1,RYRYR,113,1,838,Correct,1,756
1,PDPNP,91,[1][3],[697][1593],Incorrect,1,790
1,KXKXK,13,1,1496,Correct,1,724
1,ZYZYZ,152,1,1232,Correct,1,927
1,VKVKV,153,1,959,Correct,1,666
1,YZYZY,154,1,799,Correct,1,932
1,NLNZN,161,2,1357,Correct,1,675
1,ZNDYZ,233,2,1292,Correct,1,894
1,PCPXP,222,2,1442,Correct,1,865
1,ZVZFZ,162,2,846,Correct,1,915
1,RCRZR,163,2,915,Correct,1,835
1,LRLRL,151,1,935,Correct,1,803
1,ZDZDZ,10,[1][3],[1100][1308],Correct,1,816
1,RNRZR,14,2,638,Correct,1,686
1,CXCYC,162,2,765,Correct,1,731
1,RCRLR,163,2,841,Correct,1,790
1,FRFRF,151,2,604,Incorrect,1,882
1,XFXFX,152,1,657,Correct,1,665
1,RPRLR,161,2,912,Correct,1,796
1,YXYRY,162,2,786,Correct,1,832
1,FYFYF,151,1,857,Correct,1,865
1,YZYVY,161,2,645,Correct,1,657
1,YKYKY,151,1,765,Correct,1,948
1,XRXRX,152,1,775,Correct,1,801
1,XVXZX,161,2,732,Correct,1,902
1,PDPDP,11,[1][3],[1093][1285],Correct,1,812
1,ZFZFZ,13,1,898,Correct,1,938
1,PXPXP,152,2,972,Incorrect,1,693
1,LYLYL,153,1,734,Correct,1,781
1,NKNKD,225,1,1191,Correct,1,887
1,ZNZNZ,113,1,796,Correct,1,933
1,PYPZP,161,2,700,Correct,1,671
1,XPXPX,151,1,649,Correct,1,784
1,VLVLV,152,1,1039,Correct,1,680
1,PKPXP,161,2,1163,Correct,1,861
1,FZFZF,151,1,948,Correct,1,807
1,LDLDL,12,[1][3],[992][1183],Correct,1,901
2,U,5,3,2352,New Target,2,736
2,ZVZFZ,161,2,937,Correct,2,823
2,FZFZF,151,1,962,Correct,2,708
2,RFRFR,152,1,1016,Correct,2,771
2,NZNKN,161,2,757,Correct,2,934
2,FZFNF,162,2,799,Correct,2,854
2,RXRXR,151,1,830,Correct,2,683
2,KRKYK,161,2,658,Correct,2,892
2,NZNPN,162,2,610,Correct,2,803
2,XPXPX,151,1,742,Correct,2,778
2,CUCUC,7,[1][3],[788][1044],Correct,2,697
2,RFRFR,13,2,546,Incorrect,2,727
2,VYVXV,161,2,804,Correct,2,816
2,VDVDV,191,1,827,Correct,2,887
2,ZKZRZ,15,2,852,Correct,2,752
2,XCXCX,151,1,723,Correct,2,664
2,CNCUC,82,[2],[1077],Incorrect,2,763
2,RCRCR,13,1,1224,Correct,2,730
2,ZPZXZ,161,2,721,Correct,2,797
2,FKFYF,162,2,747,Correct,2,889
2,ZFZYZ,163,2,1190,Correct,2,789
2,PXPXP,151,1,939,Correct,2,896
2,URCKC,231,2,845,Correct,2,897
2,PCPCP,113,1,994,Correct,2,835
2,XNXNX,152,1,903,Correct,2,745
2,RCRZR,161,2,812,Correct,2,851
2,XVXVX,151,1,950,Correct,2,783
2,NRNRN,152,1,798,Correct,2,723
2,FPFPF,225,1,809,Correct,2,733
2,XVXFX,222,2,980,Correct,2,710
2,PRPRP,151,1,1302,Correct,2,827
2,FYFCF,161,2,728,Correct,2,875
2,XUXFX,91,[2][3],[1017][1273],Correct,2,905
2,CYCVC,14,2,1000,Correct,2,684
2,VDVKV,172,2,879,Correct,2,670
2,YCYCY,15,1,856,Correct,2,689
2,NKNLN,161,2,577,Correct,2,734
2,XPUKX,233,2,967,Correct,2,713
2,ZPZPZ,113,1,966,Correct,2,900
2,KRKRK,152,2,664,Incorrect,2,877
2,XKXKX,153,1,860,Correct,2,696
2,YUYVY,101,[2][3],[1119][1295],Correct,2,899
2,XKXFU,235,2,991,Correct,2,790
2,NFNFN,113,1,1011,Correct,2,773
2,KDKDK,193,1,641,Correct,2,915
2,XYXKX,16,2,801,Correct,2,830
2,YZUZY,223,1,1301,Correct,2,901
2,KFKVK,222,2,856,Correct,2,911
2,LYLYL,151,1,1115,Correct,2,889
2,CXCDC,184,2,999,Incorrect,2,813
2,XZXNX,16,2,870,Correct,2,853
2,PXPXP,151,1,875,Correct,2,897
2,ZRZYZ,161,2,692,Correct,2,749
2,PUPYP,111,[2][3],[1000][1176],Correct,2,857
2,RNRNR,14,1,883,Correct,2,768
2,KDKDK,195,1,957,Correct,2,734
2,KNKNK,15,1,734,Correct,2,922
2,PRPKP,161,2,879,Correct,2,705
2,UNYNY,221,1,790,Correct,2,771
2,NYNYN,113,1,847,Correct,2,784
2,YXYXY,152,1,808,Incorrect,2,813
2,RDRDR,196,1,782,Correct,2,903
2,FCFCF,15,1,597,Correct,2,895
