Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1372,Correct,0,652
1,DLDUD,16,2,942,Correct,0,793
1,PDPGP,16,2,1067,Correct,0,832
1,MWMWM,15,1,1002,Correct,0,682
1,FTFTF,15,1,1067,Correct,0,780
1,AXAMA,16,1,506,False,0,661
1,RYRGR,16,2,1197,Correct,0,729
1,DODOD,15,1,757,Correct,0,779
1,QTQAQ,16,2,793,Correct,0,853
1,YEYEY,15,1,638,Correct,0,894
2,GYGDG,16,2,708,Correct,0,863
2,SWSWS,15,1,836,Correct,0,675
2,HLHUH,16,2,747,Correct,0,734
2,DEDED,15,1,561,Correct,0,807
2,ZPZOZ,16,2,718,Correct,0,822
2,ATATA,15,1,637,Correct,0,674
2,QOQOQ,15,1,764,Correct,0,754
2,FPFGF,16,2,814,Correct,0,931
2,TRTET,16,2,638,Correct,0,917
2,DQDQD,15,1,777,Correct,0,820
4,PLPLP,15,1,821,Correct,0,780
4,ATAIA,16,2,650,Correct,0,795
4,SKSGS,16,2,793,Correct,0,681
4,ZYZYZ,15,1,617,Correct,0,940
4,QSQSQ,15,1,799,Correct,0,650
4,TZTDT,16,2,633,Correct,0,654
4,JYJGJ,16,2,756,Correct,0,839
4,DYDYD,15,1,551,Correct,0,867
4,LTLCL,16,2,590,Correct,0,949
4,FQFEF,16,2,1024,Correct,0,708
AT Practice
1,TKTKT,15,1,1226,Correct,0,659
1,SLSUS,16,1,798,False,0,866
1,VZVGV,7,2,810,False,0,676
1,XWXZX,7,,,False,0,800
1,ATATA,15,1,1090,Correct,0,901
1,HXZMH,16,3,651,False,0,759
1,TZTZT,7,3,918,Correct,0,795
1,UOUOU,15,1,746,Correct,0,704
1,ZTWAW,16,2,1269,Correct,0,727
1,RZRER,7,3,1005,Correct,0,717
2,JYJDJ,16,2,961,Correct,0,665
2,DWDWD,15,1,802,Correct,0,761
2,GNGNG,7,3,661,Correct,0,921
2,NEZEZ,16,1,1012,Correct,0,667
2,RNROR,7,3,757,Correct,0,690
2,QTQNQ,7,2,944,False,0,758
2,HOHON,15,1,799,Correct,0,877
2,KPKGK,16,2,1161,Correct,0,654
2,DRDED,16,2,893,Correct,0,920
2,LNLNL,7,3,800,Correct,0,741
4,GLGLG,15,1,1147,Correct,0,674
4,DTDID,16,2,947,Correct,0,802
4,SMSGS,16,2,1012,Correct,0,815
4,ZFZYZ,7,3,548,Correct,0,727
4,TSTFT,7,3,1028,Correct,0,805
4,OFOFO,7,3,1247,Correct,0,837
4,WYFGW,16,2,1239,Correct,0,695
4,WYWYW,15,1,1266,Correct,0,657
4,MFMCM,7,3,952,Correct,0,764
4,HQHEH,16,2,1047,Correct,0,795
Trials
1,D,5,3,19828,New Target,1,808
1,ZNZYZ,161,2,1213,Correct,1,702
1,FZFZF,151,,,Incorrect,1,661
1,RKRKR,152,1,977,Correct,1,903
1,RXRNR,161,2,863,Correct,1,885
1,CNCFC,162,2,994,Correct,1,929
1,PDPDP,7,3,595,Correct,1,829
1,CPCFC,14,2,1032,Correct,1,743
1,VLVNV,162,2,995,Correct,1,919
1,KFKFK,151,1,778,Correct,1,692
1,ZNZNZ,152,1,1073,Correct,1,930
1,KCKPD,235,2,850,Correct,1,743
1,ZKZFZ,222,2,1255,Correct,1,897
1,NRNZN,162,2,837,Correct,1,661
1,KXKRK,163,2,940,Correct,1,874
1,YPYZY,164,2,1332,Correct,1,727
1,FKDKF,223,3,1112,Incorrect,1,770
1,RPRPR,113,1,1402,Correct,1,716
1,VRVKV,161,2,858,Correct,1,879
1,RFRPR,162,2,1132,Correct,1,938
1,KVKVK,151,1,947,Correct,1,932
1,YKYVY,161,2,915,Correct,1,900
1,VDVDV,8,3,756,Correct,1,945
1,DVZVZ,221,1,1393,Correct,1,690
1,YFYFY,113,1,1107,Correct,1,668
1,ZYZYZ,152,1,825,Correct,1,930
1,VLVXV,161,2,637,Correct,1,755
1,DPXZX,231,2,917,Correct,1,903
1,RYRYR,113,1,778,Correct,1,668
1,PDPNP,91,3,763,Correct,1,894
1,KXKXK,13,,,Incorrect,1,852
1,ZYZYZ,152,3,1136,Incorrect,1,937
1,VKVKV,153,1,997,Correct,1,900
1,YZYZY,154,1,1120,Correct,1,833
1,NLNZN,161,2,899,Correct,1,855
1,ZNDYZ,233,2,1315,Correct,1,884
1,PCPXP,222,2,773,Correct,1,799
1,ZVZFZ,162,2,681,Correct,1,835
1,RCRZR,163,2,589,Correct,1,948
1,LRLRL,151,1,759,Correct,1,795
1,ZDZDZ,10,3,954,Correct,1,916
1,RNRZR,14,2,618,Correct,1,761
1,CXCYC,162,2,1217,Correct,1,930
1,RCRLR,163,2,937,Correct,1,682
1,FRFRF,151,1,784,Correct,1,939
1,XFXFX,152,1,766,Correct,1,924
1,RPRLR,161,2,982,Correct,1,831
1,YXYRY,162,2,675,Correct,1,790
1,FYFYF,151,1,847,Correct,1,778
1,YZYVY,161,2,647,Correct,1,683
1,YKYKY,151,1,979,Correct,1,741
1,XRXRX,152,1,704,Correct,1,854
1,XVXZX,161,2,903,Correct,1,798
1,PDPDP,11,3,484,Correct,1,929
1,ZFZFZ,13,1,758,Correct,1,749
1,PXPXP,152,2,653,Incorrect,1,671
1,LYLYL,153,1,647,Correct,1,866
1,NKNKD,225,1,902,Correct,1,748
1,ZNZNZ,113,1,1039,Correct,1,932
1,PYPZP,161,2,719,Correct,1,740
1,XPXPX,151,1,808,Correct,1,780
1,VLVLV,152,1,775,Correct,1,893
1,PKPXP,161,2,848,Correct,1,722
1,FZFZF,151,1,771,Correct,1,811
1,LDLDL,12,3,455,Correct,1,870
2,U,5,3,2821,New Target,2,711
2,ZVZFZ,161,2,856,Correct,2,689
2,FZFZF,151,1,746,Correct,2,837
2,RFRFR,152,1,1003,Correct,2,917
2,NZNKN,161,2,774,Correct,2,917
2,FZFNF,162,2,763,Correct,2,745
2,RXRXR,151,1,1092,Correct,2,757
2,KRKYK,161,2,991,Correct,2,671
2,NZNPN,162,2,811,Correct,2,880
2,XPXPX,151,1,651,Correct,2,868
2,CUCUC,7,3,565,Correct,2,890
2,RFRFR,13,1,781,Correct,2,906
2,VYVXV,161,2,671,Correct,2,877
2,VDVDV,191,1,1406,Correct,2,651
2,ZKZRZ,15,2,828,Correct,2,826
2,XCXCX,151,1,1247,Correct,2,701
2,CNCUC,82,3,1073,Correct,2,843
2,RCRCR,13,1,830,Correct,2,693
2,ZPZXZ,161,2,749,Correct,2,874
2,FKFYF,162,2,898,Correct,2,910
2,ZFZYZ,163,2,914,Correct,2,892
2,PXPXP,151,3,702,Incorrect,2,824
2,URCKC,231,2,940,Correct,2,705
2,PCPCP,113,1,917,Correct,2,918
2,XNXNX,152,1,945,Correct,2,841
2,RCRZR,161,2,854,Correct,2,668
2,XVXVX,151,1,860,Correct,2,683
2,NRNRN,152,1,778,Correct,2,818
2,FPFPF,225,1,700,Correct,2,929
2,XVXFX,222,2,749,Correct,2,941
2,PRPRP,151,1,982,Correct,2,793
2,FYFCF,161,2,1009,Correct,2,799
2,XUXFX,91,3,607,Correct,2,836
2,CYCVC,14,2,1241,Correct,2,783
2,VDVKV,172,2,766,Correct,2,906
2,YCYCY,15,1,1101,Correct,2,900
2,NKNLN,161,2,844,Correct,2,730
2,XPUKX,233,2,1298,Correct,2,675
2,ZPZPZ,113,1,965,Correct,2,836
2,KRKRK,152,1,772,Correct,2,809
2,XKXKX,153,1,1079,Correct,2,860
2,YUYVY,101,3,655,Correct,2,862
2,XKXFU,235,2,874,Correct,2,750
2,NFNFN,113,1,891,Correct,2,876
2,KDKDK,193,1,799,Correct,2,654
2,XYXKX,16,2,808,Correct,2,764
2,YZUZY,223,1,1325,Correct,2,753
2,KFKVK,222,2,814,Correct,2,813
2,LYLYL,151,1,721,Correct,2,885
2,CXCDC,184,2,661,Incorrect,2,798
2,XZXNX,16,2,854,Correct,2,738
2,PXPXP,151,2,743,Incorrect,2,774
2,ZRZYZ,161,2,687,Correct,2,741
2,PUPYP,111,3,891,Correct,2,776
2,RNRNR,14,1,1240,Correct,2,931
2,KDKDK,195,1,604,Correct,2,741
2,KNKNK,15,1,633,Correct,2,740
2,PRPKP,161,2,748,Correct,2,918
2,UNYNY,221,1,936,Correct,2,792
2,NYNYN,113,1,738,Correct,2,880
2,YXYXY,152,1,725,Incorrect,2,865
2,RDRDR,196,1,800,Correct,2,713
2,FCFCF,15,1,728,Correct,2,760
2,ZKZKZ,152,1,818,Correct,2,686
2,ZUZUZ,12,3,969,Correct,2,757
3,E,5,3,3102,New Target,3,921
3,YZYZY,151,1,1473,Correct,3,937
3,VFVNV,161,2,1386,Correct,3,913
3,KYKYK,151,1,842,Correct,3,681
3,NKNKN,152,1,763,Correct,3,860
