Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,794
1,DLDUD,16,2,1516,Correct,0,850
1,PDPGP,16,1,849,False,0,887
1,MWMWM,15,1,905,Correct,0,757
1,FTFTF,15,1,846,Correct,0,669
1,AXAMA,16,2,1347,Correct,0,790
1,RYRGR,16,2,801,Correct,0,864
1,DODOD,15,1,792,Correct,0,740
1,QTQAQ,16,2,767,Correct,0,789
1,YEYEY,15,1,792,Correct,0,766
2,GYGDG,16,2,887,Correct,0,749
2,SWSWS,15,1,711,Correct,0,858
2,HLHUH,16,2,860,Correct,0,945
2,DEDED,15,1,898,Correct,0,794
2,ZPZOZ,16,2,862,Correct,0,947
2,ATATA,15,1,728,Correct,0,671
2,QOQOQ,15,1,764,Correct,0,943
2,FPFGF,16,2,613,Correct,0,789
2,TRTET,16,2,727,Correct,0,650
2,DQDQD,15,1,993,Correct,0,786
4,PLPLP,15,1,1094,Correct,0,739
4,ATAIA,16,2,710,Correct,0,692
4,SKSGS,16,2,742,Correct,0,693
4,ZYZYZ,15,1,642,Correct,0,680
4,QSQSQ,15,1,850,Correct,0,714
4,TZTDT,16,2,563,Correct,0,816
4,JYJGJ,16,2,714,Correct,0,949
4,DYDYD,15,1,932,Correct,0,827
4,LTLCL,16,2,696,Correct,0,700
4,FQFEF,16,2,822,Correct,0,721
AT Practice
1,TKTKT,15,2,1069,False,0,668
1,SLSUS,16,2,1039,Correct,0,655
1,VZVGV,7,3,732,Correct,0,816
1,XWXZX,7,3,996,Correct,0,807
1,ATATA,15,1,745,Correct,0,662
1,HXZMH,16,2,1319,Correct,0,661
1,TZTZT,7,3,665,Correct,0,765
1,UOUOU,15,1,864,Correct,0,883
1,ZTWAW,16,2,895,Correct,0,916
1,RZRER,7,3,1184,Correct,0,811
2,JYJDJ,16,2,766,Correct,0,731
2,DWDWD,15,1,933,Correct,0,730
2,GNGNG,7,3,807,Correct,0,725
2,NEZEZ,16,1,1501,Correct,0,783
2,RNROR,7,3,876,Correct,0,668
2,QTQNQ,7,3,949,Correct,0,670
2,HOHON,15,1,773,Correct,0,845
2,KPKGK,16,3,1004,False,0,776
2,DRDED,16,,,False,0,856
2,LNLNL,7,3,719,Correct,0,781
4,GLGLG,15,1,1293,Correct,0,701
4,DTDID,16,2,1025,Correct,0,737
4,SMSGS,16,2,989,Correct,0,896
4,ZFZYZ,7,3,881,Correct,0,690
4,TSTFT,7,3,913,Correct,0,901
4,OFOFO,7,3,744,Correct,0,679
4,WYFGW,16,2,740,Correct,0,692
4,WYWYW,15,1,780,Correct,0,742
4,MFMCM,7,3,1026,Correct,0,812
4,HQHEH,16,2,1004,Correct,0,935
Trials
1,D,5,3,16755,New Target,1,755
1,ZNZYZ,161,2,1077,Correct,1,917
1,FZFZF,151,1,1366,Correct,1,717
1,RKRKR,152,1,1161,Correct,1,871
1,RXRNR,161,2,1065,Correct,1,723
1,CNCFC,162,2,1066,Correct,1,771
1,PDPDP,7,3,906,Correct,1,791
1,CPCFC,14,2,861,Correct,1,816
1,VLVNV,162,2,1042,Correct,1,851
1,KFKFK,151,1,785,Correct,1,870
1,ZNZNZ,152,1,986,Correct,1,776
1,KCKPD,235,2,781,Correct,1,761
1,ZKZFZ,222,2,1033,Correct,1,711
1,NRNZN,162,2,1015,Correct,1,843
1,KXKRK,163,2,824,Correct,1,812
1,YPYZY,164,2,646,Correct,1,683
1,FKDKF,223,2,997,Incorrect,1,851
1,RPRPR,113,1,997,Correct,1,805
1,VRVKV,161,2,1001,Correct,1,758
1,RFRPR,162,2,877,Correct,1,762
1,KVKVK,151,1,851,Correct,1,833
1,YKYVY,161,2,715,Correct,1,781
1,VDVDV,8,3,622,Correct,1,657
1,DVZVZ,221,1,897,Correct,1,746
1,YFYFY,113,1,1040,Correct,1,933
1,ZYZYZ,152,1,819,Correct,1,756
1,VLVXV,161,2,683,Correct,1,858
1,DPXZX,231,2,1019,Correct,1,726
1,RYRYR,113,3,889,Incorrect,1,883
1,PDPNP,91,3,1020,Correct,1,910
1,KXKXK,13,1,1104,Correct,1,705
1,ZYZYZ,152,1,859,Correct,1,909
1,VKVKV,153,1,752,Correct,1,849
1,YZYZY,154,1,785,Correct,1,655
1,NLNZN,161,2,873,Correct,1,805
1,ZNDYZ,233,2,1202,Correct,1,729
1,PCPXP,222,2,706,Correct,1,652
1,ZVZFZ,162,2,842,Correct,1,939
1,RCRZR,163,2,831,Correct,1,875
1,LRLRL,151,1,841,Correct,1,757
1,ZDZDZ,10,3,718,Correct,1,912
1,RNRZR,14,2,779,Correct,1,832
1,CXCYC,162,2,679,Correct,1,768
1,RCRLR,163,2,706,Correct,1,912
1,FRFRF,151,3,1060,Incorrect,1,764
1,XFXFX,152,1,1250,Correct,1,828
1,RPRLR,161,2,744,Correct,1,871
1,YXYRY,162,2,857,Correct,1,675
1,FYFYF,151,1,1014,Correct,1,652
1,YZYVY,161,2,820,Correct,1,929
1,YKYKY,151,1,908,Correct,1,803
1,XRXRX,152,1,689,Correct,1,836
1,XVXZX,161,2,850,Correct,1,779
1,PDPDP,11,3,902,Correct,1,884
1,ZFZFZ,13,1,926,Correct,1,698
1,PXPXP,152,1,1029,Correct,1,711
1,LYLYL,153,1,711,Correct,1,811
1,NKNKD,225,1,815,Correct,1,902
1,ZNZNZ,113,1,825,Correct,1,744
1,PYPZP,161,2,813,Correct,1,947
1,XPXPX,151,1,764,Correct,1,671
1,VLVLV,152,1,797,Correct,1,659
1,PKPXP,161,2,1205,Correct,1,893
1,FZFZF,151,1,884,Correct,1,654
1,LDLDL,12,3,1001,Correct,1,828
2,U,5,3,1371,New Target,2,677
2,ZVZFZ,161,2,808,Correct,2,939
2,FZFZF,151,1,1078,Correct,2,667
2,RFRFR,152,1,931,Correct,2,897
2,NZNKN,161,2,857,Correct,2,740
2,FZFNF,162,2,965,Correct,2,711
2,RXRXR,151,1,938,Correct,2,720
2,KRKYK,161,2,850,Correct,2,692
2,NZNPN,162,2,974,Correct,2,672
2,XPXPX,151,1,757,Correct,2,691
2,CUCUC,7,3,638,Correct,2,910
2,RFRFR,13,1,878,Correct,2,763
2,VYVXV,161,2,810,Correct,2,693
2,VDVDV,191,,,Incorrect,2,729
2,ZKZRZ,15,2,852,Correct,2,712
2,XCXCX,151,1,858,Correct,2,852
2,CNCUC,82,3,799,Correct,2,844
2,RCRCR,13,1,859,Correct,2,758
2,ZPZXZ,161,2,1059,Correct,2,710
2,FKFYF,162,2,916,Correct,2,755
2,ZFZYZ,163,2,780,Correct,2,673
2,PXPXP,151,1,776,Correct,2,749
2,URCKC,231,2,775,Correct,2,722
2,PCPCP,113,1,687,Correct,2,831
2,XNXNX,152,1,1052,Correct,2,827
2,RCRZR,161,2,706,Correct,2,658
2,XVXVX,151,2,1448,Incorrect,2,659
2,NRNRN,152,1,784,Correct,2,941
2,FPFPF,225,1,686,Correct,2,656
2,XVXFX,222,2,1067,Correct,2,866
2,PRPRP,151,1,749,Correct,2,676
2,FYFCF,161,2,727,Correct,2,865
2,XUXFX,91,3,543,Correct,2,936
2,CYCVC,14,2,787,Correct,2,826
2,VDVKV,172,2,637,Correct,2,784
2,YCYCY,15,1,734,Correct,2,805
2,NKNLN,161,2,629,Correct,2,919
2,XPUKX,233,2,694,Correct,2,785
2,ZPZPZ,113,1,1041,Correct,2,870
2,KRKRK,152,1,660,Correct,2,703
2,XKXKX,153,1,693,Correct,2,752
2,YUYVY,101,3,818,Correct,2,825
2,XKXFU,235,2,718,Correct,2,708
2,NFNFN,113,1,965,Correct,2,911
2,KDKDK,193,,,Incorrect,2,720
2,XYXKX,16,2,739,Correct,2,913
2,YZUZY,223,1,1002,Correct,2,888
2,KFKVK,222,2,1067,Correct,2,917
2,LYLYL,151,1,826,Correct,2,785
2,CXCDC,184,2,723,Incorrect,2,800
2,XZXNX,16,2,768,Correct,2,797
2,PXPXP,151,1,990,Correct,2,738
2,ZRZYZ,161,2,737,Correct,2,725
2,PUPYP,111,3,922,Correct,2,880
2,RNRNR,14,1,708,Correct,2,709
2,KDKDK,195,1,1086,Correct,2,844
2,KNKNK,15,1,1313,Correct,2,650
2,PRPKP,161,2,807,Correct,2,789
2,UNYNY,221,1,902,Correct,2,667
2,NYNYN,113,1,938,Correct,2,851
2,YXYXY,152,1,1002,Incorrect,2,916
2,RDRDR,196,1,736,Correct,2,657
2,FCFCF,15,1,716,Correct,2,797
2,ZKZKZ,152,1,757,Correct,2,861
2,ZUZUZ,12,3,813,Correct,2,878
3,E,5,3,1657,New Target,3,929
3,YZYZY,151,1,611,Correct,3,652
3,VFVNV,161,2,756,Correct,3,836
3,KYKYK,151,1,809,Correct,3,942
3,NKNKN,152,1,630,Correct,3,719
