Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,906
1,DLDUD,16,2,811,Correct,0,761
1,PDPGP,16,2,893,Correct,0,920
1,MWMWM,15,1,769,Correct,0,769
1,FTFTF,15,2,581,False,0,861
1,AXAMA,16,2,777,Correct,0,650
1,RYRGR,16,2,771,Correct,0,689
1,DODOD,15,1,581,Correct,0,896
1,QTQAQ,16,2,645,Correct,0,784
1,YEYEY,15,1,580,Correct,0,656
2,GYGDG,16,2,694,Correct,0,710
2,SWSWS,15,1,578,Correct,0,776
2,HLHUH,16,2,642,Correct,0,741
2,DEDED,15,1,540,Correct,0,843
2,ZPZOZ,16,2,654,Correct,0,786
2,ATATA,15,1,537,Correct,0,766
2,QOQOQ,15,2,759,False,0,851
2,FPFGF,16,2,658,Correct,0,759
2,TRTET,16,2,710,Correct,0,940
2,DQDQD,15,2,678,False,0,663
4,PLPLP,15,1,760,Correct,0,715
4,ATAIA,16,1,655,False,0,774
4,SKSGS,16,2,652,Correct,0,755
4,ZYZYZ,15,1,690,Correct,0,914
4,QSQSQ,15,1,735,Correct,0,735
4,TZTDT,16,2,629,Correct,0,885
4,JYJGJ,16,2,686,Correct,0,871
4,DYDYD,15,1,631,Correct,0,831
4,LTLCL,16,2,594,Correct,0,875
4,FQFEF,16,2,559,Correct,0,777
DT Practice
1,TKTKT,15,2,842,False,0,913
1,SLSUS,16,2,1170,Correct,0,675
1,VZVGV,7,[1][2],[1027][1571],False,0,870
1,XWXZX,7,[2][3],[931][1171],Correct,0,688
1,ATATA,15,1,1086,Correct,0,787
1,HXZMH,16,2,1544,Correct,0,850
1,TZTZT,7,[1][3],[789][1029],Correct,0,683
1,UOUOU,15,1,1031,Correct,0,886
1,ZTWAW,16,2,1187,Correct,0,797
1,RZRER,7,[2][3],[1242][1482],Correct,0,690
2,JYJDJ,16,2,867,Correct,0,860
2,DWDWD,15,1,921,Correct,0,765
2,GNGNG,7,[1][3],[789][981],Correct,0,674
2,NEZEZ,16,2,906,False,0,753
2,RNROR,7,[2][3],[1250][1490],Correct,0,747
2,QTQNQ,7,[2][3],[856][1192],Correct,0,803
2,HOHON,15,,,False,0,708
2,KPKGK,16,2,1017,Correct,0,855
2,DRDED,16,2,708,Correct,0,899
2,LNLNL,7,[1][3],[810][1449],Correct,0,751
4,GLGLG,15,1,969,Correct,0,831
4,DTDID,16,2,761,Correct,0,779
4,SMSGS,16,2,943,Correct,0,886
4,ZFZYZ,7,[1][2],[746][1130],False,0,758
4,TSTFT,7,[2][3],[941][1213],Correct,0,806
4,OFOFO,7,[1][3],[728][1000],Correct,0,944
4,WYFGW,16,,,False,0,834
4,WYWYW,15,1,964,Correct,0,886
4,MFMCM,7,[2][3],[1102][1358],Correct,0,754
4,HQHEH,16,2,1260,Correct,0,929
Trials
1,D,5,3,8802,New Target,1,911
1,ZNZYZ,161,2,927,Correct,1,818
1,FZFZF,151,1,848,Correct,1,834
1,RKRKR,152,1,841,Correct,1,806
1,RXRNR,161,2,699,Correct,1,950
1,CNCFC,162,2,835,Correct,1,947
1,PDPDP,7,[1][3],[552][824],Correct,1,931
1,CPCFC,14,2,948,Correct,1,835
1,VLVNV,162,2,888,Correct,1,815
1,KFKFK,151,1,812,Correct,1,827
1,ZNZNZ,152,1,928,Correct,1,920
1,KCKPD,235,2,1331,Correct,1,836
1,ZKZFZ,222,2,975,Correct,1,711
1,NRNZN,162,2,1039,Correct,1,813
1,KXKRK,163,2,864,Correct,1,775
1,YPYZY,164,2,755,Correct,1,943
1,FKDKF,223,2,1005,Incorrect,1,860
1,RPRPR,113,1,1004,Correct,1,892
1,VRVKV,161,2,704,Correct,1,729
1,RFRPR,162,2,990,Correct,1,803
1,KVKVK,151,1,790,Correct,1,655
1,YKYVY,161,2,1038,Correct,1,852
1,VDVDV,8,[1][3],[762][1002],Correct,1,949
1,DVZVZ,221,2,677,Incorrect,1,722
1,YFYFY,113,1,931,Correct,1,862
1,ZYZYZ,152,1,1070,Correct,1,654
1,VLVXV,161,2,809,Correct,1,874
1,DPXZX,231,2,1085,Correct,1,939
1,RYRYR,113,2,1371,Incorrect,1,780
1,PDPNP,91,[2][3],[929][1217],Correct,1,714
1,KXKXK,13,,,Incorrect,1,924
1,ZYZYZ,152,1,759,Correct,1,869
1,VKVKV,153,1,1027,Correct,1,778
1,YZYZY,154,2,1448,Incorrect,1,721
1,NLNZN,161,2,1470,Correct,1,727
1,ZNDYZ,233,,,Incorrect,1,735
1,PCPXP,222,2,660,Correct,1,944
1,ZVZFZ,162,2,1031,Correct,1,660
1,RCRZR,163,2,979,Correct,1,895
1,LRLRL,151,1,650,Correct,1,735
1,ZDZDZ,10,[1][3],[696][920],Correct,1,863
1,RNRZR,14,2,1252,Correct,1,862
1,CXCYC,162,2,909,Correct,1,756
1,RCRLR,163,2,831,Correct,1,864
1,FRFRF,151,1,1081,Correct,1,785
1,XFXFX,152,1,828,Correct,1,654
1,RPRLR,161,2,638,Correct,1,946
1,YXYRY,162,2,804,Correct,1,664
1,FYFYF,151,1,734,Correct,1,747
1,YZYVY,161,2,681,Correct,1,797
1,YKYKY,151,1,783,Correct,1,941
1,XRXRX,152,1,1178,Correct,1,764
1,XVXZX,161,2,993,Correct,1,917
1,PDPDP,11,[1][3],[618][969],Correct,1,823
1,ZFZFZ,13,1,816,Correct,1,719
1,PXPXP,152,1,1316,Correct,1,898
1,LYLYL,153,1,701,Correct,1,699
1,NKNKD,225,2,1110,Incorrect,1,870
1,ZNZNZ,113,1,985,Correct,1,672
1,PYPZP,161,2,911,Correct,1,660
1,XPXPX,151,2,1044,Incorrect,1,857
1,VLVLV,152,1,1074,Correct,1,880
1,PKPXP,161,2,852,Correct,1,699
1,FZFZF,151,1,1063,Correct,1,885
1,LDLDL,12,[1][3],[853][1157],Correct,1,934
2,U,5,3,13891,New Target,2,806
2,ZVZFZ,161,2,1185,Correct,2,739
2,FZFZF,151,1,685,Correct,2,765
2,RFRFR,152,1,910,Correct,2,744
2,NZNKN,161,2,976,Correct,2,866
2,FZFNF,162,2,833,Correct,2,850
2,RXRXR,151,1,872,Correct,2,818
2,KRKYK,161,2,813,Correct,2,851
2,NZNPN,162,2,600,Correct,2,775
2,XPXPX,151,1,714,Correct,2,768
2,CUCUC,7,[1][3],[672][1040],Correct,2,859
2,RFRFR,13,2,979,Incorrect,2,706
2,VYVXV,161,2,881,Correct,2,915
2,VDVDV,191,1,923,Correct,2,668
2,ZKZRZ,15,2,692,Correct,2,669
2,XCXCX,151,1,658,Correct,2,751
2,CNCUC,82,[2][2],[716][1516],Incorrect,2,690
2,RCRCR,13,1,721,Correct,2,728
2,ZPZXZ,161,2,642,Correct,2,708
2,FKFYF,162,2,876,Correct,2,947
2,ZFZYZ,163,2,736,Correct,2,874
2,PXPXP,151,1,746,Correct,2,867
2,URCKC,231,2,658,Correct,2,875
2,PCPCP,113,1,960,Correct,2,829
2,XNXNX,152,2,1059,Incorrect,2,805
2,RCRZR,161,2,781,Correct,2,947
2,XVXVX,151,1,698,Correct,2,727
2,NRNRN,152,1,989,Correct,2,708
2,FPFPF,225,1,688,Correct,2,692
2,XVXFX,222,2,755,Correct,2,701
2,PRPRP,151,1,672,Correct,2,733
2,FYFCF,161,2,764,Correct,2,808
2,XUXFX,91,[2],[875],Incorrect,2,920
2,CYCVC,14,2,843,Correct,2,773
2,VDVKV,172,2,674,Correct,2,812
2,YCYCY,15,1,860,Correct,2,933
2,NKNLN,161,2,788,Correct,2,753
2,XPUKX,233,2,843,Correct,2,810
2,ZPZPZ,113,1,944,Correct,2,849
2,KRKRK,152,1,846,Correct,2,944
2,XKXKX,153,1,930,Correct,2,864
2,YUYVY,101,[2][3],[847][1151],Correct,2,872
2,XKXFU,235,2,1173,Correct,2,934
2,NFNFN,113,1,1084,Correct,2,917
2,KDKDK,193,1,1019,Correct,2,825
2,XYXKX,16,2,952,Correct,2,933
2,YZUZY,223,2,1019,Incorrect,2,766
2,KFKVK,222,2,827,Correct,2,794
2,LYLYL,151,1,852,Correct,2,819
2,CXCDC,184,2,863,Incorrect,2,668
2,XZXNX,16,2,1148,Correct,2,669
2,PXPXP,151,1,779,Correct,2,697
2,ZRZYZ,161,2,911,Correct,2,935
2,PUPYP,111,[1][3],[822][1302],Incorrect,2,816
2,RNRNR,14,1,1212,Correct,2,916
2,KDKDK,195,1,1047,Correct,2,803
2,KNKNK,15,1,866,Correct,2,919
2,PRPKP,161,2,885,Correct,2,937
2,UNYNY,221,2,1360,Incorrect,2,662
2,NYNYN,113,1,1585,Correct,2,927
2,YXYXY,152,1,847,Incorrect,2,717
2,RDRDR,196,1,939,Correct,2,681
2,FCFCF,15,1,673,Correct,2,714
