Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1019,Correct,0,691
1,DLDUD,16,2,605,Correct,0,654
1,PDPGP,16,2,813,Correct,0,714
1,MWMWM,15,1,824,Correct,0,702
1,FTFTF,15,1,607,Correct,0,687
1,AXAMA,16,2,623,Correct,0,756
1,RYRGR,16,2,656,Correct,0,765
1,DODOD,15,1,554,Correct,0,852
1,QTQAQ,16,2,541,Correct,0,694
1,YEYEY,15,1,652,Correct,0,826
2,GYGDG,16,2,669,Correct,0,724
2,SWSWS,15,1,514,Correct,0,926
2,HLHUH,16,2,562,Correct,0,830
2,DEDED,15,1,480,Correct,0,841
2,ZPZOZ,16,2,477,Correct,0,934
2,ATATA,15,1,460,Correct,0,872
2,QOQOQ,15,2,403,False,0,691
2,FPFGF,16,2,749,Correct,0,681
2,TRTET,16,2,662,Correct,0,772
2,DQDQD,15,1,437,Correct,0,740
AT Practice
1,TKTKT,15,1,672,Correct,0,730
1,SLSUS,16,2,615,Correct,0,840
1,VZVGV,7,2,755,False,0,817
1,XWXZX,7,3,793,Correct,0,849
1,ATATA,15,1,642,Correct,0,743
1,HXZMH,16,2,958,Correct,0,826
1,TZTZT,7,3,843,Correct,0,843
1,UOUOU,15,1,557,Correct,0,887
1,ZTWAW,16,2,587,Correct,0,874
1,RZRER,7,3,775,Correct,0,874
2,JYJDJ,16,2,657,Correct,0,895
2,DWDWD,15,1,530,Correct,0,714
2,GNGNG,7,1,557,False,0,933
2,NEZEZ,16,1,838,Correct,0,925
2,RNROR,7,3,522,Correct,0,818
2,QTQNQ,7,3,609,Correct,0,676
2,HOHON,15,1,670,Correct,0,853
2,KPKGK,16,2,667,Correct,0,728
2,DRDED,16,1,705,False,0,915
2,LNLNL,7,3,666,Correct,0,840
4,GLGLG,15,1,699,Correct,0,727
4,DTDID,16,2,736,Correct,0,925
4,SMSGS,16,2,747,Correct,0,697
4,ZFZYZ,7,3,648,Correct,0,733
4,TSTFT,7,3,727,Correct,0,686
4,OFOFO,7,3,649,Correct,0,950
4,WYFGW,16,2,830,Correct,0,933
4,WYWYW,15,1,657,Correct,0,848
4,MFMCM,7,3,464,Correct,0,764
4,HQHEH,16,2,677,Correct,0,706
Trials
1,D,5,3,49683,New Target,1,758
1,ZNZYZ,161,2,781,Correct,1,777
1,FZFZF,151,1,626,Correct,1,907
1,RKRKR,152,1,652,Correct,1,949
1,RXRNR,161,2,639,Correct,1,693
1,CNCFC,162,2,849,Correct,1,740
1,PDPDP,7,1,778,Incorrect,1,768
1,CPCFC,14,2,658,Correct,1,823
1,VLVNV,162,2,689,Correct,1,845
1,KFKFK,151,1,730,Correct,1,906
1,ZNZNZ,152,1,763,Correct,1,716
1,KCKPD,235,2,665,Correct,1,743
1,ZKZFZ,222,2,772,Correct,1,901
1,NRNZN,162,2,848,Correct,1,792
1,KXKRK,163,2,628,Correct,1,909
1,YPYZY,164,2,631,Correct,1,684
1,FKDKF,223,1,857,Correct,1,718
1,RPRPR,113,1,749,Correct,1,852
1,VRVKV,161,2,677,Correct,1,874
1,RFRPR,162,2,674,Correct,1,862
1,KVKVK,151,1,790,Correct,1,709
1,YKYVY,161,2,636,Correct,1,871
1,VDVDV,8,1,658,Incorrect,1,666
1,DVZVZ,221,2,586,Incorrect,1,941
1,YFYFY,113,1,776,Correct,1,930
1,ZYZYZ,152,1,596,Correct,1,767
1,VLVXV,161,2,617,Correct,1,711
1,DPXZX,231,2,669,Correct,1,718
1,RYRYR,113,1,888,Correct,1,909
1,PDPNP,91,2,780,Incorrect,1,826
1,KXKXK,13,1,961,Correct,1,912
1,ZYZYZ,152,1,634,Correct,1,683
1,VKVKV,153,1,844,Correct,1,729
1,YZYZY,154,1,687,Correct,1,936
1,NLNZN,161,2,719,Correct,1,682
1,ZNDYZ,233,2,701,Correct,1,743
1,PCPXP,222,2,630,Correct,1,869
1,ZVZFZ,162,2,593,Correct,1,916
1,RCRZR,163,2,689,Correct,1,821
1,LRLRL,151,1,705,Correct,1,727
1,ZDZDZ,10,3,473,Correct,1,899
1,RNRZR,14,2,717,Correct,1,862
1,CXCYC,162,2,829,Correct,1,693
1,RCRLR,163,2,657,Correct,1,884
1,FRFRF,151,1,1140,Correct,1,694
1,XFXFX,152,1,672,Correct,1,796
1,RPRLR,161,2,825,Correct,1,943
1,YXYRY,162,2,622,Correct,1,910
1,FYFYF,151,1,698,Correct,1,909
1,YZYVY,161,2,532,Correct,1,898
1,YKYKY,151,1,654,Correct,1,672
1,XRXRX,152,1,691,Correct,1,651
1,XVXZX,161,2,509,Correct,1,852
1,PDPDP,11,3,475,Correct,1,919
1,ZFZFZ,13,1,599,Correct,1,688
1,PXPXP,152,1,628,Correct,1,918
1,LYLYL,153,1,584,Correct,1,727
1,NKNKD,225,1,662,Correct,1,943
1,ZNZNZ,113,1,662,Correct,1,738
1,PYPZP,161,2,688,Correct,1,886
1,XPXPX,151,1,657,Correct,1,684
1,VLVLV,152,1,638,Correct,1,815
1,PKPXP,161,2,734,Correct,1,778
1,FZFZF,151,1,556,Correct,1,745
1,LDLDL,12,1,536,Incorrect,1,944
2,U,5,3,2691,New Target,2,883
2,ZVZFZ,161,2,701,Correct,2,812
2,FZFZF,151,1,673,Correct,2,660
2,RFRFR,152,1,539,Correct,2,888
2,NZNKN,161,2,686,Correct,2,878
2,FZFNF,162,2,823,Correct,2,813
2,RXRXR,151,1,799,Correct,2,840
2,KRKYK,161,2,685,Correct,2,650
2,NZNPN,162,2,693,Correct,2,949
2,XPXPX,151,1,609,Correct,2,817
2,CUCUC,7,3,658,Correct,2,823
2,RFRFR,13,1,675,Correct,2,706
2,VYVXV,161,2,576,Correct,2,891
2,VDVDV,191,1,663,Correct,2,678
2,ZKZRZ,15,2,698,Correct,2,683
2,XCXCX,151,1,678,Correct,2,853
2,CNCUC,82,3,657,Correct,2,904
2,RCRCR,13,1,781,Correct,2,839
2,ZPZXZ,161,2,697,Correct,2,748
2,FKFYF,162,2,742,Correct,2,804
2,ZFZYZ,163,2,740,Correct,2,727
2,PXPXP,151,1,675,Correct,2,740
2,URCKC,231,2,1101,Correct,2,927
2,PCPCP,113,1,736,Correct,2,673
2,XNXNX,152,2,1056,Incorrect,2,673
2,RCRZR,161,2,676,Correct,2,668
2,XVXVX,151,1,579,Correct,2,772
2,NRNRN,152,1,612,Correct,2,781
2,FPFPF,225,1,553,Correct,2,696
2,XVXFX,222,2,541,Correct,2,726
2,PRPRP,151,1,650,Correct,2,938
2,FYFCF,161,2,659,Correct,2,914
2,XUXFX,91,3,480,Correct,2,824
2,CYCVC,14,2,737,Correct,2,940
2,VDVKV,172,2,730,Correct,2,864
2,YCYCY,15,1,583,Correct,2,750
2,NKNLN,161,2,700,Correct,2,767
2,XPUKX,233,2,611,Correct,2,923
2,ZPZPZ,113,1,736,Correct,2,906
2,KRKRK,152,1,786,Correct,2,697
2,XKXKX,153,1,955,Correct,2,841
2,YUYVY,101,3,700,Correct,2,831
2,XKXFU,235,2,1102,Correct,2,708
2,NFNFN,113,1,665,Correct,2,837
2,KDKDK,193,1,615,Correct,2,829
2,XYXKX,16,2,675,Correct,2,932
2,YZUZY,223,1,612,Correct,2,676
2,KFKVK,222,2,659,Correct,2,828
2,LYLYL,151,2,705,Incorrect,2,810
2,CXCDC,184,2,701,Incorrect,2,811
2,XZXNX,16,2,787,Correct,2,946
2,PXPXP,151,1,691,Correct,2,660
2,ZRZYZ,161,2,621,Correct,2,875
2,PUPYP,111,3,505,Correct,2,879
2,RNRNR,14,1,864,Correct,2,722
2,KDKDK,195,1,618,Correct,2,744
2,KNKNK,15,1,529,Correct,2,675
2,PRPKP,161,2,633,Correct,2,734
2,UNYNY,221,1,683,Correct,2,684
2,NYNYN,113,2,636,Incorrect,2,729
2,YXYXY,152,1,648,Incorrect,2,947
2,RDRDR,196,1,534,Correct,2,818
2,FCFCF,15,1,507,Correct,2,777
2,ZKZKZ,152,1,524,Correct,2,905
2,ZUZUZ,12,3,498,Correct,2,781
3,E,5,3,3276,New Target,3,732
3,YZYZY,151,1,629,Correct,3,835
3,VFVNV,161,2,740,Correct,3,789
3,KYKYK,151,1,581,Correct,3,665
3,NKNKN,152,1,697,Correct,3,775
3,XVXNX,161,2,643,Correct,3,946
3,RERFR,71,3,760,Correct,3,709
3,XNXNX,13,1,644,Correct,3,736
3,NXNXN,152,1,847,Correct,3,883
3,ZLZNZ,161,2,1405,Correct,3,672
3,CUCNC,171,2,901,Correct,3,666
3,FYFRF,16,2,1116,Correct,3,754
3,ZLZLZ,151,1,606,Correct,3,678
3,YZYZY,152,1,575,Correct,3,815
3,CYCYC,153,1,629,Correct,3,655
3,VUVUV,192,1,651,Correct,3,735
3,PXPRP,16,2,666,Correct,3,802
