Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,844
1,DLDUD,16,2,1198,Correct,0,823
1,PDPGP,16,2,997,Correct,0,731
1,MWMWM,15,1,743,Correct,0,654
1,FTFTF,15,1,755,Correct,0,676
1,AXAMA,16,2,1286,Correct,0,878
1,RYRGR,16,2,778,Correct,0,753
1,DODOD,15,1,820,Correct,0,685
1,QTQAQ,16,1,855,False,0,875
1,YEYEY,15,1,805,Correct,0,946
2,GYGDG,16,2,1303,Correct,0,943
2,SWSWS,15,1,709,Correct,0,917
2,HLHUH,16,2,958,Correct,0,867
2,DEDED,15,1,627,Correct,0,680
2,ZPZOZ,16,2,849,Correct,0,780
2,ATATA,15,1,665,Correct,0,691
2,QOQOQ,15,1,834,Correct,0,798
2,FPFGF,16,2,831,Correct,0,942
2,TRTET,16,2,688,Correct,0,903
2,DQDQD,15,1,782,Correct,0,691
4,PLPLP,15,1,825,Correct,0,837
4,ATAIA,16,2,765,Correct,0,807
4,SKSGS,16,2,1507,Correct,0,833
4,ZYZYZ,15,1,700,Correct,0,878
4,QSQSQ,15,1,776,Correct,0,717
4,TZTDT,16,2,943,Correct,0,820
4,JYJGJ,16,2,676,Correct,0,680
4,DYDYD,15,1,590,Correct,0,837
4,LTLCL,16,2,730,Correct,0,936
4,FQFEF,16,2,653,Correct,0,938
1,SKSKS,15,1,663,Correct,0,832
1,DLDUD,16,2,589,Correct,0,847
1,PDPGP,16,2,678,Correct,0,944
1,MWMWM,15,1,624,Correct,0,814
1,FTFTF,15,1,868,Correct,0,661
1,AXAMA,16,2,598,Correct,0,808
1,RYRGR,16,2,662,Correct,0,686
1,DODOD,15,1,512,Correct,0,815
1,QTQAQ,16,2,718,Correct,0,920
1,YEYEY,15,1,663,Correct,0,788
2,GYGDG,16,2,803,Correct,0,917
2,SWSWS,15,1,570,Correct,0,834
2,HLHUH,16,2,631,Correct,0,808
2,DEDED,15,1,599,Correct,0,744
2,ZPZOZ,16,2,586,Correct,0,680
2,ATATA,15,1,621,Correct,0,670
2,QOQOQ,15,1,633,Correct,0,842
2,FPFGF,16,2,769,Correct,0,853
2,TRTET,16,2,823,Correct,0,824
2,DQDQD,15,1,927,Correct,0,734
DT Practice
1,TKTKT,15,1,1300,Correct,0,871
1,SLSUS,16,,,False,0,889
1,VZVGV,7,[2],[1093],False,0,936
1,XWXZX,7,,,False,0,774
1,ATATA,15,1,1144,Correct,0,702
1,HXZMH,16,2,1178,Correct,0,950
1,TZTZT,7,[1][3],[1026][1153],Correct,0,790
1,UOUOU,15,2,872,False,0,686
1,ZTWAW,16,2,936,Correct,0,905
1,RZRER,7,[2],[1126],False,0,883
2,JYJDJ,16,2,889,Correct,0,841
2,DWDWD,15,2,1174,False,0,938
2,GNGNG,7,[1][3],[842][890],Correct,0,775
2,NEZEZ,16,1,1049,Correct,0,849
2,RNROR,7,[2],[796],False,0,671
2,QTQNQ,7,[1][2],[1101][1308],False,0,739
2,HOHON,15,2,1032,False,0,784
2,KPKGK,16,2,935,Correct,0,709
2,DRDED,16,2,869,Correct,0,881
2,LNLNL,7,[1][3],[984][1128],Correct,0,865
4,GLGLG,15,2,926,False,0,834
4,DTDID,16,2,813,Correct,0,867
4,SMSGS,16,2,774,Correct,0,760
4,ZFZYZ,7,[1][3],[1034][1242],False,0,937
4,TSTFT,7,[2][3],[1511][1591],Correct,0,798
4,OFOFO,7,[1][3],[1001][1017],Correct,0,789
4,WYFGW,16,2,925,Correct,0,827
4,WYWYW,15,1,1241,Correct,0,935
4,MFMCM,7,[1][2],[1025][1505],False,0,843
4,HQHEH,16,2,1046,Correct,0,678
1,TKTKT,15,1,1347,Correct,0,792
1,SLSUS,16,2,887,Correct,0,732
1,VZVGV,7,[2][3],[1054][1230],Correct,0,706
1,XWXZX,7,[1][3],[932][1060],False,0,806
1,ATATA,15,1,939,Correct,0,948
1,HXZMH,16,2,1319,Correct,0,945
1,TZTZT,7,[1][3],[756][852],Correct,0,858
1,UOUOU,15,1,895,Correct,0,925
1,ZTWAW,16,2,887,Correct,0,684
1,RZRER,7,[1][2],[919][1239],False,0,736
Trials
1,D,5,3,4542,New Target,1,749
1,ZNZYZ,161,2,1091,Correct,1,843
1,FZFZF,151,1,1461,Correct,1,722
1,RKRKR,152,1,1209,Correct,1,730
1,RXRNR,161,2,814,Correct,1,874
1,CNCFC,162,2,933,Correct,1,823
1,PDPDP,7,,,Incorrect,1,813
1,CPCFC,14,2,748,Correct,1,770
1,VLVNV,162,2,660,Correct,1,906
1,KFKFK,151,2,1118,Incorrect,1,881
1,ZNZNZ,152,1,1230,Correct,1,666
1,KCKPD,235,2,852,Correct,1,867
1,ZKZFZ,222,2,938,Correct,1,856
1,NRNZN,162,2,832,Correct,1,666
1,KXKRK,163,2,774,Correct,1,835
1,YPYZY,164,2,750,Correct,1,889
1,FKDKF,223,2,773,Incorrect,1,932
1,RPRPR,113,1,960,Correct,1,830
1,VRVKV,161,2,941,Correct,1,942
1,RFRPR,162,2,909,Correct,1,883
1,KVKVK,151,1,1001,Correct,1,680
1,YKYVY,161,2,1098,Correct,1,759
1,VDVDV,8,[1][3],[797][909],Correct,1,698
1,DVZVZ,221,1,986,Correct,1,811
1,YFYFY,113,1,1022,Correct,1,787
1,ZYZYZ,152,1,738,Correct,1,684
1,VLVXV,161,2,733,Correct,1,843
1,DPXZX,231,2,796,Correct,1,730
1,RYRYR,113,1,824,Correct,1,790
1,PDPNP,91,[2][3],[1027][1155],Correct,1,855
1,KXKXK,13,1,1105,Correct,1,847
1,ZYZYZ,152,1,716,Correct,1,843
1,VKVKV,153,1,1114,Correct,1,799
1,YZYZY,154,1,768,Correct,1,925
1,NLNZN,161,2,768,Correct,1,720
1,ZNDYZ,233,2,727,Correct,1,902
1,PCPXP,222,2,695,Correct,1,713
1,ZVZFZ,162,2,619,Correct,1,651
1,RCRZR,163,2,615,Correct,1,875
1,LRLRL,151,1,726,Correct,1,804
1,ZDZDZ,10,[1][3],[771][850],Correct,1,701
1,RNRZR,14,2,654,Correct,1,938
1,CXCYC,162,2,673,Correct,1,737
1,RCRLR,163,2,605,Correct,1,886
1,FRFRF,151,1,783,Correct,1,719
1,XFXFX,152,1,831,Correct,1,658
1,RPRLR,161,2,757,Correct,1,905
1,YXYRY,162,2,1172,Correct,1,662
1,FYFYF,151,1,812,Correct,1,909
1,YZYVY,161,2,792,Correct,1,722
1,YKYKY,151,1,752,Correct,1,798
1,XRXRX,152,1,857,Correct,1,861
1,XVXZX,161,2,1028,Correct,1,718
1,PDPDP,11,[1][3],[758][902],Correct,1,918
1,ZFZFZ,13,1,963,Correct,1,707
1,PXPXP,152,1,707,Correct,1,863
1,LYLYL,153,1,689,Correct,1,798
1,NKNKD,225,1,758,Correct,1,656
1,ZNZNZ,113,1,785,Correct,1,756
1,PYPZP,161,2,892,Correct,1,753
1,XPXPX,151,1,656,Correct,1,811
1,VLVLV,152,1,686,Correct,1,876
1,PKPXP,161,1,695,Incorrect,1,879
1,FZFZF,151,1,788,Correct,1,785
1,LDLDL,12,[1][3],[845][893],Correct,1,849
2,U,5,3,751,New Target,2,937
2,ZVZFZ,161,2,1409,Correct,2,882
2,FZFZF,151,1,838,Correct,2,733
2,RFRFR,152,1,765,Correct,2,839
2,NZNKN,161,2,955,Correct,2,695
2,FZFNF,162,2,849,Correct,2,760
2,RXRXR,151,1,836,Correct,2,946
2,KRKYK,161,2,952,Correct,2,874
2,NZNPN,162,2,781,Correct,2,789
2,XPXPX,151,1,953,Correct,2,752
2,CUCUC,7,[1][3],[985][1033],Correct,2,730
2,RFRFR,13,1,863,Correct,2,697
2,VYVXV,161,1,888,Incorrect,2,797
2,VDVDV,191,2,1304,Incorrect,2,924
2,ZKZRZ,15,2,1339,Correct,2,855
2,XCXCX,151,1,980,Correct,2,751
2,CNCUC,82,[2][3],[1252][1396],Correct,2,695
2,RCRCR,13,1,808,Correct,2,757
2,ZPZXZ,161,2,691,Correct,2,752
2,FKFYF,162,2,768,Correct,2,782
2,ZFZYZ,163,2,778,Correct,2,748
2,PXPXP,151,1,933,Correct,2,748
2,URCKC,231,2,941,Correct,2,738
2,PCPCP,113,1,779,Correct,2,914
2,XNXNX,152,1,885,Correct,2,776
2,RCRZR,161,2,1020,Correct,2,712
2,XVXVX,151,1,1001,Correct,2,925
2,NRNRN,152,1,790,Correct,2,882
2,FPFPF,225,1,731,Correct,2,897
2,XVXFX,222,2,826,Correct,2,695
2,PRPRP,151,1,704,Correct,2,894
2,FYFCF,161,2,1231,Correct,2,758
2,XUXFX,91,[2][3],[1108][1268],Correct,2,654
2,CYCVC,14,2,1041,Correct,2,726
2,VDVKV,172,2,1092,Correct,2,704
2,YCYCY,15,1,830,Correct,2,887
