Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,865
1,DLDUD,16,2,1387,Correct,0,790
1,PDPGP,16,1,651,False,0,733
1,MWMWM,15,1,1426,Correct,0,921
1,FTFTF,15,1,799,Correct,0,815
1,AXAMA,16,2,1088,Correct,0,883
1,RYRGR,16,2,982,Correct,0,893
1,DODOD,15,1,617,Correct,0,707
1,QTQAQ,16,2,802,Correct,0,860
1,YEYEY,15,1,597,Correct,0,853
2,GYGDG,16,2,752,Correct,0,652
2,SWSWS,15,1,723,Correct,0,938
2,HLHUH,16,2,716,Correct,0,736
2,DEDED,15,1,484,Correct,0,821
2,ZPZOZ,16,2,643,Correct,0,895
2,ATATA,15,1,830,Correct,0,875
2,QOQOQ,15,1,868,Correct,0,863
2,FPFGF,16,2,819,Correct,0,787
2,TRTET,16,2,854,Correct,0,871
2,DQDQD,15,1,617,Correct,0,832
AT Practice
1,TKTKT,15,2,803,False,0,723
1,SLSUS,16,2,1156,Correct,0,852
1,VZVGV,7,3,1272,Correct,0,944
1,XWXZX,7,2,905,False,0,914
1,ATATA,15,1,1483,Correct,0,796
1,HXZMH,16,2,658,Correct,0,873
1,TZTZT,7,3,506,Correct,0,857
1,UOUOU,15,1,831,Correct,0,728
1,ZTWAW,16,2,1336,Correct,0,657
1,RZRER,7,3,676,Correct,0,939
2,JYJDJ,16,2,740,Correct,0,738
2,DWDWD,15,1,530,Correct,0,663
2,GNGNG,7,3,813,Correct,0,910
2,NEZEZ,16,1,1029,Correct,0,719
2,RNROR,7,2,918,False,0,679
2,QTQNQ,7,3,1015,Correct,0,818
2,HOHON,15,1,763,Correct,0,652
2,KPKGK,16,3,1136,False,0,910
2,DRDED,16,,,False,0,766
2,LNLNL,7,3,870,Correct,0,746
4,GLGLG,15,1,960,Correct,0,846
4,DTDID,16,3,673,False,0,689
4,SMSGS,16,2,1226,Correct,0,923
4,ZFZYZ,7,3,541,Correct,0,814
4,TSTFT,7,3,832,Correct,0,711
4,OFOFO,7,3,571,Correct,0,653
4,WYFGW,16,2,873,Correct,0,860
4,WYWYW,15,2,878,False,0,718
4,MFMCM,7,3,982,Correct,0,709
4,HQHEH,16,2,753,Correct,0,903
Trials
1,D,5,3,1259,New Target,1,847
1,BNBYB,161,2,958,Correct,1,852
1,FBFBF,151,1,1070,Correct,1,944
1,RKRKR,152,1,846,Correct,1,753
1,QSQNQ,161,2,699,Correct,1,668
1,CTCFC,162,3,841,Incorrect,1,776
1,PDPDP,7,3,1009,Correct,1,850
1,OPOFO,14,2,722,Correct,1,791
1,HLHNH,162,2,890,Correct,1,919
1,MFMFM,151,2,838,Incorrect,1,661
1,BTBTB,152,1,685,Correct,1,842
1,MCMPD,235,2,593,Correct,1,664
1,BMBFB,222,2,692,Correct,1,762
1,NTNZN,162,2,627,Correct,1,744
1,MXMRM,163,2,729,Correct,1,726
1,APABA,164,2,607,Correct,1,935
1,FMDMF,223,2,635,Incorrect,1,888
1,QPQPQ,113,1,561,Correct,1,669
1,VQVMV,161,2,648,Correct,1,680
1,RERPR,162,2,582,Correct,1,814
1,KVKVK,151,1,634,Correct,1,707
1,AKAHA,161,2,812,Correct,1,797
1,VDVDV,8,1,490,Incorrect,1,690
1,DUGUG,221,1,637,Correct,1,862
1,AFAFA,113,1,624,Correct,1,711
1,GYGYG,152,1,529,Correct,1,770
1,VXVSV,161,2,564,Correct,1,842
1,DOWGW,231,2,889,Correct,1,689
1,QYQYQ,113,1,531,Correct,1,759
1,ODONO,91,3,618,Correct,1,721
1,MSMSM,13,1,631,Correct,1,866
1,GYGYG,152,1,545,Correct,1,914
1,UMUMU,153,1,479,Correct,1,904
1,BZBZB,154,1,520,Correct,1,721
1,NTNBN,161,2,665,Correct,1,885
1,GNDYG,233,2,648,Correct,1,770
1,OCOSO,222,2,753,Correct,1,916
1,BHBFB,162,2,753,Correct,1,692
1,QCQBQ,163,2,670,Correct,1,707
1,LQLQL,151,1,813,Correct,1,771
1,ZDZDZ,10,3,645,Correct,1,788
1,QNQZQ,14,2,692,Correct,1,854
1,CSCYC,162,2,636,Correct,1,913
1,RCRLR,163,2,697,Correct,1,904
1,FRFRF,151,1,747,Correct,1,655
1,WFWFW,152,1,537,Correct,1,693
1,QOQLQ,161,2,602,Correct,1,832
1,AWAQA,162,2,566,Correct,1,940
1,EAEAE,151,1,589,Correct,1,680
1,AGAUA,161,2,558,Correct,1,792
1,YMYMY,151,1,445,Correct,1,846
1,XQXQX,152,1,502,Correct,1,839
1,SHSGS,161,2,584,Correct,1,852
1,PDPDP,11,1,505,Incorrect,1,843
1,ZGZGZ,13,1,608,Correct,1,732
1,OXOXO,152,1,513,Correct,1,788
1,LYLYL,153,1,553,Correct,1,651
1,NKNKD,225,1,742,Correct,1,937
1,GNGNG,113,3,705,Incorrect,1,837
1,OYOBO,161,2,701,Correct,1,798
1,SOSOS,151,1,594,Correct,1,655
1,VHVHV,152,1,582,Correct,1,682
1,OKOXO,161,2,852,Correct,1,909
1,EZEZE,151,1,567,Correct,1,943
1,LDLDL,12,3,726,Correct,1,925
2,U,5,3,1121,New Target,2,878
2,BVBEB,161,2,649,Correct,2,710
2,FBFBF,151,1,523,Correct,2,676
2,RFRFR,152,1,700,Correct,2,904
2,NBNKN,161,2,540,Correct,2,710
2,MKMNM,162,2,716,Correct,2,888
2,QXQXQ,151,1,652,Correct,2,704
2,MQMYM,161,2,655,Correct,2,682
2,TGTPT,162,2,631,Correct,2,940
2,XOXOX,151,1,563,Correct,2,898
2,CUCUC,7,3,764,Correct,2,665
2,RFRFR,13,1,604,Correct,2,653
2,VYVSV,161,2,555,Correct,2,879
2,VDVDV,191,1,511,Correct,2,725
2,GKGQG,15,2,602,Correct,2,668
2,SCSCS,151,1,718,Correct,2,776
2,CTCUC,82,3,758,Correct,2,872
2,RCRCR,13,1,577,Correct,2,815
2,BOBXB,161,2,518,Correct,2,754
2,FMFAF,162,1,727,Incorrect,2,813
2,BEBAB,163,2,767,Correct,2,888
2,PWPWP,151,1,623,Correct,2,662
2,UQCKC,231,2,701,Correct,2,846
2,OCOCO,113,1,669,Correct,2,763
2,TNTNT,152,1,813,Correct,2,752
2,QCQGQ,161,2,778,Correct,2,657
2,WVWVW,151,1,787,Correct,2,834
2,TQTQT,152,1,557,Correct,2,804
2,FOFOF,225,1,583,Correct,2,673
2,WVWFW,222,2,693,Correct,2,889
2,SWSWS,151,1,484,Correct,2,704
2,FYFCF,161,2,650,Correct,2,749
2,SUSWS,91,2,447,Incorrect,2,675
2,CACHC,14,2,618,Correct,2,750
2,VDVKV,172,2,506,Correct,2,802
2,YCYCY,15,1,483,Correct,2,712
2,NMNTN,161,2,523,Correct,2,756
2,XOUKX,233,2,554,Correct,2,923
2,BPBPB,113,2,552,Incorrect,2,893
2,MRMRM,152,1,717,Correct,2,686
2,XMXMX,153,1,827,Correct,2,811
2,AUAHA,101,2,557,Incorrect,2,923
2,XKXEU,235,2,835,Correct,2,727
2,TFTFT,113,1,636,Correct,2,778
2,MDMDM,193,1,1278,Correct,2,768
2,WYWMW,16,2,679,Correct,2,784
2,AZUZA,223,3,1128,Incorrect,2,740
2,KEKHK,222,2,677,Correct,2,828
2,LALAL,151,1,596,Correct,2,786
2,CWCDC,184,2,531,Incorrect,2,882
2,SGSTS,16,2,833,Correct,2,904
2,PXPXP,151,1,637,Correct,2,655
2,GRGYG,161,2,792,Correct,2,883
2,PUPOP,111,3,622,Correct,2,937
2,RNRNR,14,1,940,Correct,2,837
2,KDKDK,195,1,775,Correct,2,652
2,KTKTK,15,1,805,Correct,2,759
2,OROKO,161,1,658,Incorrect,2,705
2,UNANA,221,1,1460,Correct,2,705
2,TATAT,113,1,667,Correct,2,650
2,AWAWA,152,1,789,Incorrect,2,918
2,RDRDR,196,1,720,Correct,2,739
2,FCFCF,15,1,604,Correct,2,795
2,ZMZMZ,152,1,616,Correct,2,916
2,BUBUB,12,3,568,Correct,2,801
3,E,5,3,1253,New Target,3,877
3,YZYZY,151,1,640,Correct,3,735
3,VFVNV,161,2,768,Correct,3,791
3,KAKAK,151,1,636,Correct,3,719
3,TKTKT,152,1,557,Correct,3,814
3,WHWTW,161,2,644,Correct,3,689
3,QEQFQ,71,3,805,Correct,3,814
3,XNXNX,13,1,1406,Correct,3,829
3,TXTXT,152,1,641,Correct,3,811
3,GLGNG,161,2,1060,Correct,3,775
3,CUCTC,171,2,757,Correct,3,667
3,FAFQF,16,2,851,Correct,3,718
3,ZLZLZ,151,1,730,Correct,3,821
3,YZYZY,152,1,550,Correct,3,768
3,CYCYC,153,1,891,Correct,3,776
3,HUHUH,192,1,1202,Correct,3,760
3,OSORO,16,2,993,Correct,3,663
3,YOYOY,151,1,551,Correct,3,662
