Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,666,Correct,0,946
1,DLDUD,16,2,789,Correct,0,769
1,PDPGP,16,2,872,Correct,0,663
1,MWMWM,15,1,782,Correct,0,757
1,FTFTF,15,1,769,Correct,0,831
1,AXAMA,16,2,685,Correct,0,684
1,RYRGR,16,2,862,Correct,0,745
1,DODOD,15,1,823,Correct,0,799
1,QTQAQ,16,2,704,Correct,0,895
1,YEYEY,15,1,639,Correct,0,677
AT Practice
1,TKTKT,15,1,983,Correct,0,738
1,SLSUS,16,2,716,Correct,0,842
1,VZVGV,7,1,703,False,0,778
1,XWXZX,7,3,794,Correct,0,832
1,ATATA,15,1,934,Correct,0,752
1,HXZMH,16,2,953,Correct,0,833
1,TZTZT,7,3,890,Correct,0,926
1,UOUOU,15,1,861,Correct,0,869
1,ZTWAW,16,2,977,Correct,0,822
1,RZRER,7,3,1411,Correct,0,721
2,JYJDJ,16,2,1399,Correct,0,950
2,DWDWD,15,1,906,Correct,0,734
2,GNGNG,7,3,796,Correct,0,878
2,NEZEZ,16,1,969,Correct,0,709
2,RNROR,7,3,965,Correct,0,939
2,QTQNQ,7,3,1015,Correct,0,804
2,HOHON,15,1,701,Correct,0,683
2,KPKGK,16,2,1308,Correct,0,736
2,DRDED,16,2,1164,Correct,0,921
2,LNLNL,7,3,712,Correct,0,885
Trials
1,D,5,3,4547,New Target,1,947
1,BYBYB,151,1,912,Correct,1,675
1,FBFBF,152,1,766,Correct,1,759
1,RKRKR,153,2,841,Incorrect,1,869
1,QSQNQ,161,2,852,Correct,1,911
1,CTCFC,162,2,863,Correct,1,700
1,PDPNP,71,3,864,Correct,1,770
1,OPOFO,14,2,1215,Correct,1,654
1,HLHNH,162,2,922,Correct,1,783
1,MFMFM,151,1,1125,Correct,1,860
1,BTBTB,152,1,871,Correct,1,686
1,MCMPD,235,2,863,Correct,1,903
1,BMBFB,222,2,816,Correct,1,944
1,NTNZN,162,2,801,Correct,1,937
1,MXMRM,163,2,773,Correct,1,950
1,APABA,164,2,1099,Correct,1,678
1,FMDMF,223,2,906,Incorrect,1,724
1,QPQPQ,111,1,860,Correct,1,651
1,VQVMV,161,2,784,Correct,1,930
1,RERPR,162,2,917,Correct,1,876
1,KVKVK,151,1,947,Correct,1,765
1,AKAHA,161,2,926,Correct,1,734
1,VDVDV,8,3,729,Correct,1,814
1,DUGUG,221,2,1028,Incorrect,1,845
1,AFAFA,111,1,843,Correct,1,763
1,GYGYG,152,1,692,Correct,1,715
1,VXVSV,161,2,959,Correct,1,872
1,DOWGW,231,2,1344,Correct,1,906
1,QYQYQ,111,1,737,Correct,1,861
1,ODONO,91,3,1013,Correct,1,782
1,MSMSM,13,1,860,Correct,1,675
1,GYGYG,152,1,855,Correct,1,751
1,UMUMU,153,1,770,Correct,1,657
1,BZBZB,154,1,730,Correct,1,660
1,NTNBN,161,2,812,Correct,1,678
1,GNDYG,233,2,1333,Correct,1,835
1,OCOSO,222,2,870,Correct,1,888
1,BHBFB,162,2,849,Correct,1,920
1,QCQBQ,163,2,739,Correct,1,898
1,LQLQL,151,1,837,Correct,1,805
1,ZDZDZ,10,3,811,Correct,1,932
1,QNQZQ,14,2,1433,Correct,1,886
1,CSCYC,162,2,781,Correct,1,746
1,RCRLR,163,2,788,Correct,1,651
1,FRFRF,151,1,770,Correct,1,889
1,WFWFW,152,1,829,Correct,1,857
1,QOQLQ,161,2,1018,Correct,1,685
1,AWAQA,162,2,1264,Correct,1,793
1,EAEAE,151,1,1081,Correct,1,845
1,AGAUA,161,2,916,Correct,1,900
1,YMYMY,151,1,997,Correct,1,925
1,XQXQX,152,1,761,Correct,1,897
1,SHSGS,161,2,831,Correct,1,745
1,PDPDP,11,3,877,Correct,1,824
1,ZGZGZ,13,1,783,Correct,1,929
1,OXOXO,152,1,1004,Correct,1,809
1,LYLYL,153,1,1179,Correct,1,879
1,NKNKD,225,1,962,Correct,1,929
1,GNGNG,111,1,865,Correct,1,663
1,OYOBO,161,2,759,Correct,1,791
1,SOSOS,151,1,752,Correct,1,886
1,VHVHV,152,1,754,Correct,1,875
1,OKOXO,161,2,833,Correct,1,751
1,EZEZE,151,,,Incorrect,1,891
1,LDLDL,12,3,1092,Correct,1,736
2,U,5,3,1210,New Target,2,947
2,BVBEB,161,,,Incorrect,2,882
2,FBFBF,151,1,1391,Correct,2,751
2,RFRFR,152,1,980,Correct,2,804
2,NBNKN,161,2,929,Correct,2,943
2,MKMNM,162,2,1074,Correct,2,699
2,QXQXQ,151,1,1339,Correct,2,778
2,MQMYM,161,2,819,Correct,2,862
2,TGTPT,162,2,1076,Correct,2,824
2,XOXOX,151,1,1302,Correct,2,879
2,CUCUC,7,1,921,Incorrect,2,906
2,RFRFR,13,1,683,Correct,2,653
2,VYVSV,161,2,763,Correct,2,757
2,BEBAB,162,2,914,Correct,2,743
2,GKGQG,163,2,866,Correct,2,881
2,SCSCS,151,1,697,Correct,2,834
2,CTCUC,82,2,800,Incorrect,2,683
2,RCRCR,13,1,1064,Correct,2,813
2,BOBXB,161,2,780,Correct,2,811
2,FMFAF,162,2,954,Correct,2,945
2,VSVDV,181,2,802,Correct,2,797
2,PWPWP,15,1,865,Correct,2,846
2,UQCKC,231,2,761,Correct,2,858
2,OCOCO,151,1,698,Correct,2,762
2,TNTNT,152,1,902,Correct,2,861
2,QCQGQ,161,2,953,Correct,2,651
2,WVWVW,151,1,1125,Correct,2,759
2,TQTQT,152,1,881,Correct,2,879
2,FOFOF,225,1,1235,Correct,2,941
2,WVWFW,161,2,1382,Correct,2,669
2,SWSWS,151,1,1065,Correct,2,783
2,FYFCF,161,2,728,Correct,2,739
2,SUSWS,91,2,750,Incorrect,2,757
2,CACHC,14,2,1167,Correct,2,670
2,VDVKV,172,2,1217,Correct,2,816
2,YCYCY,15,1,764,Correct,2,928
2,NMNTN,161,2,985,Correct,2,724
2,XOUKX,233,2,930,Correct,2,742
2,BPBPB,151,1,768,Correct,2,728
2,MRMRM,152,1,926,Correct,2,928
2,XMXMX,153,1,1046,Correct,2,660
2,AUAHA,101,2,1149,Incorrect,2,822
2,XKXEU,235,,,Incorrect,2,724
2,TFTFT,151,1,732,Correct,2,775
2,MOMDM,183,2,1289,Correct,2,719
2,WYWMW,16,2,923,Correct,2,887
2,AZUZA,223,3,1087,Incorrect,2,858
2,KEKHK,161,2,932,Correct,2,786
2,LALAL,151,1,948,Correct,2,682
2,CWCDC,184,2,904,Incorrect,2,891
2,SGSTS,16,2,876,Correct,2,891
2,PXPXP,151,1,1415,Correct,2,853
2,GRGYG,161,2,758,Correct,2,930
2,PUPOP,111,2,856,Incorrect,2,850
2,RNRNR,14,1,730,Correct,2,686
2,MDMDM,195,1,1271,Correct,2,905
2,KTKTK,15,1,1057,Correct,2,710
2,OROKO,161,2,1156,Correct,2,906
2,UNANA,221,1,1140,Correct,2,662
2,TATAT,151,1,683,Correct,2,944
2,AWAWA,152,1,699,Incorrect,2,828
2,CTCDC,186,2,895,Incorrect,2,808
2,FCFCF,15,1,746,Correct,2,661
2,ZMZMZ,152,1,944,Correct,2,949
2,BUBUB,12,1,707,Incorrect,2,784
3,E,5,3,7476,New Target,3,778
3,YZYZY,151,,,Incorrect,3,680
3,VFVNV,161,2,1128,Correct,3,918
3,KAKAK,151,1,791,Correct,3,705
3,TKTKT,152,,,Incorrect,3,677
3,WHWTW,161,2,1331,Correct,3,941
3,QEQFQ,71,3,1022,Correct,3,699
3,XNXNX,13,1,1118,Correct,3,846
3,TXTXT,152,2,1303,Incorrect,3,710
3,GLGNG,161,2,1243,Correct,3,902
3,CUCTC,171,2,1448,Correct,3,665
3,FAFQF,16,2,1229,Correct,3,759
3,ZLZLZ,151,1,972,Correct,3,771
3,YZYZY,152,2,1237,Incorrect,3,871
3,CYCYC,153,1,960,Correct,3,865
3,HUHUH,192,1,736,Correct,3,840
3,OSORO,16,2,737,Correct,3,683
3,YOYOY,151,1,921,Correct,3,655
3,CECEC,8,1,1011,Incorrect,3,882
3,VNENV,223,2,1188,Incorrect,3,869
3,KQKFK,222,2,956,Correct,3,683
3,XLXLE,225,1,980,Correct,3,740
3,QUQUQ,193,1,1173,Correct,3,920
3,SWSLS,16,1,760,Incorrect,3,838
3,NBNPN,162,2,872,Correct,3,709
3,SGSGS,151,1,953,Correct,3,750
3,FBFBF,152,1,747,Correct,3,941
3,PFPFP,153,1,1212,Correct,3,717
3,AGASA,161,2,1286,Correct,3,836
3,KEKEK,9,3,1143,Correct,3,680
3,CWCOC,14,2,1142,Correct,3,890
3,HXHXH,151,1,1337,Correct,3,755
3,NUNZN,174,2,1011,Correct,3,712
3,QMQVQ,16,2,748,Correct,3,856
3,SQSQS,151,1,823,Correct,3,749
