Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1435,Correct,0,894
1,DLDUD,16,2,712,Correct,0,751
1,PDPGP,16,2,1031,Correct,0,672
1,MWMWM,15,1,1104,Correct,0,865
1,FTFTF,15,1,814,Correct,0,688
1,AXAMA,16,2,946,Correct,0,879
1,RYRGR,16,2,801,Correct,0,846
1,DODOD,15,1,826,Correct,0,672
1,QTQAQ,16,2,781,Correct,0,866
1,YEYEY,15,1,982,Correct,0,729
DT Practice
1,TKTKT,15,1,733,Correct,0,744
1,SLSUS,16,2,948,Correct,0,823
1,VZVGV,7,[2][3],[1177][1465],Correct,0,838
1,XWXZX,7,[2][3],[1066][1578],Correct,0,686
1,ATATA,15,2,999,False,0,873
1,HXZMH,16,2,980,Correct,0,857
1,TZTZT,7,[1][3],[1154][1378],Correct,0,677
1,UOUOU,15,1,1239,Correct,0,721
1,ZTWAW,16,2,1048,Correct,0,852
1,RZRER,7,[2][3],[1081][1304],Correct,0,949
2,JYJDJ,16,2,1031,Correct,0,928
2,DWDWD,15,1,916,Correct,0,786
2,GNGNG,7,[1][3],[946][1186],Correct,0,894
2,NEZEZ,16,1,908,Correct,0,931
2,RNROR,7,[2][3],[772][1268],Correct,0,834
2,QTQNQ,7,[2][3],[987][1515],Correct,0,756
2,HOHON,15,2,1136,False,0,709
2,KPKGK,16,2,1052,Correct,0,751
2,DRDED,16,2,872,Correct,0,703
2,LNLNL,7,[1][3],[1042][1250],Correct,0,793
Trials
1,D,5,3,57680,New Target,1,947
1,ZNZYZ,161,1,1274,Incorrect,1,786
1,FZFZF,151,2,797,Incorrect,1,944
1,RKRKR,152,2,1020,Incorrect,1,688
1,RXRNR,161,2,1152,Correct,1,733
1,CNCFC,162,2,1039,Correct,1,727
1,PDPDP,7,[1][3],[980][1220],Correct,1,667
1,CPCFC,14,2,870,Correct,1,846
1,VLVNV,162,2,1162,Correct,1,904
1,KFKFK,151,1,1209,Correct,1,715
1,ZNZNZ,152,1,924,Correct,1,949
1,KCKPD,235,2,963,Correct,1,723
1,ZKZFZ,222,2,931,Correct,1,910
1,NRNZN,162,2,859,Correct,1,711
1,KXKRK,163,2,962,Correct,1,819
1,YPYZY,164,2,822,Correct,1,816
1,FKDKF,223,,,Incorrect,1,768
1,RPRPR,113,1,1346,Correct,1,670
1,VRVKV,161,2,866,Correct,1,918
1,RFRPR,162,2,990,Correct,1,730
1,KVKVK,151,1,1370,Correct,1,916
1,YKYVY,161,2,829,Correct,1,813
1,VDVDV,8,[1][3],[823][1063],Correct,1,656
1,DVZVZ,221,2,790,Incorrect,1,754
1,YFYFY,113,1,946,Correct,1,755
1,ZYZYZ,152,1,1146,Correct,1,721
1,VLVXV,161,2,821,Correct,1,862
1,DPXZX,231,2,690,Correct,1,727
1,RYRYR,113,1,1088,Correct,1,768
1,PDPNP,91,[2][3],[983][1351],Correct,1,791
1,KXKXK,13,1,913,Correct,1,668
1,ZYZYZ,152,1,1126,Correct,1,784
1,VKVKV,153,1,973,Correct,1,924
1,YZYZY,154,1,899,Correct,1,767
1,NLNZN,161,2,838,Correct,1,844
1,ZNDYZ,233,2,1356,Correct,1,790
1,PCPXP,222,2,1068,Correct,1,916
1,ZVZFZ,162,2,804,Correct,1,940
1,RCRZR,163,2,811,Correct,1,919
1,LRLRL,151,1,846,Correct,1,933
1,ZDZDZ,10,[1][3],[705][961],Correct,1,726
1,RNRZR,14,2,755,Correct,1,886
1,CXCYC,162,2,738,Correct,1,665
1,RCRLR,163,2,803,Correct,1,708
1,FRFRF,151,1,768,Correct,1,672
1,XFXFX,152,1,799,Correct,1,653
1,RPRLR,161,2,697,Correct,1,828
1,YXYRY,162,2,838,Correct,1,840
1,FYFYF,151,1,1011,Correct,1,717
1,YZYVY,161,2,729,Correct,1,666
1,YKYKY,151,1,897,Correct,1,876
1,XRXRX,152,1,756,Correct,1,857
1,XVXZX,161,2,659,Correct,1,712
1,PDPDP,11,[1][3],[674][929],Correct,1,784
1,ZFZFZ,13,1,1074,Correct,1,752
1,PXPXP,152,1,721,Correct,1,820
1,LYLYL,153,1,761,Correct,1,924
1,NKNKD,225,1,1043,Correct,1,829
1,ZNZNZ,113,1,707,Correct,1,828
1,PYPZP,161,2,767,Correct,1,835
1,XPXPX,151,1,1017,Correct,1,849
1,VLVLV,152,1,776,Correct,1,855
1,PKPXP,161,2,830,Correct,1,868
1,FZFZF,151,1,924,Correct,1,691
1,LDLDL,12,[1][3],[738][1042],Correct,1,747
2,U,5,3,3400,New Target,2,685
2,ZVZFZ,161,1,1241,Incorrect,2,789
2,FZFZF,151,1,849,Correct,2,788
2,RFRFR,152,1,1437,Correct,2,693
2,NZNKN,161,2,784,Correct,2,763
2,FZFNF,162,2,889,Correct,2,828
2,RXRXR,151,1,781,Correct,2,809
2,KRKYK,161,2,843,Correct,2,652
2,NZNPN,162,2,899,Correct,2,829
2,XPXPX,151,1,839,Correct,2,875
2,CUCUC,7,[1][3],[876][1116],Correct,2,932
2,RFRFR,13,1,778,Correct,2,946
2,VYVXV,161,2,672,Correct,2,938
2,VDVDV,191,1,1051,Correct,2,864
2,ZKZRZ,15,2,873,Correct,2,869
2,XCXCX,151,1,628,Correct,2,724
2,CNCUC,82,[2][3],[857][1145],Correct,2,924
2,RCRCR,13,1,897,Correct,2,878
2,ZPZXZ,161,2,754,Correct,2,923
2,FKFYF,162,2,812,Correct,2,812
2,ZFZYZ,163,2,708,Correct,2,872
2,PXPXP,151,1,766,Correct,2,852
2,URCKC,231,2,1013,Correct,2,894
2,PCPCP,113,1,705,Correct,2,934
2,XNXNX,152,1,848,Correct,2,744
2,RCRZR,161,2,667,Correct,2,697
2,XVXVX,151,2,781,Incorrect,2,687
2,NRNRN,152,,,Incorrect,2,878
2,FPFPF,225,1,740,Correct,2,704
2,XVXFX,222,1,1267,Incorrect,2,745
2,PRPRP,151,1,1007,Correct,2,691
2,FYFCF,161,2,837,Correct,2,664
2,XUXFX,91,[2][3],[946][1234],Correct,2,811
2,CYCVC,14,2,1175,Correct,2,928
2,VDVKV,172,2,751,Correct,2,870
2,YCYCY,15,1,983,Correct,2,862
2,NKNLN,161,2,692,Correct,2,937
2,XPUKX,233,2,668,Correct,2,919
2,ZPZPZ,113,1,695,Correct,2,853
2,KRKRK,152,1,897,Correct,2,875
2,XKXKX,153,1,692,Correct,2,903
2,YUYVY,101,[2][3],[931][1218],Correct,2,766
2,XKXFU,235,2,937,Correct,2,660
2,NFNFN,113,1,832,Correct,2,688
2,KDKDK,193,1,663,Correct,2,844
2,XYXKX,16,2,994,Correct,2,900
2,YZUZY,223,1,1074,Correct,2,805
2,KFKVK,222,2,962,Correct,2,821
2,LYLYL,151,1,764,Correct,2,656
2,CXCDC,184,2,791,Incorrect,2,785
2,XZXNX,16,2,876,Correct,2,937
2,PXPXP,151,1,1023,Correct,2,920
2,ZRZYZ,161,2,782,Correct,2,817
2,PUPYP,111,[2][3],[1044][1284],Correct,2,725
2,RNRNR,14,1,1032,Correct,2,791
2,KDKDK,195,1,661,Correct,2,944
2,KNKNK,15,1,711,Correct,2,751
2,PRPKP,161,2,788,Correct,2,793
2,UNYNY,221,1,1122,Correct,2,737
2,NYNYN,113,1,847,Correct,2,768
2,YXYXY,152,1,689,Incorrect,2,929
2,RDRDR,196,1,659,Correct,2,722
2,FCFCF,15,1,556,Correct,2,934
2,ZKZKZ,152,1,686,Correct,2,798
2,ZUZUZ,12,[1][3],[811][1131],Correct,2,715
3,E,5,3,3744,New Target,3,665
3,YZYZY,151,1,989,Correct,3,841
3,VFVNV,161,2,838,Correct,3,676
3,KYKYK,151,1,1116,Correct,3,868
3,NKNKN,152,1,1228,Correct,3,711
3,XVXNX,161,2,820,Correct,3,841
3,RERFR,71,[2][3],[1134][1374],Correct,3,768
3,XNXNX,13,1,1099,Correct,3,754
3,NXNXN,152,1,1564,Correct,3,725
3,ZLZNZ,161,2,803,Correct,3,924
3,CUCNC,171,2,879,Correct,3,684
3,FYFRF,16,1,1455,Incorrect,3,931
3,ZLZLZ,151,1,916,Correct,3,712
3,YZYZY,152,1,898,Correct,3,926
3,CYCYC,153,1,777,Correct,3,752
3,VUVUV,192,1,691,Correct,3,770
3,PXPRP,16,2,828,Correct,3,946
3,YPYPY,151,1,628,Correct,3,810
3,CECEC,8,[2][3],[1088][1424],Incorrect,3,917
3,VNENV,223,1,1450,Correct,3,774
3,KRKFK,222,2,980,Correct,3,934
3,XLXLE,225,1,701,Correct,3,658
3,RFRUR,183,2,980,Correct,3,945
3,XRXLX,16,2,850,Correct,3,903
3,NZNPN,162,2,809,Correct,3,873
3,XZXZX,151,1,838,Correct,3,702
3,FZFZF,152,1,990,Correct,3,770
3,PFPFP,153,1,897,Correct,3,789
