Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,879,Correct,0,751
1,DLDUD,16,2,644,Correct,0,742
1,PDPGP,16,2,819,Correct,0,733
1,MWMWM,15,1,833,Correct,0,914
1,FTFTF,15,1,697,Correct,0,697
1,AXAMA,16,2,855,Correct,0,740
1,RYRGR,16,2,790,Correct,0,912
1,DODOD,15,1,700,Correct,0,799
1,QTQAQ,16,2,661,Correct,0,856
1,YEYEY,15,1,616,Correct,0,662
AT Practice
1,TKTKT,15,1,1024,Correct,0,756
1,SLSUS,16,2,638,Correct,0,844
1,VZVGV,7,3,704,Correct,0,658
1,XWXZX,7,3,919,Correct,0,906
1,ATATA,15,1,677,Correct,0,928
1,HXZMH,16,2,643,Correct,0,747
1,TZTZT,7,3,510,Correct,0,836
1,UOUOU,15,1,687,Correct,0,804
1,ZTWAW,16,2,856,Correct,0,791
1,RZRER,7,2,701,False,0,751
2,JYJDJ,16,2,742,Correct,0,816
2,DWDWD,15,1,818,Correct,0,771
2,GNGNG,7,3,751,Correct,0,824
2,NEZEZ,16,1,1038,Correct,0,740
2,RNROR,7,3,904,Correct,0,881
2,QTQNQ,7,3,521,Correct,0,650
2,HOHON,15,1,643,Correct,0,710
2,KPKGK,16,2,555,Correct,0,901
2,DRDED,16,2,673,Correct,0,782
2,LNLNL,7,3,566,Correct,0,822
Trials
1,D,5,3,11826,New Target,1,947
1,ZNZYZ,161,2,1522,Correct,1,675
1,FZFZF,151,1,1009,Correct,1,696
1,RKRKR,152,1,863,Correct,1,837
1,RXRNR,161,2,968,Correct,1,768
1,CNCFC,162,2,855,Correct,1,829
1,PDPDP,7,3,833,Correct,1,666
1,CPCFC,14,2,925,Correct,1,744
1,VLVNV,162,2,778,Correct,1,909
1,KFKFK,151,1,742,Correct,1,836
1,ZNZNZ,152,1,988,Correct,1,890
1,KCKPD,235,2,727,Correct,1,825
1,ZKZFZ,222,2,764,Correct,1,798
1,NRNZN,162,2,709,Correct,1,767
1,KXKRK,163,2,620,Correct,1,811
1,YPYZY,164,2,606,Correct,1,888
1,FKDKF,223,2,1025,Incorrect,1,699
1,RPRPR,113,1,1157,Correct,1,701
1,VRVKV,161,2,721,Correct,1,827
1,RFRPR,162,2,717,Correct,1,860
1,KVKVK,151,1,883,Correct,1,858
1,YKYVY,161,2,712,Correct,1,947
1,VDVDV,8,3,833,Correct,1,782
1,DVZVZ,221,1,1254,Correct,1,883
1,YFYFY,113,1,731,Correct,1,868
1,ZYZYZ,152,1,873,Correct,1,731
1,VLVXV,161,2,753,Correct,1,772
1,DPXZX,231,2,1230,Correct,1,778
1,RYRYR,113,1,867,Correct,1,942
1,PDPNP,91,3,540,Correct,1,702
1,KXKXK,13,1,675,Correct,1,746
1,ZYZYZ,152,1,799,Correct,1,905
1,VKVKV,153,1,669,Correct,1,699
1,YZYZY,154,1,542,Correct,1,682
1,NLNZN,161,2,703,Correct,1,835
1,ZNDYZ,233,2,1085,Correct,1,784
1,PCPXP,222,2,607,Correct,1,761
1,ZVZFZ,162,2,699,Correct,1,864
1,RCRZR,163,2,609,Correct,1,650
1,LRLRL,151,1,771,Correct,1,662
1,ZDZDZ,10,3,667,Correct,1,735
1,RNRZR,14,2,688,Correct,1,696
1,CXCYC,162,2,589,Correct,1,856
1,RCRLR,163,2,526,Correct,1,788
1,FRFRF,151,1,753,Correct,1,818
1,XFXFX,152,1,715,Correct,1,840
1,RPRLR,161,2,645,Correct,1,881
1,YXYRY,162,2,725,Correct,1,683
1,FYFYF,151,1,773,Correct,1,768
1,YZYVY,161,2,812,Correct,1,750
1,YKYKY,151,1,924,Correct,1,680
1,XRXRX,152,1,740,Correct,1,876
1,XVXZX,161,2,841,Correct,1,765
1,PDPDP,11,3,686,Correct,1,897
1,ZFZFZ,13,1,696,Correct,1,857
1,PXPXP,152,1,681,Correct,1,739
1,LYLYL,153,1,584,Correct,1,775
1,NKNKD,225,1,808,Correct,1,799
1,ZNZNZ,113,1,526,Correct,1,884
1,PYPZP,161,2,660,Correct,1,703
1,XPXPX,151,1,503,Correct,1,731
1,VLVLV,152,1,573,Correct,1,896
1,PKPXP,161,2,729,Correct,1,824
1,FZFZF,151,1,546,Correct,1,941
1,LDLDL,12,3,694,Correct,1,763
2,U,5,3,2957,New Target,2,787
2,ZVZFZ,161,1,685,Incorrect,2,795
2,FZFZF,151,20,592,Incorrect,2,901
2,RFRFR,152,1,968,Correct,2,863
2,NZNKN,161,2,810,Correct,2,807
2,FZFNF,162,2,1537,Correct,2,664
2,RXRXR,151,1,589,Correct,2,676
2,KRKYK,161,2,682,Correct,2,809
2,NZNPN,162,2,722,Correct,2,795
2,XPXPX,151,1,597,Correct,2,916
2,CUCUC,7,3,675,Correct,2,776
2,RFRFR,13,2,582,Incorrect,2,825
2,VYVXV,161,2,915,Correct,2,791
2,VDVDV,191,1,1345,Correct,2,871
2,ZKZRZ,15,2,630,Correct,2,701
2,XCXCX,151,1,625,Correct,2,697
2,CNCUC,82,3,461,Correct,2,804
2,RCRCR,13,1,757,Correct,2,703
2,ZPZXZ,161,2,579,Correct,2,886
2,FKFYF,162,2,770,Correct,2,764
2,ZFZYZ,163,2,763,Correct,2,784
2,PXPXP,151,1,726,Correct,2,665
2,URCKC,231,2,683,Correct,2,839
2,PCPCP,113,1,580,Correct,2,827
2,XNXNX,152,1,695,Correct,2,713
2,RCRZR,161,2,581,Correct,2,708
2,XVXVX,151,1,545,Correct,2,713
2,NRNRN,152,1,573,Correct,2,919
2,FPFPF,225,1,670,Correct,2,669
2,XVXFX,222,2,588,Correct,2,727
2,PRPRP,151,1,1141,Correct,2,908
2,FYFCF,161,2,678,Correct,2,937
2,XUXFX,91,1,684,Incorrect,2,891
2,CYCVC,14,2,969,Correct,2,662
2,VDVKV,172,2,1061,Correct,2,883
2,YCYCY,15,1,707,Correct,2,692
2,NKNLN,161,2,568,Correct,2,872
2,XPUKX,233,2,1120,Correct,2,943
2,ZPZPZ,113,1,659,Correct,2,865
2,KRKRK,152,1,828,Correct,2,809
2,XKXKX,153,1,1013,Correct,2,710
2,YUYVY,101,3,513,Correct,2,830
2,XKXFU,235,2,656,Correct,2,753
2,NFNFN,113,1,689,Correct,2,696
2,KDKDK,193,1,1108,Correct,2,820
2,XYXKX,16,2,681,Correct,2,897
2,YZUZY,223,1,1092,Correct,2,712
2,KFKVK,222,2,708,Correct,2,750
2,LYLYL,151,1,888,Correct,2,872
2,CXCDC,184,2,606,Incorrect,2,671
2,XZXNX,16,2,616,Correct,2,895
2,PXPXP,151,1,915,Correct,2,706
2,ZRZYZ,161,2,613,Correct,2,722
2,PUPYP,111,3,779,Correct,2,913
2,RNRNR,14,1,811,Correct,2,948
2,KDKDK,195,1,932,Correct,2,730
2,KNKNK,15,1,658,Correct,2,797
2,PRPKP,161,2,923,Correct,2,760
2,UNYNY,221,1,620,Correct,2,795
2,NYNYN,113,1,935,Correct,2,762
2,YXYXY,152,1,554,Incorrect,2,656
2,RDRDR,196,1,971,Correct,2,749
2,FCFCF,15,1,909,Correct,2,700
2,ZKZKZ,152,1,717,Correct,2,850
2,ZUZUZ,12,3,714,Correct,2,669
3,E,5,3,4052,New Target,3,658
3,YZYZY,151,1,1044,Correct,3,726
3,VFVNV,161,2,688,Correct,3,849
3,KYKYK,151,1,811,Correct,3,705
3,NKNKN,152,1,642,Correct,3,670
3,XVXNX,161,2,821,Correct,3,653
3,RERFR,71,3,824,Correct,3,787
3,XNXNX,13,1,821,Correct,3,858
3,NXNXN,152,1,749,Correct,3,752
3,ZLZNZ,161,2,625,Correct,3,836
3,CUCNC,171,2,1371,Correct,3,720
3,FYFRF,16,2,615,Correct,3,870
3,ZLZLZ,151,1,675,Correct,3,869
3,YZYZY,152,1,934,Correct,3,926
3,CYCYC,153,1,707,Correct,3,858
3,VUVUV,192,1,952,Correct,3,844
3,PXPRP,16,2,634,Correct,3,749
3,YPYPY,151,1,645,Correct,3,778
3,CECEC,8,3,667,Correct,3,943
3,VNENV,223,1,774,Correct,3,782
3,KRKFK,222,2,653,Correct,3,713
3,XLXLE,225,1,666,Correct,3,674
3,RFRUR,183,2,1208,Correct,3,682
3,XRXLX,16,2,815,Correct,3,762
3,NZNPN,162,2,752,Correct,3,923
3,XZXZX,151,1,640,Correct,3,656
3,FZFZF,152,1,597,Correct,3,893
3,PFPFP,153,1,578,Correct,3,748
3,YZYXY,161,2,641,Correct,3,853
3,KEKEK,9,3,509,Correct,3,771
3,CXCPC,14,2,540,Correct,3,802
3,VXVXV,151,1,648,Correct,3,831
3,NUNZN,174,2,1059,Correct,3,821
3,RKRVR,16,2,740,Correct,3,660
3,XRXRX,151,1,590,Correct,3,772
3,ERNFN,231,2,1001,Incorrect,3,715
