Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,887
1,DLDUD,16,2,1302,Correct,0,677
1,PDPGP,16,2,1011,Correct,0,901
1,MWMWM,15,1,781,Correct,0,939
1,FTFTF,15,1,847,Correct,0,904
1,AXAMA,16,2,1119,Correct,0,949
1,RYRGR,16,2,702,Correct,0,650
1,DODOD,15,1,627,Correct,0,850
1,QTQAQ,16,2,687,Correct,0,795
1,YEYEY,15,1,526,Correct,0,720
2,GYGDG,16,2,1060,Correct,0,791
2,SWSWS,15,1,783,Correct,0,894
2,HLHUH,16,2,694,Correct,0,747
2,DEDED,15,1,627,Correct,0,735
2,ZPZOZ,16,2,622,Correct,0,801
2,ATATA,15,1,1099,Correct,0,789
2,QOQOQ,15,2,695,False,0,799
2,FPFGF,16,2,910,Correct,0,839
2,TRTET,16,2,739,Correct,0,751
2,DQDQD,15,1,927,Correct,0,659
4,PLPLP,15,1,866,Correct,0,895
4,ATAIA,16,2,1255,Correct,0,787
4,SKSGS,16,2,838,Correct,0,917
4,ZYZYZ,15,1,760,Correct,0,878
4,QSQSQ,15,1,688,Correct,0,757
4,TZTDT,16,2,751,Correct,0,712
4,JYJGJ,16,2,888,Correct,0,775
4,DYDYD,15,1,638,Correct,0,725
4,LTLCL,16,2,908,Correct,0,721
4,FQFEF,16,2,733,Correct,0,827
DT Practice
1,TKTKT,15,,,False,0,810
1,SLSUS,16,2,891,Correct,0,817
1,VZVGV,7,[2],[1548],False,0,934
1,XWXZX,7,,,False,0,664
1,ATATA,15,,,False,0,666
1,HXZMH,16,,,False,0,712
1,TZTZT,7,[1][3],[669][797],Correct,0,851
1,UOUOU,15,2,932,False,0,845
1,ZTWAW,16,2,1060,Correct,0,791
1,RZRER,7,[1][2],[867][1267],False,0,654
2,JYJDJ,16,1,1582,False,0,923
2,DWDWD,15,2,1414,False,0,765
2,GNGNG,7,[1][1],[942][1534],False,0,941
2,NEZEZ,16,,,False,0,712
2,RNROR,7,[2][3],[1269][1413],Correct,0,821
2,QTQNQ,7,[2][3],[1009][1137],Correct,0,754
2,HOHON,15,1,1156,Correct,0,824
2,KPKGK,16,2,1051,Correct,0,822
2,DRDED,16,2,771,Correct,0,932
2,LNLNL,7,[1][3],[844][972],Correct,0,742
4,GLGLG,15,1,1039,Correct,0,686
4,DTDID,16,2,951,Correct,0,903
4,SMSGS,16,2,965,Correct,0,841
4,ZFZYZ,7,[2][3],[823][983],Correct,0,716
4,TSTFT,7,[2][3],[918][1046],Correct,0,800
4,OFOFO,7,[1][3],[681][793],Correct,0,906
4,WYFGW,16,2,1379,Correct,0,685
4,WYWYW,15,2,769,False,0,856
4,MFMCM,7,[1][3],[891][955],False,0,930
4,HQHEH,16,2,718,Correct,0,671
Trials
1,D,5,3,6302,New Target,1,779
1,ZNZYZ,161,2,990,Correct,1,759
1,FZFZF,151,1,1066,Correct,1,933
1,RKRKR,152,1,858,Correct,1,795
1,RXRNR,161,2,676,Correct,1,722
1,CNCFC,162,2,1085,Correct,1,948
1,PDPDP,7,[1][3],[804][980],Correct,1,837
1,CPCFC,14,2,1056,Correct,1,840
1,VLVNV,162,2,720,Correct,1,815
1,KFKFK,151,1,864,Correct,1,709
1,ZNZNZ,152,1,1354,Correct,1,690
1,KCKPD,235,2,718,Correct,1,794
1,ZKZFZ,222,2,763,Correct,1,760
1,NRNZN,162,2,597,Correct,1,863
1,KXKRK,163,2,675,Correct,1,871
1,YPYZY,164,2,677,Correct,1,689
1,FKDKF,223,1,1157,Correct,1,764
1,RPRPR,113,1,1260,Correct,1,907
1,VRVKV,161,2,763,Correct,1,662
1,RFRPR,162,2,679,Correct,1,804
1,KVKVK,151,2,595,Incorrect,1,909
1,YKYVY,161,2,809,Correct,1,678
1,VDVDV,8,[1][3],[710][854],Correct,1,662
1,DVZVZ,221,1,1036,Correct,1,710
1,YFYFY,113,1,598,Correct,1,933
1,ZYZYZ,152,1,692,Correct,1,923
1,VLVXV,161,2,652,Correct,1,944
1,DPXZX,231,2,804,Correct,1,940
1,RYRYR,113,1,656,Correct,1,711
1,PDPNP,91,[1][2],[574][1277],Incorrect,1,821
1,KXKXK,13,1,899,Correct,1,695
1,ZYZYZ,152,1,773,Correct,1,898
1,VKVKV,153,1,717,Correct,1,860
1,YZYZY,154,1,589,Correct,1,656
1,NLNZN,161,2,745,Correct,1,947
1,ZNDYZ,233,2,1039,Correct,1,927
1,PCPXP,222,2,658,Correct,1,748
1,ZVZFZ,162,2,608,Correct,1,859
1,RCRZR,163,2,582,Correct,1,688
1,LRLRL,151,1,645,Correct,1,861
1,ZDZDZ,10,[1][3],[649][809],Correct,1,716
1,RNRZR,14,2,601,Correct,1,820
1,CXCYC,162,2,1102,Correct,1,739
1,RCRLR,163,2,606,Correct,1,707
1,FRFRF,151,1,782,Correct,1,843
1,XFXFX,152,1,722,Correct,1,927
1,RPRLR,161,2,796,Correct,1,907
1,YXYRY,162,2,612,Correct,1,852
1,FYFYF,151,1,886,Correct,1,789
1,YZYVY,161,2,733,Correct,1,801
1,YKYKY,151,1,630,Correct,1,883
1,XRXRX,152,1,651,Correct,1,741
1,XVXZX,161,2,663,Correct,1,874
1,PDPDP,11,[1][3],[714][858],Correct,1,840
1,ZFZFZ,13,1,724,Correct,1,871
1,PXPXP,152,1,860,Correct,1,944
1,LYLYL,153,1,728,Correct,1,670
1,NKNKD,225,1,809,Correct,1,726
1,ZNZNZ,113,1,607,Correct,1,818
1,PYPZP,161,2,705,Correct,1,824
1,XPXPX,151,1,610,Correct,1,763
1,VLVLV,152,1,513,Correct,1,822
1,PKPXP,161,1,820,Incorrect,1,887
1,FZFZF,151,1,569,Correct,1,884
1,LDLDL,12,[1][3],[650][778],Correct,1,659
2,U,5,3,9782,New Target,2,716
2,ZVZFZ,161,2,841,Correct,2,909
2,FZFZF,151,1,731,Correct,2,925
2,RFRFR,152,1,818,Correct,2,896
2,NZNKN,161,2,1015,Correct,2,865
2,FZFNF,162,2,842,Correct,2,778
2,RXRXR,151,1,714,Correct,2,656
2,KRKYK,161,2,711,Correct,2,796
2,NZNPN,162,2,760,Correct,2,700
2,XPXPX,151,1,662,Correct,2,784
2,CUCUC,7,[1][3],[720][832],Correct,2,926
2,RFRFR,13,1,802,Correct,2,797
2,VYVXV,161,2,727,Correct,2,910
2,VDVDV,191,1,664,Correct,2,719
2,ZKZRZ,15,2,696,Correct,2,809
2,XCXCX,151,1,674,Correct,2,844
2,CNCUC,82,[2][3],[1153][1249],Correct,2,685
2,RCRCR,13,1,810,Correct,2,744
2,ZPZXZ,161,2,639,Correct,2,918
2,FKFYF,162,2,652,Correct,2,882
2,ZFZYZ,163,2,683,Correct,2,793
2,PXPXP,151,1,775,Correct,2,833
2,URCKC,231,2,839,Correct,2,687
2,PCPCP,113,1,576,Correct,2,821
2,XNXNX,152,1,796,Correct,2,932
2,RCRZR,161,2,659,Correct,2,873
2,XVXVX,151,1,807,Correct,2,673
2,NRNRN,152,1,721,Correct,2,799
2,FPFPF,225,1,608,Correct,2,761
2,XVXFX,222,2,734,Correct,2,863
2,PRPRP,151,1,663,Correct,2,875
2,FYFCF,161,2,774,Correct,2,810
2,XUXFX,91,[2][3],[837][981],Correct,2,651
2,CYCVC,14,2,917,Correct,2,703
2,VDVKV,172,2,715,Correct,2,764
2,YCYCY,15,1,740,Correct,2,890
2,NKNLN,161,2,687,Correct,2,839
2,XPUKX,233,2,1127,Correct,2,923
2,ZPZPZ,113,1,611,Correct,2,876
2,KRKRK,152,1,687,Correct,2,883
2,XKXKX,153,1,1322,Correct,2,855
2,YUYVY,101,[2][3],[701][829],Correct,2,868
2,XKXFU,235,2,767,Correct,2,795
2,NFNFN,113,1,621,Correct,2,728
2,KDKDK,193,1,671,Correct,2,728
2,XYXKX,16,2,708,Correct,2,675
2,YZUZY,223,1,959,Correct,2,849
2,KFKVK,222,2,1010,Correct,2,831
2,LYLYL,151,1,736,Correct,2,909
2,CXCDC,184,2,839,Incorrect,2,923
2,XZXNX,16,2,707,Correct,2,739
2,PXPXP,151,1,645,Correct,2,688
2,ZRZYZ,161,2,696,Correct,2,696
2,PUPYP,111,[1][2],[792][1144],Incorrect,2,818
2,RNRNR,14,1,617,Correct,2,807
2,KDKDK,195,1,632,Correct,2,809
2,KNKNK,15,1,694,Correct,2,845
2,PRPKP,161,2,1032,Correct,2,687
2,UNYNY,221,1,892,Correct,2,659
2,NYNYN,113,2,880,Incorrect,2,841
2,YXYXY,152,1,748,Incorrect,2,650
2,RDRDR,196,1,653,Correct,2,653
2,FCFCF,15,1,587,Correct,2,843
2,ZKZKZ,152,1,841,Correct,2,942
2,ZUZUZ,12,[1][3],[775][902],Correct,2,895
3,E,5,3,25402,New Target,3,827
