Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1561,Correct,0,849
1,DLDUD,16,2,642,Correct,0,800
1,PDPGP,16,2,882,Correct,0,657
1,MWMWM,15,1,639,Correct,0,899
1,FTFTF,15,1,704,Correct,0,679
1,AXAMA,16,2,678,Correct,0,850
1,RYRGR,16,2,722,Correct,0,808
1,DODOD,15,1,521,Correct,0,845
1,QTQAQ,16,2,645,Correct,0,936
1,YEYEY,15,1,610,Correct,0,797
2,GYGDG,16,2,808,Correct,0,749
2,SWSWS,15,1,623,Correct,0,730
2,HLHUH,16,2,985,Correct,0,913
2,DEDED,15,1,508,Correct,0,731
2,ZPZOZ,16,2,1003,Correct,0,875
2,ATATA,15,1,575,Correct,0,650
2,QOQOQ,15,1,626,Correct,0,679
2,FPFGF,16,2,603,Correct,0,868
2,TRTET,16,2,894,Correct,0,650
2,DQDQD,15,1,660,Correct,0,653
4,PLPLP,15,1,798,Correct,0,712
4,ATAIA,16,2,816,Correct,0,898
4,SKSGS,16,2,969,Correct,0,659
4,ZYZYZ,15,1,652,Correct,0,696
4,QSQSQ,15,1,507,Correct,0,724
4,TZTDT,16,2,527,Correct,0,712
4,JYJGJ,16,2,526,Correct,0,914
4,DYDYD,15,1,493,Correct,0,752
4,LTLCL,16,2,611,Correct,0,725
4,FQFEF,16,2,623,Correct,0,839
DT Practice
1,TKTKT,15,2,620,False,0,727
1,SLSUS,16,2,958,Correct,0,683
1,VZVGV,7,[1],[1447],False,0,713
1,XWXZX,7,,,False,0,931
1,ATATA,15,1,1265,Correct,0,706
1,HXZMH,16,,,False,0,852
1,TZTZT,7,[1][3],[790][966],Correct,0,899
1,UOUOU,15,1,799,Correct,0,745
1,ZTWAW,16,2,916,Correct,0,815
1,RZRER,7,[1][3],[841][984],False,0,860
2,JYJDJ,16,2,715,Correct,0,655
2,DWDWD,15,1,635,Correct,0,670
2,GNGNG,7,[1][3],[738][898],Correct,0,800
2,NEZEZ,16,1,1168,Correct,0,766
2,RNROR,7,[1][2],[713][953],False,0,717
2,QTQNQ,7,[2][3],[629][805],Correct,0,852
2,HOHON,15,1,834,Correct,0,856
2,KPKGK,16,2,946,Correct,0,923
2,DRDED,16,2,849,Correct,0,862
2,LNLNL,7,[1][3],[562][786],Correct,0,947
4,GLGLG,15,1,646,Correct,0,847
4,DTDID,16,2,569,Correct,0,651
4,SMSGS,16,2,953,Correct,0,738
4,ZFZYZ,7,[2][3],[776][952],Correct,0,734
4,TSTFT,7,[2][3],[745][1065],Correct,0,946
4,OFOFO,7,[1][3],[669][845],Correct,0,741
4,WYFGW,16,2,1059,Correct,0,916
4,WYWYW,15,1,908,Correct,0,857
4,MFMCM,7,[2][1],[773][1381],False,0,705
4,HQHEH,16,2,1051,Correct,0,699
Trials
1,D,5,3,1020,New Target,1,802
1,ZNZYZ,161,2,1218,Correct,1,691
1,FZFZF,151,1,823,Correct,1,949
1,RKRKR,152,1,714,Correct,1,909
1,RXRNR,161,2,536,Correct,1,757
1,CNCFC,162,1,1109,Incorrect,1,927
1,PDPDP,7,[2][3],[560][1584],Incorrect,1,877
1,CPCFC,14,2,1430,Correct,1,765
1,VLVNV,162,2,731,Correct,1,681
1,KFKFK,151,1,793,Correct,1,726
1,ZNZNZ,152,2,753,Incorrect,1,811
1,KCKPD,235,2,719,Correct,1,767
1,ZKZFZ,222,2,810,Correct,1,814
1,NRNZN,162,2,1161,Correct,1,695
1,KXKRK,163,1,652,Incorrect,1,653
1,YPYZY,164,2,733,Correct,1,698
1,FKDKF,223,2,662,Incorrect,1,915
1,RPRPR,113,2,693,Incorrect,1,810
1,VRVKV,161,2,744,Correct,1,669
1,RFRPR,162,2,835,Correct,1,815
1,KVKVK,151,1,657,Correct,1,671
1,YKYVY,161,2,593,Correct,1,722
1,VDVDV,8,[1][3],[675][1283],Correct,1,801
1,DVZVZ,221,2,713,Incorrect,1,657
1,YFYFY,113,1,661,Correct,1,848
1,ZYZYZ,152,2,838,Incorrect,1,709
1,VLVXV,161,2,888,Correct,1,941
1,DPXZX,231,2,767,Correct,1,860
1,RYRYR,113,1,570,Correct,1,767
1,PDPNP,91,[1],[709],Incorrect,1,908
1,KXKXK,13,2,743,Incorrect,1,898
1,ZYZYZ,152,,,Incorrect,1,760
1,VKVKV,153,2,749,Incorrect,1,865
1,YZYZY,154,1,755,Correct,1,886
1,NLNZN,161,2,830,Correct,1,774
1,ZNDYZ,233,2,882,Correct,1,921
1,PCPXP,222,2,899,Correct,1,905
1,ZVZFZ,162,2,917,Correct,1,890
1,RCRZR,163,2,520,Correct,1,879
1,LRLRL,151,2,767,Incorrect,1,762
1,ZDZDZ,10,[1][3],[724][900],Correct,1,892
1,RNRZR,14,2,719,Correct,1,930
1,CXCYC,162,2,1054,Correct,1,741
1,RCRLR,163,2,864,Correct,1,778
1,FRFRF,151,1,684,Correct,1,677
1,XFXFX,152,1,597,Correct,1,925
1,RPRLR,161,2,661,Correct,1,823
1,YXYRY,162,2,595,Correct,1,827
1,FYFYF,151,2,712,Incorrect,1,686
1,YZYVY,161,2,676,Correct,1,768
1,YKYKY,151,2,675,Incorrect,1,793
1,XRXRX,152,1,591,Correct,1,871
1,XVXZX,161,2,802,Correct,1,710
1,PDPDP,11,[1][3],[691][883],Correct,1,909
1,ZFZFZ,13,1,996,Correct,1,885
1,PXPXP,152,2,523,Incorrect,1,680
1,LYLYL,153,1,706,Correct,1,685
1,NKNKD,225,1,830,Correct,1,838
1,ZNZNZ,113,1,880,Correct,1,937
1,PYPZP,161,2,840,Correct,1,811
1,XPXPX,151,1,700,Correct,1,894
1,VLVLV,152,2,722,Incorrect,1,935
1,PKPXP,161,2,975,Correct,1,828
1,FZFZF,151,1,577,Correct,1,797
1,LDLDL,12,[1][3],[574][910],Correct,1,732
2,U,5,3,952,New Target,2,858
2,ZVZFZ,161,2,894,Correct,2,852
2,FZFZF,151,1,712,Correct,2,734
2,RFRFR,152,1,689,Correct,2,930
2,NZNKN,161,2,1051,Correct,2,870
2,FZFNF,162,2,767,Correct,2,754
2,RXRXR,151,2,650,Incorrect,2,776
2,KRKYK,161,2,769,Correct,2,949
2,NZNPN,162,2,813,Correct,2,745
2,XPXPX,151,1,708,Correct,2,870
2,CUCUC,7,[1][3],[751][927],Correct,2,810
2,RFRFR,13,1,803,Correct,2,737
2,VYVXV,161,2,860,Correct,2,825
2,VDVDV,191,1,849,Correct,2,849
2,ZKZRZ,15,2,658,Correct,2,941
2,XCXCX,151,1,627,Correct,2,773
2,CNCUC,82,[1][1],[1304][1367],Incorrect,2,950
2,RCRCR,13,1,750,Correct,2,722
2,ZPZXZ,161,2,809,Correct,2,878
2,FKFYF,162,2,723,Correct,2,748
2,ZFZYZ,163,2,652,Correct,2,872
2,PXPXP,151,1,551,Correct,2,930
2,URCKC,231,2,939,Correct,2,748
2,PCPCP,113,1,647,Correct,2,945
2,XNXNX,152,2,756,Incorrect,2,875
2,RCRZR,161,2,786,Correct,2,750
2,XVXVX,151,1,635,Correct,2,819
2,NRNRN,152,1,1054,Correct,2,735
2,FPFPF,225,1,593,Correct,2,705
2,XVXFX,222,1,653,Incorrect,2,912
2,PRPRP,151,1,758,Correct,2,901
2,FYFCF,161,2,587,Correct,2,945
2,XUXFX,91,[1][3],[614][1094],Incorrect,2,727
2,CYCVC,14,2,1143,Correct,2,808
2,VDVKV,172,2,672,Correct,2,888
2,YCYCY,15,1,659,Correct,2,687
2,NKNLN,161,2,877,Correct,2,901
2,XPUKX,233,2,1398,Correct,2,735
2,ZPZPZ,113,1,663,Correct,2,830
2,KRKRK,152,2,806,Incorrect,2,765
2,XKXKX,153,1,1197,Correct,2,873
2,YUYVY,101,[2][3],[1043][1283],Correct,2,721
2,XKXFU,235,1,1169,Incorrect,2,662
2,NFNFN,113,1,784,Correct,2,726
2,KDKDK,193,1,709,Correct,2,885
2,XYXKX,16,2,541,Correct,2,950
2,YZUZY,223,1,1035,Correct,2,908
2,KFKVK,222,2,876,Correct,2,832
2,LYLYL,151,1,928,Correct,2,856
2,CXCDC,184,2,874,Incorrect,2,700
2,XZXNX,16,2,749,Correct,2,912
2,PXPXP,151,1,726,Correct,2,860
2,ZRZYZ,161,2,669,Correct,2,888
2,PUPYP,111,,,Incorrect,2,929
2,RNRNR,14,1,627,Correct,2,673
2,KDKDK,195,1,782,Correct,2,942
2,KNKNK,15,1,756,Correct,2,934
2,PRPKP,161,2,803,Correct,2,750
2,UNYNY,221,1,665,Correct,2,852
2,NYNYN,113,1,741,Correct,2,872
2,YXYXY,152,1,1045,Incorrect,2,742
2,RDRDR,196,1,806,Correct,2,753
2,FCFCF,15,1,558,Correct,2,768
2,ZKZKZ,152,1,852,Correct,2,705
