Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1479,Correct,0,867
1,DLDUD,16,2,990,Correct,0,878
1,PDPGP,16,2,1022,Correct,0,791
1,MWMWM,15,1,1132,Correct,0,758
1,FTFTF,15,1,949,Correct,0,861
1,AXAMA,16,2,890,Correct,0,725
1,RYRGR,16,2,1016,Correct,0,932
1,DODOD,15,1,1429,Correct,0,815
1,QTQAQ,16,2,824,Correct,0,670
1,YEYEY,15,1,978,Correct,0,695
2,GYGDG,16,2,847,Correct,0,910
2,SWSWS,15,1,738,Correct,0,871
2,HLHUH,16,2,1227,Correct,0,802
2,DEDED,15,1,1063,Correct,0,669
2,ZPZOZ,16,2,962,Correct,0,832
2,ATATA,15,1,975,Correct,0,825
2,QOQOQ,15,1,1355,Correct,0,865
2,FPFGF,16,2,1270,Correct,0,935
2,TRTET,16,2,1053,Correct,0,750
2,DQDQD,15,1,1290,Correct,0,721
4,PLPLP,15,1,911,Correct,0,877
4,ATAIA,16,2,816,Correct,0,813
4,SKSGS,16,2,838,Correct,0,812
4,ZYZYZ,15,1,907,Correct,0,834
4,QSQSQ,15,1,1024,Correct,0,730
4,TZTDT,16,2,834,Correct,0,714
4,JYJGJ,16,2,1337,Correct,0,788
4,DYDYD,15,1,687,Correct,0,719
4,LTLCL,16,2,676,Correct,0,902
4,FQFEF,16,1,1026,False,0,719
DT Practice
1,TKTKT,15,2,1392,False,0,665
1,SLSUS,16,,,False,0,850
1,VZVGV,7,[2],[710],False,0,706
1,XWXZX,7,[2],[1574],False,0,783
1,ATATA,15,2,1557,False,0,888
1,HXZMH,16,,,False,0,759
1,TZTZT,7,[1][3],[1124][1444],Correct,0,663
1,UOUOU,15,2,1110,False,0,711
1,ZTWAW,16,,,False,0,867
1,RZRER,7,[2][3],[1235][1571],Correct,0,921
2,JYJDJ,16,2,1093,Correct,0,841
2,DWDWD,15,2,1049,False,0,949
2,GNGNG,7,[1],[1568],False,0,785
2,NEZEZ,16,2,1592,False,0,839
2,RNROR,7,[2][3],[1168][1408],Correct,0,684
2,QTQNQ,7,[2][3],[1111][1367],Correct,0,750
2,HOHON,15,,,False,0,762
2,KPKGK,16,2,1388,Correct,0,944
2,DRDED,16,2,909,Correct,0,722
2,LNLNL,7,[1][3],[1051][1323],Correct,0,742
4,GLGLG,15,1,818,Correct,0,698
4,DTDID,16,2,825,Correct,0,752
4,SMSGS,16,2,1147,Correct,0,888
4,ZFZYZ,7,[2][3],[1123][1427],Correct,0,934
4,TSTFT,7,[2][3],[1065][1353],Correct,0,732
4,OFOFO,7,[1][3],[958][1230],Correct,0,920
4,WYFGW,16,2,880,Correct,0,757
4,WYWYW,15,1,1343,Correct,0,891
4,MFMCM,7,[2],[1416],False,0,716
4,HQHEH,16,,,False,0,714
Trials
1,D,5,3,15057,New Target,1,845
1,ZNZYZ,161,2,1264,Correct,1,889
1,FZFZF,151,2,1171,Incorrect,1,922
1,RKRKR,152,1,953,Correct,1,946
1,RXRNR,161,2,876,Correct,1,806
1,CNCFC,162,2,575,Correct,1,923
1,PDPDP,7,[1][3],[867][1171],Correct,1,802
1,CPCFC,14,2,1011,Correct,1,859
1,VLVNV,162,2,714,Correct,1,664
1,KFKFK,151,1,741,Correct,1,829
1,ZNZNZ,152,1,1008,Correct,1,767
1,KCKPD,235,2,836,Correct,1,753
1,ZKZFZ,222,2,840,Correct,1,897
1,NRNZN,162,2,967,Correct,1,671
1,KXKRK,163,2,841,Correct,1,796
1,YPYZY,164,2,899,Correct,1,717
1,FKDKF,223,1,1111,Correct,1,871
1,RPRPR,113,1,996,Correct,1,758
1,VRVKV,161,2,1478,Correct,1,820
1,RFRPR,162,2,907,Correct,1,664
1,KVKVK,151,1,955,Correct,1,909
1,YKYVY,161,2,1039,Correct,1,810
1,VDVDV,8,[1][3],[942][1293],Correct,1,863
1,DVZVZ,221,1,1120,Correct,1,706
1,YFYFY,113,1,812,Correct,1,882
1,ZYZYZ,152,1,778,Correct,1,673
1,VLVXV,161,2,929,Correct,1,865
1,DPXZX,231,2,885,Correct,1,811
1,RYRYR,113,1,884,Correct,1,922
1,PDPNP,91,[2][3],[1100][1388],Correct,1,740
1,KXKXK,13,1,821,Correct,1,933
1,ZYZYZ,152,1,800,Correct,1,771
1,VKVKV,153,1,852,Correct,1,933
1,YZYZY,154,1,1125,Correct,1,938
1,NLNZN,161,2,731,Correct,1,943
1,ZNDYZ,233,2,1190,Correct,1,771
1,PCPXP,222,2,725,Correct,1,712
1,ZVZFZ,162,2,614,Correct,1,653
1,RCRZR,163,2,743,Correct,1,773
1,LRLRL,151,1,808,Correct,1,669
1,ZDZDZ,10,[1][3],[1022][1326],Correct,1,915
1,RNRZR,14,2,870,Correct,1,947
1,CXCYC,162,2,794,Correct,1,895
1,RCRLR,163,2,967,Correct,1,758
1,FRFRF,151,1,729,Correct,1,852
1,XFXFX,152,1,693,Correct,1,823
1,RPRLR,161,2,1103,Correct,1,894
1,YXYRY,162,2,665,Correct,1,909
1,FYFYF,151,1,1000,Correct,1,786
1,YZYVY,161,2,721,Correct,1,657
1,YKYKY,151,1,749,Correct,1,731
1,XRXRX,152,1,1128,Correct,1,817
1,XVXZX,161,2,1299,Correct,1,877
1,PDPDP,11,[1][3],[836][1140],Correct,1,856
1,ZFZFZ,13,1,1097,Correct,1,937
1,PXPXP,152,1,787,Correct,1,909
1,LYLYL,153,1,1036,Correct,1,784
1,NKNKD,225,1,942,Correct,1,767
1,ZNZNZ,113,1,655,Correct,1,947
1,PYPZP,161,2,731,Correct,1,874
1,XPXPX,151,1,722,Correct,1,893
1,VLVLV,152,1,850,Correct,1,670
1,PKPXP,161,2,922,Correct,1,733
1,FZFZF,151,1,719,Correct,1,793
1,LDLDL,12,[1][3],[690][1058],Correct,1,933
2,U,5,3,4102,New Target,2,924
2,ZVZFZ,161,2,836,Correct,2,754
2,FZFZF,151,1,877,Correct,2,764
2,RFRFR,152,1,893,Correct,2,662
2,NZNKN,161,2,756,Correct,2,740
2,FZFNF,162,2,714,Correct,2,899
2,RXRXR,151,1,844,Correct,2,675
2,KRKYK,161,2,688,Correct,2,841
2,NZNPN,162,2,647,Correct,2,925
2,XPXPX,151,1,821,Correct,2,859
2,CUCUC,7,[1][3],[905][1289],Correct,2,871
2,RFRFR,13,1,834,Correct,2,710
2,VYVXV,161,2,891,Correct,2,826
2,VDVDV,191,1,1054,Correct,2,925
2,ZKZRZ,15,2,1132,Correct,2,889
2,XCXCX,151,1,920,Correct,2,796
2,CNCUC,82,[2][3],[1034][1402],Correct,2,902
2,RCRCR,13,1,1002,Correct,2,673
2,ZPZXZ,161,2,669,Correct,2,786
2,FKFYF,162,2,783,Correct,2,702
2,ZFZYZ,163,2,830,Correct,2,695
2,PXPXP,151,1,810,Correct,2,764
2,URCKC,231,2,1399,Correct,2,689
2,PCPCP,113,1,733,Correct,2,742
2,XNXNX,152,1,772,Correct,2,926
2,RCRZR,161,2,641,Correct,2,748
2,XVXVX,151,1,812,Correct,2,881
2,NRNRN,152,1,946,Correct,2,942
2,FPFPF,225,1,745,Correct,2,753
2,XVXFX,222,2,647,Correct,2,725
2,PRPRP,151,1,1035,Correct,2,671
2,FYFCF,161,2,1358,Correct,2,768
2,XUXFX,91,[2][3],[893][1213],Correct,2,817
2,CYCVC,14,2,1077,Correct,2,858
2,VDVKV,172,2,583,Correct,2,683
2,YCYCY,15,1,701,Correct,2,724
2,NKNLN,161,2,613,Correct,2,899
2,XPUKX,233,2,1033,Correct,2,736
2,ZPZPZ,113,1,758,Correct,2,920
2,KRKRK,152,1,765,Correct,2,917
2,XKXKX,153,1,833,Correct,2,942
2,YUYVY,101,[1][3],[967][1319],Incorrect,2,793
2,XKXFU,235,,,Incorrect,2,731
2,NFNFN,113,1,731,Correct,2,661
2,KDKDK,193,1,788,Correct,2,856
2,XYXKX,16,2,668,Correct,2,822
2,YZUZY,223,2,757,Incorrect,2,887
2,KFKVK,222,2,782,Correct,2,875
2,LYLYL,151,1,595,Correct,2,911
2,CXCDC,184,2,703,Incorrect,2,903
2,XZXNX,16,2,544,Correct,2,695
2,PXPXP,151,1,786,Correct,2,869
2,ZRZYZ,161,2,648,Correct,2,950
2,PUPYP,111,[1][3],[826][1114],Incorrect,2,779
2,RNRNR,14,1,732,Correct,2,798
2,KDKDK,195,1,923,Correct,2,669
2,KNKNK,15,1,846,Correct,2,805
2,PRPKP,161,2,871,Correct,2,755
2,UNYNY,221,1,923,Correct,2,839
2,NYNYN,113,1,924,Correct,2,888
2,YXYXY,152,1,692,Incorrect,2,721
2,RDRDR,196,1,735,Correct,2,900
2,FCFCF,15,1,616,Correct,2,842
2,ZKZKZ,152,2,631,Incorrect,2,807
