Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,787,Correct,0,719
1,DLDUD,16,2,1034,Correct,0,811
1,PDPGP,16,2,936,Correct,0,802
1,MWMWM,15,1,741,Correct,0,855
1,FTFTF,15,1,754,Correct,0,676
1,AXAMA,16,2,932,Correct,0,910
1,RYRGR,16,2,851,Correct,0,828
1,DODOD,15,1,695,Correct,0,797
1,QTQAQ,16,2,887,Correct,0,678
1,YEYEY,15,1,832,Correct,0,677
2,GYGDG,16,2,772,Correct,0,780
2,SWSWS,15,1,597,Correct,0,943
2,HLHUH,16,2,766,Correct,0,937
2,DEDED,15,1,652,Correct,0,661
2,ZPZOZ,16,2,704,Correct,0,941
2,ATATA,15,1,713,Correct,0,860
2,QOQOQ,15,1,629,Correct,0,761
2,FPFGF,16,2,671,Correct,0,852
2,TRTET,16,2,796,Correct,0,751
2,DQDQD,15,1,946,Correct,0,803
4,PLPLP,15,1,634,Correct,0,654
4,ATAIA,16,2,819,Correct,0,889
4,SKSGS,16,2,844,Correct,0,664
4,ZYZYZ,15,1,623,Correct,0,787
4,QSQSQ,15,1,720,Correct,0,731
4,TZTDT,16,2,712,Correct,0,847
4,JYJGJ,16,2,885,Correct,0,752
4,DYDYD,15,1,684,Correct,0,725
4,LTLCL,16,2,757,Correct,0,856
4,FQFEF,16,2,737,Correct,0,673
AT Practice
1,TKTKT,15,1,1476,Correct,0,768
1,SLSUS,16,2,1077,Correct,0,696
1,VZVGV,7,3,896,Correct,0,739
1,XWXZX,7,3,1313,Correct,0,843
1,ATATA,15,1,915,Correct,0,814
1,HXZMH,16,,,False,0,950
1,TZTZT,7,,,False,0,683
1,UOUOU,15,1,1271,Correct,0,730
1,ZTWAW,16,2,920,Correct,0,841
1,RZRER,7,3,842,Correct,0,816
2,JYJDJ,16,2,1115,Correct,0,800
2,DWDWD,15,1,868,Correct,0,841
2,GNGNG,7,1,989,False,0,670
2,NEZEZ,16,1,891,Correct,0,833
2,RNROR,7,3,881,Correct,0,724
2,QTQNQ,7,3,1010,Correct,0,881
2,HOHON,15,1,749,Correct,0,903
2,KPKGK,16,2,854,Correct,0,788
2,DRDED,16,2,1129,Correct,0,796
2,LNLNL,7,3,1234,Correct,0,770
4,GLGLG,15,1,1065,Correct,0,837
4,DTDID,16,2,906,Correct,0,659
4,SMSGS,16,2,1175,Correct,0,885
4,ZFZYZ,7,,,False,0,865
4,TSTFT,7,3,1020,Correct,0,854
4,OFOFO,7,3,1097,Correct,0,770
4,WYFGW,16,,,False,0,732
4,WYWYW,15,1,889,Correct,0,823
4,MFMCM,7,3,1019,Correct,0,826
4,HQHEH,16,2,905,Correct,0,773
Trials
1,D,5,3,9247,New Target,1,773
1,ZNZYZ,161,2,1330,Correct,1,876
1,FZFZF,151,1,1415,Correct,1,812
1,RKRKR,152,1,1033,Correct,1,804
1,RXRNR,161,2,920,Correct,1,793
1,CNCFC,162,2,895,Correct,1,699
1,PDPDP,7,3,1083,Correct,1,677
1,CPCFC,14,2,1480,Correct,1,842
1,VLVNV,162,2,1002,Correct,1,657
1,KFKFK,151,1,911,Correct,1,741
1,ZNZNZ,152,1,1299,Correct,1,798
1,KCKPD,235,2,807,Correct,1,927
1,ZKZFZ,222,2,1091,Correct,1,719
1,NRNZN,162,2,1066,Correct,1,942
1,KXKRK,163,2,1272,Correct,1,849
1,YPYZY,164,2,925,Correct,1,877
1,FKDKF,223,1,1500,Correct,1,903
1,RPRPR,113,1,1128,Correct,1,889
1,VRVKV,161,2,1055,Correct,1,905
1,RFRPR,162,2,1335,Correct,1,669
1,KVKVK,151,1,1326,Correct,1,698
1,YKYVY,161,2,901,Correct,1,753
1,VDVDV,8,3,1306,Correct,1,825
1,DVZVZ,221,,,Incorrect,1,713
1,YFYFY,113,1,946,Correct,1,701
1,ZYZYZ,152,1,840,Correct,1,723
1,VLVXV,161,2,897,Correct,1,756
1,DPXZX,231,,,Incorrect,1,694
1,RYRYR,113,1,770,Correct,1,889
1,PDPNP,91,3,879,Correct,1,724
1,KXKXK,13,1,883,Correct,1,827
1,ZYZYZ,152,1,974,Correct,1,707
1,VKVKV,153,1,747,Correct,1,904
1,YZYZY,154,1,776,Correct,1,749
1,NLNZN,161,2,1122,Correct,1,805
1,ZNDYZ,233,1,911,Incorrect,1,775
1,PCPXP,222,2,992,Correct,1,919
1,ZVZFZ,162,2,947,Correct,1,805
1,RCRZR,163,2,919,Correct,1,806
1,LRLRL,151,1,829,Correct,1,702
1,ZDZDZ,10,3,847,Correct,1,923
1,RNRZR,14,2,1059,Correct,1,941
1,CXCYC,162,2,999,Correct,1,666
1,RCRLR,163,2,987,Correct,1,767
1,FRFRF,151,1,970,Correct,1,876
1,XFXFX,152,1,816,Correct,1,758
1,RPRLR,161,2,970,Correct,1,747
1,YXYRY,162,2,874,Correct,1,945
1,FYFYF,151,1,750,Correct,1,893
1,YZYVY,161,2,843,Correct,1,770
1,YKYKY,151,1,921,Correct,1,693
1,XRXRX,152,1,1145,Correct,1,931
1,XVXZX,161,2,797,Correct,1,659
1,PDPDP,11,1,841,Incorrect,1,694
1,ZFZFZ,13,2,1037,Incorrect,1,930
1,PXPXP,152,1,972,Correct,1,879
1,LYLYL,153,1,1035,Correct,1,900
1,NKNKD,225,1,1048,Correct,1,850
1,ZNZNZ,113,1,794,Correct,1,767
1,PYPZP,161,2,850,Correct,1,937
1,XPXPX,151,1,826,Correct,1,749
1,VLVLV,152,1,765,Correct,1,885
1,PKPXP,161,2,889,Correct,1,780
1,FZFZF,151,1,908,Correct,1,853
1,LDLDL,12,3,686,Correct,1,869
2,U,5,3,5052,New Target,2,855
2,ZVZFZ,161,2,839,Correct,2,651
2,FZFZF,151,1,797,Correct,2,806
2,RFRFR,152,1,826,Correct,2,679
2,NZNKN,161,2,820,Correct,2,740
2,FZFNF,162,2,1100,Correct,2,825
2,RXRXR,151,1,736,Correct,2,660
2,KRKYK,161,2,813,Correct,2,733
2,NZNPN,162,2,1026,Correct,2,884
2,XPXPX,151,1,563,Correct,2,781
2,CUCUC,7,3,736,Correct,2,945
2,RFRFR,13,2,818,Incorrect,2,658
2,VYVXV,161,2,822,Correct,2,919
2,VDVDV,191,1,1184,Correct,2,795
2,ZKZRZ,15,2,878,Correct,2,743
2,XCXCX,151,1,904,Correct,2,707
2,CNCUC,82,3,894,Correct,2,739
2,RCRCR,13,1,866,Correct,2,799
2,ZPZXZ,161,2,1016,Correct,2,869
2,FKFYF,162,2,797,Correct,2,680
2,ZFZYZ,163,2,740,Correct,2,863
2,PXPXP,151,1,917,Correct,2,735
2,URCKC,231,2,1067,Correct,2,783
2,PCPCP,113,1,1020,Correct,2,726
2,XNXNX,152,1,894,Correct,2,797
2,RCRZR,161,2,1225,Correct,2,663
2,XVXVX,151,1,979,Correct,2,720
2,NRNRN,152,1,1075,Correct,2,872
2,FPFPF,225,1,1346,Correct,2,862
2,XVXFX,222,2,824,Correct,2,700
2,PRPRP,151,1,1069,Correct,2,927
2,FYFCF,161,2,906,Correct,2,896
2,XUXFX,91,3,725,Correct,2,679
2,CYCVC,14,2,974,Correct,2,867
2,VDVKV,172,2,867,Correct,2,739
2,YCYCY,15,1,647,Correct,2,874
2,NKNLN,161,2,721,Correct,2,926
2,XPUKX,233,3,1278,Incorrect,2,756
2,ZPZPZ,113,1,1368,Correct,2,713
2,KRKRK,152,2,1087,Incorrect,2,656
2,XKXKX,153,1,1049,Correct,2,931
2,YUYVY,101,3,838,Correct,2,815
2,XKXFU,235,2,984,Correct,2,948
2,NFNFN,113,1,825,Correct,2,850
2,KDKDK,193,1,782,Correct,2,905
2,XYXKX,16,2,1016,Correct,2,765
2,YZUZY,223,1,1039,Correct,2,694
2,KFKVK,222,2,1004,Correct,2,864
2,LYLYL,151,1,731,Correct,2,844
2,CXCDC,184,2,674,Incorrect,2,943
2,XZXNX,16,1,811,Incorrect,2,895
2,PXPXP,151,1,1280,Correct,2,871
2,ZRZYZ,161,2,884,Correct,2,854
2,PUPYP,111,3,652,Correct,2,773
2,RNRNR,14,1,1170,Correct,2,668
2,KDKDK,195,1,1280,Correct,2,728
2,KNKNK,15,1,792,Correct,2,723
2,PRPKP,161,2,749,Correct,2,950
2,UNYNY,221,1,983,Correct,2,808
2,NYNYN,113,1,918,Correct,2,874
2,YXYXY,152,1,1018,Incorrect,2,850
2,RDRDR,196,1,749,Correct,2,778
2,FCFCF,15,1,571,Correct,2,720
2,ZKZKZ,152,1,755,Correct,2,658
2,ZUZUZ,12,3,681,Correct,2,925
3,E,5,3,6545,New Target,3,888
3,YZYZY,151,1,825,Correct,3,770
3,VFVNV,161,2,718,Correct,3,934
3,KYKYK,151,1,622,Correct,3,715
3,NKNKN,152,2,761,Incorrect,3,931
