Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,682
1,DLDUD,16,,,False,0,730
1,PDPGP,16,2,1230,Correct,0,662
1,MWMWM,15,1,871,Correct,0,671
1,FTFTF,15,2,666,False,0,756
1,AXAMA,16,2,918,Correct,0,754
1,RYRGR,16,2,998,Correct,0,793
1,DODOD,15,1,598,Correct,0,761
1,QTQAQ,16,2,743,Correct,0,732
1,YEYEY,15,1,514,Correct,0,693
2,GYGDG,16,2,708,Correct,0,742
2,SWSWS,15,1,505,Correct,0,910
2,HLHUH,16,2,791,Correct,0,911
2,DEDED,15,1,633,Correct,0,931
2,ZPZOZ,16,2,626,Correct,0,914
2,ATATA,15,1,706,Correct,0,699
2,QOQOQ,15,1,712,Correct,0,904
2,FPFGF,16,2,800,Correct,0,808
2,TRTET,16,2,745,Correct,0,711
2,DQDQD,15,1,812,Correct,0,891
4,PLPLP,15,1,753,Correct,0,923
4,ATAIA,16,2,826,Correct,0,751
4,SKSGS,16,2,733,Correct,0,804
4,ZYZYZ,15,2,603,False,0,681
4,QSQSQ,15,1,818,Correct,0,947
4,TZTDT,16,2,851,Correct,0,854
4,JYJGJ,16,2,648,Correct,0,764
4,DYDYD,15,1,820,Correct,0,764
4,LTLCL,16,2,1060,Correct,0,896
4,FQFEF,16,2,633,Correct,0,948
1,SKSKS,15,1,902,Correct,0,678
1,DLDUD,16,2,690,Correct,0,939
1,PDPGP,16,1,782,False,0,708
1,MWMWM,15,1,896,Correct,0,899
1,FTFTF,15,1,757,Correct,0,771
1,AXAMA,16,2,687,Correct,0,720
1,RYRGR,16,2,699,Correct,0,753
1,DODOD,15,1,1098,Correct,0,657
1,QTQAQ,16,2,696,Correct,0,700
1,YEYEY,15,1,803,Correct,0,747
2,GYGDG,16,2,762,Correct,0,665
2,SWSWS,15,1,724,Correct,0,655
2,HLHUH,16,2,820,Correct,0,656
2,DEDED,15,1,566,Correct,0,891
2,ZPZOZ,16,2,612,Correct,0,828
2,ATATA,15,1,559,Correct,0,890
2,QOQOQ,15,1,737,Correct,0,805
2,FPFGF,16,2,711,Correct,0,872
2,TRTET,16,2,717,Correct,0,900
2,DQDQD,15,2,932,False,0,804
DT Practice
1,TKTKT,15,1,940,Correct,0,940
1,SLSUS,16,2,1059,Correct,0,702
1,VZVGV,7,,,False,0,841
1,XWXZX,7,[2][3],[715][1227],Correct,0,745
1,ATATA,15,1,875,Correct,0,924
1,HXZMH,16,,,False,0,856
1,TZTZT,7,[2],[1192],False,0,921
1,UOUOU,15,,,False,0,855
1,ZTWAW,16,2,1568,Correct,0,949
1,RZRER,7,[2],[1303],False,0,842
2,JYJDJ,16,2,1063,Correct,0,695
2,DWDWD,15,1,1063,Correct,0,686
2,GNGNG,7,[1][3],[1093][1445],Correct,0,780
2,NEZEZ,16,2,1213,False,0,736
2,RNROR,7,[2],[1156],False,0,937
2,QTQNQ,7,[2][3],[900][1171],Correct,0,917
2,HOHON,15,1,940,Correct,0,651
2,KPKGK,16,2,936,Correct,0,934
2,DRDED,16,2,1066,Correct,0,789
2,LNLNL,7,[1][3],[768][1152],Correct,0,921
4,GLGLG,15,1,1025,Correct,0,815
4,DTDID,16,2,842,Correct,0,875
4,SMSGS,16,2,913,Correct,0,742
4,ZFZYZ,7,[2][3],[819][1187],Correct,0,925
4,TSTFT,7,[2][3],[755][1043],Correct,0,684
4,OFOFO,7,[1][3],[970][1306],Correct,0,676
4,WYFGW,16,2,1481,Correct,0,807
4,WYWYW,15,1,1014,Correct,0,778
4,MFMCM,7,[2][3],[1187][1459],Correct,0,863
4,HQHEH,16,2,1405,Correct,0,698
Trials
1,D,5,3,8501,New Target,1,766
1,ZNZYZ,161,,,Incorrect,1,777
1,FZFZF,151,1,939,Correct,1,907
1,RKRKR,152,1,1086,Correct,1,827
1,RXRNR,161,2,1513,Correct,1,885
1,CNCFC,162,2,1191,Correct,1,804
1,PDPDP,7,[1][3],[879][1135],Correct,1,777
1,CPCFC,14,2,864,Correct,1,666
1,VLVNV,162,2,779,Correct,1,699
1,KFKFK,151,2,698,Incorrect,1,714
1,ZNZNZ,152,1,784,Correct,1,934
1,KCKPD,235,2,891,Correct,1,781
1,ZKZFZ,222,2,784,Correct,1,829
1,NRNZN,162,2,989,Correct,1,711
1,KXKRK,163,2,781,Correct,1,893
1,YPYZY,164,2,1307,Correct,1,682
1,FKDKF,223,2,902,Incorrect,1,664
1,RPRPR,113,1,829,Correct,1,795
1,VRVKV,161,2,757,Correct,1,758
1,RFRPR,162,2,1056,Correct,1,812
1,KVKVK,151,2,911,Incorrect,1,779
1,YKYVY,161,,,Incorrect,1,722
1,VDVDV,8,[1][3],[1190][1398],Correct,1,944
1,DVZVZ,221,1,1400,Correct,1,912
1,YFYFY,113,1,790,Correct,1,906
1,ZYZYZ,152,1,891,Correct,1,884
1,VLVXV,161,2,933,Correct,1,716
1,DPXZX,231,2,1211,Correct,1,756
1,RYRYR,113,1,1087,Correct,1,878
1,PDPNP,91,[2][3],[998][1366],Correct,1,912
1,KXKXK,13,1,1489,Correct,1,897
1,ZYZYZ,152,1,770,Correct,1,765
1,VKVKV,153,1,880,Correct,1,673
1,YZYZY,154,1,712,Correct,1,801
1,NLNZN,161,2,992,Correct,1,882
1,ZNDYZ,233,2,1076,Correct,1,788
1,PCPXP,222,2,868,Correct,1,731
1,ZVZFZ,162,1,1116,Incorrect,1,788
1,RCRZR,163,2,1226,Correct,1,780
1,LRLRL,151,1,840,Correct,1,694
1,ZDZDZ,10,[1][3],[731][1035],Correct,1,753
1,RNRZR,14,2,812,Correct,1,752
1,CXCYC,162,2,950,Correct,1,809
1,RCRLR,163,2,989,Correct,1,706
1,FRFRF,151,1,768,Correct,1,742
1,XFXFX,152,1,728,Correct,1,937
1,RPRLR,161,2,753,Correct,1,809
1,YXYRY,162,2,895,Correct,1,723
1,FYFYF,151,1,777,Correct,1,741
1,YZYVY,161,2,904,Correct,1,656
1,YKYKY,151,1,738,Correct,1,700
1,XRXRX,152,2,704,Incorrect,1,794
1,XVXZX,161,2,1265,Correct,1,719
1,PDPDP,11,[1][3],[887][1143],Correct,1,876
1,ZFZFZ,13,1,908,Correct,1,836
1,PXPXP,152,1,691,Correct,1,720
1,LYLYL,153,2,717,Incorrect,1,888
1,NKNKD,225,,,Incorrect,1,658
1,ZNZNZ,113,1,1438,Correct,1,712
1,PYPZP,161,2,990,Correct,1,828
1,XPXPX,151,1,1158,Correct,1,674
1,VLVLV,152,1,1011,Correct,1,785
1,PKPXP,161,2,1025,Correct,1,889
1,FZFZF,151,1,787,Correct,1,819
1,LDLDL,12,[1][3],[1081][1353],Correct,1,840
2,U,5,3,1917,New Target,2,690
2,ZVZFZ,161,2,1328,Correct,2,752
2,FZFZF,151,1,1067,Correct,2,669
2,RFRFR,152,1,888,Correct,2,913
2,NZNKN,161,2,927,Correct,2,738
2,FZFNF,162,2,912,Correct,2,867
2,RXRXR,151,1,834,Correct,2,848
2,KRKYK,161,2,868,Correct,2,948
2,NZNPN,162,2,813,Correct,2,802
2,XPXPX,151,1,916,Correct,2,868
2,CUCUC,7,[1][3],[1291][1563],Correct,2,702
2,RFRFR,13,1,882,Correct,2,815
2,VYVXV,161,2,905,Correct,2,817
2,VDVDV,191,1,1288,Correct,2,921
2,ZKZRZ,15,2,906,Correct,2,917
2,XCXCX,151,1,752,Correct,2,788
2,CNCUC,82,[2][3],[998][1270],Correct,2,813
2,RCRCR,13,1,975,Correct,2,746
2,ZPZXZ,161,2,790,Correct,2,760
2,FKFYF,162,2,890,Correct,2,913
2,ZFZYZ,163,2,962,Correct,2,737
2,PXPXP,151,1,823,Correct,2,766
2,URCKC,231,2,1222,Correct,2,684
2,PCPCP,113,1,940,Correct,2,936
2,XNXNX,152,1,1285,Correct,2,705
2,RCRZR,161,2,917,Correct,2,931
2,XVXVX,151,1,800,Correct,2,656
2,NRNRN,152,1,869,Correct,2,941
2,FPFPF,225,1,800,Correct,2,721
2,XVXFX,222,2,972,Correct,2,670
2,PRPRP,151,1,764,Correct,2,928
2,FYFCF,161,2,889,Correct,2,734
2,XUXFX,91,[1][2],[1039][1343],Incorrect,2,877
2,CYCVC,14,1,1262,Incorrect,2,726
2,VDVKV,172,2,1571,Correct,2,902
2,YCYCY,15,1,1002,Correct,2,878
2,NKNLN,161,2,990,Correct,2,738
2,XPUKX,233,2,1457,Correct,2,813
2,ZPZPZ,113,1,1486,Correct,2,937
2,KRKRK,152,1,1240,Correct,2,916
2,XKXKX,153,1,1125,Correct,2,776
2,YUYVY,101,[2][3],[1074][1410],Correct,2,663
2,XKXFU,235,1,915,Incorrect,2,834
2,NFNFN,113,1,1084,Correct,2,722
2,KDKDK,193,1,1225,Correct,2,879
