Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1580,Correct,0,785
1,DLDUD,16,2,1380,Correct,0,771
1,PDPGP,16,1,885,False,0,725
1,MWMWM,15,1,796,Correct,0,682
1,FTFTF,15,1,802,Correct,0,823
1,AXAMA,16,2,781,Correct,0,714
1,RYRGR,16,2,531,Correct,0,837
1,DODOD,15,1,659,Correct,0,794
1,QTQAQ,16,2,715,Correct,0,919
1,YEYEY,15,1,594,Correct,0,781
2,GYGDG,16,2,765,Correct,0,894
2,SWSWS,15,1,566,Correct,0,744
2,HLHUH,16,2,644,Correct,0,846
2,DEDED,15,1,574,Correct,0,830
2,ZPZOZ,16,2,540,Correct,0,773
2,ATATA,15,1,488,Correct,0,864
2,QOQOQ,15,1,463,Correct,0,667
2,FPFGF,16,2,514,Correct,0,763
2,TRTET,16,2,775,Correct,0,653
2,DQDQD,15,1,528,Correct,0,689
AT Practice
1,TKTKT,15,2,647,False,0,721
1,SLSUS,16,1,550,False,0,735
1,VZVGV,7,1,770,False,0,867
1,XWXZX,7,3,1126,Correct,0,848
1,ATATA,15,1,690,Correct,0,704
1,HXZMH,16,2,926,Correct,0,809
1,TZTZT,7,1,816,False,0,770
1,UOUOU,15,1,869,Correct,0,772
1,ZTWAW,16,2,681,Correct,0,822
1,RZRER,7,3,675,Correct,0,741
2,JYJDJ,16,2,656,Correct,0,781
2,DWDWD,15,1,504,Correct,0,917
2,GNGNG,7,3,695,Correct,0,890
2,NEZEZ,16,1,611,Correct,0,750
2,RNROR,7,3,651,Correct,0,886
2,QTQNQ,7,3,825,Correct,0,731
2,HOHON,15,1,715,Correct,0,826
2,KPKGK,16,2,598,Correct,0,733
2,DRDED,16,1,822,False,0,691
2,LNLNL,7,3,536,Correct,0,882
4,GLGLG,15,1,777,Correct,0,757
4,DTDID,16,2,799,Correct,0,802
4,SMSGS,16,2,912,Correct,0,910
4,ZFZYZ,7,3,685,Correct,0,919
4,TSTFT,7,2,719,False,0,674
4,OFOFO,7,3,713,Correct,0,770
4,WYFGW,16,2,1026,Correct,0,852
4,WYWYW,15,1,803,Correct,0,734
4,MFMCM,7,3,1111,Correct,0,782
4,HQHEH,16,2,784,Correct,0,841
Trials
1,D,5,3,7568,New Target,1,839
1,BNBYB,161,2,1048,Correct,1,936
1,FBFBF,151,1,790,Correct,1,808
1,RKRKR,152,1,834,Correct,1,792
1,QSQNQ,161,2,730,Correct,1,770
1,CTCFC,162,2,967,Correct,1,781
1,PDPDP,7,3,638,Correct,1,706
1,OPOFO,14,2,685,Correct,1,783
1,HLHNH,162,2,960,Correct,1,691
1,MFMFM,151,1,783,Correct,1,906
1,BTBTB,152,1,795,Correct,1,723
1,MCMPD,235,2,728,Correct,1,687
1,BMBFB,222,2,859,Correct,1,701
1,NTNZN,162,2,914,Correct,1,766
1,MXMRM,163,2,1346,Correct,1,909
1,APABA,164,2,1332,Correct,1,794
1,FMDMF,223,1,727,Correct,1,899
1,QPQPQ,113,,,Incorrect,1,868
1,VQVMV,161,2,718,Correct,1,752
1,RERPR,162,2,860,Correct,1,854
1,KVKVK,151,1,750,Correct,1,851
1,AKAHA,161,2,668,Correct,1,745
1,VDVDV,8,3,520,Correct,1,892
1,DUGUG,221,1,850,Correct,1,676
1,AFAFA,113,1,750,Correct,1,687
1,GYGYG,152,1,987,Correct,1,737
1,VXVSV,161,2,637,Correct,1,839
1,DOWGW,231,2,963,Correct,1,662
1,QYQYQ,113,1,533,Correct,1,824
1,ODONO,91,3,653,Correct,1,687
1,MSMSM,13,1,632,Correct,1,858
1,GYGYG,152,1,516,Correct,1,862
1,UMUMU,153,1,741,Correct,1,896
1,BZBZB,154,3,774,Incorrect,1,696
1,NTNBN,161,2,675,Correct,1,699
1,GNDYG,233,2,881,Correct,1,845
1,OCOSO,222,2,692,Correct,1,915
1,BHBFB,162,2,738,Correct,1,738
1,QCQBQ,163,2,658,Correct,1,720
1,LQLQL,151,2,700,Incorrect,1,909
1,ZDZDZ,10,3,729,Correct,1,811
1,QNQZQ,14,2,789,Correct,1,765
1,CSCYC,162,2,637,Correct,1,859
1,RCRLR,163,2,609,Correct,1,695
1,FRFRF,151,1,831,Correct,1,866
1,WFWFW,152,1,825,Correct,1,741
1,QOQLQ,161,2,711,Correct,1,688
1,AWAQA,162,2,713,Correct,1,746
1,EAEAE,151,1,914,Correct,1,841
1,AGAUA,161,2,755,Correct,1,905
1,YMYMY,151,1,860,Correct,1,888
1,XQXQX,152,1,876,Correct,1,933
1,SHSGS,161,2,656,Correct,1,898
1,PDPDP,11,3,722,Correct,1,739
1,ZGZGZ,13,1,789,Correct,1,675
1,OXOXO,152,1,708,Correct,1,708
1,LYLYL,153,1,688,Correct,1,887
1,NKNKD,225,1,650,Correct,1,869
1,GNGNG,113,1,999,Correct,1,876
1,OYOBO,161,2,890,Correct,1,790
1,SOSOS,151,1,884,Correct,1,710
1,VHVHV,152,1,828,Correct,1,739
1,OKOXO,161,2,578,Correct,1,820
1,EZEZE,151,1,1313,Correct,1,900
1,LDLDL,12,3,839,Correct,1,784
2,U,5,3,1713,New Target,2,787
2,BVBEB,161,2,746,Correct,2,706
2,FBFBF,151,1,823,Correct,2,787
2,RFRFR,152,1,734,Correct,2,828
2,NBNKN,161,2,839,Correct,2,886
2,MKMNM,162,2,799,Correct,2,758
2,QXQXQ,151,1,666,Correct,2,757
2,MQMYM,161,2,630,Correct,2,838
2,TGTPT,162,2,724,Correct,2,843
2,XOXOX,151,1,597,Correct,2,680
2,CUCUC,7,3,591,Correct,2,923
2,RFRFR,13,1,742,Correct,2,706
2,VYVSV,161,2,646,Correct,2,692
2,VDVDV,191,3,742,Incorrect,2,733
2,GKGQG,15,2,717,Correct,2,946
2,SCSCS,151,1,780,Correct,2,700
2,CTCUC,82,3,612,Correct,2,913
2,RCRCR,13,1,739,Correct,2,819
2,BOBXB,161,2,687,Correct,2,796
2,FMFAF,162,2,713,Correct,2,896
2,BEBAB,163,2,706,Correct,2,946
2,PWPWP,151,1,642,Correct,2,717
2,UQCKC,231,2,715,Correct,2,932
2,OCOCO,113,1,948,Correct,2,909
2,TNTNT,152,1,937,Correct,2,734
2,QCQGQ,161,1,682,Incorrect,2,855
2,WVWVW,151,1,760,Correct,2,846
2,TQTQT,152,1,644,Correct,2,780
2,FOFOF,225,1,563,Correct,2,751
2,WVWFW,222,2,817,Correct,2,898
2,SWSWS,151,1,604,Correct,2,743
2,FYFCF,161,2,511,Correct,2,689
2,SUSWS,91,3,754,Correct,2,872
2,CACHC,14,2,1129,Correct,2,900
2,VDVKV,172,2,1100,Correct,2,691
2,YCYCY,15,1,653,Correct,2,687
2,NMNTN,161,2,796,Correct,2,813
2,XOUKX,233,2,883,Correct,2,909
2,BPBPB,113,1,716,Correct,2,717
2,MRMRM,152,1,840,Correct,2,854
2,XMXMX,153,1,585,Correct,2,926
2,AUAHA,101,3,748,Correct,2,769
2,XKXEU,235,2,669,Correct,2,672
2,TFTFT,113,1,687,Correct,2,707
2,MDMDM,193,3,918,Incorrect,2,949
2,WYWMW,16,2,631,Correct,2,873
2,AZUZA,223,3,938,Incorrect,2,668
2,KEKHK,222,2,920,Correct,2,931
2,LALAL,151,1,871,Correct,2,945
2,CWCDC,184,2,690,Incorrect,2,694
2,SGSTS,16,2,716,Correct,2,935
2,PXPXP,151,1,981,Correct,2,930
2,GRGYG,161,2,699,Correct,2,650
2,PUPOP,111,3,974,Correct,2,711
2,RNRNR,14,1,784,Correct,2,830
2,KDKDK,195,2,1213,Incorrect,2,744
2,KTKTK,15,1,1172,Correct,2,828
2,OROKO,161,2,787,Correct,2,725
2,UNANA,221,1,1314,Correct,2,676
2,TATAT,113,1,667,Correct,2,703
2,AWAWA,152,1,623,Incorrect,2,650
2,RDRDR,196,1,645,Correct,2,651
2,FCFCF,15,1,553,Correct,2,676
2,ZMZMZ,152,1,585,Correct,2,911
2,BUBUB,12,3,725,Correct,2,923
3,E,5,3,1292,New Target,3,760
3,YZYZY,151,1,949,Correct,3,768
3,VFVNV,161,2,693,Correct,3,870
3,KAKAK,151,1,805,Correct,3,757
3,TKTKT,152,1,1006,Correct,3,848
3,WHWTW,161,2,718,Correct,3,815
3,QEQFQ,71,3,954,Correct,3,812
3,XNXNX,13,1,1150,Correct,3,740
3,TXTXT,152,1,586,Correct,3,763
3,GLGNG,161,2,669,Correct,3,713
3,CUCTC,171,2,1244,Correct,3,781
3,FAFQF,16,2,807,Correct,3,789
3,ZLZLZ,151,1,964,Correct,3,758
3,YZYZY,152,1,664,Correct,3,781
3,CYCYC,153,1,679,Correct,3,800
3,HUHUH,192,1,1130,Correct,3,726
3,OSORO,16,2,726,Correct,3,813
3,YOYOY,151,1,717,Correct,3,907
