Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,672
1,DLDUD,16,2,1368,Correct,0,663
1,PDPGP,16,2,991,Correct,0,657
1,MWMWM,15,1,793,Correct,0,934
1,FTFTF,15,1,945,Correct,0,748
1,AXAMA,16,2,977,Correct,0,788
1,RYRGR,16,2,834,Correct,0,827
1,DODOD,15,1,708,Correct,0,873
1,QTQAQ,16,2,1293,Correct,0,897
1,YEYEY,15,1,762,Correct,0,874
2,GYGDG,16,2,929,Correct,0,842
2,SWSWS,15,1,846,Correct,0,930
2,HLHUH,16,2,944,Correct,0,860
2,DEDED,15,1,1165,Correct,0,879
2,ZPZOZ,16,2,887,Correct,0,767
2,ATATA,15,1,772,Correct,0,947
2,QOQOQ,15,1,889,Correct,0,833
2,FPFGF,16,2,875,Correct,0,773
2,TRTET,16,2,865,Correct,0,681
2,DQDQD,15,1,1209,Correct,0,699
4,PLPLP,15,1,867,Correct,0,870
4,ATAIA,16,2,951,Correct,0,839
4,SKSGS,16,2,763,Correct,0,721
4,ZYZYZ,15,1,884,Correct,0,726
4,QSQSQ,15,2,841,False,0,770
4,TZTDT,16,2,930,Correct,0,666
4,JYJGJ,16,2,1114,Correct,0,658
4,DYDYD,15,1,643,Correct,0,795
4,LTLCL,16,2,835,Correct,0,716
4,FQFEF,16,2,918,Correct,0,811
AT Practice
1,TKTKT,15,1,1253,Correct,0,774
1,SLSUS,16,2,744,Correct,0,808
1,VZVGV,7,3,976,Correct,0,766
1,XWXZX,7,3,885,Correct,0,664
1,ATATA,15,1,907,Correct,0,701
1,HXZMH,16,2,1007,Correct,0,744
1,TZTZT,7,3,713,Correct,0,865
1,UOUOU,15,1,1053,Correct,0,950
1,ZTWAW,16,2,970,Correct,0,781
1,RZRER,7,3,841,Correct,0,781
2,JYJDJ,16,2,982,Correct,0,759
2,DWDWD,15,1,901,Correct,0,836
2,GNGNG,7,3,851,Correct,0,852
2,NEZEZ,16,1,1397,Correct,0,867
2,RNROR,7,3,851,Correct,0,748
2,QTQNQ,7,3,960,Correct,0,943
2,HOHON,15,1,960,Correct,0,791
2,KPKGK,16,2,994,Correct,0,705
2,DRDED,16,2,1163,Correct,0,925
2,LNLNL,7,3,817,Correct,0,877
4,GLGLG,15,1,1067,Correct,0,807
4,DTDID,16,2,1256,Correct,0,799
4,SMSGS,16,2,1294,Correct,0,783
4,ZFZYZ,7,3,818,Correct,0,780
4,TSTFT,7,3,762,Correct,0,742
4,OFOFO,7,3,739,Correct,0,755
4,WYFGW,16,2,1210,Correct,0,820
4,WYWYW,15,1,911,Correct,0,784
4,MFMCM,7,3,819,Correct,0,810
4,HQHEH,16,2,919,Correct,0,822
Trials
1,D,5,3,11243,New Target,1,726
1,ZNZYZ,161,2,1145,Correct,1,884
1,FZFZF,151,1,1097,Correct,1,690
1,RKRKR,152,1,771,Correct,1,851
1,RXRNR,161,2,864,Correct,1,720
1,CNCFC,162,2,823,Correct,1,779
1,PDPDP,7,3,591,Correct,1,830
1,CPCFC,14,2,1195,Correct,1,918
1,VLVNV,162,2,884,Correct,1,880
1,KFKFK,151,1,1357,Correct,1,771
1,ZNZNZ,152,2,1127,Incorrect,1,662
1,KCKPD,235,2,963,Correct,1,776
1,ZKZFZ,222,2,967,Correct,1,797
1,NRNZN,162,2,987,Correct,1,748
1,KXKRK,163,2,810,Correct,1,867
1,YPYZY,164,2,898,Correct,1,832
1,FKDKF,223,1,869,Correct,1,893
1,RPRPR,113,,,Incorrect,1,782
1,VRVKV,161,2,1163,Correct,1,672
1,RFRPR,162,2,1004,Correct,1,661
1,KVKVK,151,1,1263,Correct,1,780
1,YKYVY,161,2,823,Correct,1,755
1,VDVDV,8,3,688,Correct,1,749
1,DVZVZ,221,2,927,Incorrect,1,804
1,YFYFY,113,2,878,Incorrect,1,915
1,ZYZYZ,152,1,918,Correct,1,757
1,VLVXV,161,2,714,Correct,1,841
1,DPXZX,231,2,899,Correct,1,881
1,RYRYR,113,1,852,Correct,1,929
1,PDPNP,91,3,827,Correct,1,811
1,KXKXK,13,1,813,Correct,1,948
1,ZYZYZ,152,1,870,Correct,1,800
1,VKVKV,153,1,794,Correct,1,836
1,YZYZY,154,1,841,Correct,1,688
1,NLNZN,161,2,787,Correct,1,766
1,ZNDYZ,233,1,1338,Incorrect,1,890
1,PCPXP,222,2,1053,Correct,1,867
1,ZVZFZ,162,2,884,Correct,1,659
1,RCRZR,163,2,792,Correct,1,913
1,LRLRL,151,1,1212,Correct,1,950
1,ZDZDZ,10,3,840,Correct,1,750
1,RNRZR,14,2,964,Correct,1,676
1,CXCYC,162,2,969,Correct,1,755
1,RCRLR,163,2,941,Correct,1,789
1,FRFRF,151,1,702,Correct,1,900
1,XFXFX,152,1,861,Correct,1,742
1,RPRLR,161,2,933,Correct,1,819
1,YXYRY,162,2,777,Correct,1,810
1,FYFYF,151,1,739,Correct,1,831
1,YZYVY,161,2,686,Correct,1,844
1,YKYKY,151,1,665,Correct,1,847
1,XRXRX,152,1,838,Correct,1,842
1,XVXZX,161,2,1576,Correct,1,932
1,PDPDP,11,3,790,Correct,1,765
1,ZFZFZ,13,1,834,Correct,1,706
1,PXPXP,152,1,809,Correct,1,833
1,LYLYL,153,1,783,Correct,1,834
1,NKNKD,225,2,830,Incorrect,1,711
1,ZNZNZ,113,1,963,Correct,1,896
1,PYPZP,161,2,805,Correct,1,842
1,XPXPX,151,1,730,Correct,1,901
1,VLVLV,152,1,1127,Correct,1,736
1,PKPXP,161,2,1314,Correct,1,907
1,FZFZF,151,1,1005,Correct,1,698
1,LDLDL,12,3,593,Correct,1,747
2,U,5,3,1789,New Target,2,808
2,ZVZFZ,161,,,Incorrect,2,796
2,FZFZF,151,1,730,Correct,2,862
2,RFRFR,152,1,856,Correct,2,729
2,NZNKN,161,2,819,Correct,2,670
2,FZFNF,162,2,853,Correct,2,933
2,RXRXR,151,1,831,Correct,2,734
2,KRKYK,161,2,791,Correct,2,897
2,NZNPN,162,2,929,Correct,2,799
2,XPXPX,151,1,739,Correct,2,829
2,CUCUC,7,3,1344,Correct,2,732
2,RFRFR,13,1,1489,Correct,2,885
2,VYVXV,161,2,805,Correct,2,714
2,VDVDV,191,1,1103,Correct,2,775
2,ZKZRZ,15,2,1016,Correct,2,916
2,XCXCX,151,,,Incorrect,2,824
2,CNCUC,82,2,1104,Incorrect,2,870
2,RCRCR,13,1,1052,Correct,2,905
2,ZPZXZ,161,2,761,Correct,2,856
2,FKFYF,162,2,785,Correct,2,903
2,ZFZYZ,163,2,712,Correct,2,858
2,PXPXP,151,1,695,Correct,2,683
2,URCKC,231,2,932,Correct,2,777
2,PCPCP,113,1,1118,Correct,2,657
2,XNXNX,152,2,973,Incorrect,2,700
2,RCRZR,161,2,815,Correct,2,787
2,XVXVX,151,1,1287,Correct,2,822
2,NRNRN,152,1,1266,Correct,2,701
2,FPFPF,225,1,807,Correct,2,876
2,XVXFX,222,2,830,Correct,2,842
2,PRPRP,151,1,853,Correct,2,817
2,FYFCF,161,2,1164,Correct,2,911
2,XUXFX,91,3,769,Correct,2,887
2,CYCVC,14,2,1122,Correct,2,652
2,VDVKV,172,2,948,Correct,2,655
2,YCYCY,15,1,1124,Correct,2,901
2,NKNLN,161,2,831,Correct,2,862
2,XPUKX,233,2,773,Correct,2,837
2,ZPZPZ,113,1,1013,Correct,2,722
2,KRKRK,152,1,726,Correct,2,819
2,XKXKX,153,1,884,Correct,2,751
2,YUYVY,101,3,605,Correct,2,747
2,XKXFU,235,2,713,Correct,2,947
2,NFNFN,113,1,1142,Correct,2,808
2,KDKDK,193,1,950,Correct,2,777
2,XYXKX,16,2,765,Correct,2,719
2,YZUZY,223,1,1010,Correct,2,950
2,KFKVK,222,3,963,Incorrect,2,846
2,LYLYL,151,1,954,Correct,2,712
2,CXCDC,184,2,732,Incorrect,2,866
2,XZXNX,16,2,839,Correct,2,810
2,PXPXP,151,1,859,Correct,2,935
2,ZRZYZ,161,2,846,Correct,2,906
2,PUPYP,111,3,825,Correct,2,742
2,RNRNR,14,1,1088,Correct,2,769
2,KDKDK,195,1,890,Correct,2,858
2,KNKNK,15,1,820,Correct,2,738
2,PRPKP,161,2,778,Correct,2,810
2,UNYNY,221,1,1137,Correct,2,851
2,NYNYN,113,1,1086,Correct,2,820
2,YXYXY,152,1,937,Incorrect,2,894
2,RDRDR,196,1,897,Correct,2,700
2,FCFCF,15,1,676,Correct,2,842
2,ZKZKZ,152,1,800,Correct,2,850
2,ZUZUZ,12,3,807,Correct,2,800
3,E,5,3,2719,New Target,3,881
3,YZYZY,151,1,1014,Correct,3,907
3,VFVNV,161,2,852,Correct,3,911
3,KYKYK,151,1,939,Correct,3,839
3,NKNKN,152,1,745,Correct,3,937
