Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1084,Correct,0,933
1,DLDUD,16,2,1125,Correct,0,829
1,PDPGP,16,2,810,Correct,0,943
1,MWMWM,15,1,772,Correct,0,732
1,FTFTF,15,1,831,Correct,0,658
1,AXAMA,16,2,918,Correct,0,691
1,RYRGR,16,2,777,Correct,0,764
1,DODOD,15,1,579,Correct,0,714
1,QTQAQ,16,2,654,Correct,0,867
1,YEYEY,15,1,673,Correct,0,660
AT Practice
1,TKTKT,15,1,672,Correct,0,888
1,SLSUS,16,2,637,Correct,0,717
1,VZVGV,7,3,795,Correct,0,750
1,XWXZX,7,3,823,Correct,0,661
1,ATATA,15,1,955,Correct,0,772
1,HXZMH,16,2,1072,Correct,0,680
1,TZTZT,7,3,656,Correct,0,716
1,UOUOU,15,1,556,Correct,0,846
1,ZTWAW,16,2,810,Correct,0,801
1,RZRER,7,3,650,Correct,0,919
2,JYJDJ,16,2,778,Correct,0,808
2,DWDWD,15,1,768,Correct,0,789
2,GNGNG,7,3,547,Correct,0,928
2,NEZEZ,16,1,739,Correct,0,739
2,RNROR,7,1,661,False,0,919
2,QTQNQ,7,2,1020,False,0,893
2,HOHON,15,1,779,Correct,0,813
2,KPKGK,16,,,False,0,690
2,DRDED,16,2,1150,Correct,0,710
2,LNLNL,7,3,676,Correct,0,816
4,GLGLG,15,1,815,Correct,0,869
4,DTDID,16,2,692,Correct,0,769
4,SMSGS,16,2,750,Correct,0,822
4,ZFZYZ,7,3,504,Correct,0,791
4,TSTFT,7,3,989,Correct,0,730
4,OFOFO,7,3,815,Correct,0,671
4,WYFGW,16,2,1044,Correct,0,761
4,WYWYW,15,3,944,False,0,846
4,MFMCM,7,3,802,Correct,0,771
4,HQHEH,16,2,901,Correct,0,865
Trials
1,D,5,3,3288,New Target,1,927
1,BYBYB,151,1,727,Correct,1,924
1,FBFBF,152,1,655,Correct,1,924
1,RKRKR,153,1,623,Correct,1,799
1,QSQNQ,161,2,1088,Correct,1,814
1,CTCFC,162,2,787,Correct,1,687
1,PDPDP,7,3,607,Correct,1,781
1,OPOFO,14,2,700,Correct,1,913
1,HLHNH,162,2,757,Correct,1,950
1,MFMFM,151,1,665,Correct,1,933
1,BTBTB,152,1,712,Correct,1,736
1,MCMPD,235,2,659,Correct,1,837
1,BMBFB,222,2,862,Correct,1,934
1,NTNZN,162,2,722,Correct,1,892
1,MXMRM,163,2,798,Correct,1,909
1,APABA,164,2,761,Correct,1,771
1,FMDMF,223,1,1138,Correct,1,858
1,QPQPQ,111,1,720,Correct,1,789
1,VQVMV,161,2,648,Correct,1,917
1,RERPR,162,2,754,Correct,1,921
1,KVKVK,151,1,732,Correct,1,797
1,AKAHA,161,2,709,Correct,1,843
1,VDVDV,8,3,776,Correct,1,684
1,DUGUG,221,1,834,Correct,1,853
1,AFAFA,111,1,630,Correct,1,879
1,GYGYG,152,1,728,Correct,1,772
1,VXVSV,161,2,648,Correct,1,746
1,DOWGW,231,2,840,Correct,1,719
1,QYQYQ,111,1,591,Correct,1,864
1,ODONO,91,3,620,Correct,1,941
1,MSMSM,13,1,654,Correct,1,730
1,GYGYG,152,1,654,Correct,1,803
1,UMUMU,153,1,732,Correct,1,847
1,BZBZB,154,1,765,Correct,1,682
1,NTNBN,161,2,647,Correct,1,805
1,GNDYG,233,2,1179,Correct,1,694
1,OCOSO,222,2,939,Correct,1,665
1,BHBFB,162,2,1085,Correct,1,890
1,QCQBQ,163,2,798,Correct,1,692
1,LQLQL,151,1,710,Correct,1,836
1,ZDZDZ,10,3,586,Correct,1,674
1,QNQZQ,14,2,746,Correct,1,848
1,CSCYC,162,2,642,Correct,1,916
1,RCRLR,163,2,753,Correct,1,781
1,FRFRF,151,1,730,Correct,1,811
1,WFWFW,152,1,665,Correct,1,781
1,QOQLQ,161,2,677,Correct,1,906
1,AWAQA,162,2,918,Correct,1,727
1,EAEAE,151,1,657,Correct,1,720
1,AGAUA,161,2,620,Correct,1,928
1,YMYMY,151,1,605,Correct,1,775
1,XQXQX,152,1,590,Correct,1,750
1,SHSGS,161,2,640,Correct,1,837
1,PDPDP,11,1,592,Incorrect,1,754
1,ZGZGZ,13,1,833,Correct,1,871
1,OXOXO,152,1,789,Correct,1,865
1,LYLYL,153,1,700,Correct,1,837
1,NKNKD,225,1,649,Correct,1,800
1,GNGNG,111,1,1145,Correct,1,738
1,OYOBO,161,2,675,Correct,1,859
1,SOSOS,151,1,769,Correct,1,855
1,VHVHV,152,1,608,Correct,1,721
1,OKOXO,161,2,717,Correct,1,866
1,EZEZE,151,1,1228,Correct,1,751
1,LDLDL,12,3,535,Correct,1,738
2,U,5,3,3380,New Target,2,791
2,BVBEB,161,2,762,Correct,2,720
2,FBFBF,151,1,646,Correct,2,733
2,RFRFR,152,1,664,Correct,2,776
2,NBNKN,161,2,803,Correct,2,903
2,MKMNM,162,2,823,Correct,2,881
2,QXQXQ,151,1,543,Correct,2,837
2,MQMYM,161,2,721,Correct,2,813
2,TGTPT,162,2,762,Correct,2,867
2,XOXOX,151,1,661,Correct,2,844
2,CUCUC,7,3,750,Correct,2,923
2,RFRFR,13,1,778,Correct,2,761
2,VYVSV,161,2,643,Correct,2,842
2,BEBAB,162,2,762,Correct,2,653
2,GKGQG,163,2,605,Correct,2,949
2,SCSCS,151,1,781,Correct,2,792
2,CTCUC,82,3,631,Correct,2,823
2,RCRCR,13,1,626,Correct,2,886
2,BOBXB,161,2,638,Correct,2,886
2,FMFAF,162,2,779,Correct,2,816
2,VDVDV,191,1,761,Correct,2,707
2,PWPWP,15,1,696,Correct,2,695
2,UQCKC,231,2,753,Correct,2,896
2,OCOCO,151,1,684,Correct,2,828
2,TNTNT,152,1,599,Correct,2,879
2,QCQGQ,161,2,966,Correct,2,840
2,WVWVW,151,1,748,Correct,2,719
2,TQTQT,152,1,696,Correct,2,785
2,FOFOF,225,1,658,Correct,2,901
2,WVWFW,161,2,786,Correct,2,773
2,SWSWS,151,1,616,Correct,2,926
2,FYFCF,161,2,676,Correct,2,916
2,SUSWS,91,3,668,Correct,2,944
2,CACHC,14,2,752,Correct,2,668
2,VDVKV,172,2,731,Correct,2,818
2,YCYCY,15,1,629,Correct,2,894
2,NMNTN,161,2,803,Correct,2,852
2,XOUKX,233,2,656,Correct,2,715
2,BPBPB,151,1,880,Correct,2,809
2,MRMRM,152,1,709,Correct,2,785
2,XMXMX,153,1,580,Correct,2,746
2,AUAHA,101,3,637,Correct,2,660
2,XKXEU,235,2,902,Correct,2,948
2,TFTFT,151,1,655,Correct,2,667
2,MDMDM,193,1,649,Correct,2,895
2,WYWMW,16,2,648,Correct,2,821
2,AZUZA,223,1,1021,Correct,2,663
2,KEKHK,161,2,686,Correct,2,757
2,LALAL,151,1,703,Correct,2,692
2,CWCDC,184,2,1040,Incorrect,2,706
2,SGSTS,16,2,874,Correct,2,942
2,PXPXP,151,1,643,Correct,2,697
2,GRGYG,161,2,726,Correct,2,719
2,PUPOP,111,3,643,Correct,2,829
2,RNRNR,14,1,721,Correct,2,804
2,KDKDK,195,1,1066,Correct,2,877
2,KTKTK,15,1,825,Correct,2,808
2,OROKO,161,2,937,Correct,2,663
2,UNANA,221,1,920,Correct,2,941
2,TATAT,151,1,745,Correct,2,906
2,AWAWA,152,1,777,Incorrect,2,673
2,RDRDR,196,1,708,Correct,2,871
2,FCFCF,15,1,635,Correct,2,946
2,ZMZMZ,152,1,701,Correct,2,744
2,BUBUB,12,3,704,Correct,2,699
3,E,5,3,11620,New Target,3,857
3,YZYZY,151,1,559,Correct,3,779
3,VFVNV,161,2,667,Correct,3,872
3,KAKAK,151,1,550,Correct,3,937
3,TKTKT,152,1,904,Correct,3,822
3,WHWTW,161,2,738,Correct,3,739
3,QEQFQ,71,3,1070,Correct,3,773
3,XNXNX,13,1,622,Correct,3,795
3,TXTXT,152,1,621,Correct,3,796
3,GLGNG,161,2,686,Correct,3,822
3,CUCTC,171,2,743,Correct,3,884
3,FAFQF,16,2,820,Correct,3,784
3,ZLZLZ,151,1,651,Correct,3,800
3,YZYZY,152,1,586,Correct,3,781
3,CYCYC,153,1,591,Correct,3,716
3,HUHUH,192,1,838,Correct,3,702
3,OSORO,16,2,714,Correct,3,929
3,YOYOY,151,1,585,Correct,3,761
3,CECEC,8,3,588,Correct,3,760
3,VNENV,223,1,1024,Correct,3,695
3,KQKFK,222,2,646,Correct,3,703
3,XLXLE,225,1,895,Correct,3,924
3,QUQUQ,193,1,743,Correct,3,709
3,SWSLS,16,2,660,Correct,3,743
3,NBNPN,162,2,754,Correct,3,801
3,SGSGS,151,1,623,Correct,3,717
3,FBFBF,152,1,597,Correct,3,652
3,PFPFP,153,1,600,Correct,3,777
