Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1145,Correct,0,708
1,DLDUD,16,1,844,False,0,942
1,PDPGP,16,2,1569,Correct,0,735
1,MWMWM,15,1,1054,Correct,0,654
1,FTFTF,15,2,1228,False,0,713
1,AXAMA,16,,,False,0,693
1,RYRGR,16,1,1034,False,0,903
1,DODOD,15,1,826,Correct,0,701
1,QTQAQ,16,2,835,Correct,0,723
1,YEYEY,15,1,633,Correct,0,742
2,GYGDG,16,2,888,Correct,0,701
2,SWSWS,15,1,638,Correct,0,734
2,HLHUH,16,2,789,Correct,0,950
2,DEDED,15,1,564,Correct,0,942
2,ZPZOZ,16,2,598,Correct,0,728
2,ATATA,15,1,1290,Correct,0,688
2,QOQOQ,15,1,611,Correct,0,697
2,FPFGF,16,2,675,Correct,0,693
2,TRTET,16,2,1086,Correct,0,821
2,DQDQD,15,1,1141,Correct,0,863
4,PLPLP,15,1,1255,Correct,0,672
4,ATAIA,16,2,938,Correct,0,836
4,SKSGS,16,2,815,Correct,0,656
4,ZYZYZ,15,1,792,Correct,0,718
4,QSQSQ,15,1,517,Correct,0,678
4,TZTDT,16,2,649,Correct,0,699
4,JYJGJ,16,2,614,Correct,0,763
4,DYDYD,15,1,738,Correct,0,793
4,LTLCL,16,2,605,Correct,0,742
4,FQFEF,16,1,650,False,0,778
1,SKSKS,15,2,703,False,0,828
1,DLDUD,16,2,789,Correct,0,945
1,PDPGP,16,,,False,0,894
1,MWMWM,15,1,1104,Correct,0,793
1,FTFTF,15,1,566,Correct,0,882
1,AXAMA,16,2,721,Correct,0,942
1,RYRGR,16,2,637,Correct,0,667
1,DODOD,15,1,622,Correct,0,671
1,QTQAQ,16,2,614,Correct,0,915
1,YEYEY,15,1,760,Correct,0,757
DT Practice
1,TKTKT,15,,,False,0,901
1,SLSUS,16,2,955,Correct,0,860
1,VZVGV,7,[2],[1024],False,0,862
1,XWXZX,7,,,False,0,906
1,ATATA,15,2,838,False,0,871
1,HXZMH,16,,,False,0,749
1,TZTZT,7,[1][3],[702][1134],Correct,0,824
1,UOUOU,15,2,827,False,0,658
1,ZTWAW,16,2,1322,Correct,0,943
1,RZRER,7,[1],[1075],False,0,898
2,JYJDJ,16,2,924,Correct,0,840
2,DWDWD,15,2,675,False,0,687
2,GNGNG,7,[2],[1046],False,0,928
2,NEZEZ,16,2,775,False,0,904
2,RNROR,7,[2],[1518],False,0,907
2,QTQNQ,7,[2][1],[951][1431],False,0,920
2,HOHON,15,2,751,False,0,684
2,KPKGK,16,2,1144,Correct,0,776
2,DRDED,16,2,970,Correct,0,922
2,LNLNL,7,[1][3],[1072][1199],Correct,0,697
4,GLGLG,15,,,False,0,858
4,DTDID,16,2,729,Correct,0,816
4,SMSGS,16,2,952,Correct,0,668
4,ZFZYZ,7,,,False,0,892
4,TSTFT,7,[2],[1251],False,0,894
4,OFOFO,7,[1][3],[760][968],Correct,0,778
4,WYFGW,16,2,971,Correct,0,876
4,WYWYW,15,2,992,False,0,686
4,MFMCM,7,[1],[1174],False,0,677
4,HQHEH,16,2,812,Correct,0,670
1,TKTKT,15,1,727,Correct,0,845
1,SLSUS,16,2,947,Correct,0,664
1,VZVGV,7,[2],[703],False,0,854
1,XWXZX,7,[1][2],[1083][1451],False,0,739
1,ATATA,15,2,775,False,0,849
1,HXZMH,16,2,1473,Correct,0,738
1,TZTZT,7,[1],[1524],False,0,941
1,UOUOU,15,2,757,False,0,857
1,ZTWAW,16,2,1026,Correct,0,697
1,RZRER,7,[1][3],[1053][1341],False,0,835
2,JYJDJ,16,2,760,Correct,0,848
2,DWDWD,15,1,1229,Correct,0,856
2,GNGNG,7,[1][3],[1021][1181],Correct,0,833
2,NEZEZ,16,1,979,Correct,0,760
2,RNROR,7,,,False,0,881
2,QTQNQ,7,[1][3],[1199][1343],False,0,835
2,HOHON,15,1,1401,Correct,0,787
2,KPKGK,16,2,1011,Correct,0,912
2,DRDED,16,2,1092,Correct,0,747
2,LNLNL,7,[1][3],[1208][1352],Correct,0,865
4,GLGLG,15,1,712,Correct,0,695
4,DTDID,16,2,642,Correct,0,768
4,SMSGS,16,2,860,Correct,0,812
4,ZFZYZ,7,[1][2],[756][1268],False,0,718
4,TSTFT,7,[2][3],[1108][1268],Correct,0,939
4,OFOFO,7,[1][3],[807][951],Correct,0,698
4,WYFGW,16,2,666,Correct,0,717
4,WYWYW,15,1,673,Correct,0,843
4,MFMCM,7,,,False,0,889
4,HQHEH,16,2,1144,Correct,0,835
Trials
1,D,5,3,8486,New Target,1,793
1,ZNZYZ,161,2,1152,Correct,1,852
1,FZFZF,151,1,1050,Correct,1,863
1,RKRKR,152,1,1004,Correct,1,723
1,RXRNR,161,2,894,Correct,1,784
1,CNCFC,162,2,1106,Correct,1,873
1,PDPDP,7,[1][3],[908][1051],Correct,1,739
1,CPCFC,14,2,894,Correct,1,771
1,VLVNV,162,2,824,Correct,1,755
1,KFKFK,151,1,980,Correct,1,735
1,ZNZNZ,152,1,835,Correct,1,947
1,KCKPD,235,2,917,Correct,1,917
1,ZKZFZ,222,2,999,Correct,1,847
1,NRNZN,162,2,1045,Correct,1,922
1,KXKRK,163,2,868,Correct,1,811
1,YPYZY,164,2,887,Correct,1,915
1,FKDKF,223,2,1002,Incorrect,1,894
1,RPRPR,113,1,1561,Correct,1,781
1,VRVKV,161,2,879,Correct,1,934
1,RFRPR,162,2,907,Correct,1,692
1,KVKVK,151,1,992,Correct,1,831
1,YKYVY,161,2,793,Correct,1,680
1,VDVDV,8,[1][3],[861][1037],Correct,1,894
1,DVZVZ,221,1,1370,Correct,1,791
1,YFYFY,113,1,962,Correct,1,725
1,ZYZYZ,152,1,758,Correct,1,802
1,VLVXV,161,2,910,Correct,1,928
1,DPXZX,231,2,881,Correct,1,835
1,RYRYR,113,1,1158,Correct,1,854
1,PDPNP,91,[2][3],[1323][1499],Correct,1,724
1,KXKXK,13,1,1132,Correct,1,848
1,ZYZYZ,152,1,718,Correct,1,708
1,VKVKV,153,1,1134,Correct,1,722
1,YZYZY,154,1,727,Correct,1,843
1,NLNZN,161,2,884,Correct,1,739
1,ZNDYZ,233,2,1237,Correct,1,871
1,PCPXP,222,2,960,Correct,1,704
1,ZVZFZ,162,2,874,Correct,1,681
1,RCRZR,163,2,701,Correct,1,875
1,LRLRL,151,1,825,Correct,1,805
1,ZDZDZ,10,[1][3],[1005][1149],Correct,1,935
1,RNRZR,14,2,944,Correct,1,882
1,CXCYC,162,2,777,Correct,1,666
1,RCRLR,163,2,694,Correct,1,756
1,FRFRF,151,1,801,Correct,1,853
1,XFXFX,152,1,859,Correct,1,825
1,RPRLR,161,2,821,Correct,1,706
1,YXYRY,162,2,835,Correct,1,689
1,FYFYF,151,1,1225,Correct,1,849
1,YZYVY,161,2,720,Correct,1,869
1,YKYKY,151,1,863,Correct,1,761
1,XRXRX,152,1,920,Correct,1,739
1,XVXZX,161,2,809,Correct,1,917
1,PDPDP,11,[1][3],[713][873],Correct,1,717
1,ZFZFZ,13,1,999,Correct,1,757
1,PXPXP,152,1,789,Correct,1,866
1,LYLYL,153,1,1157,Correct,1,691
1,NKNKD,225,1,898,Correct,1,767
1,ZNZNZ,113,1,905,Correct,1,698
1,PYPZP,161,2,1006,Correct,1,755
1,XPXPX,151,1,1045,Correct,1,704
1,VLVLV,152,1,698,Correct,1,655
1,PKPXP,161,2,1321,Correct,1,733
1,FZFZF,151,1,989,Correct,1,894
1,LDLDL,12,[1],[1293],Incorrect,1,860
2,U,5,3,888,New Target,2,715
2,ZVZFZ,161,2,765,Correct,2,697
2,FZFZF,151,1,707,Correct,2,877
2,RFRFR,152,1,1142,Correct,2,706
2,NZNKN,161,2,759,Correct,2,662
2,FZFNF,162,2,962,Correct,2,791
2,RXRXR,151,1,1031,Correct,2,753
2,KRKYK,161,2,837,Correct,2,877
2,NZNPN,162,2,760,Correct,2,950
2,XPXPX,151,1,969,Correct,2,673
2,CUCUC,7,[1][3],[960][1088],Correct,2,676
2,RFRFR,13,1,974,Correct,2,695
2,VYVXV,161,2,510,Correct,2,895
2,VDVDV,191,1,881,Correct,2,829
2,ZKZRZ,15,2,683,Correct,2,714
2,XCXCX,151,1,590,Correct,2,670
2,CNCUC,82,[2][3],[984][1143],Correct,2,857
2,RCRCR,13,1,629,Correct,2,778
2,ZPZXZ,161,2,572,Correct,2,660
2,FKFYF,162,2,656,Correct,2,718
2,ZFZYZ,163,2,845,Correct,2,844
2,PXPXP,151,1,827,Correct,2,678
2,URCKC,231,2,693,Correct,2,788
2,PCPCP,113,1,1349,Correct,2,769
2,XNXNX,152,1,894,Correct,2,696
2,RCRZR,161,2,1113,Correct,2,670
2,XVXVX,151,1,743,Correct,2,810
