Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,908
1,DLDUD,16,2,1574,Correct,0,656
1,PDPGP,16,1,736,False,0,725
1,MWMWM,15,1,1014,Correct,0,873
1,FTFTF,15,1,837,Correct,0,802
1,AXAMA,16,2,769,Correct,0,937
1,RYRGR,16,2,870,Correct,0,854
1,DODOD,15,1,615,Correct,0,844
1,QTQAQ,16,2,801,Correct,0,867
1,YEYEY,15,1,666,Correct,0,715
2,GYGDG,16,2,904,Correct,0,771
2,SWSWS,15,1,491,Correct,0,785
2,HLHUH,16,2,686,Correct,0,756
2,DEDED,15,1,592,Correct,0,663
2,ZPZOZ,16,2,693,Correct,0,939
2,ATATA,15,1,787,Correct,0,727
2,QOQOQ,15,1,688,Correct,0,654
2,FPFGF,16,2,653,Correct,0,727
2,TRTET,16,2,612,Correct,0,912
2,DQDQD,15,1,618,Correct,0,942
4,PLPLP,15,1,845,Correct,0,719
4,ATAIA,16,2,645,Correct,0,702
4,SKSGS,16,1,447,False,0,897
4,ZYZYZ,15,2,702,False,0,874
4,QSQSQ,15,1,552,Correct,0,825
4,TZTDT,16,2,628,Correct,0,883
4,JYJGJ,16,2,784,Correct,0,849
4,DYDYD,15,1,652,Correct,0,676
4,LTLCL,16,2,600,Correct,0,828
4,FQFEF,16,2,610,Correct,0,877
AT Practice
1,TKTKT,15,1,689,Correct,0,772
1,SLSUS,16,2,648,Correct,0,886
1,VZVGV,7,3,867,Correct,0,805
1,XWXZX,7,3,598,Correct,0,777
1,ATATA,15,1,626,Correct,0,849
1,HXZMH,16,2,638,Correct,0,849
1,TZTZT,7,3,461,Correct,0,813
1,UOUOU,15,1,882,Correct,0,742
1,ZTWAW,16,2,755,Correct,0,822
1,RZRER,7,3,506,Correct,0,827
2,JYJDJ,16,2,810,Correct,0,679
2,DWDWD,15,1,568,Correct,0,949
2,GNGNG,7,3,774,Correct,0,831
2,NEZEZ,16,1,854,Correct,0,937
2,RNROR,7,2,442,False,0,895
2,QTQNQ,7,3,958,Correct,0,738
2,HOHON,15,1,464,Correct,0,712
2,KPKGK,16,2,392,Correct,0,692
2,DRDED,16,1,561,False,0,708
2,LNLNL,7,3,831,Correct,0,853
4,GLGLG,15,1,937,Correct,0,829
4,DTDID,16,2,683,Correct,0,775
4,SMSGS,16,1,657,False,0,942
4,ZFZYZ,7,3,507,Correct,0,805
4,TSTFT,7,2,671,False,0,692
4,OFOFO,7,3,660,Correct,0,945
4,WYFGW,16,1,721,False,0,719
4,WYWYW,15,3,759,False,0,910
4,MFMCM,7,2,572,False,0,855
4,HQHEH,16,2,999,Correct,0,852
1,TKTKT,15,1,630,Correct,0,726
1,SLSUS,16,2,581,Correct,0,794
1,VZVGV,7,3,451,Correct,0,771
1,XWXZX,7,2,522,False,0,662
1,ATATA,15,1,1108,Correct,0,926
1,HXZMH,16,3,735,False,0,733
1,TZTZT,7,3,1044,Correct,0,833
1,UOUOU,15,1,709,Correct,0,722
1,ZTWAW,16,2,753,Correct,0,787
1,RZRER,7,3,1145,Correct,0,829
Trials
1,D,5,3,12860,New Target,1,727
1,ZNZYZ,161,2,775,Correct,1,779
1,FZFZF,151,1,964,Correct,1,736
1,RKRKR,152,2,694,Incorrect,1,796
1,RXRNR,161,2,809,Correct,1,676
1,CNCFC,162,2,837,Correct,1,696
1,PDPDP,7,3,810,Correct,1,929
1,CPCFC,14,2,803,Correct,1,785
1,VLVNV,162,2,797,Correct,1,820
1,KFKFK,151,1,1184,Correct,1,949
1,ZNZNZ,152,1,920,Correct,1,909
1,KCKPD,235,3,1033,Incorrect,1,896
1,ZKZFZ,222,2,1116,Correct,1,797
1,NRNZN,162,2,924,Correct,1,688
1,KXKRK,163,2,747,Correct,1,916
1,YPYZY,164,2,653,Correct,1,671
1,FKDKF,223,1,920,Correct,1,902
1,RPRPR,113,,,Incorrect,1,831
1,VRVKV,161,2,1044,Correct,1,835
1,RFRPR,162,2,915,Correct,1,807
1,KVKVK,151,1,773,Correct,1,857
1,YKYVY,161,2,789,Correct,1,716
1,VDVDV,8,3,593,Correct,1,718
1,DVZVZ,221,1,1141,Correct,1,752
1,YFYFY,113,1,724,Correct,1,742
1,ZYZYZ,152,1,641,Correct,1,790
1,VLVXV,161,2,685,Correct,1,886
1,DPXZX,231,2,1118,Correct,1,707
1,RYRYR,113,1,683,Correct,1,831
1,PDPNP,91,3,502,Correct,1,930
1,KXKXK,13,1,1018,Correct,1,819
1,ZYZYZ,152,1,764,Correct,1,818
1,VKVKV,153,1,665,Correct,1,771
1,YZYZY,154,1,816,Correct,1,934
1,NLNZN,161,2,891,Correct,1,686
1,ZNDYZ,233,3,509,Incorrect,1,931
1,PCPXP,222,2,942,Correct,1,930
1,ZVZFZ,162,2,674,Correct,1,781
1,RCRZR,163,2,675,Correct,1,701
1,LRLRL,151,1,960,Correct,1,795
1,ZDZDZ,10,3,855,Correct,1,754
1,RNRZR,14,2,874,Correct,1,877
1,CXCYC,162,2,677,Correct,1,757
1,RCRLR,163,2,973,Correct,1,906
1,FRFRF,151,1,738,Correct,1,770
1,XFXFX,152,1,925,Correct,1,839
1,RPRLR,161,2,965,Correct,1,770
1,YXYRY,162,2,826,Correct,1,711
1,FYFYF,151,1,671,Correct,1,917
1,YZYVY,161,2,735,Correct,1,786
1,YKYKY,151,2,909,Incorrect,1,716
1,XRXRX,152,1,791,Correct,1,695
1,XVXZX,161,2,740,Correct,1,669
1,PDPDP,11,3,577,Correct,1,765
1,ZFZFZ,13,1,681,Correct,1,671
1,PXPXP,152,1,679,Correct,1,822
1,LYLYL,153,1,740,Correct,1,883
1,NKNKD,225,1,737,Correct,1,683
1,ZNZNZ,113,1,650,Correct,1,856
1,PYPZP,161,2,714,Correct,1,807
1,XPXPX,151,1,598,Correct,1,830
1,VLVLV,152,1,627,Correct,1,919
1,PKPXP,161,2,749,Correct,1,903
1,FZFZF,151,1,685,Correct,1,685
1,LDLDL,12,3,750,Correct,1,705
2,U,5,3,3004,New Target,2,876
2,ZVZFZ,161,2,829,Correct,2,837
2,FZFZF,151,1,583,Correct,2,761
2,RFRFR,152,1,715,Correct,2,740
2,NZNKN,161,2,850,Correct,2,949
2,FZFNF,162,2,858,Correct,2,799
2,RXRXR,151,1,863,Correct,2,853
2,KRKYK,161,2,810,Correct,2,739
2,NZNPN,162,2,678,Correct,2,684
2,XPXPX,151,1,931,Correct,2,843
2,CUCUC,7,3,739,Correct,2,883
2,RFRFR,13,1,1296,Correct,2,748
2,VYVXV,161,2,711,Correct,2,778
2,VDVDV,191,1,527,Correct,2,947
2,ZKZRZ,15,2,739,Correct,2,786
2,XCXCX,151,1,563,Correct,2,680
2,CNCUC,82,3,516,Correct,2,856
2,RCRCR,13,1,999,Correct,2,752
2,ZPZXZ,161,2,693,Correct,2,908
2,FKFYF,162,2,1160,Correct,2,710
2,ZFZYZ,163,2,656,Correct,2,879
2,PXPXP,151,1,624,Correct,2,829
2,URCKC,231,2,692,Correct,2,660
2,PCPCP,113,1,798,Correct,2,853
2,XNXNX,152,1,674,Correct,2,922
2,RCRZR,161,2,674,Correct,2,712
2,XVXVX,151,1,598,Correct,2,684
2,NRNRN,152,2,685,Incorrect,2,669
2,FPFPF,225,1,831,Correct,2,677
2,XVXFX,222,2,646,Correct,2,843
2,PRPRP,151,1,679,Correct,2,739
2,FYFCF,161,2,689,Correct,2,889
2,XUXFX,91,3,493,Correct,2,855
2,CYCVC,14,2,798,Correct,2,807
2,VDVKV,172,2,625,Correct,2,926
2,YCYCY,15,1,767,Correct,2,852
2,NKNLN,161,2,966,Correct,2,848
2,XPUKX,233,2,1252,Correct,2,914
2,ZPZPZ,113,1,727,Correct,2,914
2,KRKRK,152,1,900,Correct,2,794
2,XKXKX,153,1,663,Correct,2,803
2,YUYVY,101,3,499,Correct,2,840
2,XKXFU,235,2,849,Correct,2,899
2,NFNFN,113,1,746,Correct,2,797
2,KDKDK,193,1,842,Correct,2,664
2,XYXKX,16,2,659,Correct,2,755
2,YZUZY,223,1,868,Correct,2,782
2,KFKVK,222,2,734,Correct,2,711
2,LYLYL,151,1,1034,Correct,2,775
2,CXCDC,184,2,735,Incorrect,2,719
2,XZXNX,16,2,871,Correct,2,922
2,PXPXP,151,1,960,Correct,2,735
2,ZRZYZ,161,2,850,Correct,2,836
2,PUPYP,111,3,739,Correct,2,936
2,RNRNR,14,1,1023,Correct,2,830
2,KDKDK,195,1,800,Correct,2,840
2,KNKNK,15,1,1159,Correct,2,885
2,PRPKP,161,2,750,Correct,2,885
2,UNYNY,221,1,935,Correct,2,815
2,NYNYN,113,2,650,Incorrect,2,778
2,YXYXY,152,1,936,Incorrect,2,822
2,RDRDR,196,1,568,Correct,2,888
