Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,782,Correct,0,655
1,DLDUD,16,2,646,Correct,0,741
1,PDPGP,16,2,689,Correct,0,796
1,MWMWM,15,1,666,Correct,0,840
1,FTFTF,15,1,915,Correct,0,888
1,AXAMA,16,2,642,Correct,0,911
1,RYRGR,16,2,657,Correct,0,764
1,DODOD,15,1,567,Correct,0,917
1,QTQAQ,16,2,682,Correct,0,700
1,YEYEY,15,1,647,Correct,0,746
2,GYGDG,16,2,755,Correct,0,678
2,SWSWS,15,1,768,Correct,0,660
2,HLHUH,16,2,860,Correct,0,662
2,DEDED,15,1,689,Correct,0,811
2,ZPZOZ,16,2,696,Correct,0,875
2,ATATA,15,1,785,Correct,0,787
2,QOQOQ,15,1,986,Correct,0,707
2,FPFGF,16,2,631,Correct,0,802
2,TRTET,16,2,625,Correct,0,869
2,DQDQD,15,2,742,False,0,652
4,PLPLP,15,1,729,Correct,0,910
4,ATAIA,16,2,638,Correct,0,899
4,SKSGS,16,2,640,Correct,0,681
4,ZYZYZ,15,1,783,Correct,0,723
4,QSQSQ,15,1,605,Correct,0,659
4,TZTDT,16,2,605,Correct,0,722
4,JYJGJ,16,2,829,Correct,0,692
4,DYDYD,15,1,948,Correct,0,698
4,LTLCL,16,2,597,Correct,0,752
4,FQFEF,16,2,627,Correct,0,832
DT Practice
1,TKTKT,15,2,911,False,0,945
1,SLSUS,16,2,823,Correct,0,658
1,VZVGV,7,[1][3],[1062][1206],False,0,848
1,XWXZX,7,[2][3],[1436][1596],Correct,0,750
1,ATATA,15,1,955,Correct,0,921
1,HXZMH,16,2,1051,Correct,0,824
1,TZTZT,7,[1][3],[899][1075],Correct,0,809
1,UOUOU,15,1,958,Correct,0,764
1,ZTWAW,16,2,824,Correct,0,920
1,RZRER,7,[1][3],[941][1389],False,0,764
2,JYJDJ,16,2,1085,Correct,0,659
2,DWDWD,15,1,1123,Correct,0,930
2,GNGNG,7,[1][3],[946][1266],Correct,0,854
2,NEZEZ,16,1,977,Correct,0,941
2,RNROR,7,[2][3],[1233][1424],Correct,0,927
2,QTQNQ,7,[2][3],[958][1182],Correct,0,754
2,HOHON,15,1,852,Correct,0,896
2,KPKGK,16,2,923,Correct,0,730
2,DRDED,16,2,897,Correct,0,662
2,LNLNL,7,[1][3],[777][953],Correct,0,780
4,GLGLG,15,1,1037,Correct,0,933
4,DTDID,16,2,640,Correct,0,671
4,SMSGS,16,2,697,Correct,0,877
4,ZFZYZ,7,[2][3],[1034][1258],Correct,0,674
4,TSTFT,7,[2][3],[1204][1380],Correct,0,897
4,OFOFO,7,[1][3],[629][789],Correct,0,775
4,WYFGW,16,2,668,Correct,0,866
4,WYWYW,15,1,1011,Correct,0,907
4,MFMCM,7,[2][3],[997][1141],Correct,0,742
4,HQHEH,16,2,804,Correct,0,873
Trials
1,D,5,3,11458,New Target,1,675
1,ZNZYZ,161,2,1069,Correct,1,704
1,FZFZF,151,1,895,Correct,1,687
1,RKRKR,152,1,888,Correct,1,684
1,RXRNR,161,2,755,Correct,1,691
1,CNCFC,162,2,754,Correct,1,704
1,PDPDP,7,[1][3],[659][835],Correct,1,654
1,CPCFC,14,2,955,Correct,1,757
1,VLVNV,162,2,727,Correct,1,914
1,KFKFK,151,1,917,Correct,1,770
1,ZNZNZ,152,1,871,Correct,1,874
1,KCKPD,235,2,883,Correct,1,712
1,ZKZFZ,222,2,775,Correct,1,803
1,NRNZN,162,2,724,Correct,1,705
1,KXKRK,163,2,751,Correct,1,826
1,YPYZY,164,2,669,Correct,1,743
1,FKDKF,223,2,1270,Incorrect,1,908
1,RPRPR,113,1,1135,Correct,1,731
1,VRVKV,161,2,974,Correct,1,769
1,RFRPR,162,2,963,Correct,1,763
1,KVKVK,151,1,744,Correct,1,708
1,YKYVY,161,2,774,Correct,1,715
1,VDVDV,8,[1][3],[763][939],Correct,1,839
1,DVZVZ,221,1,1036,Correct,1,835
1,YFYFY,113,1,749,Correct,1,737
1,ZYZYZ,152,1,873,Correct,1,817
1,VLVXV,161,2,736,Correct,1,845
1,DPXZX,231,2,751,Correct,1,720
1,RYRYR,113,1,1057,Correct,1,679
1,PDPNP,91,[2][3],[979][1171],Correct,1,746
1,KXKXK,13,1,996,Correct,1,851
1,ZYZYZ,152,1,623,Correct,1,924
1,VKVKV,153,1,896,Correct,1,815
1,YZYZY,154,1,946,Correct,1,898
1,NLNZN,161,2,819,Correct,1,833
1,ZNDYZ,233,2,1080,Correct,1,876
1,PCPXP,222,2,662,Correct,1,781
1,ZVZFZ,162,2,610,Correct,1,827
1,RCRZR,163,2,723,Correct,1,808
1,LRLRL,151,1,704,Correct,1,733
1,ZDZDZ,10,[1][3],[835][995],Correct,1,770
1,RNRZR,14,2,653,Correct,1,777
1,CXCYC,162,2,869,Correct,1,938
1,RCRLR,163,2,719,Correct,1,663
1,FRFRF,151,1,825,Correct,1,864
1,XFXFX,152,1,835,Correct,1,735
1,RPRLR,161,2,795,Correct,1,778
1,YXYRY,162,2,949,Correct,1,824
1,FYFYF,151,1,660,Correct,1,867
1,YZYVY,161,2,641,Correct,1,856
1,YKYKY,151,1,789,Correct,1,683
1,XRXRX,152,1,977,Correct,1,725
1,XVXZX,161,2,835,Correct,1,860
1,PDPDP,11,[1][3],[693][885],Correct,1,919
1,ZFZFZ,13,1,982,Correct,1,830
1,PXPXP,152,1,715,Correct,1,723
1,LYLYL,153,1,670,Correct,1,660
1,NKNKD,225,1,899,Correct,1,659
1,ZNZNZ,113,2,1304,Incorrect,1,820
1,PYPZP,161,2,802,Correct,1,699
1,XPXPX,151,1,876,Correct,1,791
1,VLVLV,152,1,630,Correct,1,704
1,PKPXP,161,2,792,Correct,1,723
1,FZFZF,151,1,802,Correct,1,762
1,LDLDL,12,[1][3],[694][854],Correct,1,681
2,U,5,3,2246,New Target,2,652
2,ZVZFZ,161,2,756,Correct,2,774
2,FZFZF,151,1,672,Correct,2,773
2,RFRFR,152,1,931,Correct,2,707
2,NZNKN,161,2,715,Correct,2,693
2,FZFNF,162,2,739,Correct,2,883
2,RXRXR,151,1,700,Correct,2,920
2,KRKYK,161,2,755,Correct,2,926
2,NZNPN,162,2,865,Correct,2,718
2,XPXPX,151,1,907,Correct,2,650
2,CUCUC,7,[1][3],[975][1151],Correct,2,808
2,RFRFR,13,1,770,Correct,2,900
2,VYVXV,161,2,761,Correct,2,876
2,VDVDV,191,1,758,Correct,2,732
2,ZKZRZ,15,2,752,Correct,2,791
2,XCXCX,151,1,817,Correct,2,688
2,CNCUC,82,[2][3],[817][993],Correct,2,915
2,RCRCR,13,1,548,Correct,2,697
2,ZPZXZ,161,2,614,Correct,2,823
2,FKFYF,162,2,617,Correct,2,774
2,ZFZYZ,163,2,823,Correct,2,860
2,PXPXP,151,1,844,Correct,2,848
2,URCKC,231,2,712,Correct,2,731
2,PCPCP,113,1,629,Correct,2,788
2,XNXNX,152,1,871,Correct,2,786
2,RCRZR,161,2,659,Correct,2,713
2,XVXVX,151,1,790,Correct,2,701
2,NRNRN,152,1,774,Correct,2,654
2,FPFPF,225,1,724,Correct,2,705
2,XVXFX,222,2,624,Correct,2,844
2,PRPRP,151,1,1021,Correct,2,880
2,FYFCF,161,2,691,Correct,2,722
2,XUXFX,91,[1][3],[740][1252],Incorrect,2,896
2,CYCVC,14,2,843,Correct,2,913
2,VDVKV,172,2,745,Correct,2,660
2,YCYCY,15,1,674,Correct,2,928
2,NKNLN,161,2,628,Correct,2,708
2,XPUKX,233,2,838,Correct,2,726
2,ZPZPZ,113,1,706,Correct,2,717
2,KRKRK,152,1,896,Correct,2,758
2,XKXKX,153,1,862,Correct,2,656
2,YUYVY,101,[2][3],[877][1069],Correct,2,716
2,XKXFU,235,2,873,Correct,2,938
2,NFNFN,113,1,704,Correct,2,794
2,KDKDK,193,1,811,Correct,2,882
2,XYXKX,16,2,953,Correct,2,652
2,YZUZY,223,2,961,Incorrect,2,655
2,KFKVK,222,2,965,Correct,2,737
2,LYLYL,151,1,792,Correct,2,769
2,CXCDC,184,2,866,Incorrect,2,802
2,XZXNX,16,2,717,Correct,2,711
2,PXPXP,151,1,810,Correct,2,778
2,ZRZYZ,161,2,693,Correct,2,725
2,PUPYP,111,[2][3],[896][1056],Correct,2,704
2,RNRNR,14,1,881,Correct,2,717
2,KDKDK,195,1,838,Correct,2,853
2,KNKNK,15,1,698,Correct,2,946
2,PRPKP,161,2,712,Correct,2,804
2,UNYNY,221,1,883,Correct,2,814
2,NYNYN,113,1,797,Correct,2,676
2,YXYXY,152,1,744,Incorrect,2,763
2,RDRDR,196,1,690,Correct,2,909
2,FCFCF,15,1,624,Correct,2,715
2,ZKZKZ,152,1,627,Correct,2,712
