Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1093,Correct,0,698
1,DLDUD,16,2,676,Correct,0,709
1,PDPGP,16,2,612,Correct,0,663
1,MWMWM,15,1,646,Correct,0,660
1,FTFTF,15,1,613,Correct,0,675
1,AXAMA,16,2,763,Correct,0,950
1,RYRGR,16,2,575,Correct,0,892
1,DODOD,15,1,619,Correct,0,837
1,QTQAQ,16,2,604,Correct,0,676
1,YEYEY,15,1,656,Correct,0,677
2,GYGDG,16,2,620,Correct,0,840
2,SWSWS,15,1,469,Correct,0,911
2,HLHUH,16,2,553,Correct,0,794
2,DEDED,15,1,610,Correct,0,920
2,ZPZOZ,16,2,560,Correct,0,734
2,ATATA,15,1,801,Correct,0,753
2,QOQOQ,15,1,587,Correct,0,726
2,FPFGF,16,2,772,Correct,0,910
2,TRTET,16,2,649,Correct,0,817
2,DQDQD,15,2,541,False,0,949
AT Practice
1,TKTKT,15,3,1319,False,0,945
1,SLSUS,16,2,1245,Correct,0,650
1,VZVGV,7,,,False,0,822
1,XWXZX,7,3,878,Correct,0,662
1,ATATA,15,2,1524,False,0,738
1,HXZMH,16,2,1428,Correct,0,668
1,TZTZT,7,3,569,Correct,0,676
1,UOUOU,15,2,997,False,0,823
1,ZTWAW,16,2,976,Correct,0,896
1,RZRER,7,3,657,Correct,0,801
2,JYJDJ,16,2,985,Correct,0,751
2,DWDWD,15,2,762,False,0,729
2,GNGNG,7,3,647,Correct,0,670
2,NEZEZ,16,1,530,Correct,0,858
2,RNROR,7,3,706,Correct,0,733
2,QTQNQ,7,3,649,Correct,0,912
2,HOHON,15,3,868,False,0,836
2,KPKGK,16,2,758,Correct,0,874
2,DRDED,16,3,898,False,0,653
2,LNLNL,7,3,776,Correct,0,703
4,GLGLG,15,1,825,Correct,0,775
4,DTDID,16,2,866,Correct,0,695
4,SMSGS,16,2,767,Correct,0,925
4,ZFZYZ,7,1,738,False,0,909
4,TSTFT,7,3,763,Correct,0,807
4,OFOFO,7,3,614,Correct,0,772
4,WYFGW,16,2,669,Correct,0,945
4,WYWYW,15,1,761,Correct,0,707
4,MFMCM,7,3,897,Correct,0,808
4,HQHEH,16,2,895,Correct,0,911
Trials
1,D,5,3,6962,New Target,1,911
1,BNBYB,161,2,1066,Correct,1,821
1,FBFBF,151,1,1176,Correct,1,850
1,RKRKR,152,2,1153,Incorrect,1,844
1,QSQNQ,161,2,897,Correct,1,727
1,CTCFC,162,2,995,Correct,1,865
1,PDPDP,7,3,703,Correct,1,945
1,OPOFO,14,2,969,Correct,1,819
1,HLHNH,162,2,825,Correct,1,891
1,MFMFM,151,1,859,Correct,1,936
1,BTBTB,152,1,847,Correct,1,925
1,MCMPD,235,2,645,Correct,1,908
1,BMBFB,222,2,665,Correct,1,686
1,NTNZN,162,2,592,Correct,1,941
1,MXMRM,163,2,650,Correct,1,937
1,APABA,164,2,614,Correct,1,863
1,FMDMF,223,1,932,Correct,1,823
1,QPQPQ,113,1,633,Correct,1,753
1,VQVMV,161,2,614,Correct,1,898
1,RERPR,162,2,629,Correct,1,845
1,KVKVK,151,1,760,Correct,1,721
1,AKAHA,161,2,727,Correct,1,747
1,VDVDV,8,1,436,Incorrect,1,792
1,DUGUG,221,1,636,Correct,1,785
1,AFAFA,113,1,682,Correct,1,824
1,GYGYG,152,1,713,Correct,1,795
1,VXVSV,161,2,855,Correct,1,847
1,DOWGW,231,2,716,Correct,1,868
1,QYQYQ,113,1,588,Correct,1,743
1,ODONO,91,3,1043,Correct,1,662
1,MSMSM,13,1,661,Correct,1,719
1,GYGYG,152,1,580,Correct,1,785
1,UMUMU,153,1,682,Correct,1,730
1,BZBZB,154,1,583,Correct,1,838
1,NTNBN,161,2,666,Correct,1,810
1,GNDYG,233,2,795,Correct,1,760
1,OCOSO,222,2,728,Correct,1,726
1,BHBFB,162,2,752,Correct,1,889
1,QCQBQ,163,2,656,Correct,1,690
1,LQLQL,151,1,665,Correct,1,928
1,ZDZDZ,10,3,658,Correct,1,875
1,QNQZQ,14,2,690,Correct,1,723
1,CSCYC,162,2,660,Correct,1,650
1,RCRLR,163,2,566,Correct,1,714
1,FRFRF,151,1,644,Correct,1,864
1,WFWFW,152,1,782,Correct,1,942
1,QOQLQ,161,2,748,Correct,1,700
1,AWAQA,162,2,662,Correct,1,862
1,EAEAE,151,1,673,Correct,1,877
1,AGAUA,161,2,676,Correct,1,697
1,YMYMY,151,1,630,Correct,1,690
1,XQXQX,152,2,563,Incorrect,1,899
1,SHSGS,161,2,683,Correct,1,675
1,PDPDP,11,3,677,Correct,1,872
1,ZGZGZ,13,1,657,Correct,1,829
1,OXOXO,152,1,750,Correct,1,847
1,LYLYL,153,1,677,Correct,1,893
1,NKNKD,225,1,608,Correct,1,833
1,GNGNG,113,1,568,Correct,1,650
1,OYOBO,161,2,777,Correct,1,785
1,SOSOS,151,1,1011,Correct,1,819
1,VHVHV,152,1,608,Correct,1,912
1,OKOXO,161,2,687,Correct,1,873
1,EZEZE,151,1,751,Correct,1,747
1,LDLDL,12,3,730,Correct,1,772
2,U,5,3,934,New Target,2,774
2,BVBEB,161,2,847,Correct,2,780
2,FBFBF,151,1,770,Correct,2,935
2,RFRFR,152,1,782,Correct,2,805
2,NBNKN,161,2,789,Correct,2,859
2,MKMNM,162,2,844,Correct,2,867
2,QXQXQ,151,1,1043,Correct,2,814
2,MQMYM,161,2,787,Correct,2,767
2,TGTPT,162,2,624,Correct,2,723
2,XOXOX,151,1,748,Correct,2,872
2,CUCUC,7,1,788,Incorrect,2,912
2,RFRFR,13,1,783,Correct,2,791
2,VYVSV,161,2,716,Correct,2,703
2,VDVDV,191,1,935,Correct,2,812
2,GKGQG,15,2,575,Correct,2,743
2,SCSCS,151,1,724,Correct,2,690
2,CTCUC,82,3,657,Correct,2,773
2,RCRCR,13,1,703,Correct,2,874
2,BOBXB,161,2,722,Correct,2,700
2,FMFAF,162,2,667,Correct,2,820
2,BEBAB,163,2,661,Correct,2,908
2,PWPWP,151,1,789,Correct,2,740
2,UQCKC,231,2,707,Correct,2,676
2,OCOCO,113,1,768,Correct,2,808
2,TNTNT,152,1,743,Correct,2,896
2,QCQGQ,161,2,504,Correct,2,687
2,WVWVW,151,1,721,Correct,2,687
2,TQTQT,152,1,1046,Correct,2,949
2,FOFOF,225,1,822,Correct,2,767
2,WVWFW,222,2,752,Correct,2,790
2,SWSWS,151,1,589,Correct,2,739
2,FYFCF,161,2,538,Correct,2,884
2,SUSWS,91,1,601,Incorrect,2,940
2,CACHC,14,2,845,Correct,2,691
2,VDVKV,172,2,647,Correct,2,726
2,YCYCY,15,1,723,Correct,2,854
2,NMNTN,161,2,511,Correct,2,874
2,XOUKX,233,2,742,Correct,2,700
2,BPBPB,113,1,960,Correct,2,821
2,MRMRM,152,1,869,Correct,2,792
2,XMXMX,153,1,538,Correct,2,767
2,AUAHA,101,2,686,Incorrect,2,796
2,XKXEU,235,1,662,Incorrect,2,913
2,TFTFT,113,1,633,Correct,2,661
2,MDMDM,193,1,905,Correct,2,812
2,WYWMW,16,2,721,Correct,2,682
2,AZUZA,223,1,827,Correct,2,897
2,KEKHK,222,2,582,Correct,2,765
2,LALAL,151,1,696,Correct,2,756
2,CWCDC,184,2,882,Incorrect,2,900
2,SGSTS,16,2,585,Correct,2,754
2,PXPXP,151,1,749,Correct,2,777
2,GRGYG,161,2,685,Correct,2,680
2,PUPOP,111,3,510,Correct,2,758
2,RNRNR,14,2,652,Incorrect,2,920
2,KDKDK,195,1,639,Correct,2,671
2,KTKTK,15,1,610,Correct,2,690
2,OROKO,161,2,930,Correct,2,793
2,UNANA,221,2,757,Incorrect,2,805
2,TATAT,113,1,796,Correct,2,881
2,AWAWA,152,1,601,Incorrect,2,668
2,RDRDR,196,1,653,Correct,2,813
2,FCFCF,15,1,602,Correct,2,790
2,ZMZMZ,152,1,647,Correct,2,921
2,BUBUB,12,3,1160,Correct,2,761
3,E,5,3,2794,New Target,3,730
3,YZYZY,151,1,931,Correct,3,795
3,VFVNV,161,2,676,Correct,3,946
3,KAKAK,151,1,617,Correct,3,656
3,TKTKT,152,1,526,Correct,3,691
3,WHWTW,161,2,662,Correct,3,670
3,QEQFQ,71,3,809,Correct,3,661
3,XNXNX,13,1,680,Correct,3,690
3,TXTXT,152,1,570,Correct,3,689
3,GLGNG,161,2,558,Correct,3,711
3,CUCTC,171,2,735,Correct,3,854
3,FAFQF,16,2,567,Correct,3,915
3,ZLZLZ,151,1,831,Correct,3,706
3,YZYZY,152,1,585,Correct,3,715
3,CYCYC,153,1,653,Correct,3,714
3,HUHUH,192,1,955,Correct,3,799
3,OSORO,16,2,562,Correct,3,743
3,YOYOY,151,1,768,Correct,3,834
