Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,2,1024,False,0,899
1,DLDUD,16,2,1052,Correct,0,857
1,PDPGP,16,,,False,0,696
1,MWMWM,15,1,976,Correct,0,909
1,FTFTF,15,1,797,Correct,0,915
1,AXAMA,16,2,685,Correct,0,941
1,RYRGR,16,2,805,Correct,0,858
1,DODOD,15,1,719,Correct,0,690
1,QTQAQ,16,2,683,Correct,0,719
1,YEYEY,15,1,616,Correct,0,732
2,GYGDG,16,2,1371,Correct,0,686
2,SWSWS,15,1,650,Correct,0,819
2,HLHUH,16,2,708,Correct,0,834
2,DEDED,15,1,667,Correct,0,905
2,ZPZOZ,16,2,550,Correct,0,798
2,ATATA,15,1,691,Correct,0,810
2,QOQOQ,15,1,658,Correct,0,657
2,FPFGF,16,2,720,Correct,0,709
2,TRTET,16,2,614,Correct,0,876
2,DQDQD,15,1,903,Correct,0,744
4,PLPLP,15,1,883,Correct,0,660
4,ATAIA,16,2,740,Correct,0,811
4,SKSGS,16,2,871,Correct,0,941
4,ZYZYZ,15,1,735,Correct,0,706
4,QSQSQ,15,1,642,Correct,0,932
4,TZTDT,16,2,634,Correct,0,916
4,JYJGJ,16,1,628,False,0,895
4,DYDYD,15,1,580,Correct,0,730
4,LTLCL,16,2,837,Correct,0,734
4,FQFEF,16,2,904,Correct,0,876
1,SKSKS,15,1,841,Correct,0,754
1,DLDUD,16,2,622,Correct,0,811
1,PDPGP,16,2,663,Correct,0,902
1,MWMWM,15,1,692,Correct,0,766
1,FTFTF,15,1,653,Correct,0,825
1,AXAMA,16,2,554,Correct,0,783
1,RYRGR,16,2,660,Correct,0,933
1,DODOD,15,1,754,Correct,0,690
1,QTQAQ,16,2,549,Correct,0,917
1,YEYEY,15,1,619,Correct,0,709
DT Practice
1,TKTKT,15,,,False,0,833
1,SLSUS,16,2,1438,Correct,0,695
1,VZVGV,7,,,False,0,863
1,XWXZX,7,,,False,0,913
1,ATATA,15,1,936,Correct,0,704
1,HXZMH,16,,,False,0,680
1,TZTZT,7,,,False,0,702
1,UOUOU,15,,,False,0,763
1,ZTWAW,16,1,1534,False,0,862
1,RZRER,7,,,False,0,864
2,JYJDJ,16,2,1275,Correct,0,874
2,DWDWD,15,2,1184,False,0,804
2,GNGNG,7,,,False,0,660
2,NEZEZ,16,2,1055,False,0,763
2,RNROR,7,[1][3],[1396][1460],False,0,739
2,QTQNQ,7,[1][3],[784][896],False,0,737
2,HOHON,15,,,False,0,863
2,KPKGK,16,,,False,0,765
2,DRDED,16,2,607,Correct,0,733
2,LNLNL,7,[1][3],[1445][1541],Correct,0,787
4,GLGLG,15,,,False,0,703
4,DTDID,16,2,761,Correct,0,941
4,SMSGS,16,2,830,Correct,0,866
4,ZFZYZ,7,[1][3],[909][1053],False,0,722
4,TSTFT,7,[2][3],[823][935],Correct,0,905
4,OFOFO,7,[1][3],[1239][1367],Correct,0,808
4,WYFGW,16,2,1329,Correct,0,689
4,WYWYW,15,1,1423,Correct,0,902
4,MFMCM,7,[2][3],[999][1191],Correct,0,688
4,HQHEH,16,2,1247,Correct,0,849
1,TKTKT,15,1,1462,Correct,0,681
1,SLSUS,16,2,871,Correct,0,664
1,VZVGV,7,[2][3],[1096][1368],Correct,0,705
1,XWXZX,7,[2][3],[767][1135],Correct,0,700
1,ATATA,15,1,1065,Correct,0,810
1,HXZMH,16,2,1241,Correct,0,695
1,TZTZT,7,[1][3],[1038][1342],Correct,0,946
1,UOUOU,15,1,1091,Correct,0,743
1,ZTWAW,16,2,808,Correct,0,940
1,RZRER,7,[2][3],[999][1207],Correct,0,907
2,JYJDJ,16,2,833,Correct,0,894
2,DWDWD,15,1,946,Correct,0,869
2,GNGNG,7,[2][3],[1090][1298],False,0,660
2,NEZEZ,16,1,1538,Correct,0,870
2,RNROR,7,[2][3],[951][1207],Correct,0,894
2,QTQNQ,7,[2][3],[812][1084],Correct,0,857
2,HOHON,15,1,969,Correct,0,825
2,KPKGK,16,2,1270,Correct,0,893
2,DRDED,16,2,774,Correct,0,932
2,LNLNL,7,[1][3],[951][1175],Correct,0,698
Trials
1,D,5,3,2630,New Target,1,903
1,ZNZYZ,161,1,1076,Incorrect,1,937
1,FZFZF,151,20,1368,Incorrect,1,706
1,RKRKR,152,20,872,Incorrect,1,917
1,RXRNR,161,1,1074,Incorrect,1,671
1,CNCFC,162,1,847,Incorrect,1,846
1,PDPDP,7,[20][3],[840][1080],Incorrect,1,944
1,CPCFC,14,1,1321,Incorrect,1,896
1,VLVNV,162,1,679,Incorrect,1,939
1,KFKFK,151,20,769,Incorrect,1,923
1,ZNZNZ,152,1,805,Correct,1,943
1,KCKPD,235,1,1008,Incorrect,1,701
1,ZKZFZ,222,1,876,Incorrect,1,919
1,NRNZN,162,1,1182,Incorrect,1,928
1,KXKRK,163,1,743,Incorrect,1,838
1,YPYZY,164,1,752,Incorrect,1,890
1,FKDKF,223,20,1073,Incorrect,1,665
1,RPRPR,113,20,1086,Incorrect,1,869
1,VRVKV,161,1,880,Incorrect,1,710
1,RFRPR,162,1,1176,Incorrect,1,732
1,KVKVK,151,20,818,Incorrect,1,833
1,YKYVY,161,1,1435,Incorrect,1,765
1,VDVDV,8,[20][3],[846][1022],Incorrect,1,756
1,DVZVZ,221,20,1115,Incorrect,1,797
1,YFYFY,113,20,707,Incorrect,1,861
1,ZYZYZ,152,20,867,Incorrect,1,716
1,VLVXV,161,1,766,Incorrect,1,758
1,DPXZX,231,1,1157,Incorrect,1,895
1,RYRYR,113,20,952,Incorrect,1,662
1,PDPNP,91,[1][3],[904][1127],Incorrect,1,747
1,KXKXK,13,20,1171,Incorrect,1,747
1,ZYZYZ,152,20,813,Incorrect,1,888
1,VKVKV,153,20,769,Incorrect,1,950
1,YZYZY,154,20,971,Incorrect,1,780
1,NLNZN,161,1,1265,Incorrect,1,683
1,ZNDYZ,233,1,1132,Incorrect,1,704
1,PCPXP,222,1,1242,Incorrect,1,753
1,ZVZFZ,162,1,802,Incorrect,1,816
1,RCRZR,163,1,748,Incorrect,1,779
1,LRLRL,151,20,810,Incorrect,1,701
1,ZDZDZ,10,[20][3],[948][1156],Incorrect,1,828
1,RNRZR,14,1,1035,Incorrect,1,683
1,CXCYC,162,1,1180,Incorrect,1,726
1,RCRLR,163,1,938,Incorrect,1,723
1,FRFRF,151,1,650,Correct,1,852
1,XFXFX,152,20,678,Incorrect,1,868
1,RPRLR,161,1,942,Incorrect,1,950
1,YXYRY,162,1,823,Incorrect,1,667
1,FYFYF,151,20,878,Incorrect,1,895
1,YZYVY,161,1,821,Incorrect,1,741
1,YKYKY,151,20,835,Incorrect,1,685
1,XRXRX,152,20,743,Incorrect,1,870
1,XVXZX,161,1,708,Incorrect,1,731
1,PDPDP,11,[20][3],[943][1135],Incorrect,1,683
1,ZFZFZ,13,1,1050,Correct,1,888
1,PXPXP,152,20,748,Incorrect,1,737
1,LYLYL,153,20,821,Incorrect,1,841
1,NKNKD,225,,,Incorrect,1,798
1,ZNZNZ,113,20,969,Incorrect,1,745
1,PYPZP,161,1,893,Incorrect,1,795
1,XPXPX,151,20,1239,Incorrect,1,689
1,VLVLV,152,20,707,Incorrect,1,691
1,PKPXP,161,1,1136,Incorrect,1,827
1,FZFZF,151,20,1552,Incorrect,1,689
1,LDLDL,12,[20][3],[942][1117],Incorrect,1,708
2,U,5,3,958,New Target,2,919
2,ZVZFZ,161,1,1195,Incorrect,2,941
2,FZFZF,151,20,906,Incorrect,2,656
2,RFRFR,152,20,861,Incorrect,2,884
2,NZNKN,161,1,917,Incorrect,2,810
2,FZFNF,162,1,788,Incorrect,2,947
2,RXRXR,151,20,868,Incorrect,2,664
2,KRKYK,161,1,921,Incorrect,2,841
2,NZNPN,162,1,1277,Incorrect,2,807
2,XPXPX,151,20,825,Incorrect,2,729
2,CUCUC,7,[20][3],[1066][1226],Incorrect,2,715
2,RFRFR,13,20,1015,Incorrect,2,820
2,VYVXV,161,1,711,Incorrect,2,823
2,VDVDV,191,1,993,Correct,2,894
2,ZKZRZ,15,1,1271,Incorrect,2,737
2,XCXCX,151,,,Incorrect,2,825
2,CNCUC,82,,,Incorrect,2,889
2,RCRCR,13,1,1021,Correct,2,738
2,ZPZXZ,161,,,Incorrect,2,705
2,FKFYF,162,2,733,Correct,2,701
2,ZFZYZ,163,2,1416,Correct,2,813
2,PXPXP,151,1,1046,Correct,2,910
2,URCKC,231,2,743,Correct,2,757
2,PCPCP,113,1,812,Correct,2,922
2,XNXNX,152,1,1032,Correct,2,682
2,RCRZR,161,2,1019,Correct,2,703
2,XVXVX,151,,,Incorrect,2,870
2,NRNRN,152,1,627,Correct,2,832
2,FPFPF,225,1,790,Correct,2,725
2,XVXFX,222,1,955,Incorrect,2,895
