Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1370,Correct,0,807
1,DLDUD,16,2,773,Correct,0,911
1,PDPGP,16,2,922,Correct,0,898
1,MWMWM,15,1,856,Correct,0,843
1,FTFTF,15,1,686,Correct,0,732
1,AXAMA,16,2,774,Correct,0,904
1,RYRGR,16,2,849,Correct,0,706
1,DODOD,15,1,689,Correct,0,843
1,QTQAQ,16,2,749,Correct,0,787
1,YEYEY,15,1,696,Correct,0,695
2,GYGDG,16,2,621,Correct,0,700
2,SWSWS,15,1,518,Correct,0,888
2,HLHUH,16,2,650,Correct,0,714
2,DEDED,15,1,512,Correct,0,890
2,ZPZOZ,16,2,607,Correct,0,858
2,ATATA,15,1,480,Correct,0,703
2,QOQOQ,15,1,492,Correct,0,926
2,FPFGF,16,2,587,Correct,0,864
2,TRTET,16,2,696,Correct,0,846
2,DQDQD,15,1,979,Correct,0,735
4,PLPLP,15,1,650,Correct,0,843
4,ATAIA,16,2,608,Correct,0,916
4,SKSGS,16,2,672,Correct,0,764
4,ZYZYZ,15,1,764,Correct,0,747
4,QSQSQ,15,1,549,Correct,0,787
4,TZTDT,16,2,642,Correct,0,817
4,JYJGJ,16,2,596,Correct,0,717
4,DYDYD,15,1,479,Correct,0,820
4,LTLCL,16,2,547,Correct,0,731
4,FQFEF,16,2,598,Correct,0,671
DT Practice
1,TKTKT,15,,,False,0,747
1,SLSUS,16,,,False,0,803
1,VZVGV,7,[2][3],[1258][1514],Correct,0,901
1,XWXZX,7,[2][3],[936][1240],Correct,0,714
1,ATATA,15,2,1061,False,0,656
1,HXZMH,16,,,False,0,652
1,TZTZT,7,[1][3],[859][1051],Correct,0,840
1,UOUOU,15,1,1071,Correct,0,897
1,ZTWAW,16,2,709,Correct,0,935
1,RZRER,7,[2][3],[993][1201],Correct,0,712
2,JYJDJ,16,2,1137,Correct,0,878
2,DWDWD,15,1,607,Correct,0,665
2,GNGNG,7,[1][3],[1070][1262],Correct,0,739
2,NEZEZ,16,2,1195,False,0,763
2,RNROR,7,[2][3],[1227][1371],Correct,0,739
2,QTQNQ,7,[2][3],[858][1034],Correct,0,774
2,HOHON,15,1,668,Correct,0,655
2,KPKGK,16,1,916,False,0,843
2,DRDED,16,2,1365,Correct,0,791
2,LNLNL,7,[1][3],[791][998],Correct,0,783
4,GLGLG,15,1,1128,Correct,0,800
4,DTDID,16,2,899,Correct,0,716
4,SMSGS,16,2,1113,Correct,0,701
4,ZFZYZ,7,[2][3],[931][1123],Correct,0,845
4,TSTFT,7,[2][3],[794][1018],Correct,0,801
4,OFOFO,7,[1][3],[809][1001],Correct,0,666
4,WYFGW,16,2,1126,Correct,0,809
4,WYWYW,15,1,1051,Correct,0,907
4,MFMCM,7,[2][3],[803][947],Correct,0,915
4,HQHEH,16,2,1195,Correct,0,691
Trials
1,D,5,3,18373,New Target,1,805
1,ZNZYZ,161,2,757,Correct,1,852
1,FZFZF,151,1,598,Correct,1,662
1,RKRKR,152,1,764,Correct,1,695
1,RXRNR,161,2,715,Correct,1,705
1,CNCFC,162,2,788,Correct,1,900
1,PDPDP,7,[1][3],[1063][1255],Correct,1,928
1,CPCFC,14,2,1222,Correct,1,937
1,VLVNV,162,2,787,Correct,1,710
1,KFKFK,151,1,826,Correct,1,911
1,ZNZNZ,152,1,723,Correct,1,830
1,KCKPD,235,2,731,Correct,1,906
1,ZKZFZ,222,2,854,Correct,1,809
1,NRNZN,162,2,912,Correct,1,710
1,KXKRK,163,2,673,Correct,1,940
1,YPYZY,164,2,748,Correct,1,943
1,FKDKF,223,1,866,Correct,1,898
1,RPRPR,113,1,692,Correct,1,895
1,VRVKV,161,2,882,Correct,1,825
1,RFRPR,162,2,839,Correct,1,844
1,KVKVK,151,1,674,Correct,1,684
1,YKYVY,161,2,915,Correct,1,779
1,VDVDV,8,[1][3],[677][853],Correct,1,786
1,DVZVZ,221,1,923,Correct,1,766
1,YFYFY,113,1,597,Correct,1,703
1,ZYZYZ,152,1,729,Correct,1,748
1,VLVXV,161,2,723,Correct,1,832
1,DPXZX,231,2,732,Correct,1,851
1,RYRYR,113,1,869,Correct,1,852
1,PDPNP,91,[2][3],[807][935],Correct,1,809
1,KXKXK,13,1,732,Correct,1,744
1,ZYZYZ,152,1,659,Correct,1,911
1,VKVKV,153,1,691,Correct,1,790
1,YZYZY,154,1,675,Correct,1,761
1,NLNZN,161,2,799,Correct,1,862
1,ZNDYZ,233,2,775,Correct,1,889
1,PCPXP,222,2,621,Correct,1,870
1,ZVZFZ,162,2,587,Correct,1,832
1,RCRZR,163,2,535,Correct,1,902
1,LRLRL,151,1,795,Correct,1,792
1,ZDZDZ,10,[1][3],[812][972],Correct,1,826
1,RNRZR,14,2,830,Correct,1,946
1,CXCYC,162,2,999,Correct,1,806
1,RCRLR,163,2,685,Correct,1,707
1,FRFRF,151,1,634,Correct,1,815
1,XFXFX,152,1,635,Correct,1,751
1,RPRLR,161,2,653,Correct,1,758
1,YXYRY,162,2,688,Correct,1,677
1,FYFYF,151,1,532,Correct,1,654
1,YZYVY,161,2,565,Correct,1,888
1,YKYKY,151,1,482,Correct,1,940
1,XRXRX,152,1,578,Correct,1,935
1,XVXZX,161,2,607,Correct,1,876
1,PDPDP,11,[1][3],[699][859],Correct,1,906
1,ZFZFZ,13,1,688,Correct,1,748
1,PXPXP,152,1,769,Correct,1,718
1,LYLYL,153,1,543,Correct,1,696
1,NKNKD,225,1,786,Correct,1,795
1,ZNZNZ,113,1,591,Correct,1,713
1,PYPZP,161,2,700,Correct,1,903
1,XPXPX,151,1,663,Correct,1,873
1,VLVLV,152,1,529,Correct,1,932
1,PKPXP,161,1,513,Incorrect,1,888
1,FZFZF,151,1,646,Correct,1,830
1,LDLDL,12,[1][3],[855][1014],Correct,1,684
2,U,5,3,16788,New Target,2,913
2,ZVZFZ,161,2,900,Correct,2,715
2,FZFZF,151,1,631,Correct,2,830
2,RFRFR,152,1,720,Correct,2,932
2,NZNKN,161,2,683,Correct,2,807
2,FZFNF,162,2,712,Correct,2,811
2,RXRXR,151,1,582,Correct,2,757
2,KRKYK,161,2,646,Correct,2,823
2,NZNPN,162,2,499,Correct,2,925
2,XPXPX,151,1,599,Correct,2,837
2,CUCUC,7,[1][3],[809][969],Correct,2,893
2,RFRFR,13,1,745,Correct,2,949
2,VYVXV,161,2,727,Correct,2,754
2,VDVDV,191,1,553,Correct,2,691
2,ZKZRZ,15,2,795,Correct,2,829
2,XCXCX,151,1,608,Correct,2,942
2,CNCUC,82,[2][3],[1029][1189],Correct,2,950
2,RCRCR,13,1,630,Correct,2,687
2,ZPZXZ,161,2,648,Correct,2,743
2,FKFYF,162,2,691,Correct,2,901
2,ZFZYZ,163,2,560,Correct,2,796
2,PXPXP,151,1,615,Correct,2,709
2,URCKC,231,2,602,Correct,2,761
2,PCPCP,113,1,624,Correct,2,670
2,XNXNX,152,1,727,Correct,2,667
2,RCRZR,161,2,591,Correct,2,882
2,XVXVX,151,2,572,Incorrect,2,902
2,NRNRN,152,1,669,Correct,2,792
2,FPFPF,225,1,597,Correct,2,934
2,XVXFX,222,2,642,Correct,2,865
2,PRPRP,151,2,819,Incorrect,2,824
2,FYFCF,161,2,992,Correct,2,681
2,XUXFX,91,[2],[755],Incorrect,2,939
2,CYCVC,14,2,1506,Correct,2,749
2,VDVKV,172,2,1024,Correct,2,800
2,YCYCY,15,1,703,Correct,2,898
2,NKNLN,161,2,975,Correct,2,683
2,XPUKX,233,2,1395,Correct,2,766
2,ZPZPZ,113,1,692,Correct,2,860
2,KRKRK,152,1,702,Correct,2,869
2,XKXKX,153,1,1003,Correct,2,780
2,YUYVY,101,[2][3],[868][1012],Correct,2,773
2,XKXFU,235,2,1355,Correct,2,729
2,NFNFN,113,1,797,Correct,2,821
2,KDKDK,193,1,856,Correct,2,736
2,XYXKX,16,2,914,Correct,2,707
2,YZUZY,223,1,851,Correct,2,925
2,KFKVK,222,2,749,Correct,2,771
2,LYLYL,151,1,777,Correct,2,760
2,CXCDC,184,2,659,Incorrect,2,803
2,XZXNX,16,2,805,Correct,2,696
2,PXPXP,151,1,609,Correct,2,694
2,ZRZYZ,161,2,732,Correct,2,912
2,PUPYP,111,[2][3],[886][1014],Correct,2,897
2,RNRNR,14,1,768,Correct,2,733
2,KDKDK,195,1,700,Correct,2,763
2,KNKNK,15,1,683,Correct,2,752
2,PRPKP,161,2,654,Correct,2,661
2,UNYNY,221,1,994,Correct,2,714
2,NYNYN,113,1,885,Correct,2,776
2,YXYXY,152,1,652,Incorrect,2,744
2,RDRDR,196,1,753,Correct,2,687
2,FCFCF,15,1,617,Correct,2,823
2,ZKZKZ,152,1,724,Correct,2,900
