Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,909
1,DLDUD,16,,,False,0,718
1,PDPGP,16,,,False,0,797
1,MWMWM,15,1,887,Correct,0,707
1,FTFTF,15,1,657,Correct,0,678
1,AXAMA,16,1,619,False,0,800
1,RYRGR,16,1,847,False,0,662
1,DODOD,15,,,False,0,928
1,QTQAQ,16,2,935,Correct,0,792
1,YEYEY,15,2,583,False,0,858
2,GYGDG,16,2,1011,Correct,0,722
2,SWSWS,15,1,766,Correct,0,839
2,HLHUH,16,2,694,Correct,0,810
2,DEDED,15,1,587,Correct,0,937
2,ZPZOZ,16,2,523,Correct,0,774
2,ATATA,15,1,604,Correct,0,796
2,QOQOQ,15,2,605,False,0,698
2,FPFGF,16,2,749,Correct,0,758
2,TRTET,16,2,728,Correct,0,738
2,DQDQD,15,1,784,Correct,0,884
4,PLPLP,15,1,661,Correct,0,770
4,ATAIA,16,2,626,Correct,0,760
4,SKSGS,16,2,731,Correct,0,861
4,ZYZYZ,15,1,617,Correct,0,690
4,QSQSQ,15,1,868,Correct,0,821
4,TZTDT,16,2,677,Correct,0,853
4,JYJGJ,16,1,583,False,0,931
4,DYDYD,15,1,805,Correct,0,750
4,LTLCL,16,2,800,Correct,0,671
4,FQFEF,16,2,659,Correct,0,869
1,SKSKS,15,1,680,Correct,0,825
1,DLDUD,16,2,687,Correct,0,880
1,PDPGP,16,2,767,Correct,0,676
1,MWMWM,15,1,616,Correct,0,802
1,FTFTF,15,1,598,Correct,0,752
1,AXAMA,16,2,584,Correct,0,691
1,RYRGR,16,1,585,False,0,713
1,DODOD,15,1,690,Correct,0,902
1,QTQAQ,16,2,635,Correct,0,836
1,YEYEY,15,1,482,Correct,0,868
DT Practice
