Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,730,Correct,0,763
1,DLDUD,16,2,608,Correct,0,831
1,PDPGP,16,2,1162,Correct,0,940
1,MWMWM,15,1,556,Correct,0,895
1,FTFTF,15,1,810,Correct,0,822
1,AXAMA,16,2,700,Correct,0,867
1,RYRGR,16,2,884,Correct,0,855
1,DODOD,15,1,521,Correct,0,763
1,QTQAQ,16,2,619,Correct,0,769
1,YEYEY,15,1,554,Correct,0,703
2,GYGDG,16,2,924,Correct,0,868
2,SWSWS,15,1,750,Correct,0,826
2,HLHUH,16,2,671,Correct,0,948
2,DEDED,15,1,557,Correct,0,730
2,ZPZOZ,16,2,592,Correct,0,656
2,ATATA,15,1,795,Correct,0,835
2,QOQOQ,15,1,717,Correct,0,910
2,FPFGF,16,2,682,Correct,0,720
2,TRTET,16,2,746,Correct,0,663
2,DQDQD,15,2,1145,False,0,666
4,PLPLP,15,1,591,Correct,0,929
4,ATAIA,16,2,624,Correct,0,712
4,SKSGS,16,2,735,Correct,0,797
4,ZYZYZ,15,1,635,Correct,0,699
4,QSQSQ,15,1,587,Correct,0,658
4,TZTDT,16,2,651,Correct,0,773
4,JYJGJ,16,1,1079,False,0,734
4,DYDYD,15,1,852,Correct,0,722
4,LTLCL,16,2,627,Correct,0,889
4,FQFEF,16,1,595,False,0,658
DT Practice
1,TKTKT,15,1,891,Correct,0,789
1,SLSUS,16,2,815,Correct,0,823
1,VZVGV,7,[2],[1099],False,0,938
1,XWXZX,7,,,False,0,791
1,ATATA,15,1,982,Correct,0,653
1,HXZMH,16,2,1238,Correct,0,791
1,TZTZT,7,[1],[1572],False,0,663
1,UOUOU,15,1,1026,Correct,0,752
1,ZTWAW,16,2,1393,Correct,0,789
1,RZRER,7,[2],[1061],False,0,776
2,JYJDJ,16,2,836,Correct,0,948
2,DWDWD,15,2,962,False,0,916
2,GNGNG,7,[1][3],[1072][1199],Correct,0,703
2,NEZEZ,16,1,1162,Correct,0,678
2,RNROR,7,[1][3],[1014][1238],False,0,792
2,QTQNQ,7,[2],[1441],False,0,904
2,HOHON,15,1,1336,Correct,0,923
2,KPKGK,16,2,920,Correct,0,788
2,DRDED,16,2,1029,Correct,0,932
2,LNLNL,7,[1][3],[996][1332],Correct,0,852
4,GLGLG,15,1,920,Correct,0,758
4,DTDID,16,2,825,Correct,0,775
4,SMSGS,16,2,1213,Correct,0,843
4,ZFZYZ,7,[2],[1182],False,0,862
4,TSTFT,7,[2][3],[1347][1571],Correct,0,722
4,OFOFO,7,[1][3],[971][1195],Correct,0,759
4,WYFGW,16,,,False,0,808
4,WYWYW,15,1,1182,Correct,0,903
4,MFMCM,7,[2][3],[1381][1573],Correct,0,721
4,HQHEH,16,2,1173,Correct,0,834
1,TKTKT,15,1,1071,Correct,0,857
1,SLSUS,16,2,925,Correct,0,737
1,VZVGV,7,[2],[1553],False,0,860
1,XWXZX,7,[2][3],[979][1203],Correct,0,774
1,ATATA,15,1,776,Correct,0,923
1,HXZMH,16,1,1195,False,0,925
1,TZTZT,7,[1][3],[792][1016],Correct,0,651
1,UOUOU,15,1,817,Correct,0,829
1,ZTWAW,16,2,1059,Correct,0,836
1,RZRER,7,[2][3],[957][1197],Correct,0,773
2,JYJDJ,16,2,1003,Correct,0,801
2,DWDWD,15,1,859,Correct,0,748
2,GNGNG,7,[1][3],[700][1196],Correct,0,704
2,NEZEZ,16,1,879,Correct,0,860
2,RNROR,7,[2][3],[1135][1343],Correct,0,903
2,QTQNQ,7,[2][3],[965][1189],Correct,0,935
2,HOHON,15,1,740,Correct,0,759
2,KPKGK,16,2,753,Correct,0,672
2,DRDED,16,2,779,Correct,0,749
2,LNLNL,7,[1][3],[641][848],Correct,0,749
4,GLGLG,15,1,719,Correct,0,915
4,DTDID,16,2,670,Correct,0,652
4,SMSGS,16,2,825,Correct,0,716
4,ZFZYZ,7,[2][3],[827][1019],Correct,0,696
4,TSTFT,7,[2][3],[636][860],Correct,0,914
4,OFOFO,7,[1][3],[695][919],Correct,0,781
4,WYFGW,16,2,1324,Correct,0,691
4,WYWYW,15,1,704,Correct,0,751
4,MFMCM,7,[2][3],[785][1457],Correct,0,701
4,HQHEH,16,2,944,Correct,0,867
Trials
1,D,5,3,8770,New Target,1,666
1,ZNZYZ,161,2,775,Correct,1,902
1,FZFZF,151,1,659,Correct,1,762
1,RKRKR,152,1,696,Correct,1,671
1,RXRNR,161,2,689,Correct,1,918
1,CNCFC,162,2,818,Correct,1,731
1,PDPDP,7,[1][3],[648][824],Correct,1,761
1,CPCFC,14,2,698,Correct,1,925
1,VLVNV,162,2,819,Correct,1,876
1,KFKFK,151,1,737,Correct,1,683
1,ZNZNZ,152,1,743,Correct,1,928
1,KCKPD,235,2,735,Correct,1,857
1,ZKZFZ,222,2,758,Correct,1,901
1,NRNZN,162,2,596,Correct,1,771
1,KXKRK,163,2,627,Correct,1,862
1,YPYZY,164,2,576,Correct,1,918
1,FKDKF,223,2,646,Incorrect,1,670
1,RPRPR,113,2,636,Incorrect,1,652
1,VRVKV,161,2,880,Correct,1,681
1,RFRPR,162,2,838,Correct,1,823
1,KVKVK,151,1,851,Correct,1,681
1,YKYVY,161,2,734,Correct,1,709
1,VDVDV,8,[1][3],[746][938],Correct,1,730
1,DVZVZ,221,1,976,Correct,1,720
1,YFYFY,113,1,783,Correct,1,937
1,ZYZYZ,152,1,746,Correct,1,707
1,VLVXV,161,2,675,Correct,1,868
1,DPXZX,231,2,831,Correct,1,850
1,RYRYR,113,1,712,Correct,1,790
1,PDPNP,91,[2][3],[931][1235],Correct,1,699
1,KXKXK,13,1,952,Correct,1,909
1,ZYZYZ,152,1,790,Correct,1,903
1,VKVKV,153,1,701,Correct,1,857
1,YZYZY,154,1,620,Correct,1,832
1,NLNZN,161,2,1058,Correct,1,672
1,ZNDYZ,233,2,1029,Correct,1,683
1,PCPXP,222,2,643,Correct,1,903
1,ZVZFZ,162,2,671,Correct,1,944
1,RCRZR,163,2,628,Correct,1,662
1,LRLRL,151,1,549,Correct,1,771
1,ZDZDZ,10,[1][3],[610][802],Correct,1,779
1,RNRZR,14,2,828,Correct,1,854
1,CXCYC,162,2,695,Correct,1,677
1,RCRLR,163,2,601,Correct,1,650
1,FRFRF,151,1,622,Correct,1,656
1,XFXFX,152,1,740,Correct,1,726
1,RPRLR,161,2,681,Correct,1,899
1,YXYRY,162,2,697,Correct,1,750
1,FYFYF,151,1,632,Correct,1,701
1,YZYVY,161,2,697,Correct,1,737
1,YKYKY,151,1,661,Correct,1,802
1,XRXRX,152,1,527,Correct,1,911
1,XVXZX,161,2,711,Correct,1,688
1,PDPDP,11,[1][3],[553][760],Correct,1,746
1,ZFZFZ,13,1,634,Correct,1,807
1,PXPXP,152,1,643,Correct,1,931
1,LYLYL,153,1,592,Correct,1,868
1,NKNKD,225,1,951,Correct,1,653
1,ZNZNZ,113,1,671,Correct,1,701
1,PYPZP,161,2,699,Correct,1,896
1,XPXPX,151,1,652,Correct,1,666
1,VLVLV,152,1,582,Correct,1,908
1,PKPXP,161,2,757,Correct,1,871
1,FZFZF,151,1,595,Correct,1,652
1,LDLDL,12,[1][3],[632][808],Correct,1,733
2,U,5,3,3241,New Target,2,768
2,ZVZFZ,161,2,759,Correct,2,927
2,FZFZF,151,1,728,Correct,2,667
2,RFRFR,152,1,727,Correct,2,747
2,NZNKN,161,2,869,Correct,2,798
2,FZFNF,162,2,747,Correct,2,772
2,RXRXR,151,1,724,Correct,2,882
2,KRKYK,161,2,741,Correct,2,727
2,NZNPN,162,2,966,Correct,2,675
2,XPXPX,151,1,671,Correct,2,686
2,CUCUC,7,[1][3],[729][985],Correct,2,705
2,RFRFR,13,1,878,Correct,2,737
2,VYVXV,161,2,761,Correct,2,705
2,VDVDV,191,1,1137,Correct,2,924
2,ZKZRZ,15,2,762,Correct,2,887
2,XCXCX,151,1,868,Correct,2,827
2,CNCUC,82,[2][3],[925][1309],Correct,2,869
2,RCRCR,13,1,707,Correct,2,900
2,ZPZXZ,161,2,1006,Correct,2,888
2,FKFYF,162,2,928,Correct,2,775
2,ZFZYZ,163,2,682,Correct,2,660
2,PXPXP,151,1,742,Correct,2,841
2,URCKC,231,2,1326,Correct,2,853
2,PCPCP,113,1,724,Correct,2,822
2,XNXNX,152,1,734,Correct,2,818
2,RCRZR,161,2,1141,Correct,2,927
2,XVXVX,151,1,701,Correct,2,940
2,NRNRN,152,1,619,Correct,2,772
2,FPFPF,225,1,604,Correct,2,808
2,XVXFX,222,2,726,Correct,2,943
2,PRPRP,151,1,717,Correct,2,930
2,FYFCF,161,2,845,Correct,2,682
2,XUXFX,91,[2][3],[748][972],Correct,2,792
2,CYCVC,14,,,Incorrect,2,814
