Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1260,Correct,0,669
1,DLDUD,16,2,787,Correct,0,795
1,PDPGP,16,2,936,Correct,0,786
1,MWMWM,15,1,778,Correct,0,728
1,FTFTF,15,1,653,Correct,0,904
1,AXAMA,16,2,584,Correct,0,753
1,RYRGR,16,2,603,Correct,0,672
1,DODOD,15,1,515,Correct,0,899
1,QTQAQ,16,2,574,Correct,0,912
1,YEYEY,15,1,462,Correct,0,740
2,GYGDG,16,2,627,Correct,0,669
2,SWSWS,15,1,469,Correct,0,651
2,HLHUH,16,1,547,False,0,849
2,DEDED,15,2,669,False,0,911
2,ZPZOZ,16,2,750,Correct,0,662
2,ATATA,15,1,586,Correct,0,656
2,QOQOQ,15,1,700,Correct,0,726
2,FPFGF,16,2,771,Correct,0,896
2,TRTET,16,2,767,Correct,0,654
2,DQDQD,15,1,858,Correct,0,689
4,PLPLP,15,1,915,Correct,0,747
4,ATAIA,16,2,626,Correct,0,851
4,SKSGS,16,2,605,Correct,0,890
4,ZYZYZ,15,2,665,False,0,826
4,QSQSQ,15,1,589,Correct,0,922
4,TZTDT,16,2,635,Correct,0,784
4,JYJGJ,16,2,924,Correct,0,713
4,DYDYD,15,1,609,Correct,0,741
4,LTLCL,16,2,634,Correct,0,859
4,FQFEF,16,2,616,Correct,0,784
DT Practice
1,TKTKT,15,1,794,Correct,0,853
1,SLSUS,16,2,758,Correct,0,650
1,VZVGV,7,[2][3],[1201][1409],Correct,0,683
1,XWXZX,7,[2][3],[1126][1286],Correct,0,822
1,ATATA,15,1,621,Correct,0,683
1,HXZMH,16,2,1443,Correct,0,940
1,TZTZT,7,[1][3],[755][1075],Correct,0,718
1,UOUOU,15,1,694,Correct,0,881
1,ZTWAW,16,2,873,Correct,0,942
1,RZRER,7,[2][3],[1121][1313],Correct,0,807
2,JYJDJ,16,2,839,Correct,0,899
2,DWDWD,15,1,870,Correct,0,899
2,GNGNG,7,[1][3],[806][950],Correct,0,823
2,NEZEZ,16,2,1109,False,0,708
2,RNROR,7,[2][3],[1015][1191],Correct,0,868
2,QTQNQ,7,[2][3],[932][1140],Correct,0,777
2,HOHON,15,1,1595,Correct,0,947
2,KPKGK,16,2,1383,Correct,0,673
2,DRDED,16,2,871,Correct,0,849
2,LNLNL,7,[1][3],[779][955],Correct,0,736
Trials
1,D,5,3,19516,New Target,1,812
1,ZNZYZ,161,2,848,Correct,1,825
1,FZFZF,151,1,965,Correct,1,818
1,RKRKR,152,1,948,Correct,1,909
1,RXRNR,161,2,605,Correct,1,653
1,CNCFC,162,2,735,Correct,1,799
1,PDPDP,7,[1][3],[750][910],Correct,1,773
1,CPCFC,14,2,614,Correct,1,897
1,VLVNV,162,2,585,Correct,1,753
1,KFKFK,151,1,777,Correct,1,833
1,ZNZNZ,152,1,561,Correct,1,917
1,KCKPD,235,2,496,Correct,1,856
1,ZKZFZ,222,2,505,Correct,1,672
1,NRNZN,162,2,527,Correct,1,780
1,KXKRK,163,2,579,Correct,1,770
1,YPYZY,164,2,516,Correct,1,884
1,FKDKF,223,2,519,Incorrect,1,814
1,RPRPR,113,1,726,Correct,1,921
1,VRVKV,161,2,594,Correct,1,800
1,RFRPR,162,2,675,Correct,1,819
1,KVKVK,151,2,582,Incorrect,1,653
1,YKYVY,161,2,612,Correct,1,867
1,VDVDV,8,[1][3],[454][854],Correct,1,745
1,DVZVZ,221,2,683,Incorrect,1,715
1,YFYFY,113,1,1032,Correct,1,781
1,ZYZYZ,152,1,651,Correct,1,697
1,VLVXV,161,2,597,Correct,1,940
1,DPXZX,231,1,915,Incorrect,1,884
1,RYRYR,113,1,806,Correct,1,902
1,PDPNP,91,[2][3],[834][1042],Correct,1,786
1,KXKXK,13,1,1240,Correct,1,733
1,ZYZYZ,152,1,719,Correct,1,911
1,VKVKV,153,1,820,Correct,1,945
1,YZYZY,154,2,1037,Incorrect,1,732
1,NLNZN,161,2,732,Correct,1,872
1,ZNDYZ,233,2,626,Correct,1,902
1,PCPXP,222,2,621,Correct,1,903
1,ZVZFZ,162,2,606,Correct,1,729
1,RCRZR,163,2,544,Correct,1,774
1,LRLRL,151,1,684,Correct,1,650
1,ZDZDZ,10,[1][3],[679][871],Correct,1,942
1,RNRZR,14,2,899,Correct,1,738
1,CXCYC,162,2,762,Correct,1,796
1,RCRLR,163,2,711,Correct,1,779
1,FRFRF,151,1,762,Correct,1,657
1,XFXFX,152,1,599,Correct,1,720
1,RPRLR,161,2,599,Correct,1,824
1,YXYRY,162,2,635,Correct,1,723
1,FYFYF,151,1,607,Correct,1,738
1,YZYVY,161,2,595,Correct,1,680
1,YKYKY,151,2,547,Incorrect,1,849
1,XRXRX,152,1,660,Correct,1,891
1,XVXZX,161,2,580,Correct,1,813
1,PDPDP,11,[1][3],[575][766],Correct,1,727
1,ZFZFZ,13,1,818,Correct,1,708
1,PXPXP,152,2,551,Incorrect,1,824
1,LYLYL,153,2,677,Incorrect,1,891
1,NKNKD,225,1,1065,Correct,1,675
1,ZNZNZ,113,1,957,Correct,1,655
1,PYPZP,161,2,638,Correct,1,809
1,XPXPX,151,1,625,Correct,1,706
1,VLVLV,152,1,571,Correct,1,931
1,PKPXP,161,2,1003,Correct,1,852
1,FZFZF,151,1,523,Correct,1,877
1,LDLDL,12,[1][3],[793][969],Correct,1,900
2,U,5,3,8251,New Target,2,945
2,ZVZFZ,161,2,712,Correct,2,920
2,FZFZF,151,1,712,Correct,2,708
2,RFRFR,152,1,740,Correct,2,837
2,NZNKN,161,2,853,Correct,2,707
2,FZFNF,162,2,797,Correct,2,756
2,RXRXR,151,2,674,Incorrect,2,914
2,KRKYK,161,2,723,Correct,2,776
2,NZNPN,162,2,570,Correct,2,891
2,XPXPX,151,1,584,Correct,2,893
2,CUCUC,7,[1][3],[756][932],Correct,2,866
2,RFRFR,13,1,962,Correct,2,877
2,VYVXV,161,2,564,Correct,2,806
2,VDVDV,191,1,534,Correct,2,846
2,ZKZRZ,15,2,749,Correct,2,695
2,XCXCX,151,1,883,Correct,2,923
2,CNCUC,82,[2][3],[942][1070],Correct,2,937
2,RCRCR,13,1,782,Correct,2,796
2,ZPZXZ,161,2,666,Correct,2,819
2,FKFYF,162,2,935,Correct,2,842
2,ZFZYZ,163,2,682,Correct,2,873
2,PXPXP,151,1,820,Correct,2,874
2,URCKC,231,2,630,Correct,2,940
2,PCPCP,113,1,518,Correct,2,798
2,XNXNX,152,1,629,Correct,2,925
2,RCRZR,161,2,584,Correct,2,825
2,XVXVX,151,1,529,Correct,2,944
2,NRNRN,152,1,953,Correct,2,754
2,FPFPF,225,1,536,Correct,2,875
2,XVXFX,222,2,634,Correct,2,810
2,PRPRP,151,1,699,Correct,2,783
2,FYFCF,161,2,586,Correct,2,734
2,XUXFX,91,[2][3],[719][895],Correct,2,752
2,CYCVC,14,2,620,Correct,2,732
2,VDVKV,172,2,508,Correct,2,774
2,YCYCY,15,1,804,Correct,2,748
2,NKNLN,161,2,476,Correct,2,866
2,XPUKX,233,2,867,Correct,2,827
2,ZPZPZ,113,1,805,Correct,2,901
2,KRKRK,152,1,749,Correct,2,768
2,XKXKX,153,1,776,Correct,2,815
2,YUYVY,101,[2][3],[767][974],Correct,2,769
2,XKXFU,235,2,833,Correct,2,843
2,NFNFN,113,1,588,Correct,2,741
2,KDKDK,193,1,619,Correct,2,851
2,XYXKX,16,2,1216,Correct,2,706
2,YZUZY,223,1,1174,Correct,2,902
2,KFKVK,222,2,673,Correct,2,836
2,LYLYL,151,1,728,Correct,2,932
2,CXCDC,184,2,682,Incorrect,2,661
2,XZXNX,16,2,1019,Correct,2,726
2,PXPXP,151,1,1083,Correct,2,821
2,ZRZYZ,161,2,519,Correct,2,822
2,PUPYP,111,[2][3],[814][1006],Correct,2,650
2,RNRNR,14,1,780,Correct,2,819
2,KDKDK,195,1,677,Correct,2,875
2,KNKNK,15,1,561,Correct,2,870
2,PRPKP,161,2,819,Correct,2,863
2,UNYNY,221,2,937,Incorrect,2,900
2,NYNYN,113,1,656,Correct,2,745
2,YXYXY,152,2,814,Correct,2,803
2,RDRDR,196,1,711,Correct,2,752
2,FCFCF,15,1,674,Correct,2,785
2,ZKZKZ,152,1,1000,Correct,2,682
2,ZUZUZ,12,[1][3],[1064][1224],Correct,2,859
3,E,5,3,3449,New Target,3,842
3,YZYZY,151,1,832,Correct,3,834
3,VFVNV,161,2,581,Correct,3,905
3,KYKYK,151,1,911,Correct,3,675
3,NKNKN,152,1,809,Correct,3,674
3,XVXNX,161,2,862,Correct,3,926
3,RERFR,71,[2][3],[905][1049],Correct,3,721
3,XNXNX,13,1,556,Correct,3,923
3,NXNXN,152,1,735,Correct,3,798
3,ZLZNZ,161,2,540,Correct,3,734
