Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,692,Correct,0,651
1,DLDUD,16,2,832,Correct,0,732
1,PDPGP,16,2,884,Correct,0,866
1,MWMWM,15,1,613,Correct,0,874
1,FTFTF,15,1,708,Correct,0,725
1,AXAMA,16,2,689,Correct,0,736
1,RYRGR,16,2,654,Correct,0,687
1,DODOD,15,1,648,Correct,0,833
1,QTQAQ,16,2,760,Correct,0,667
1,YEYEY,15,1,755,Correct,0,679
2,GYGDG,16,2,687,Correct,0,733
2,SWSWS,15,1,484,Correct,0,943
2,HLHUH,16,2,640,Correct,0,888
2,DEDED,15,1,494,Correct,0,794
2,ZPZOZ,16,2,588,Correct,0,895
2,ATATA,15,1,677,Correct,0,907
2,QOQOQ,15,1,635,Correct,0,898
2,FPFGF,16,2,537,Correct,0,760
2,TRTET,16,2,688,Correct,0,660
2,DQDQD,15,1,641,Correct,0,652
AT Practice
1,TKTKT,15,2,624,False,0,751
1,SLSUS,16,2,750,Correct,0,762
1,VZVGV,7,3,817,Correct,0,859
1,XWXZX,7,3,562,Correct,0,928
1,ATATA,15,1,693,Correct,0,723
1,HXZMH,16,2,1220,Correct,0,663
1,TZTZT,7,3,777,Correct,0,840
1,UOUOU,15,1,1080,Correct,0,949
1,ZTWAW,16,2,649,Correct,0,747
1,RZRER,7,3,724,Correct,0,794
2,JYJDJ,16,2,1120,Correct,0,805
2,DWDWD,15,2,814,False,0,724
2,GNGNG,7,3,951,Correct,0,664
2,NEZEZ,16,1,701,Correct,0,707
2,RNROR,7,3,678,Correct,0,820
2,QTQNQ,7,3,866,Correct,0,782
2,HOHON,15,1,630,Correct,0,782
2,KPKGK,16,2,866,Correct,0,831
2,DRDED,16,2,818,Correct,0,908
2,LNLNL,7,3,720,Correct,0,934
4,GLGLG,15,1,1208,Correct,0,920
4,DTDID,16,2,688,Correct,0,698
4,SMSGS,16,2,663,Correct,0,916
4,ZFZYZ,7,3,818,Correct,0,773
4,TSTFT,7,3,780,Correct,0,714
4,OFOFO,7,3,817,Correct,0,945
4,WYFGW,16,2,1199,Correct,0,926
4,WYWYW,15,1,998,Correct,0,770
4,MFMCM,7,3,709,Correct,0,812
4,HQHEH,16,2,787,Correct,0,665
Trials
1,D,5,3,14198,New Target,1,769
1,ZNZYZ,161,2,1140,Correct,1,838
1,FZFZF,151,1,861,Correct,1,866
1,RKRKR,152,1,707,Correct,1,851
1,RXRNR,161,2,656,Correct,1,813
1,CNCFC,162,2,831,Correct,1,784
1,PDPDP,7,3,843,Correct,1,724
1,CPCFC,14,2,569,Correct,1,658
1,VLVNV,162,2,738,Correct,1,659
1,KFKFK,151,1,1377,Correct,1,756
1,ZNZNZ,152,3,755,Incorrect,1,873
1,KCKPD,235,2,859,Correct,1,868
1,ZKZFZ,222,2,659,Correct,1,787
1,NRNZN,162,2,1316,Correct,1,724
1,KXKRK,163,2,724,Correct,1,931
1,YPYZY,164,2,802,Correct,1,743
1,FKDKF,223,1,690,Correct,1,681
1,RPRPR,113,1,805,Correct,1,669
1,VRVKV,161,2,766,Correct,1,758
1,RFRPR,162,2,613,Correct,1,834
1,KVKVK,151,2,692,Incorrect,1,825
1,YKYVY,161,2,644,Correct,1,708
1,VDVDV,8,3,673,Correct,1,923
1,DVZVZ,221,1,785,Correct,1,702
1,YFYFY,113,1,642,Correct,1,677
1,ZYZYZ,152,1,867,Correct,1,790
1,VLVXV,161,2,654,Correct,1,722
1,DPXZX,231,2,1357,Correct,1,804
1,RYRYR,113,1,913,Correct,1,824
1,PDPNP,91,3,957,Correct,1,663
1,KXKXK,13,1,956,Correct,1,905
1,ZYZYZ,152,1,816,Correct,1,792
1,VKVKV,153,1,662,Correct,1,890
1,YZYZY,154,1,694,Correct,1,765
1,NLNZN,161,2,677,Correct,1,704
1,ZNDYZ,233,2,1296,Correct,1,924
1,PCPXP,222,2,791,Correct,1,767
1,ZVZFZ,162,2,1004,Correct,1,865
1,RCRZR,163,2,779,Correct,1,921
1,LRLRL,151,1,627,Correct,1,895
1,ZDZDZ,10,3,516,Correct,1,802
1,RNRZR,14,2,669,Correct,1,689
1,CXCYC,162,2,689,Correct,1,660
1,RCRLR,163,2,650,Correct,1,896
1,FRFRF,151,1,590,Correct,1,689
1,XFXFX,152,1,603,Correct,1,950
1,RPRLR,161,2,616,Correct,1,923
1,YXYRY,162,2,709,Correct,1,825
1,FYFYF,151,1,615,Correct,1,695
1,YZYVY,161,2,570,Correct,1,743
1,YKYKY,151,1,584,Correct,1,912
1,XRXRX,152,1,556,Correct,1,774
1,XVXZX,161,2,577,Correct,1,748
1,PDPDP,11,3,694,Correct,1,792
1,ZFZFZ,13,1,642,Correct,1,855
1,PXPXP,152,1,784,Correct,1,847
1,LYLYL,153,1,627,Correct,1,950
1,NKNKD,225,1,813,Correct,1,944
1,ZNZNZ,113,1,1399,Correct,1,824
1,PYPZP,161,2,692,Correct,1,941
1,XPXPX,151,1,802,Correct,1,726
1,VLVLV,152,1,701,Correct,1,764
1,PKPXP,161,,,Incorrect,1,918
1,FZFZF,151,1,737,Correct,1,827
1,LDLDL,12,3,683,Correct,1,876
2,U,5,3,7075,New Target,2,792
2,ZVZFZ,161,2,719,Correct,2,881
2,FZFZF,151,1,641,Correct,2,692
2,RFRFR,152,1,799,Correct,2,814
2,NZNKN,161,2,613,Correct,2,887
2,FZFNF,162,2,676,Correct,2,803
2,RXRXR,151,1,979,Correct,2,816
2,KRKYK,161,2,561,Correct,2,898
2,NZNPN,162,2,803,Correct,2,849
2,XPXPX,151,1,815,Correct,2,721
2,CUCUC,7,3,610,Correct,2,906
2,RFRFR,13,1,659,Correct,2,769
2,VYVXV,161,2,601,Correct,2,664
2,VDVDV,191,1,894,Correct,2,738
2,ZKZRZ,15,2,778,Correct,2,694
2,XCXCX,151,1,613,Correct,2,789
2,CNCUC,82,3,744,Correct,2,761
2,RCRCR,13,1,704,Correct,2,879
2,ZPZXZ,161,2,550,Correct,2,946
2,FKFYF,162,2,603,Correct,2,774
2,ZFZYZ,163,2,616,Correct,2,880
2,PXPXP,151,2,775,Incorrect,2,802
2,URCKC,231,2,931,Correct,2,735
2,PCPCP,113,1,643,Correct,2,917
2,XNXNX,152,1,625,Correct,2,900
2,RCRZR,161,2,640,Correct,2,784
2,XVXVX,151,1,558,Correct,2,846
2,NRNRN,152,1,656,Correct,2,878
2,FPFPF,225,1,563,Correct,2,724
2,XVXFX,222,2,978,Correct,2,906
2,PRPRP,151,1,704,Correct,2,912
2,FYFCF,161,2,718,Correct,2,756
2,XUXFX,91,3,493,Correct,2,760
2,CYCVC,14,2,623,Correct,2,914
2,VDVKV,172,1,782,Incorrect,2,866
2,YCYCY,15,1,621,Correct,2,672
2,NKNLN,161,2,646,Correct,2,931
2,XPUKX,233,2,566,Correct,2,826
2,ZPZPZ,113,1,756,Correct,2,859
2,KRKRK,152,1,563,Correct,2,670
2,XKXKX,153,1,684,Correct,2,659
2,YUYVY,101,3,757,Correct,2,914
2,XKXFU,235,2,691,Correct,2,731
2,NFNFN,113,1,578,Correct,2,783
2,KDKDK,193,1,819,Correct,2,797
2,XYXKX,16,2,703,Correct,2,704
2,YZUZY,223,,,Incorrect,2,799
2,KFKVK,222,2,540,Correct,2,660
2,LYLYL,151,1,754,Correct,2,760
2,CXCDC,184,2,749,Incorrect,2,835
2,XZXNX,16,2,535,Correct,2,804
2,PXPXP,151,2,553,Incorrect,2,892
2,ZRZYZ,161,2,604,Correct,2,791
2,PUPYP,111,1,575,Incorrect,2,716
2,RNRNR,14,1,946,Correct,2,790
2,KDKDK,195,1,857,Correct,2,697
2,KNKNK,15,1,643,Correct,2,720
2,PRPKP,161,2,760,Correct,2,663
2,UNYNY,221,2,1204,Incorrect,2,724
2,NYNYN,113,1,1359,Correct,2,827
2,YXYXY,152,1,596,Incorrect,2,824
2,RDRDR,196,1,737,Correct,2,880
2,FCFCF,15,1,790,Correct,2,947
2,ZKZKZ,152,1,719,Correct,2,839
2,ZUZUZ,12,3,675,Correct,2,665
3,E,5,3,2720,New Target,3,911
3,YZYZY,151,1,888,Correct,3,653
3,VFVNV,161,2,639,Correct,3,759
3,KYKYK,151,1,666,Correct,3,887
3,NKNKN,152,1,875,Correct,3,733
3,XVXNX,161,2,613,Correct,3,719
3,RERFR,71,3,694,Correct,3,760
3,XNXNX,13,1,715,Correct,3,662
3,NXNXN,152,2,635,Incorrect,3,726
3,ZLZNZ,161,2,769,Correct,3,665
3,CUCNC,171,3,922,Incorrect,3,837
3,FYFRF,16,2,885,Correct,3,705
3,ZLZLZ,151,1,913,Correct,3,673
3,YZYZY,152,1,805,Correct,3,887
3,CYCYC,153,1,609,Correct,3,727
3,VUVUV,192,2,1198,Incorrect,3,950
