Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,936
1,DLDUD,16,,,False,0,868
1,PDPGP,16,1,989,False,0,831
1,MWMWM,15,1,1120,Correct,0,726
1,FTFTF,15,1,1077,Correct,0,915
1,AXAMA,16,2,860,Correct,0,936
1,RYRGR,16,2,770,Correct,0,764
1,DODOD,15,1,793,Correct,0,821
1,QTQAQ,16,2,929,Correct,0,787
1,YEYEY,15,1,687,Correct,0,889
2,GYGDG,16,2,745,Correct,0,739
2,SWSWS,15,1,583,Correct,0,688
2,HLHUH,16,2,651,Correct,0,710
2,DEDED,15,1,552,Correct,0,731
2,ZPZOZ,16,2,502,Correct,0,785
2,ATATA,15,1,679,Correct,0,760
2,QOQOQ,15,2,541,False,0,893
2,FPFGF,16,2,765,Correct,0,756
2,TRTET,16,2,746,Correct,0,672
2,DQDQD,15,2,787,False,0,770
4,PLPLP,15,1,603,Correct,0,706
4,ATAIA,16,2,598,Correct,0,889
4,SKSGS,16,2,737,Correct,0,899
4,ZYZYZ,15,1,874,Correct,0,806
4,QSQSQ,15,1,582,Correct,0,949
4,TZTDT,16,2,713,Correct,0,676
4,JYJGJ,16,2,591,Correct,0,836
4,DYDYD,15,1,666,Correct,0,894
4,LTLCL,16,2,657,Correct,0,872
4,FQFEF,16,2,674,Correct,0,704
AT Practice
1,TKTKT,15,,,False,0,940
1,SLSUS,16,,,False,0,747
1,VZVGV,7,3,1013,Correct,0,856
1,XWXZX,7,3,749,Correct,0,941
1,ATATA,15,,,False,0,776
1,HXZMH,16,3,600,False,0,858
1,TZTZT,7,3,548,Correct,0,923
1,UOUOU,15,,,False,0,915
1,ZTWAW,16,,,False,0,909
1,RZRER,7,3,748,Correct,0,752
2,JYJDJ,16,2,795,Correct,0,691
2,DWDWD,15,1,726,Correct,0,729
2,GNGNG,7,3,802,Correct,0,698
2,NEZEZ,16,1,630,Correct,0,866
2,RNROR,7,3,768,Correct,0,866
2,QTQNQ,7,3,825,Correct,0,688
2,HOHON,15,2,767,False,0,769
2,KPKGK,16,2,954,Correct,0,767
2,DRDED,16,1,606,False,0,650
2,LNLNL,7,3,657,Correct,0,684
Trials
1,D,5,3,7608,New Target,1,675
1,ZNZYZ,161,2,904,Correct,1,922
1,FZFZF,151,2,996,Incorrect,1,660
1,RKRKR,152,1,567,Correct,1,769
1,RXRNR,161,2,629,Correct,1,861
1,CNCFC,162,2,595,Correct,1,832
1,PDPDP,7,1,854,Incorrect,1,788
1,CPCFC,14,2,744,Correct,1,909
1,VLVNV,162,2,535,Correct,1,758
1,KFKFK,151,1,521,Correct,1,804
1,ZNZNZ,152,1,593,Correct,1,680
1,KCKPD,235,2,542,Correct,1,884
1,ZKZFZ,222,2,630,Correct,1,669
1,NRNZN,162,2,529,Correct,1,923
1,KXKRK,163,2,565,Correct,1,781
1,YPYZY,164,2,564,Correct,1,860
1,FKDKF,223,2,629,Incorrect,1,895
1,RPRPR,113,1,677,Correct,1,785
1,VRVKV,161,2,502,Correct,1,711
1,RFRPR,162,2,653,Correct,1,747
1,KVKVK,151,1,594,Correct,1,726
1,YKYVY,161,2,575,Correct,1,909
1,VDVDV,8,1,459,Incorrect,1,940
1,DVZVZ,221,1,676,Correct,1,786
1,YFYFY,113,1,512,Correct,1,903
1,ZYZYZ,152,1,504,Correct,1,752
1,VLVXV,161,2,466,Correct,1,675
1,DPXZX,231,2,552,Correct,1,768
1,RYRYR,113,1,678,Correct,1,931
1,PDPNP,91,2,582,Incorrect,1,798
1,KXKXK,13,1,533,Correct,1,834
1,ZYZYZ,152,1,491,Correct,1,722
1,VKVKV,153,1,677,Correct,1,712
1,YZYZY,154,1,489,Correct,1,688
1,NLNZN,161,2,574,Correct,1,833
1,ZNDYZ,233,2,595,Correct,1,742
1,PCPXP,222,2,533,Correct,1,798
1,ZVZFZ,162,2,653,Correct,1,689
1,RCRZR,163,2,635,Correct,1,823
1,LRLRL,151,1,539,Correct,1,805
1,ZDZDZ,10,1,461,Incorrect,1,821
1,RNRZR,14,2,617,Correct,1,667
1,CXCYC,162,2,696,Correct,1,779
1,RCRLR,163,2,551,Correct,1,812
1,FRFRF,151,1,696,Correct,1,809
1,XFXFX,152,1,593,Correct,1,938
1,RPRLR,161,2,579,Correct,1,746
1,YXYRY,162,2,550,Correct,1,747
1,FYFYF,151,1,616,Correct,1,784
1,YZYVY,161,2,546,Correct,1,946
1,YKYKY,151,1,599,Correct,1,808
1,XRXRX,152,1,637,Correct,1,667
1,XVXZX,161,2,527,Correct,1,762
1,PDPDP,11,1,646,Incorrect,1,691
1,ZFZFZ,13,1,523,Correct,1,662
1,PXPXP,152,1,568,Correct,1,932
1,LYLYL,153,1,702,Correct,1,739
1,NKNKD,225,1,683,Correct,1,787
1,ZNZNZ,113,1,474,Correct,1,801
1,PYPZP,161,2,596,Correct,1,734
1,XPXPX,151,1,613,Correct,1,858
1,VLVLV,152,1,498,Correct,1,853
1,PKPXP,161,2,725,Correct,1,798
1,FZFZF,151,1,574,Correct,1,935
1,LDLDL,12,1,559,Incorrect,1,808
2,U,5,3,6480,New Target,2,834
2,ZVZFZ,161,2,677,Correct,2,753
2,FZFZF,151,1,817,Correct,2,911
2,RFRFR,152,1,631,Correct,2,852
2,NZNKN,161,2,599,Correct,2,781
2,FZFNF,162,2,735,Correct,2,661
2,RXRXR,151,2,620,Incorrect,2,755
2,KRKYK,161,2,625,Correct,2,706
2,NZNPN,162,2,690,Correct,2,801
2,XPXPX,151,1,691,Correct,2,769
2,CUCUC,7,3,642,Correct,2,719
2,RFRFR,13,2,459,Incorrect,2,936
2,VYVXV,161,2,660,Correct,2,705
2,VDVDV,191,1,640,Correct,2,854
2,ZKZRZ,15,2,639,Correct,2,824
2,XCXCX,151,1,769,Correct,2,712
2,CNCUC,82,3,666,Correct,2,845
2,RCRCR,13,2,568,Incorrect,2,875
2,ZPZXZ,161,2,682,Correct,2,713
2,FKFYF,162,2,662,Correct,2,910
2,ZFZYZ,163,2,679,Correct,2,679
2,PXPXP,151,1,659,Correct,2,892
2,URCKC,231,2,609,Correct,2,811
2,PCPCP,113,1,627,Correct,2,785
2,XNXNX,152,3,739,Incorrect,2,773
2,RCRZR,161,2,577,Correct,2,734
2,XVXVX,151,1,718,Correct,2,892
2,NRNRN,152,1,776,Correct,2,860
2,FPFPF,225,1,593,Correct,2,815
2,XVXFX,222,2,628,Correct,2,750
2,PRPRP,151,1,640,Correct,2,928
2,FYFCF,161,2,634,Correct,2,909
2,XUXFX,91,3,589,Correct,2,720
2,CYCVC,14,2,669,Correct,2,819
2,VDVKV,172,2,570,Correct,2,921
2,YCYCY,15,1,652,Correct,2,726
2,NKNLN,161,2,681,Correct,2,853
2,XPUKX,233,3,952,Incorrect,2,794
2,ZPZPZ,113,1,725,Correct,2,934
2,KRKRK,152,2,765,Incorrect,2,899
2,XKXKX,153,1,731,Correct,2,735
2,YUYVY,101,2,610,Incorrect,2,894
2,XKXFU,235,2,780,Correct,2,917
2,NFNFN,113,1,809,Correct,2,780
2,KDKDK,193,1,656,Correct,2,814
2,XYXKX,16,2,625,Correct,2,760
2,YZUZY,223,3,701,Incorrect,2,867
2,KFKVK,222,2,652,Correct,2,718
2,LYLYL,151,1,958,Correct,2,764
2,CXCDC,184,2,622,Incorrect,2,850
2,XZXNX,16,2,608,Correct,2,687
2,PXPXP,151,1,718,Correct,2,891
2,ZRZYZ,161,2,587,Correct,2,741
2,PUPYP,111,3,668,Correct,2,794
2,RNRNR,14,1,928,Correct,2,714
2,KDKDK,195,1,610,Correct,2,894
2,KNKNK,15,1,770,Correct,2,831
2,PRPKP,161,2,720,Correct,2,693
2,UNYNY,221,2,1226,Incorrect,2,918
2,NYNYN,113,1,853,Correct,2,750
2,YXYXY,152,1,955,Incorrect,2,797
2,RDRDR,196,1,689,Correct,2,795
2,FCFCF,15,1,660,Correct,2,675
2,ZKZKZ,152,1,681,Correct,2,696
2,ZUZUZ,12,3,653,Correct,2,672
3,E,5,3,6508,New Target,3,650
3,YZYZY,151,1,731,Correct,3,782
3,VFVNV,161,2,795,Correct,3,683
3,KYKYK,151,2,857,Incorrect,3,686
3,NKNKN,152,3,765,Incorrect,3,834
3,XVXNX,161,2,663,Correct,3,823
3,RERFR,71,3,871,Correct,3,797
3,XNXNX,13,1,782,Correct,3,803
3,NXNXN,152,1,716,Correct,3,679
3,ZLZNZ,161,2,633,Correct,3,837
3,CUCNC,171,2,990,Correct,3,651
3,FYFRF,16,2,709,Correct,3,668
3,ZLZLZ,151,2,595,Incorrect,3,757
3,YZYZY,152,1,681,Correct,3,700
3,CYCYC,153,1,587,Correct,3,671
3,VUVUV,192,1,623,Correct,3,742
3,PXPRP,16,2,650,Correct,3,882
