Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,763
1,DLDUD,16,2,911,Correct,0,901
1,PDPGP,16,1,662,False,0,664
1,MWMWM,15,1,868,Correct,0,706
1,FTFTF,15,1,918,Correct,0,837
1,AXAMA,16,2,762,Correct,0,712
1,RYRGR,16,2,692,Correct,0,735
1,DODOD,15,1,842,Correct,0,845
1,QTQAQ,16,2,636,Correct,0,853
1,YEYEY,15,1,713,Correct,0,761
2,GYGDG,16,2,725,Correct,0,650
2,SWSWS,15,1,703,Correct,0,791
2,HLHUH,16,2,950,Correct,0,868
2,DEDED,15,1,727,Correct,0,820
2,ZPZOZ,16,2,653,Correct,0,908
2,ATATA,15,1,682,Correct,0,793
2,QOQOQ,15,1,618,Correct,0,688
2,FPFGF,16,2,566,Correct,0,840
2,TRTET,16,2,647,Correct,0,733
2,DQDQD,15,1,881,Correct,0,840
4,PLPLP,15,1,806,Correct,0,739
4,ATAIA,16,2,625,Correct,0,701
4,SKSGS,16,2,703,Correct,0,789
4,ZYZYZ,15,1,825,Correct,0,778
4,QSQSQ,15,1,622,Correct,0,852
4,TZTDT,16,1,822,False,0,944
4,JYJGJ,16,2,778,Correct,0,880
4,DYDYD,15,1,854,Correct,0,683
4,LTLCL,16,2,748,Correct,0,816
4,FQFEF,16,2,609,Correct,0,815
1,SKSKS,15,1,828,Correct,0,749
1,DLDUD,16,2,636,Correct,0,918
1,PDPGP,16,2,807,Correct,0,803
1,MWMWM,15,1,665,Correct,0,854
1,FTFTF,15,1,903,Correct,0,701
1,AXAMA,16,2,663,Correct,0,823
1,RYRGR,16,2,703,Correct,0,851
1,DODOD,15,1,678,Correct,0,900
1,QTQAQ,16,2,717,Correct,0,898
1,YEYEY,15,1,758,Correct,0,777
DT Practice
1,TKTKT,15,,,False,0,950
1,SLSUS,16,2,1399,Correct,0,912
1,VZVGV,7,[2],[754],False,0,776
1,XWXZX,7,[2][3],[802][1154],Correct,0,655
1,ATATA,15,1,1144,Correct,0,922
1,HXZMH,16,2,1390,Correct,0,820
1,TZTZT,7,[1][3],[1263][1535],Correct,0,771
1,UOUOU,15,2,878,False,0,841
1,ZTWAW,16,2,1358,Correct,0,834
1,RZRER,7,[1][2],[764][1068],False,0,814
2,JYJDJ,16,2,757,Correct,0,899
2,DWDWD,15,1,827,Correct,0,886
2,GNGNG,7,[1][3],[1133][1357],Correct,0,939
2,NEZEZ,16,1,1056,Correct,0,901
2,RNROR,7,[2][3],[1120][1392],Correct,0,847
2,QTQNQ,7,[2][3],[918][1206],Correct,0,698
2,HOHON,15,1,850,Correct,0,944
2,KPKGK,16,2,945,Correct,0,929
2,DRDED,16,2,698,Correct,0,923
2,LNLNL,7,[1][3],[1028][1268],Correct,0,736
4,GLGLG,15,1,953,Correct,0,674
4,DTDID,16,2,807,Correct,0,831
4,SMSGS,16,2,665,Correct,0,867
4,ZFZYZ,7,[2][3],[1104][1296],Correct,0,697
4,TSTFT,7,[2][3],[958][1198],Correct,0,691
4,OFOFO,7,[1][3],[760][999],Correct,0,805
4,WYFGW,16,2,1319,Correct,0,684
4,WYWYW,15,1,1100,Correct,0,681
4,MFMCM,7,[2][3],[1089][1345],Correct,0,900
4,HQHEH,16,2,1044,Correct,0,679
Trials
1,D,5,3,4098,New Target,1,696
1,ZNZYZ,161,2,1025,Correct,1,675
1,FZFZF,151,1,845,Correct,1,881
1,RKRKR,152,1,679,Correct,1,805
1,RXRNR,161,2,856,Correct,1,770
1,CNCFC,162,2,717,Correct,1,896
1,PDPDP,7,[1][3],[821][997],Correct,1,911
1,CPCFC,14,2,780,Correct,1,894
1,VLVNV,162,2,662,Correct,1,845
1,KFKFK,151,1,741,Correct,1,841
1,ZNZNZ,152,1,987,Correct,1,928
1,KCKPD,235,2,778,Correct,1,927
1,ZKZFZ,222,2,809,Correct,1,661
1,NRNZN,162,2,805,Correct,1,762
1,KXKRK,163,2,657,Correct,1,712
1,YPYZY,164,2,573,Correct,1,852
1,FKDKF,223,2,956,Incorrect,1,939
1,RPRPR,113,1,736,Correct,1,830
1,VRVKV,161,2,878,Correct,1,732
1,RFRPR,162,2,1039,Correct,1,925
1,KVKVK,151,1,1027,Correct,1,663
1,YKYVY,161,2,694,Correct,1,756
1,VDVDV,8,[1][3],[709][1029],Correct,1,749
1,DVZVZ,221,1,846,Correct,1,855
1,YFYFY,113,1,829,Correct,1,675
1,ZYZYZ,152,1,771,Correct,1,840
1,VLVXV,161,2,711,Correct,1,936
1,DPXZX,231,2,800,Correct,1,865
1,RYRYR,113,1,725,Correct,1,897
1,PDPNP,91,[1][2],[855][1207],Incorrect,1,903
1,KXKXK,13,1,1074,Correct,1,720
1,ZYZYZ,152,1,867,Correct,1,699
1,VKVKV,153,1,1014,Correct,1,930
1,YZYZY,154,1,916,Correct,1,870
1,NLNZN,161,2,830,Correct,1,711
1,ZNDYZ,233,2,1180,Correct,1,677
1,PCPXP,222,2,908,Correct,1,681
1,ZVZFZ,162,2,869,Correct,1,736
1,RCRZR,163,2,1120,Correct,1,664
1,LRLRL,151,1,873,Correct,1,903
1,ZDZDZ,10,[1][3],[793][1097],Correct,1,701
1,RNRZR,14,2,780,Correct,1,830
1,CXCYC,162,2,774,Correct,1,815
1,RCRLR,163,2,708,Correct,1,659
1,FRFRF,151,1,742,Correct,1,651
1,XFXFX,152,1,753,Correct,1,822
1,RPRLR,161,2,712,Correct,1,924
1,YXYRY,162,2,710,Correct,1,782
1,FYFYF,151,1,725,Correct,1,698
1,YZYVY,161,2,687,Correct,1,926
1,YKYKY,151,1,811,Correct,1,850
1,XRXRX,152,1,775,Correct,1,770
1,XVXZX,161,2,1052,Correct,1,869
1,PDPDP,11,[1][3],[829][1149],Correct,1,763
1,ZFZFZ,13,1,816,Correct,1,837
1,PXPXP,152,1,782,Correct,1,715
1,LYLYL,153,1,639,Correct,1,674
1,NKNKD,225,1,700,Correct,1,792
1,ZNZNZ,113,1,633,Correct,1,798
1,PYPZP,161,2,628,Correct,1,873
1,XPXPX,151,1,848,Correct,1,924
1,VLVLV,152,1,684,Correct,1,675
1,PKPXP,161,2,713,Correct,1,768
1,FZFZF,151,1,746,Correct,1,691
1,LDLDL,12,[1][3],[713][1065],Correct,1,916
2,U,5,3,2472,New Target,2,670
2,ZVZFZ,161,2,994,Correct,2,797
2,FZFZF,151,1,688,Correct,2,932
2,RFRFR,152,1,968,Correct,2,907
2,NZNKN,161,2,735,Correct,2,696
2,FZFNF,162,2,714,Correct,2,785
2,RXRXR,151,1,854,Correct,2,807
2,KRKYK,161,2,669,Correct,2,792
2,NZNPN,162,2,859,Correct,2,759
2,XPXPX,151,1,595,Correct,2,829
2,CUCUC,7,[1][3],[1036][1324],Correct,2,700
2,RFRFR,13,1,808,Correct,2,726
2,VYVXV,161,2,752,Correct,2,876
2,VDVDV,191,1,1049,Correct,2,789
2,ZKZRZ,15,2,656,Correct,2,660
2,XCXCX,151,1,1002,Correct,2,903
2,CNCUC,82,[2][3],[854][1174],Correct,2,770
2,RCRCR,13,1,700,Correct,2,853
2,ZPZXZ,161,2,589,Correct,2,713
2,FKFYF,162,2,668,Correct,2,887
2,ZFZYZ,163,2,669,Correct,2,730
2,PXPXP,151,1,846,Correct,2,754
2,URCKC,231,2,751,Correct,2,934
2,PCPCP,113,1,667,Correct,2,778
2,XNXNX,152,1,949,Correct,2,932
2,RCRZR,161,2,723,Correct,2,914
2,XVXVX,151,1,642,Correct,2,675
2,NRNRN,152,1,885,Correct,2,742
2,FPFPF,225,1,696,Correct,2,904
2,XVXFX,222,2,633,Correct,2,730
2,PRPRP,151,1,639,Correct,2,673
2,FYFCF,161,2,592,Correct,2,758
2,XUXFX,91,[1][2],[800][1104],Incorrect,2,673
2,CYCVC,14,2,747,Correct,2,826
2,VDVKV,172,2,853,Correct,2,835
2,YCYCY,15,1,696,Correct,2,913
2,NKNLN,161,2,822,Correct,2,754
2,XPUKX,233,2,1172,Correct,2,687
2,ZPZPZ,113,1,736,Correct,2,735
2,KRKRK,152,1,1214,Correct,2,744
2,XKXKX,153,1,932,Correct,2,881
2,YUYVY,101,[2][3],[939][1195],Correct,2,681
2,XKXFU,235,2,1190,Correct,2,650
2,NFNFN,113,1,902,Correct,2,705
2,KDKDK,193,1,913,Correct,2,674
2,XYXKX,16,2,982,Correct,2,803
2,YZUZY,223,1,1095,Correct,2,785
2,KFKVK,222,2,1113,Correct,2,657
2,LYLYL,151,1,850,Correct,2,883
2,CXCDC,184,2,901,Incorrect,2,882
2,XZXNX,16,2,942,Correct,2,677
2,PXPXP,151,1,792,Correct,2,678
2,ZRZYZ,161,2,997,Correct,2,682
2,PUPYP,111,[2][3],[1183][1439],Correct,2,828
