Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1117,Correct,0,734
1,DLDUD,16,1,888,False,0,791
1,PDPGP,16,2,856,Correct,0,824
1,MWMWM,15,1,1087,Correct,0,708
1,FTFTF,15,2,902,False,0,920
1,AXAMA,16,2,727,Correct,0,766
1,RYRGR,16,2,821,Correct,0,661
1,DODOD,15,1,743,Correct,0,910
1,QTQAQ,16,2,1102,Correct,0,829
1,YEYEY,15,1,741,Correct,0,892
2,GYGDG,16,2,898,Correct,0,907
2,SWSWS,15,1,808,Correct,0,688
2,HLHUH,16,2,1087,Correct,0,715
2,DEDED,15,1,776,Correct,0,867
2,ZPZOZ,16,2,692,Correct,0,778
2,ATATA,15,1,733,Correct,0,758
2,QOQOQ,15,2,1132,False,0,663
2,FPFGF,16,2,828,Correct,0,654
2,TRTET,16,2,1032,Correct,0,655
2,DQDQD,15,1,1146,Correct,0,710
4,PLPLP,15,1,1040,Correct,0,671
4,ATAIA,16,2,1180,Correct,0,851
4,SKSGS,16,2,1092,Correct,0,770
4,ZYZYZ,15,1,809,Correct,0,947
4,QSQSQ,15,1,925,Correct,0,891
4,TZTDT,16,2,811,Correct,0,871
4,JYJGJ,16,2,789,Correct,0,665
4,DYDYD,15,1,585,Correct,0,841
4,LTLCL,16,2,761,Correct,0,723
4,FQFEF,16,2,705,Correct,0,756
1,SKSKS,15,1,1147,Correct,0,668
1,DLDUD,16,2,804,Correct,0,781
1,PDPGP,16,2,1196,Correct,0,733
1,MWMWM,15,1,727,Correct,0,710
1,FTFTF,15,1,1173,Correct,0,700
1,AXAMA,16,2,961,Correct,0,709
1,RYRGR,16,2,770,Correct,0,756
1,DODOD,15,1,651,Correct,0,765
1,QTQAQ,16,2,759,Correct,0,817
1,YEYEY,15,1,659,Correct,0,686
2,GYGDG,16,2,1136,Correct,0,688
2,SWSWS,15,1,550,Correct,0,905
2,HLHUH,16,2,902,Correct,0,774
2,DEDED,15,1,648,Correct,0,833
2,ZPZOZ,16,2,838,Correct,0,769
2,ATATA,15,1,554,Correct,0,837
2,QOQOQ,15,1,777,Correct,0,826
2,FPFGF,16,2,626,Correct,0,763
2,TRTET,16,2,774,Correct,0,651
2,DQDQD,15,1,1112,Correct,0,909
DT Practice
1,TKTKT,15,1,824,Correct,0,907
1,SLSUS,16,1,832,False,0,685
1,VZVGV,7,[2],[759],False,0,939
1,XWXZX,7,[1],[1591],False,0,881
1,ATATA,15,1,1102,Correct,0,754
1,HXZMH,16,2,1528,Correct,0,825
1,TZTZT,7,[1],[1250],False,0,676
1,UOUOU,15,1,884,Correct,0,941
1,ZTWAW,16,,,False,0,831
1,RZRER,7,[2],[1563],False,0,946
2,JYJDJ,16,2,1303,Correct,0,830
2,DWDWD,15,2,778,False,0,731
2,GNGNG,7,[1],[1030],False,0,737
2,NEZEZ,16,1,1510,Correct,0,779
2,RNROR,7,[2],[1336],False,0,848
2,QTQNQ,7,[2][3],[1219][1571],Correct,0,680
2,HOHON,15,1,1284,Correct,0,874
2,KPKGK,16,2,892,Correct,0,704
2,DRDED,16,2,876,Correct,0,892
2,LNLNL,7,[1][3],[896][1200],Correct,0,866
4,GLGLG,15,1,1094,Correct,0,707
4,DTDID,16,2,818,Correct,0,825
4,SMSGS,16,2,877,Correct,0,737
4,ZFZYZ,7,,,False,0,662
4,TSTFT,7,[2],[1336],False,0,747
4,OFOFO,7,[1][3],[1000][1400],Correct,0,889
4,WYFGW,16,2,1299,Correct,0,676
4,WYWYW,15,1,1096,Correct,0,777
4,MFMCM,7,[2],[1479],False,0,745
4,HQHEH,16,2,980,Correct,0,803
1,TKTKT,15,1,840,Correct,0,703
1,SLSUS,16,2,687,Correct,0,779
1,VZVGV,7,[2][3],[1127][1351],Correct,0,828
1,XWXZX,7,[2][3],[975][1151],Correct,0,902
1,ATATA,15,1,739,Correct,0,687
1,HXZMH,16,2,1004,Correct,0,763
1,TZTZT,7,[1][3],[899][1059],Correct,0,742
1,UOUOU,15,1,879,Correct,0,849
1,ZTWAW,16,2,1128,Correct,0,655
1,RZRER,7,[1][3],[932][1108],False,0,757
2,JYJDJ,16,2,914,Correct,0,847
2,DWDWD,15,1,696,Correct,0,714
2,GNGNG,7,[1][3],[1052][1468],Correct,0,907
2,NEZEZ,16,1,1157,Correct,0,774
2,RNROR,7,[2],[1256],False,0,860
2,QTQNQ,7,[2][3],[1045][1269],Correct,0,896
2,HOHON,15,1,1275,Correct,0,681
2,KPKGK,16,2,846,Correct,0,862
2,DRDED,16,2,930,Correct,0,856
2,LNLNL,7,[1][3],[856][1192],Correct,0,934
4,GLGLG,15,1,1584,Correct,0,898
4,DTDID,16,2,746,Correct,0,764
4,SMSGS,16,2,896,Correct,0,802
4,ZFZYZ,7,[1][3],[891][1387],False,0,853
4,TSTFT,7,[2],[1253],False,0,732
4,OFOFO,7,[1][3],[1036][1420],Correct,0,699
4,WYFGW,16,2,1235,Correct,0,838
4,WYWYW,15,1,890,Correct,0,710
4,MFMCM,7,[2][3],[1221][1540],Correct,0,773
4,HQHEH,16,2,870,Correct,0,663
1,TKTKT,15,1,972,Correct,0,853
1,SLSUS,16,2,975,Correct,0,732
1,VZVGV,7,[2][3],[1208][1496],Correct,0,731
1,XWXZX,7,[2][3],[1235][1475],Correct,0,742
1,ATATA,15,1,891,Correct,0,880
1,HXZMH,16,2,1037,Correct,0,861
1,TZTZT,7,[1][3],[1022][1278],Correct,0,705
1,UOUOU,15,1,953,Correct,0,729
1,ZTWAW,16,2,1363,Correct,0,937
1,RZRER,7,[2][3],[1178][1450],Correct,0,655
2,JYJDJ,16,,,False,0,770
2,DWDWD,15,1,938,Correct,0,771
2,GNGNG,7,,,False,0,665
2,NEZEZ,16,1,1162,Correct,0,925
2,RNROR,7,[2][3],[1272][1496],Correct,0,849
2,QTQNQ,7,[2][3],[1092][1412],Correct,0,882
2,HOHON,15,1,949,Correct,0,905
2,KPKGK,16,2,1093,Correct,0,787
2,DRDED,16,2,1027,Correct,0,665
2,LNLNL,7,[1][3],[940][1244],Correct,0,845
4,GLGLG,15,1,754,Correct,0,902
4,DTDID,16,2,967,Correct,0,815
4,SMSGS,16,2,944,Correct,0,947
4,ZFZYZ,7,[2],[1552],False,0,795
4,TSTFT,7,[2][3],[1121][1393],Correct,0,866
4,OFOFO,7,[1][3],[965][1269],Correct,0,697
4,WYFGW,16,2,972,Correct,0,811
4,WYWYW,15,1,866,Correct,0,674
4,MFMCM,7,[2],[1328],False,0,931
4,HQHEH,16,2,1373,Correct,0,871
1,TKTKT,15,1,985,Correct,0,790
1,SLSUS,16,2,1283,Correct,0,948
1,VZVGV,7,[2][3],[1131][1419],Correct,0,781
1,XWXZX,7,[2][3],[1028][1332],Correct,0,807
1,ATATA,15,1,780,Correct,0,804
1,HXZMH,16,2,968,Correct,0,674
1,TZTZT,7,[1][3],[793][1081],Correct,0,877
1,UOUOU,15,1,837,Correct,0,900
1,ZTWAW,16,2,808,Correct,0,840
1,RZRER,7,[1][3],[835][1139],False,0,809
Trials
1,D,5,3,5995,New Target,1,864
1,ZNZYZ,161,2,1282,Correct,1,736
1,FZFZF,151,1,856,Correct,1,837
1,RKRKR,152,1,975,Correct,1,806
1,RXRNR,161,2,711,Correct,1,656
1,CNCFC,162,2,965,Correct,1,763
1,PDPDP,7,[1],[823],Incorrect,1,753
1,CPCFC,14,2,1168,Correct,1,790
1,VLVNV,162,2,876,Correct,1,733
1,KFKFK,151,1,783,Correct,1,933
1,ZNZNZ,152,2,1400,Incorrect,1,776
1,KCKPD,235,2,988,Correct,1,716
1,ZKZFZ,222,2,963,Correct,1,714
1,NRNZN,162,2,1112,Correct,1,721
1,KXKRK,163,2,856,Correct,1,761
1,YPYZY,164,2,766,Correct,1,830
1,FKDKF,223,1,1177,Correct,1,839
1,RPRPR,113,1,1107,Correct,1,766
1,VRVKV,161,2,739,Correct,1,778
1,RFRPR,162,2,1473,Correct,1,739
1,KVKVK,151,1,783,Correct,1,881
1,YKYVY,161,2,904,Correct,1,785
1,VDVDV,8,[1][3],[991][1375],Correct,1,875
1,DVZVZ,221,1,1017,Correct,1,784
1,YFYFY,113,1,838,Correct,1,933
1,ZYZYZ,152,1,898,Correct,1,654
1,VLVXV,161,2,1045,Correct,1,832
1,DPXZX,231,2,868,Correct,1,881
1,RYRYR,113,1,921,Correct,1,844
1,PDPNP,91,[2],[1321],Incorrect,1,922
1,KXKXK,13,1,1324,Correct,1,818
1,ZYZYZ,152,1,981,Correct,1,716
1,VKVKV,153,1,869,Correct,1,860
1,YZYZY,154,1,813,Correct,1,736
1,NLNZN,161,2,1170,Correct,1,887
1,ZNDYZ,233,2,928,Correct,1,751
1,PCPXP,222,2,690,Correct,1,926
