Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1477,Correct,0,673
1,DLDUD,16,2,626,Correct,0,850
1,PDPGP,16,2,1032,Correct,0,897
1,MWMWM,15,1,790,Correct,0,826
1,FTFTF,15,1,653,Correct,0,795
1,AXAMA,16,2,651,Correct,0,748
1,RYRGR,16,2,582,Correct,0,837
1,DODOD,15,1,592,Correct,0,926
1,QTQAQ,16,2,596,Correct,0,676
1,YEYEY,15,1,497,Correct,0,856
2,GYGDG,16,2,1095,Correct,0,942
2,SWSWS,15,1,588,Correct,0,924
2,HLHUH,16,2,740,Correct,0,933
2,DEDED,15,1,718,Correct,0,754
2,ZPZOZ,16,2,524,Correct,0,696
2,ATATA,15,1,538,Correct,0,880
2,QOQOQ,15,2,632,False,0,834
2,FPFGF,16,2,911,Correct,0,942
2,TRTET,16,2,924,Correct,0,912
2,DQDQD,15,1,801,Correct,0,712
AT Practice
1,TKTKT,15,1,1092,Correct,0,653
1,SLSUS,16,2,623,Correct,0,777
1,VZVGV,7,3,746,Correct,0,812
1,XWXZX,7,3,664,Correct,0,698
1,ATATA,15,1,756,Correct,0,789
1,HXZMH,16,2,893,Correct,0,748
1,TZTZT,7,3,570,Correct,0,944
1,UOUOU,15,1,856,Correct,0,845
1,ZTWAW,16,2,901,Correct,0,931
1,RZRER,7,3,612,Correct,0,851
2,JYJDJ,16,2,871,Correct,0,839
2,DWDWD,15,1,633,Correct,0,786
2,GNGNG,7,3,578,Correct,0,848
2,NEZEZ,16,2,914,False,0,791
2,RNROR,7,2,1009,False,0,859
2,QTQNQ,7,3,911,Correct,0,839
2,HOHON,15,1,1043,Correct,0,716
2,KPKGK,16,2,880,Correct,0,824
2,DRDED,16,2,1255,Correct,0,663
2,LNLNL,7,3,607,Correct,0,682
4,GLGLG,15,1,825,Correct,0,697
4,DTDID,16,2,857,Correct,0,877
4,SMSGS,16,1,606,False,0,812
4,ZFZYZ,7,3,698,Correct,0,811
4,TSTFT,7,2,864,False,0,890
4,OFOFO,7,3,895,Correct,0,910
4,WYFGW,16,2,928,Correct,0,928
4,WYWYW,15,1,950,Correct,0,666
4,MFMCM,7,3,743,Correct,0,782
4,HQHEH,16,2,797,Correct,0,889
Trials
1,D,5,3,1328,New Target,1,871
1,ZNZYZ,161,2,1112,Correct,1,739
1,FZFZF,151,1,1066,Correct,1,691
1,RKRKR,152,1,941,Correct,1,720
1,RXRNR,161,2,742,Correct,1,700
1,CNCFC,162,2,897,Correct,1,846
1,PDPDP,7,3,551,Correct,1,776
1,CPCFC,14,2,828,Correct,1,762
1,VLVNV,162,2,597,Correct,1,785
1,KFKFK,151,1,826,Correct,1,748
1,ZNZNZ,152,1,1158,Correct,1,721
1,KCKPD,235,2,710,Correct,1,738
1,ZKZFZ,222,2,807,Correct,1,659
1,NRNZN,162,2,720,Correct,1,854
1,KXKRK,163,2,618,Correct,1,888
1,YPYZY,164,2,699,Correct,1,790
1,FKDKF,223,1,1077,Correct,1,810
1,RPRPR,113,1,911,Correct,1,898
1,VRVKV,161,2,744,Correct,1,656
1,RFRPR,162,2,1135,Correct,1,924
1,KVKVK,151,1,1020,Correct,1,785
1,YKYVY,161,2,702,Correct,1,744
1,VDVDV,8,3,459,Correct,1,798
1,DVZVZ,221,1,958,Correct,1,857
1,YFYFY,113,1,728,Correct,1,675
1,ZYZYZ,152,1,787,Correct,1,788
1,VLVXV,161,2,690,Correct,1,661
1,DPXZX,231,2,675,Correct,1,675
1,RYRYR,113,1,623,Correct,1,828
1,PDPNP,91,3,712,Correct,1,934
1,KXKXK,13,1,1155,Correct,1,845
1,ZYZYZ,152,1,592,Correct,1,752
1,VKVKV,153,1,612,Correct,1,773
1,YZYZY,154,1,538,Correct,1,696
1,NLNZN,161,2,573,Correct,1,813
1,ZNDYZ,233,1,836,Incorrect,1,683
1,PCPXP,222,2,688,Correct,1,650
1,ZVZFZ,162,2,674,Correct,1,750
1,RCRZR,163,2,716,Correct,1,917
1,LRLRL,151,1,771,Correct,1,908
1,ZDZDZ,10,3,772,Correct,1,650
1,RNRZR,14,2,847,Correct,1,765
1,CXCYC,162,2,785,Correct,1,927
1,RCRLR,163,2,699,Correct,1,778
1,FRFRF,151,1,684,Correct,1,710
1,XFXFX,152,1,805,Correct,1,908
1,RPRLR,161,2,716,Correct,1,896
1,YXYRY,162,2,781,Correct,1,732
1,FYFYF,151,1,705,Correct,1,937
1,YZYVY,161,2,641,Correct,1,744
1,YKYKY,151,1,686,Correct,1,839
1,XRXRX,152,2,606,Incorrect,1,766
1,XVXZX,161,2,594,Correct,1,713
1,PDPDP,11,3,719,Correct,1,948
1,ZFZFZ,13,1,684,Correct,1,795
1,PXPXP,152,1,842,Correct,1,819
1,LYLYL,153,1,735,Correct,1,840
1,NKNKD,225,2,927,Incorrect,1,676
1,ZNZNZ,113,1,1011,Correct,1,865
1,PYPZP,161,2,1000,Correct,1,672
1,XPXPX,151,1,853,Correct,1,890
1,VLVLV,152,1,863,Correct,1,728
1,PKPXP,161,2,885,Correct,1,805
1,FZFZF,151,1,655,Correct,1,683
1,LDLDL,12,3,669,Correct,1,850
2,U,5,3,1993,New Target,2,873
2,ZVZFZ,161,2,1086,Correct,2,684
2,FZFZF,151,1,713,Correct,2,878
2,RFRFR,152,1,697,Correct,2,702
2,NZNKN,161,2,1044,Correct,2,839
2,FZFNF,162,2,762,Correct,2,650
2,RXRXR,151,1,677,Correct,2,854
2,KRKYK,161,2,653,Correct,2,915
2,NZNPN,162,2,849,Correct,2,678
2,XPXPX,151,1,778,Correct,2,738
2,CUCUC,7,3,707,Correct,2,880
2,RFRFR,13,1,712,Correct,2,660
2,VYVXV,161,2,648,Correct,2,679
2,VDVDV,191,1,1395,Correct,2,926
2,ZKZRZ,15,2,715,Correct,2,664
2,XCXCX,151,1,581,Correct,2,882
2,CNCUC,82,3,665,Correct,2,784
2,RCRCR,13,1,963,Correct,2,947
2,ZPZXZ,161,2,820,Correct,2,888
2,FKFYF,162,2,813,Correct,2,830
2,ZFZYZ,163,2,673,Correct,2,928
2,PXPXP,151,1,897,Correct,2,793
2,URCKC,231,2,741,Correct,2,846
2,PCPCP,113,1,702,Correct,2,900
2,XNXNX,152,1,517,Correct,2,936
2,RCRZR,161,2,668,Correct,2,736
2,XVXVX,151,1,710,Correct,2,895
2,NRNRN,152,1,675,Correct,2,826
2,FPFPF,225,1,526,Correct,2,939
2,XVXFX,222,2,691,Correct,2,746
2,PRPRP,151,1,669,Correct,2,942
2,FYFCF,161,2,641,Correct,2,661
2,XUXFX,91,3,453,Correct,2,650
2,CYCVC,14,2,812,Correct,2,774
2,VDVKV,172,2,851,Correct,2,877
2,YCYCY,15,1,617,Correct,2,758
2,NKNLN,161,2,666,Correct,2,759
2,XPUKX,233,2,1555,Correct,2,946
2,ZPZPZ,113,1,751,Correct,2,861
2,KRKRK,152,2,733,Incorrect,2,684
2,XKXKX,153,1,1315,Correct,2,940
2,YUYVY,101,3,634,Correct,2,767
2,XKXFU,235,2,1129,Correct,2,815
2,NFNFN,113,1,681,Correct,2,732
2,KDKDK,193,1,1114,Correct,2,762
2,XYXKX,16,2,786,Correct,2,947
2,YZUZY,223,3,1256,Incorrect,2,928
2,KFKVK,222,,,Incorrect,2,750
2,LYLYL,151,1,668,Correct,2,813
2,CXCDC,184,2,794,Incorrect,2,750
2,XZXNX,16,2,898,Correct,2,869
2,PXPXP,151,1,964,Correct,2,925
2,ZRZYZ,161,2,854,Correct,2,818
2,PUPYP,111,3,956,Correct,2,815
2,RNRNR,14,1,1088,Correct,2,838
2,KDKDK,195,1,700,Correct,2,846
2,KNKNK,15,1,538,Correct,2,765
2,PRPKP,161,1,729,Incorrect,2,939
2,UNYNY,221,1,977,Correct,2,887
2,NYNYN,113,1,977,Correct,2,835
2,YXYXY,152,2,611,Correct,2,756
2,RDRDR,196,1,919,Correct,2,687
2,FCFCF,15,1,746,Correct,2,850
2,ZKZKZ,152,1,707,Correct,2,902
2,ZUZUZ,12,3,885,Correct,2,658
3,E,5,3,1353,New Target,3,707
3,YZYZY,151,1,810,Correct,3,675
3,VFVNV,161,2,695,Correct,3,734
3,KYKYK,151,1,786,Correct,3,863
3,NKNKN,152,1,762,Correct,3,888
3,XVXNX,161,2,610,Correct,3,934
3,RERFR,71,3,608,Correct,3,927
3,XNXNX,13,1,726,Correct,3,689
3,NXNXN,152,1,933,Correct,3,742
3,ZLZNZ,161,2,633,Correct,3,799
3,CUCNC,171,2,809,Correct,3,828
3,FYFRF,16,2,1187,Correct,3,734
3,ZLZLZ,151,1,784,Correct,3,756
3,YZYZY,152,1,708,Correct,3,946
3,CYCYC,153,1,971,Correct,3,898
3,VUVUV,192,1,1358,Correct,3,863
