Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,2,1236,False,0,666
1,DLDUD,16,,,False,0,707
1,PDPGP,16,1,1203,False,0,767
1,MWMWM,15,2,1144,False,0,816
1,FTFTF,15,,,False,0,750
1,AXAMA,16,,,False,0,890
1,RYRGR,16,2,1516,Correct,0,866
1,DODOD,15,2,1013,False,0,788
1,QTQAQ,16,2,886,Correct,0,715
1,YEYEY,15,2,1450,False,0,701
2,GYGDG,16,1,1016,False,0,844
2,SWSWS,15,2,854,False,0,801
2,HLHUH,16,2,1211,Correct,0,756
2,DEDED,15,2,851,False,0,773
2,ZPZOZ,16,2,984,Correct,0,813
2,ATATA,15,2,792,False,0,822
2,QOQOQ,15,2,1115,False,0,888
2,FPFGF,16,2,994,Correct,0,875
2,TRTET,16,2,1332,Correct,0,791
2,DQDQD,15,1,807,Correct,0,777
4,PLPLP,15,2,708,False,0,880
4,ATAIA,16,1,973,False,0,770
4,SKSGS,16,2,1071,Correct,0,737
4,ZYZYZ,15,1,711,Correct,0,889
4,QSQSQ,15,1,850,Correct,0,806
4,TZTDT,16,2,657,Correct,0,945
4,JYJGJ,16,2,635,Correct,0,772
4,DYDYD,15,1,755,Correct,0,876
4,LTLCL,16,2,558,Correct,0,727
4,FQFEF,16,2,622,Correct,0,753
1,SKSKS,15,1,878,Correct,0,849
1,DLDUD,16,2,690,Correct,0,826
1,PDPGP,16,2,793,Correct,0,887
1,MWMWM,15,2,1069,False,0,858
1,FTFTF,15,2,934,False,0,859
1,AXAMA,16,2,921,Correct,0,775
1,RYRGR,16,1,765,False,0,736
1,DODOD,15,2,575,False,0,883
1,QTQAQ,16,2,1016,Correct,0,937
1,YEYEY,15,1,1066,Correct,0,702
2,GYGDG,16,2,1218,Correct,0,653
2,SWSWS,15,1,1082,Correct,0,772
2,HLHUH,16,2,788,Correct,0,785
2,DEDED,15,1,827,Correct,0,755
2,ZPZOZ,16,2,709,Correct,0,704
2,ATATA,15,1,874,Correct,0,904
2,QOQOQ,15,1,922,Correct,0,889
2,FPFGF,16,2,798,Correct,0,713
2,TRTET,16,2,1125,Correct,0,752
2,DQDQD,15,1,911,Correct,0,772
AT Practice
1,TKTKT,15,1,1122,Correct,0,850
1,SLSUS,16,2,762,Correct,0,779
1,VZVGV,7,1,999,False,0,705
1,XWXZX,7,3,1052,Correct,0,655
1,ATATA,15,1,1126,Correct,0,888
1,HXZMH,16,2,724,Correct,0,726
1,TZTZT,7,3,665,Correct,0,886
1,UOUOU,15,1,801,Correct,0,892
1,ZTWAW,16,2,949,Correct,0,843
1,RZRER,7,3,1061,Correct,0,805
2,JYJDJ,16,2,994,Correct,0,719
2,DWDWD,15,1,909,Correct,0,893
2,GNGNG,7,3,654,Correct,0,837
2,NEZEZ,16,2,1205,False,0,889
2,RNROR,7,2,1024,False,0,705
2,QTQNQ,7,3,938,Correct,0,869
2,HOHON,15,1,1102,Correct,0,748
2,KPKGK,16,2,1116,Correct,0,717
2,DRDED,16,2,740,Correct,0,901
2,LNLNL,7,3,569,Correct,0,892
4,GLGLG,15,2,851,False,0,851
4,DTDID,16,2,914,Correct,0,906
4,SMSGS,16,2,1109,Correct,0,720
4,ZFZYZ,7,2,1117,False,0,855
4,TSTFT,7,2,913,False,0,935
4,OFOFO,7,1,1028,False,0,731
4,WYFGW,16,2,883,Correct,0,777
4,WYWYW,15,2,1267,False,0,853
4,MFMCM,7,2,1240,False,0,787
4,HQHEH,16,2,1298,Correct,0,695
1,TKTKT,15,1,932,Correct,0,922
1,SLSUS,16,2,770,Correct,0,869
1,VZVGV,7,3,886,Correct,0,877
1,XWXZX,7,3,903,Correct,0,860
1,ATATA,15,1,1075,Correct,0,933
1,HXZMH,16,2,1332,Correct,0,685
1,TZTZT,7,3,635,Correct,0,684
1,UOUOU,15,1,964,Correct,0,921
1,ZTWAW,16,2,931,Correct,0,824
1,RZRER,7,3,671,Correct,0,867
Trials
1,D,5,3,8253,New Target,1,788
1,BNBYB,161,,,Incorrect,1,891
1,FBFBF,151,1,925,Correct,1,820
1,RKRKR,152,1,995,Correct,1,779
1,QSQNQ,161,2,874,Correct,1,688
1,CTCFC,162,2,877,Correct,1,911
1,PDPDP,7,3,877,Correct,1,944
1,OPOFO,14,1,1393,Incorrect,1,852
1,HLHNH,162,2,1120,Correct,1,944
1,MFMFM,151,1,1274,Correct,1,889
1,BTBTB,152,1,948,Correct,1,697
1,MCMPD,235,2,909,Correct,1,690
1,BMBFB,222,2,1060,Correct,1,774
1,NTNZN,162,2,738,Correct,1,829
1,MXMRM,163,2,947,Correct,1,708
1,APABA,164,2,999,Correct,1,737
1,FMDMF,223,2,1002,Incorrect,1,781
1,QPQPQ,113,1,811,Correct,1,731
1,VQVMV,161,2,849,Correct,1,889
1,RERPR,162,2,810,Correct,1,802
1,KVKVK,151,1,959,Correct,1,852
1,AKAHA,161,2,705,Correct,1,791
1,VDVDV,8,1,929,Incorrect,1,769
1,DUGUG,221,1,1170,Correct,1,869
1,AFAFA,113,1,1005,Correct,1,850
1,GYGYG,152,1,868,Correct,1,679
1,VXVSV,161,2,693,Correct,1,910
1,DOWGW,231,2,1013,Correct,1,743
1,QYQYQ,113,1,793,Correct,1,772
1,ODONO,91,2,854,Incorrect,1,762
1,MSMSM,13,1,976,Correct,1,767
1,GYGYG,152,1,936,Correct,1,675
1,UMUMU,153,1,1083,Correct,1,832
1,BZBZB,154,1,1127,Correct,1,846
1,NTNBN,161,2,853,Correct,1,763
1,GNDYG,233,2,959,Correct,1,774
1,OCOSO,222,2,870,Correct,1,809
1,BHBFB,162,2,711,Correct,1,882
1,QCQBQ,163,2,593,Correct,1,864
1,LQLQL,151,1,844,Correct,1,925
1,ZDZDZ,10,3,903,Correct,1,744
1,QNQZQ,14,2,828,Correct,1,816
1,CSCYC,162,2,920,Correct,1,740
1,RCRLR,163,2,972,Correct,1,866
1,FRFRF,151,1,1061,Correct,1,697
1,WFWFW,152,1,961,Correct,1,950
1,QOQLQ,161,2,697,Correct,1,687
1,AWAQA,162,2,803,Correct,1,886
1,EAEAE,151,1,879,Correct,1,785
1,AGAUA,161,2,740,Correct,1,808
1,YMYMY,151,1,965,Correct,1,670
1,XQXQX,152,1,851,Correct,1,950
1,SHSGS,161,2,741,Correct,1,928
1,PDPDP,11,3,876,Correct,1,947
1,ZGZGZ,13,1,1010,Correct,1,815
1,OXOXO,152,1,1012,Correct,1,735
1,LYLYL,153,1,906,Correct,1,662
1,NKNKD,225,1,704,Correct,1,755
1,GNGNG,113,1,655,Correct,1,750
1,OYOBO,161,2,889,Correct,1,948
1,SOSOS,151,1,750,Correct,1,777
1,VHVHV,152,1,839,Correct,1,832
1,OKOXO,161,2,812,Correct,1,904
1,EZEZE,151,1,917,Correct,1,863
1,LDLDL,12,3,582,Correct,1,840
2,U,5,3,1285,New Target,2,903
2,BVBEB,161,2,1162,Correct,2,736
2,FBFBF,151,1,866,Correct,2,944
2,RFRFR,152,2,1514,Incorrect,2,781
2,NBNKN,161,2,1096,Correct,2,816
2,MKMNM,162,2,1033,Correct,2,773
2,QXQXQ,151,1,815,Correct,2,719
2,MQMYM,161,2,740,Correct,2,866
2,TGTPT,162,2,783,Correct,2,765
2,XOXOX,151,1,951,Correct,2,905
2,CUCUC,7,3,811,Correct,2,757
2,RFRFR,13,1,899,Correct,2,863
2,VYVSV,161,2,775,Correct,2,773
2,VDVDV,191,1,805,Correct,2,680
2,GKGQG,15,2,907,Correct,2,864
2,SCSCS,151,1,689,Correct,2,743
2,CTCUC,82,3,1024,Correct,2,798
2,RCRCR,13,1,836,Correct,2,669
2,BOBXB,161,2,719,Correct,2,716
2,FMFAF,162,2,1115,Correct,2,840
2,BEBAB,163,2,740,Correct,2,849
2,PWPWP,151,1,829,Correct,2,924
2,UQCKC,231,2,968,Correct,2,759
2,OCOCO,113,1,878,Correct,2,703
2,TNTNT,152,1,1188,Correct,2,780
2,QCQGQ,161,,,Incorrect,2,828
2,WVWVW,151,2,1196,Incorrect,2,716
2,TQTQT,152,1,853,Correct,2,815
2,FOFOF,225,1,703,Correct,2,698
2,WVWFW,222,2,1076,Correct,2,664
2,SWSWS,151,1,917,Correct,2,679
2,FYFCF,161,2,1199,Correct,2,704
2,SUSWS,91,2,1031,Incorrect,2,866
2,CACHC,14,2,1156,Correct,2,887
2,VDVKV,172,2,705,Correct,2,815
2,YCYCY,15,1,1035,Correct,2,920
2,NMNTN,161,1,939,Incorrect,2,801
2,XOUKX,233,2,1515,Correct,2,924
2,BPBPB,113,1,1526,Correct,2,942
2,MRMRM,152,,,Incorrect,2,923
2,XMXMX,153,1,1109,Correct,2,924
2,AUAHA,101,1,1366,Incorrect,2,668
2,XKXEU,235,2,792,Correct,2,865
