Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1176,Correct,0,778
1,DLDUD,16,2,1023,Correct,0,799
1,PDPGP,16,2,1177,Correct,0,874
1,MWMWM,15,1,1000,Correct,0,695
1,FTFTF,15,1,846,Correct,0,929
1,AXAMA,16,2,638,Correct,0,885
1,RYRGR,16,2,864,Correct,0,679
1,DODOD,15,1,712,Correct,0,693
1,QTQAQ,16,1,795,False,0,898
1,YEYEY,15,2,853,False,0,720
2,GYGDG,16,2,1118,Correct,0,699
2,SWSWS,15,1,858,Correct,0,750
2,HLHUH,16,2,1113,Correct,0,899
2,DEDED,15,1,770,Correct,0,826
2,ZPZOZ,16,2,700,Correct,0,740
2,ATATA,15,1,634,Correct,0,721
2,QOQOQ,15,1,927,Correct,0,932
2,FPFGF,16,2,591,Correct,0,877
2,TRTET,16,2,867,Correct,0,686
2,DQDQD,15,1,1239,Correct,0,824
AT Practice
1,TKTKT,15,1,1319,Correct,0,820
1,SLSUS,16,2,888,Correct,0,810
1,VZVGV,7,2,1002,False,0,803
1,XWXZX,7,3,1097,Correct,0,748
1,ATATA,15,1,721,Correct,0,854
1,HXZMH,16,,,False,0,728
1,TZTZT,7,3,956,Correct,0,948
1,UOUOU,15,1,939,Correct,0,854
1,ZTWAW,16,1,1223,False,0,923
1,RZRER,7,2,777,False,0,855
2,JYJDJ,16,2,941,Correct,0,697
2,DWDWD,15,1,762,Correct,0,878
2,GNGNG,7,3,666,Correct,0,666
2,NEZEZ,16,1,751,Correct,0,886
2,RNROR,7,3,582,Correct,0,832
2,QTQNQ,7,3,879,Correct,0,911
2,HOHON,15,2,755,False,0,757
2,KPKGK,16,2,969,Correct,0,836
2,DRDED,16,2,982,Correct,0,856
2,LNLNL,7,3,473,Correct,0,695
4,GLGLG,15,1,1182,Correct,0,880
4,DTDID,16,2,763,Correct,0,693
4,SMSGS,16,2,1187,Correct,0,721
4,ZFZYZ,7,3,813,Correct,0,733
4,TSTFT,7,3,791,Correct,0,667
4,OFOFO,7,3,619,Correct,0,804
4,WYFGW,16,2,1045,Correct,0,854
4,WYWYW,15,1,979,Correct,0,769
4,MFMCM,7,3,829,Correct,0,892
4,HQHEH,16,2,881,Correct,0,883
Trials
1,D,5,3,1597,New Target,1,837
1,ZNZYZ,161,2,961,Correct,1,921
1,FZFZF,151,2,1079,Incorrect,1,726
1,RKRKR,152,1,842,Correct,1,660
1,RXRNR,161,2,895,Correct,1,839
1,CNCFC,162,2,1090,Correct,1,914
1,PDPDP,7,3,719,Correct,1,756
1,CPCFC,14,2,1130,Correct,1,843
1,VLVNV,162,2,1463,Correct,1,801
1,KFKFK,151,1,1114,Correct,1,724
1,ZNZNZ,152,2,1146,Incorrect,1,730
1,KCKPD,235,2,1396,Correct,1,889
1,ZKZFZ,222,2,1049,Correct,1,733
1,NRNZN,162,2,842,Correct,1,745
1,KXKRK,163,2,965,Correct,1,692
1,YPYZY,164,2,1029,Correct,1,907
1,FKDKF,223,1,1247,Correct,1,948
1,RPRPR,113,1,1305,Correct,1,736
1,VRVKV,161,2,914,Correct,1,760
1,RFRPR,162,2,1080,Correct,1,795
1,KVKVK,151,1,1202,Correct,1,941
1,YKYVY,161,2,1133,Correct,1,796
1,VDVDV,8,3,729,Correct,1,774
1,DVZVZ,221,1,1223,Correct,1,698
1,YFYFY,113,1,860,Correct,1,910
1,ZYZYZ,152,1,878,Correct,1,938
1,VLVXV,161,2,725,Correct,1,729
1,DPXZX,231,2,903,Correct,1,659
1,RYRYR,113,1,960,Correct,1,742
1,PDPNP,91,3,721,Correct,1,911
1,KXKXK,13,1,1481,Correct,1,920
1,ZYZYZ,152,1,965,Correct,1,894
1,VKVKV,153,1,931,Correct,1,933
1,YZYZY,154,1,890,Correct,1,712
1,NLNZN,161,2,781,Correct,1,898
1,ZNDYZ,233,2,1417,Correct,1,812
1,PCPXP,222,2,1196,Correct,1,763
1,ZVZFZ,162,2,1108,Correct,1,806
1,RCRZR,163,2,727,Correct,1,664
1,LRLRL,151,1,931,Correct,1,807
1,ZDZDZ,10,3,739,Correct,1,886
1,RNRZR,14,2,1056,Correct,1,717
1,CXCYC,162,2,1439,Correct,1,789
1,RCRLR,163,2,801,Correct,1,751
1,FRFRF,151,1,633,Correct,1,880
1,XFXFX,152,1,770,Correct,1,928
1,RPRLR,161,2,881,Correct,1,700
1,YXYRY,162,2,907,Correct,1,690
1,FYFYF,151,1,1042,Correct,1,736
1,YZYVY,161,2,1091,Correct,1,800
1,YKYKY,151,1,817,Correct,1,842
1,XRXRX,152,1,908,Correct,1,703
1,XVXZX,161,2,690,Correct,1,839
1,PDPDP,11,3,987,Correct,1,919
1,ZFZFZ,13,1,1042,Correct,1,651
1,PXPXP,152,1,912,Correct,1,817
1,LYLYL,153,1,784,Correct,1,945
1,NKNKD,225,1,1115,Correct,1,723
1,ZNZNZ,113,1,682,Correct,1,776
1,PYPZP,161,2,952,Correct,1,734
1,XPXPX,151,1,706,Correct,1,651
1,VLVLV,152,2,1071,Incorrect,1,872
1,PKPXP,161,2,1427,Correct,1,684
1,FZFZF,151,1,807,Correct,1,734
1,LDLDL,12,3,621,Correct,1,863
2,U,5,3,2437,New Target,2,877
2,ZVZFZ,161,2,1029,Correct,2,728
2,FZFZF,151,1,1127,Correct,2,814
2,RFRFR,152,1,992,Correct,2,901
2,NZNKN,161,2,1300,Correct,2,810
2,FZFNF,162,2,856,Correct,2,847
2,RXRXR,151,1,884,Correct,2,665
2,KRKYK,161,2,732,Correct,2,698
2,NZNPN,162,2,986,Correct,2,780
2,XPXPX,151,1,743,Correct,2,937
2,CUCUC,7,1,784,Incorrect,2,909
2,RFRFR,13,1,1004,Correct,2,758
2,VYVXV,161,2,1041,Correct,2,682
2,VDVDV,191,2,1300,Incorrect,2,666
2,ZKZRZ,15,2,1245,Correct,2,737
2,XCXCX,151,1,902,Correct,2,793
2,CNCUC,82,3,842,Correct,2,913
2,RCRCR,13,1,863,Correct,2,862
2,ZPZXZ,161,2,813,Correct,2,654
2,FKFYF,162,2,838,Correct,2,776
2,ZFZYZ,163,2,928,Correct,2,755
2,PXPXP,151,1,932,Correct,2,827
2,URCKC,231,2,844,Correct,2,659
2,PCPCP,113,1,993,Correct,2,887
2,XNXNX,152,1,1065,Correct,2,671
2,RCRZR,161,2,998,Correct,2,850
2,XVXVX,151,1,1445,Correct,2,911
2,NRNRN,152,2,897,Incorrect,2,937
2,FPFPF,225,1,842,Correct,2,742
2,XVXFX,222,2,1413,Correct,2,732
2,PRPRP,151,1,1095,Correct,2,783
2,FYFCF,161,2,1507,Correct,2,929
2,XUXFX,91,3,850,Correct,2,742
2,CYCVC,14,2,1000,Correct,2,875
2,VDVKV,172,2,1117,Correct,2,741
2,YCYCY,15,1,936,Correct,2,815
2,NKNLN,161,2,800,Correct,2,717
2,XPUKX,233,,,Incorrect,2,757
2,ZPZPZ,113,1,886,Correct,2,833
2,KRKRK,152,1,766,Correct,2,755
2,XKXKX,153,1,601,Correct,2,764
2,YUYVY,101,3,775,Correct,2,912
2,XKXFU,235,2,791,Correct,2,674
2,NFNFN,113,1,816,Correct,2,864
2,KDKDK,193,2,779,Incorrect,2,763
2,XYXKX,16,2,1235,Correct,2,887
2,YZUZY,223,1,1042,Correct,2,663
2,KFKVK,222,2,807,Correct,2,707
2,LYLYL,151,1,709,Correct,2,682
2,CXCDC,184,2,1342,Incorrect,2,859
2,XZXNX,16,2,917,Correct,2,737
2,PXPXP,151,1,765,Correct,2,718
2,ZRZYZ,161,2,824,Correct,2,836
2,PUPYP,111,3,732,Correct,2,911
2,RNRNR,14,1,778,Correct,2,760
2,KDKDK,195,1,881,Correct,2,856
2,KNKNK,15,2,1246,Incorrect,2,675
2,PRPKP,161,2,1175,Correct,2,751
2,UNYNY,221,1,756,Correct,2,751
2,NYNYN,113,1,974,Correct,2,842
2,YXYXY,152,1,773,Incorrect,2,718
2,RDRDR,196,2,738,Incorrect,2,745
2,FCFCF,15,1,877,Correct,2,843
2,ZKZKZ,152,1,1035,Correct,2,942
2,ZUZUZ,12,3,863,Correct,2,707
3,E,5,3,2582,New Target,3,935
3,YZYZY,151,1,1174,Correct,3,770
3,VFVNV,161,2,865,Correct,3,793
3,KYKYK,151,1,788,Correct,3,870
3,NKNKN,152,1,943,Correct,3,784
3,XVXNX,161,2,706,Correct,3,825
3,RERFR,71,3,946,Correct,3,724
3,XNXNX,13,2,888,Incorrect,3,786
3,NXNXN,152,1,866,Correct,3,686
3,ZLZNZ,161,2,1212,Correct,3,730
3,CUCNC,171,2,1268,Correct,3,888
3,FYFRF,16,2,1188,Correct,3,947
3,ZLZLZ,151,1,655,Correct,3,836
3,YZYZY,152,1,866,Correct,3,669
