Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,774
1,DLDUD,16,2,1183,Correct,0,654
1,PDPGP,16,2,872,Correct,0,739
1,MWMWM,15,1,1418,Correct,0,870
1,FTFTF,15,1,889,Correct,0,779
1,AXAMA,16,2,854,Correct,0,915
1,RYRGR,16,2,927,Correct,0,687
1,DODOD,15,1,724,Correct,0,685
1,QTQAQ,16,2,794,Correct,0,864
1,YEYEY,15,1,771,Correct,0,725
2,GYGDG,16,2,1013,Correct,0,788
2,SWSWS,15,1,704,Correct,0,902
2,HLHUH,16,2,1002,Correct,0,732
2,DEDED,15,2,686,False,0,688
2,ZPZOZ,16,2,824,Correct,0,798
2,ATATA,15,1,786,Correct,0,689
2,QOQOQ,15,1,804,Correct,0,865
2,FPFGF,16,2,825,Correct,0,832
2,TRTET,16,2,1069,Correct,0,831
2,DQDQD,15,1,759,Correct,0,851
4,PLPLP,15,1,696,Correct,0,897
4,ATAIA,16,2,625,Correct,0,842
4,SKSGS,16,2,684,Correct,0,789
4,ZYZYZ,15,1,584,Correct,0,778
4,QSQSQ,15,1,543,Correct,0,941
4,TZTDT,16,2,689,Correct,0,744
4,JYJGJ,16,1,806,False,0,890
4,DYDYD,15,2,831,False,0,763
4,LTLCL,16,2,970,Correct,0,681
4,FQFEF,16,2,872,Correct,0,878
1,SKSKS,15,1,762,Correct,0,731
1,DLDUD,16,2,625,Correct,0,784
1,PDPGP,16,2,906,Correct,0,920
1,MWMWM,15,1,704,Correct,0,713
1,FTFTF,15,1,812,Correct,0,714
1,AXAMA,16,2,690,Correct,0,809
1,RYRGR,16,2,572,Correct,0,811
1,DODOD,15,1,645,Correct,0,911
1,QTQAQ,16,2,615,Correct,0,665
1,YEYEY,15,2,759,False,0,747
DT Practice
1,TKTKT,15,1,1193,Correct,0,937
1,SLSUS,16,2,912,Correct,0,781
1,VZVGV,7,[2][3],[1036][1196],Correct,0,866
1,XWXZX,7,[2][3],[1043][1187],Correct,0,701
1,ATATA,15,2,926,False,0,850
1,HXZMH,16,,,False,0,883
1,TZTZT,7,[1][3],[1001][1160],Correct,0,737
1,UOUOU,15,1,1042,Correct,0,855
1,ZTWAW,16,2,1188,Correct,0,701
1,RZRER,7,[1][1],[1188][1428],False,0,668
2,JYJDJ,16,2,1125,Correct,0,842
2,DWDWD,15,1,958,Correct,0,836
2,GNGNG,7,[1][3],[804][900],Correct,0,651
2,NEZEZ,16,1,1199,Correct,0,808
2,RNROR,7,[2][3],[858][986],Correct,0,725
2,QTQNQ,7,[2][3],[1053][1165],Correct,0,937
2,HOHON,15,1,1003,Correct,0,887
2,KPKGK,16,2,924,Correct,0,737
2,DRDED,16,,,False,0,789
2,LNLNL,7,[1][3],[919][1031],Correct,0,658
4,GLGLG,15,1,1083,Correct,0,862
4,DTDID,16,2,789,Correct,0,878
4,SMSGS,16,2,871,Correct,0,921
4,ZFZYZ,7,[2][3],[925][1069],Correct,0,742
4,TSTFT,7,[2][3],[1282][1426],Correct,0,917
4,OFOFO,7,[1][3],[900][1044],Correct,0,655
4,WYFGW,16,2,717,Correct,0,877
4,WYWYW,15,1,966,Correct,0,759
4,MFMCM,7,[2][3],[969][1145],Correct,0,757
4,HQHEH,16,2,890,Correct,0,836
Trials
1,D,5,3,6624,New Target,1,807
1,ZNZYZ,161,2,1095,Correct,1,767
1,FZFZF,151,1,851,Correct,1,892
1,RKRKR,152,1,1070,Correct,1,662
1,RXRNR,161,2,815,Correct,1,789
1,CNCFC,162,2,908,Correct,1,741
1,PDPDP,7,[1][3],[896][960],Correct,1,878
1,CPCFC,14,2,1039,Correct,1,785
1,VLVNV,162,2,843,Correct,1,923
1,KFKFK,151,1,1137,Correct,1,884
1,ZNZNZ,152,1,875,Correct,1,858
1,KCKPD,235,2,765,Correct,1,882
1,ZKZFZ,222,2,920,Correct,1,804
1,NRNZN,162,2,808,Correct,1,917
1,KXKRK,163,2,785,Correct,1,784
1,YPYZY,164,2,791,Correct,1,879
1,FKDKF,223,1,851,Correct,1,788
1,RPRPR,113,1,986,Correct,1,764
1,VRVKV,161,2,860,Correct,1,788
1,RFRPR,162,2,901,Correct,1,752
1,KVKVK,151,1,796,Correct,1,777
1,YKYVY,161,2,739,Correct,1,857
1,VDVDV,8,[1][3],[716][796],Correct,1,878
1,DVZVZ,221,2,1018,Incorrect,1,933
1,YFYFY,113,1,797,Correct,1,760
1,ZYZYZ,152,1,867,Correct,1,913
1,VLVXV,161,2,844,Correct,1,729
1,DPXZX,231,2,928,Correct,1,904
1,RYRYR,113,1,840,Correct,1,733
1,PDPNP,91,[2][3],[979][1075],Correct,1,823
1,KXKXK,13,1,840,Correct,1,800
1,ZYZYZ,152,1,899,Correct,1,768
1,VKVKV,153,1,764,Correct,1,671
1,YZYZY,154,1,755,Correct,1,932
1,NLNZN,161,2,783,Correct,1,789
1,ZNDYZ,233,2,1019,Correct,1,792
1,PCPXP,222,2,786,Correct,1,657
1,ZVZFZ,162,2,702,Correct,1,693
1,RCRZR,163,2,698,Correct,1,796
1,LRLRL,151,1,786,Correct,1,902
1,ZDZDZ,10,[1][3],[817][897],Correct,1,758
1,RNRZR,14,2,705,Correct,1,707
1,CXCYC,162,2,1018,Correct,1,949
1,RCRLR,163,2,814,Correct,1,739
1,FRFRF,151,1,788,Correct,1,871
1,XFXFX,152,1,747,Correct,1,878
1,RPRLR,161,2,819,Correct,1,892
1,YXYRY,162,2,735,Correct,1,764
1,FYFYF,151,1,745,Correct,1,797
1,YZYVY,161,2,712,Correct,1,770
1,YKYKY,151,1,901,Correct,1,773
1,XRXRX,152,1,731,Correct,1,774
1,XVXZX,161,2,789,Correct,1,874
1,PDPDP,11,[1][3],[905][953],Correct,1,815
1,ZFZFZ,13,1,968,Correct,1,905
1,PXPXP,152,2,828,Incorrect,1,851
1,LYLYL,153,1,895,Correct,1,905
1,NKNKD,225,1,833,Correct,1,881
1,ZNZNZ,113,1,824,Correct,1,876
1,PYPZP,161,2,829,Correct,1,901
1,XPXPX,151,1,808,Correct,1,793
1,VLVLV,152,1,867,Correct,1,782
1,PKPXP,161,1,683,Incorrect,1,755
1,FZFZF,151,1,698,Correct,1,797
1,LDLDL,12,[1][3],[867][931],Correct,1,663
2,U,5,3,656,New Target,2,698
2,ZVZFZ,161,2,1074,Correct,2,876
2,FZFZF,151,1,836,Correct,2,729
2,RFRFR,152,1,795,Correct,2,835
2,NZNKN,161,2,776,Correct,2,724
2,FZFNF,162,2,918,Correct,2,754
2,RXRXR,151,1,782,Correct,2,665
2,KRKYK,161,2,840,Correct,2,819
2,NZNPN,162,2,995,Correct,2,654
2,XPXPX,151,1,719,Correct,2,945
2,CUCUC,7,[1][3],[723][819],Correct,2,945
2,RFRFR,13,1,709,Correct,2,874
2,VYVXV,161,2,802,Correct,2,818
2,VDVDV,191,1,1247,Correct,2,720
2,ZKZRZ,15,2,883,Correct,2,899
2,XCXCX,151,1,759,Correct,2,803
2,CNCUC,82,[2][3],[1192][1304],Correct,2,712
2,RCRCR,13,1,752,Correct,2,914
2,ZPZXZ,161,2,845,Correct,2,760
2,FKFYF,162,2,762,Correct,2,680
2,ZFZYZ,163,2,854,Correct,2,792
2,PXPXP,151,1,752,Correct,2,702
2,URCKC,231,2,816,Correct,2,673
2,PCPCP,113,1,806,Correct,2,840
2,XNXNX,152,1,841,Correct,2,945
2,RCRZR,161,2,659,Correct,2,762
2,XVXVX,151,1,847,Correct,2,937
2,NRNRN,152,1,758,Correct,2,806
2,FPFPF,225,2,714,Incorrect,2,941
2,XVXFX,222,2,725,Correct,2,854
2,PRPRP,151,2,996,Incorrect,2,775
2,FYFCF,161,2,825,Correct,2,686
2,XUXFX,91,[2][3],[890][1034],Correct,2,847
2,CYCVC,14,2,860,Correct,2,760
2,VDVKV,172,2,832,Correct,2,854
2,YCYCY,15,1,822,Correct,2,896
2,NKNLN,161,2,846,Correct,2,790
2,XPUKX,233,2,1242,Correct,2,678
2,ZPZPZ,113,1,819,Correct,2,833
2,KRKRK,152,1,894,Correct,2,755
2,XKXKX,153,1,789,Correct,2,761
2,YUYVY,101,[2][3],[769][897],Correct,2,781
2,XKXFU,235,2,1067,Correct,2,911
2,NFNFN,113,1,904,Correct,2,889
2,KDKDK,193,1,1019,Correct,2,765
2,XYXKX,16,2,775,Correct,2,903
2,YZUZY,223,1,1189,Correct,2,756
2,KFKVK,222,2,871,Correct,2,657
2,LYLYL,151,1,910,Correct,2,798
2,CXCDC,184,2,1179,Incorrect,2,662
2,XZXNX,16,2,981,Correct,2,808
2,PXPXP,151,1,979,Correct,2,949
2,ZRZYZ,161,2,970,Correct,2,664
2,PUPYP,111,[2][3],[1037][1149],Correct,2,748
2,RNRNR,14,1,963,Correct,2,824
