Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,656
1,DLDUD,16,,,False,0,850
1,PDPGP,16,2,850,Correct,0,788
1,MWMWM,15,1,696,Correct,0,777
1,FTFTF,15,1,638,Correct,0,876
1,AXAMA,16,2,666,Correct,0,772
1,RYRGR,16,2,658,Correct,0,886
1,DODOD,15,1,569,Correct,0,942
1,QTQAQ,16,2,667,Correct,0,749
1,YEYEY,15,1,566,Correct,0,813
2,GYGDG,16,2,839,Correct,0,903
2,SWSWS,15,1,624,Correct,0,752
2,HLHUH,16,2,762,Correct,0,810
2,DEDED,15,1,656,Correct,0,807
2,ZPZOZ,16,2,621,Correct,0,804
2,ATATA,15,1,518,Correct,0,846
2,QOQOQ,15,1,515,Correct,0,850
2,FPFGF,16,2,535,Correct,0,695
2,TRTET,16,2,613,Correct,0,905
2,DQDQD,15,2,707,False,0,740
4,PLPLP,15,2,586,False,0,793
4,ATAIA,16,2,697,Correct,0,786
4,SKSGS,16,2,599,Correct,0,674
4,ZYZYZ,15,1,930,Correct,0,883
4,QSQSQ,15,1,552,Correct,0,675
4,TZTDT,16,2,600,Correct,0,764
4,JYJGJ,16,2,682,Correct,0,668
4,DYDYD,15,1,601,Correct,0,677
4,LTLCL,16,2,570,Correct,0,714
4,FQFEF,16,2,616,Correct,0,810
AT Practice
1,TKTKT,15,1,796,Correct,0,784
1,SLSUS,16,2,675,Correct,0,731
1,VZVGV,7,3,977,Correct,0,658
1,XWXZX,7,3,822,Correct,0,709
1,ATATA,15,1,834,Correct,0,686
1,HXZMH,16,2,1082,Correct,0,677
1,TZTZT,7,3,566,Correct,0,746
1,UOUOU,15,1,917,Correct,0,777
1,ZTWAW,16,2,984,Correct,0,714
1,RZRER,7,3,802,Correct,0,947
2,JYJDJ,16,2,689,Correct,0,772
2,DWDWD,15,1,768,Correct,0,674
2,GNGNG,7,3,595,Correct,0,876
2,NEZEZ,16,1,690,Correct,0,816
2,RNROR,7,2,590,False,0,719
2,QTQNQ,7,3,698,Correct,0,850
2,HOHON,15,1,591,Correct,0,863
2,KPKGK,16,2,651,Correct,0,822
2,DRDED,16,2,667,Correct,0,666
2,LNLNL,7,3,876,Correct,0,680
4,GLGLG,15,1,968,Correct,0,883
4,DTDID,16,2,904,Correct,0,795
4,SMSGS,16,2,788,Correct,0,933
4,ZFZYZ,7,3,649,Correct,0,859
4,TSTFT,7,3,992,Correct,0,894
4,OFOFO,7,3,657,Correct,0,736
4,WYFGW,16,1,1081,False,0,886
4,WYWYW,15,1,1312,Correct,0,865
4,MFMCM,7,3,1143,Correct,0,722
4,HQHEH,16,2,916,Correct,0,659
Trials
1,D,5,3,2919,New Target,1,860
1,ZNZYZ,161,2,827,Correct,1,719
1,FZFZF,151,1,743,Correct,1,750
1,RKRKR,152,1,641,Correct,1,805
1,RXRNR,161,2,626,Correct,1,763
1,CNCFC,162,2,803,Correct,1,789
1,PDPDP,7,1,610,Incorrect,1,668
1,CPCFC,14,2,1091,Correct,1,826
1,VLVNV,162,2,678,Correct,1,706
1,KFKFK,151,1,935,Correct,1,740
1,ZNZNZ,152,1,790,Correct,1,899
1,KCKPD,235,2,814,Correct,1,896
1,ZKZFZ,222,2,675,Correct,1,898
1,NRNZN,162,2,673,Correct,1,805
1,KXKRK,163,2,668,Correct,1,946
1,YPYZY,164,2,715,Correct,1,813
1,FKDKF,223,2,823,Incorrect,1,766
1,RPRPR,113,1,1481,Correct,1,930
1,VRVKV,161,2,747,Correct,1,706
1,RFRPR,162,2,838,Correct,1,831
1,KVKVK,151,1,879,Correct,1,763
1,YKYVY,161,2,721,Correct,1,867
1,VDVDV,8,3,795,Correct,1,895
1,DVZVZ,221,2,1150,Incorrect,1,927
1,YFYFY,113,1,716,Correct,1,776
1,ZYZYZ,152,1,860,Correct,1,731
1,VLVXV,161,2,624,Correct,1,883
1,DPXZX,231,2,605,Correct,1,902
1,RYRYR,113,1,895,Correct,1,701
1,PDPNP,91,3,1009,Correct,1,932
1,KXKXK,13,1,879,Correct,1,912
1,ZYZYZ,152,1,905,Correct,1,672
1,VKVKV,153,1,832,Correct,1,819
1,YZYZY,154,1,1276,Correct,1,666
1,NLNZN,161,2,1212,Correct,1,946
1,ZNDYZ,233,2,651,Correct,1,653
1,PCPXP,222,2,586,Correct,1,797
1,ZVZFZ,162,2,654,Correct,1,688
1,RCRZR,163,2,569,Correct,1,913
1,LRLRL,151,1,668,Correct,1,756
1,ZDZDZ,10,3,939,Correct,1,788
1,RNRZR,14,2,781,Correct,1,886
1,CXCYC,162,2,821,Correct,1,874
1,RCRLR,163,2,765,Correct,1,779
1,FRFRF,151,1,698,Correct,1,713
1,XFXFX,152,1,805,Correct,1,868
1,RPRLR,161,2,906,Correct,1,891
1,YXYRY,162,2,730,Correct,1,931
1,FYFYF,151,1,723,Correct,1,890
1,YZYVY,161,2,688,Correct,1,866
1,YKYKY,151,1,785,Correct,1,660
1,XRXRX,152,1,621,Correct,1,771
1,XVXZX,161,2,1138,Correct,1,701
1,PDPDP,11,3,889,Correct,1,950
1,ZFZFZ,13,1,795,Correct,1,930
1,PXPXP,152,1,744,Correct,1,655
1,LYLYL,153,1,776,Correct,1,694
1,NKNKD,225,1,785,Correct,1,849
1,ZNZNZ,113,1,748,Correct,1,784
1,PYPZP,161,2,743,Correct,1,833
1,XPXPX,151,1,737,Correct,1,822
1,VLVLV,152,1,672,Correct,1,692
1,PKPXP,161,2,788,Correct,1,671
1,FZFZF,151,1,722,Correct,1,656
1,LDLDL,12,3,744,Correct,1,928
2,U,5,3,1764,New Target,2,745
2,ZVZFZ,161,2,989,Correct,2,786
2,FZFZF,151,1,908,Correct,2,900
2,RFRFR,152,1,1025,Correct,2,798
2,NZNKN,161,2,1293,Correct,2,948
2,FZFNF,162,2,791,Correct,2,659
2,RXRXR,151,1,767,Correct,2,879
2,KRKYK,161,2,726,Correct,2,905
2,NZNPN,162,2,756,Correct,2,798
2,XPXPX,151,1,799,Correct,2,789
2,CUCUC,7,3,1037,Correct,2,673
2,RFRFR,13,1,1032,Correct,2,874
2,VYVXV,161,2,840,Correct,2,838
2,VDVDV,191,1,1439,Correct,2,796
2,ZKZRZ,15,2,1195,Correct,2,945
2,XCXCX,151,1,871,Correct,2,820
2,CNCUC,82,3,1451,Correct,2,853
2,RCRCR,13,1,993,Correct,2,699
2,ZPZXZ,161,2,664,Correct,2,707
2,FKFYF,162,2,801,Correct,2,932
2,ZFZYZ,163,2,699,Correct,2,817
2,PXPXP,151,1,918,Correct,2,893
2,URCKC,231,2,837,Correct,2,930
2,PCPCP,113,1,896,Correct,2,673
2,XNXNX,152,1,1060,Correct,2,868
2,RCRZR,161,2,885,Correct,2,754
2,XVXVX,151,1,1114,Correct,2,849
2,NRNRN,152,1,1390,Correct,2,670
2,FPFPF,225,1,757,Correct,2,734
2,XVXFX,222,2,654,Correct,2,803
2,PRPRP,151,1,747,Correct,2,828
2,FYFCF,161,2,940,Correct,2,694
2,XUXFX,91,2,1220,Incorrect,2,758
2,CYCVC,14,2,1164,Correct,2,872
2,VDVKV,172,2,899,Correct,2,892
2,YCYCY,15,1,853,Correct,2,893
2,NKNLN,161,2,1004,Correct,2,813
2,XPUKX,233,,,Incorrect,2,929
2,ZPZPZ,113,1,1302,Correct,2,752
2,KRKRK,152,1,1132,Correct,2,804
2,XKXKX,153,1,1061,Correct,2,866
2,YUYVY,101,2,728,Incorrect,2,708
2,XKXFU,235,2,1144,Correct,2,684
2,NFNFN,113,1,889,Correct,2,720
2,KDKDK,193,1,756,Correct,2,678
2,XYXKX,16,2,835,Correct,2,667
2,YZUZY,223,1,764,Correct,2,724
2,KFKVK,222,,,Incorrect,2,697
2,LYLYL,151,1,667,Correct,2,667
2,CXCDC,184,2,634,Incorrect,2,736
2,XZXNX,16,2,670,Correct,2,721
2,PXPXP,151,1,829,Correct,2,783
2,ZRZYZ,161,2,757,Correct,2,838
2,PUPYP,111,3,801,Correct,2,804
2,RNRNR,14,1,791,Correct,2,845
2,KDKDK,195,1,765,Correct,2,910
2,KNKNK,15,1,653,Correct,2,689
2,PRPKP,161,2,653,Correct,2,756
2,UNYNY,221,1,1179,Correct,2,839
2,NYNYN,113,1,1173,Correct,2,859
2,YXYXY,152,1,884,Incorrect,2,742
2,RDRDR,196,1,568,Correct,2,869
2,FCFCF,15,1,665,Correct,2,833
2,ZKZKZ,152,1,692,Correct,2,897
2,ZUZUZ,12,1,630,Incorrect,2,714
3,E,5,3,8163,New Target,3,864
3,YZYZY,151,1,705,Correct,3,945
3,VFVNV,161,2,1042,Correct,3,707
3,KYKYK,151,1,920,Correct,3,697
3,NKNKN,152,1,914,Correct,3,702
3,XVXNX,161,2,1400,Correct,3,744
