Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1420,Correct,0,847
1,DLDUD,16,2,922,Correct,0,839
1,PDPGP,16,2,837,Correct,0,925
1,MWMWM,15,1,1015,Correct,0,889
1,FTFTF,15,1,818,Correct,0,833
1,AXAMA,16,2,795,Correct,0,708
1,RYRGR,16,2,676,Correct,0,720
1,DODOD,15,1,622,Correct,0,820
1,QTQAQ,16,2,1097,Correct,0,876
1,YEYEY,15,1,756,Correct,0,782
2,GYGDG,16,1,1127,False,0,662
2,SWSWS,15,1,812,Correct,0,890
2,HLHUH,16,2,958,Correct,0,935
2,DEDED,15,1,845,Correct,0,748
2,ZPZOZ,16,2,895,Correct,0,878
2,ATATA,15,1,863,Correct,0,842
2,QOQOQ,15,1,704,Correct,0,909
2,FPFGF,16,2,716,Correct,0,789
2,TRTET,16,2,759,Correct,0,698
2,DQDQD,15,1,1025,Correct,0,665
AT Practice
1,TKTKT,15,,,False,0,748
1,SLSUS,16,2,1150,Correct,0,786
1,VZVGV,7,,,False,0,775
1,XWXZX,7,2,1025,False,0,723
1,ATATA,15,1,734,Correct,0,780
1,HXZMH,16,,,False,0,736
1,TZTZT,7,3,679,Correct,0,719
1,UOUOU,15,2,1034,False,0,945
1,ZTWAW,16,3,875,False,0,685
1,RZRER,7,,,False,0,764
2,JYJDJ,16,2,1092,Correct,0,761
2,DWDWD,15,1,1137,Correct,0,749
2,GNGNG,7,3,1053,Correct,0,750
2,NEZEZ,16,1,983,Correct,0,846
2,RNROR,7,3,876,Correct,0,673
2,QTQNQ,7,2,826,False,0,935
2,HOHON,15,1,954,Correct,0,922
2,KPKGK,16,2,1051,Correct,0,764
2,DRDED,16,2,948,Correct,0,919
2,LNLNL,7,3,682,Correct,0,653
4,GLGLG,15,1,1061,Correct,0,847
4,DTDID,16,2,1180,Correct,0,851
4,SMSGS,16,2,1060,Correct,0,770
4,ZFZYZ,7,3,771,Correct,0,746
4,TSTFT,7,3,956,Correct,0,740
4,OFOFO,7,3,695,Correct,0,941
4,WYFGW,16,2,1150,Correct,0,854
4,WYWYW,15,1,833,Correct,0,915
4,MFMCM,7,3,753,Correct,0,870
4,HQHEH,16,2,1080,Correct,0,863
Trials
1,D,5,3,17274,New Target,1,786
1,ZNZYZ,161,,,Incorrect,1,706
1,FZFZF,151,,,Incorrect,1,813
1,RKRKR,152,,,Incorrect,1,761
1,RXRNR,161,2,1211,Correct,1,815
1,CNCFC,162,2,1132,Correct,1,673
1,PDPDP,7,1,670,Incorrect,1,666
1,CPCFC,14,2,1002,Correct,1,851
1,VLVNV,162,2,922,Correct,1,882
1,KFKFK,151,1,1510,Correct,1,655
1,ZNZNZ,152,2,774,Incorrect,1,816
1,KCKPD,235,2,1120,Correct,1,732
1,ZKZFZ,222,2,931,Correct,1,651
1,NRNZN,162,2,1239,Correct,1,808
1,KXKRK,163,2,788,Correct,1,672
1,YPYZY,164,2,1162,Correct,1,915
1,FKDKF,223,1,938,Correct,1,696
1,RPRPR,113,1,900,Correct,1,658
1,VRVKV,161,2,780,Correct,1,705
1,RFRPR,162,2,795,Correct,1,695
1,KVKVK,151,1,851,Correct,1,802
1,YKYVY,161,2,1068,Correct,1,688
1,VDVDV,8,3,1183,Correct,1,660
1,DVZVZ,221,2,918,Incorrect,1,938
1,YFYFY,113,1,827,Correct,1,798
1,ZYZYZ,152,1,946,Correct,1,858
1,VLVXV,161,2,743,Correct,1,784
1,DPXZX,231,2,935,Correct,1,652
1,RYRYR,113,1,957,Correct,1,718
1,PDPNP,91,3,897,Correct,1,821
1,KXKXK,13,1,902,Correct,1,813
1,ZYZYZ,152,1,687,Correct,1,733
1,VKVKV,153,1,722,Correct,1,723
1,YZYZY,154,1,1385,Correct,1,848
1,NLNZN,161,2,1165,Correct,1,798
1,ZNDYZ,233,2,1226,Correct,1,772
1,PCPXP,222,2,642,Correct,1,841
1,ZVZFZ,162,2,1015,Correct,1,706
1,RCRZR,163,2,710,Correct,1,896
1,LRLRL,151,1,722,Correct,1,818
1,ZDZDZ,10,1,757,Incorrect,1,667
1,RNRZR,14,2,785,Correct,1,770
1,CXCYC,162,2,940,Correct,1,786
1,RCRLR,163,2,539,Correct,1,917
1,FRFRF,151,1,655,Correct,1,732
1,XFXFX,152,1,1411,Correct,1,682
1,RPRLR,161,2,851,Correct,1,848
1,YXYRY,162,,,Incorrect,1,777
1,FYFYF,151,1,679,Correct,1,763
1,YZYVY,161,2,707,Correct,1,836
1,YKYKY,151,1,831,Correct,1,822
1,XRXRX,152,1,585,Correct,1,754
1,XVXZX,161,2,767,Correct,1,651
1,PDPDP,11,1,705,Incorrect,1,661
1,ZFZFZ,13,1,762,Correct,1,927
1,PXPXP,152,1,760,Correct,1,724
1,LYLYL,153,1,948,Correct,1,797
1,NKNKD,225,1,690,Correct,1,906
1,ZNZNZ,113,1,741,Correct,1,711
1,PYPZP,161,2,996,Correct,1,722
1,XPXPX,151,1,1237,Correct,1,860
1,VLVLV,152,1,955,Correct,1,844
1,PKPXP,161,2,893,Correct,1,885
1,FZFZF,151,1,823,Correct,1,719
1,LDLDL,12,3,1167,Correct,1,841
2,U,5,3,4073,New Target,2,908
2,ZVZFZ,161,2,1207,Correct,2,767
2,FZFZF,151,1,1234,Correct,2,740
2,RFRFR,152,1,983,Correct,2,889
2,NZNKN,161,2,953,Correct,2,784
2,FZFNF,162,2,851,Correct,2,679
2,RXRXR,151,1,1274,Correct,2,839
2,KRKYK,161,2,1068,Correct,2,922
2,NZNPN,162,2,924,Correct,2,816
2,XPXPX,151,1,802,Correct,2,739
2,CUCUC,7,1,1163,Incorrect,2,802
2,RFRFR,13,1,884,Correct,2,895
2,VYVXV,161,2,807,Correct,2,842
2,VDVDV,191,1,898,Correct,2,731
2,ZKZRZ,15,2,1142,Correct,2,822
2,XCXCX,151,1,868,Correct,2,755
2,CNCUC,82,3,1286,Correct,2,888
2,RCRCR,13,1,936,Correct,2,905
2,ZPZXZ,161,2,943,Correct,2,721
2,FKFYF,162,2,967,Correct,2,729
2,ZFZYZ,163,2,681,Correct,2,842
2,PXPXP,151,1,979,Correct,2,873
2,URCKC,231,,,Incorrect,2,878
2,PCPCP,113,1,795,Correct,2,867
2,XNXNX,152,2,682,Incorrect,2,726
2,RCRZR,161,2,923,Correct,2,723
2,XVXVX,151,1,693,Correct,2,678
2,NRNRN,152,2,871,Incorrect,2,719
2,FPFPF,225,1,698,Correct,2,839
2,XVXFX,222,2,914,Correct,2,950
2,PRPRP,151,1,887,Correct,2,738
2,FYFCF,161,2,807,Correct,2,904
2,XUXFX,91,3,577,Correct,2,805
2,CYCVC,14,2,809,Correct,2,685
2,VDVKV,172,2,894,Correct,2,942
2,YCYCY,15,1,953,Correct,2,675
2,NKNLN,161,2,906,Correct,2,904
2,XPUKX,233,2,1094,Correct,2,685
2,ZPZPZ,113,1,727,Correct,2,747
2,KRKRK,152,1,1142,Correct,2,714
2,XKXKX,153,1,770,Correct,2,775
2,YUYVY,101,3,739,Correct,2,662
2,XKXFU,235,2,1183,Correct,2,774
2,NFNFN,113,1,891,Correct,2,757
2,KDKDK,193,1,997,Correct,2,725
2,XYXKX,16,2,1404,Correct,2,669
2,YZUZY,223,1,882,Correct,2,690
2,KFKVK,222,,,Incorrect,2,732
2,LYLYL,151,1,818,Correct,2,913
2,CXCDC,184,2,826,Incorrect,2,847
2,XZXNX,16,2,902,Correct,2,697
2,PXPXP,151,1,896,Correct,2,654
2,ZRZYZ,161,2,691,Correct,2,930
2,PUPYP,111,3,595,Correct,2,714
2,RNRNR,14,1,1106,Correct,2,897
2,KDKDK,195,1,673,Correct,2,803
2,KNKNK,15,1,784,Correct,2,737
2,PRPKP,161,2,1270,Correct,2,855
2,UNYNY,221,1,1396,Correct,2,725
2,NYNYN,113,1,858,Correct,2,660
2,YXYXY,152,1,676,Incorrect,2,761
2,RDRDR,196,1,689,Correct,2,892
2,FCFCF,15,1,643,Correct,2,684
2,ZKZKZ,152,1,707,Correct,2,831
2,ZUZUZ,12,1,1036,Incorrect,2,935
3,E,5,3,5827,New Target,3,937
3,YZYZY,151,1,1230,Correct,3,881
3,VFVNV,161,2,747,Correct,3,687
3,KYKYK,151,1,892,Correct,3,653
3,NKNKN,152,1,1025,Correct,3,843
3,XVXNX,161,2,864,Correct,3,789
3,RERFR,71,3,733,Correct,3,694
3,XNXNX,13,1,870,Correct,3,871
3,NXNXN,152,1,766,Correct,3,743
3,ZLZNZ,161,2,922,Correct,3,748
3,CUCNC,171,3,1066,Incorrect,3,881
3,FYFRF,16,2,1498,Correct,3,745
3,ZLZLZ,151,1,1390,Correct,3,651
3,YZYZY,152,1,1088,Correct,3,804
3,CYCYC,153,1,1028,Correct,3,692
