Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1245,Correct,0,943
1,DLDUD,16,2,996,Correct,0,766
1,PDPGP,16,1,712,False,0,651
1,MWMWM,15,1,768,Correct,0,834
1,FTFTF,15,1,1081,Correct,0,750
1,AXAMA,16,2,1152,Correct,0,862
1,RYRGR,16,2,810,Correct,0,718
1,DODOD,15,1,1118,Correct,0,891
1,QTQAQ,16,2,940,Correct,0,728
1,YEYEY,15,1,840,Correct,0,874
2,GYGDG,16,2,897,Correct,0,851
2,SWSWS,15,1,646,Correct,0,710
2,HLHUH,16,2,1012,Correct,0,719
2,DEDED,15,1,723,Correct,0,812
2,ZPZOZ,16,2,838,Correct,0,922
2,ATATA,15,2,769,False,0,660
2,QOQOQ,15,1,779,Correct,0,682
2,FPFGF,16,2,854,Correct,0,717
2,TRTET,16,2,840,Correct,0,868
2,DQDQD,15,1,985,Correct,0,853
4,PLPLP,15,1,1112,Correct,0,784
4,ATAIA,16,2,1011,Correct,0,843
4,SKSGS,16,2,738,Correct,0,738
4,ZYZYZ,15,1,1000,Correct,0,819
4,QSQSQ,15,1,742,Correct,0,765
4,TZTDT,16,2,804,Correct,0,701
4,JYJGJ,16,2,1005,Correct,0,657
4,DYDYD,15,1,602,Correct,0,879
4,LTLCL,16,2,762,Correct,0,699
4,FQFEF,16,2,723,Correct,0,802
AT Practice
1,TKTKT,15,1,921,Correct,0,833
1,SLSUS,16,2,809,Correct,0,855
1,VZVGV,7,2,974,False,0,876
1,XWXZX,7,3,1197,Correct,0,847
1,ATATA,15,1,1295,Correct,0,941
1,HXZMH,16,2,1157,Correct,0,739
1,TZTZT,7,3,683,Correct,0,840
1,UOUOU,15,1,1018,Correct,0,711
1,ZTWAW,16,2,1539,Correct,0,888
1,RZRER,7,3,787,Correct,0,674
2,JYJDJ,16,2,1051,Correct,0,917
2,DWDWD,15,1,1190,Correct,0,799
2,GNGNG,7,3,938,Correct,0,843
2,NEZEZ,16,1,1083,Correct,0,783
2,RNROR,7,3,742,Correct,0,792
2,QTQNQ,7,3,1087,Correct,0,822
2,HOHON,15,1,893,Correct,0,730
2,KPKGK,16,2,1221,Correct,0,713
2,DRDED,16,2,1307,Correct,0,836
2,LNLNL,7,3,964,Correct,0,700
4,GLGLG,15,1,1021,Correct,0,945
4,DTDID,16,2,1050,Correct,0,792
4,SMSGS,16,2,922,Correct,0,700
4,ZFZYZ,7,3,778,Correct,0,854
4,TSTFT,7,3,933,Correct,0,714
4,OFOFO,7,3,843,Correct,0,666
4,WYFGW,16,2,1165,Correct,0,894
4,WYWYW,15,1,1332,Correct,0,836
4,MFMCM,7,3,965,Correct,0,839
4,HQHEH,16,2,1017,Correct,0,706
Trials
1,D,5,3,30469,New Target,1,721
1,ZNZYZ,161,2,1169,Correct,1,884
1,FZFZF,151,1,1193,Correct,1,934
1,RKRKR,152,1,981,Correct,1,757
1,RXRNR,161,2,1296,Correct,1,950
1,CNCFC,162,2,1078,Correct,1,839
1,PDPDP,7,3,890,Correct,1,669
1,CPCFC,14,2,1045,Correct,1,687
1,VLVNV,162,2,964,Correct,1,839
1,KFKFK,151,1,985,Correct,1,733
1,ZNZNZ,152,1,965,Correct,1,942
1,KCKPD,235,2,1013,Correct,1,917
1,ZKZFZ,222,2,1209,Correct,1,693
1,NRNZN,162,2,1119,Correct,1,869
1,KXKRK,163,2,1072,Correct,1,790
1,YPYZY,164,2,1105,Correct,1,756
1,FKDKF,223,2,1088,Incorrect,1,763
1,RPRPR,113,1,1259,Correct,1,884
1,VRVKV,161,2,1175,Correct,1,743
1,RFRPR,162,2,1317,Correct,1,747
1,KVKVK,151,1,827,Correct,1,812
1,YKYVY,161,2,981,Correct,1,765
1,VDVDV,8,3,644,Correct,1,912
1,DVZVZ,221,1,938,Correct,1,651
1,YFYFY,113,1,739,Correct,1,658
1,ZYZYZ,152,1,667,Correct,1,862
1,VLVXV,161,2,793,Correct,1,767
1,DPXZX,231,2,932,Correct,1,756
1,RYRYR,113,1,852,Correct,1,943
1,PDPNP,91,3,937,Correct,1,901
1,KXKXK,13,1,1087,Correct,1,781
1,ZYZYZ,152,1,795,Correct,1,814
1,VKVKV,153,1,754,Correct,1,896
1,YZYZY,154,1,897,Correct,1,666
1,NLNZN,161,2,737,Correct,1,926
1,ZNDYZ,233,2,907,Correct,1,843
1,PCPXP,222,2,864,Correct,1,768
1,ZVZFZ,162,2,903,Correct,1,792
1,RCRZR,163,2,729,Correct,1,926
1,LRLRL,151,1,789,Correct,1,792
1,ZDZDZ,10,3,736,Correct,1,809
1,RNRZR,14,2,1503,Correct,1,738
1,CXCYC,162,2,1442,Correct,1,725
1,RCRLR,163,2,1222,Correct,1,775
1,FRFRF,151,1,828,Correct,1,923
1,XFXFX,152,1,808,Correct,1,739
1,RPRLR,161,2,864,Correct,1,896
1,YXYRY,162,2,1153,Correct,1,924
1,FYFYF,151,1,858,Correct,1,887
1,YZYVY,161,2,977,Correct,1,796
1,YKYKY,151,1,1028,Correct,1,836
1,XRXRX,152,1,854,Correct,1,723
1,XVXZX,161,2,730,Correct,1,852
1,PDPDP,11,1,743,Incorrect,1,738
1,ZFZFZ,13,1,886,Correct,1,752
1,PXPXP,152,1,860,Correct,1,782
1,LYLYL,153,1,788,Correct,1,719
1,NKNKD,225,1,1210,Correct,1,942
1,ZNZNZ,113,1,982,Correct,1,712
1,PYPZP,161,2,813,Correct,1,705
1,XPXPX,151,1,737,Correct,1,931
1,VLVLV,152,1,893,Correct,1,763
1,PKPXP,161,2,1096,Correct,1,681
1,FZFZF,151,1,835,Correct,1,932
1,LDLDL,12,3,942,Correct,1,666
2,U,5,3,3545,New Target,2,885
2,ZVZFZ,161,2,919,Correct,2,792
2,FZFZF,151,1,847,Correct,2,686
2,RFRFR,152,1,966,Correct,2,758
2,NZNKN,161,2,894,Correct,2,709
2,FZFNF,162,2,1002,Correct,2,670
2,RXRXR,151,1,799,Correct,2,681
2,KRKYK,161,2,1062,Correct,2,859
2,NZNPN,162,2,1066,Correct,2,671
2,XPXPX,151,1,842,Correct,2,726
2,CUCUC,7,3,940,Correct,2,943
2,RFRFR,13,1,917,Correct,2,728
2,VYVXV,161,2,1036,Correct,2,686
2,VDVDV,191,1,1367,Correct,2,921
2,ZKZRZ,15,2,938,Correct,2,801
2,XCXCX,151,1,1151,Correct,2,806
2,CNCUC,82,3,780,Correct,2,841
2,RCRCR,13,1,914,Correct,2,945
2,ZPZXZ,161,2,937,Correct,2,734
2,FKFYF,162,2,782,Correct,2,768
2,ZFZYZ,163,2,1016,Correct,2,809
2,PXPXP,151,1,730,Correct,2,724
2,URCKC,231,2,1267,Correct,2,880
2,PCPCP,113,1,1078,Correct,2,932
2,XNXNX,152,1,1125,Correct,2,773
2,RCRZR,161,2,1206,Correct,2,721
2,XVXVX,151,1,1041,Correct,2,734
2,NRNRN,152,1,1106,Correct,2,837
2,FPFPF,225,1,938,Correct,2,920
2,XVXFX,222,2,1322,Correct,2,916
2,PRPRP,151,1,1100,Correct,2,900
2,FYFCF,161,2,952,Correct,2,880
2,XUXFX,91,3,881,Correct,2,682
2,CYCVC,14,2,1335,Correct,2,768
2,VDVKV,172,2,1167,Correct,2,675
2,YCYCY,15,1,854,Correct,2,887
2,NKNLN,161,2,1200,Correct,2,727
2,XPUKX,233,2,1481,Correct,2,877
2,ZPZPZ,113,1,983,Correct,2,795
2,KRKRK,152,1,1029,Correct,2,865
2,XKXKX,153,1,1154,Correct,2,903
2,YUYVY,101,3,639,Correct,2,795
2,XKXFU,235,2,1424,Correct,2,812
2,NFNFN,113,1,785,Correct,2,795
2,KDKDK,193,1,1176,Correct,2,906
2,XYXKX,16,2,1026,Correct,2,889
2,YZUZY,223,,,Incorrect,2,859
2,KFKVK,222,2,1142,Correct,2,932
2,LYLYL,151,1,852,Correct,2,750
2,CXCDC,184,2,812,Incorrect,2,810
2,XZXNX,16,2,885,Correct,2,844
2,PXPXP,151,1,776,Correct,2,912
2,ZRZYZ,161,2,854,Correct,2,746
2,PUPYP,111,3,908,Correct,2,825
2,RNRNR,14,1,945,Correct,2,752
2,KDKDK,195,1,948,Correct,2,865
2,KNKNK,15,1,763,Correct,2,693
2,PRPKP,161,2,1004,Correct,2,692
2,UNYNY,221,1,1011,Correct,2,759
2,NYNYN,113,1,1247,Correct,2,885
2,YXYXY,152,1,1322,Incorrect,2,730
2,RDRDR,196,1,989,Correct,2,825
2,FCFCF,15,1,860,Correct,2,910
2,ZKZKZ,152,1,1157,Correct,2,743
2,ZUZUZ,12,3,672,Correct,2,915
3,E,5,3,5026,New Target,3,925
3,YZYZY,151,1,1251,Correct,3,733
3,VFVNV,161,2,890,Correct,3,801
3,KYKYK,151,1,671,Correct,3,811
