Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,772
1,DLDUD,16,2,791,Correct,0,782
1,PDPGP,16,1,798,False,0,789
1,MWMWM,15,1,1188,Correct,0,800
1,FTFTF,15,1,760,Correct,0,869
1,AXAMA,16,2,563,Correct,0,732
1,RYRGR,16,2,807,Correct,0,678
1,DODOD,15,1,539,Correct,0,857
1,QTQAQ,16,2,854,Correct,0,926
1,YEYEY,15,1,527,Correct,0,681
2,GYGDG,16,2,646,Correct,0,779
2,SWSWS,15,1,540,Correct,0,917
2,HLHUH,16,1,813,False,0,804
2,DEDED,15,1,727,Correct,0,719
2,ZPZOZ,16,2,491,Correct,0,900
2,ATATA,15,1,523,Correct,0,811
2,QOQOQ,15,1,620,Correct,0,843
2,FPFGF,16,2,629,Correct,0,857
2,TRTET,16,2,529,Correct,0,830
2,DQDQD,15,2,812,False,0,906
DT Practice
1,TKTKT,15,,,False,0,782
1,SLSUS,16,,,False,0,866
1,VZVGV,7,,,False,0,765
1,XWXZX,7,,,False,0,859
1,ATATA,15,,,False,0,915
1,HXZMH,16,,,False,0,833
1,TZTZT,7,,,False,0,928
1,UOUOU,15,,,False,0,749
1,ZTWAW,16,,,False,0,729
1,RZRER,7,,,False,0,875
2,JYJDJ,16,2,1101,Correct,0,877
2,DWDWD,15,1,779,Correct,0,670
2,GNGNG,7,[1][3],[1003][1195],Correct,0,872
2,NEZEZ,16,1,958,Correct,0,908
2,RNROR,7,[2],[658],False,0,659
2,QTQNQ,7,[2][3],[1188][1412],Correct,0,860
2,HOHON,15,1,1028,Correct,0,918
2,KPKGK,16,2,973,Correct,0,874
2,DRDED,16,2,559,Correct,0,733
2,LNLNL,7,[1][3],[749][989],Correct,0,934
4,GLGLG,15,1,1205,Correct,0,882
4,DTDID,16,2,638,Correct,0,741
4,SMSGS,16,2,718,Correct,0,745
4,ZFZYZ,7,[2][3],[1181][1357],Correct,0,879
4,TSTFT,7,[2][3],[816][1072],Correct,0,845
4,OFOFO,7,[1][3],[694][950],Correct,0,727
4,WYFGW,16,2,792,Correct,0,884
4,WYWYW,15,1,780,Correct,0,908
4,MFMCM,7,[2],[1533],False,0,886
4,HQHEH,16,2,624,Correct,0,767
1,TKTKT,15,1,1377,Correct,0,677
1,SLSUS,16,2,623,Correct,0,874
1,VZVGV,7,[2][1],[739][1299],False,0,821
1,XWXZX,7,[2],[1066],False,0,903
1,ATATA,15,1,981,Correct,0,741
1,HXZMH,16,2,618,Correct,0,666
1,TZTZT,7,[1][3],[787][1027],Correct,0,881
1,UOUOU,15,2,825,False,0,773
1,ZTWAW,16,2,1036,Correct,0,881
1,RZRER,7,[1],[916],False,0,720
2,JYJDJ,16,2,1323,Correct,0,738
2,DWDWD,15,1,863,Correct,0,721
2,GNGNG,7,[1][3],[757][981],Correct,0,843
2,NEZEZ,16,1,939,Correct,0,736
2,RNROR,7,[2][3],[1272][1480],Correct,0,882
2,QTQNQ,7,[2][3],[1312][1504],Correct,0,912
2,HOHON,15,1,1043,Correct,0,723
2,KPKGK,16,2,786,Correct,0,733
2,DRDED,16,2,844,Correct,0,714
2,LNLNL,7,[1][3],[912][1152],Correct,0,697
Trials
1,D,5,3,1204,New Target,1,779
1,ZNZYZ,161,2,922,Correct,1,762
1,FZFZF,151,1,945,Correct,1,811
1,RKRKR,152,1,836,Correct,1,831
1,RXRNR,161,2,1159,Correct,1,913
1,CNCFC,162,2,1095,Correct,1,659
1,PDPDP,7,[1][3],[761][985],Correct,1,801
1,CPCFC,14,2,709,Correct,1,666
1,VLVNV,162,2,687,Correct,1,837
1,KFKFK,151,1,765,Correct,1,819
1,ZNZNZ,152,1,814,Correct,1,668
1,KCKPD,235,2,876,Correct,1,704
1,ZKZFZ,222,2,627,Correct,1,810
1,NRNZN,162,2,601,Correct,1,706
1,KXKRK,163,2,488,Correct,1,846
1,YPYZY,164,2,541,Correct,1,843
1,FKDKF,223,1,876,Correct,1,926
1,RPRPR,113,1,772,Correct,1,776
1,VRVKV,161,2,653,Correct,1,847
1,RFRPR,162,2,988,Correct,1,738
1,KVKVK,151,1,783,Correct,1,817
1,YKYVY,161,2,620,Correct,1,750
1,VDVDV,8,[1][3],[741][933],Correct,1,859
1,DVZVZ,221,1,889,Correct,1,748
1,YFYFY,113,1,723,Correct,1,725
1,ZYZYZ,152,1,548,Correct,1,697
1,VLVXV,161,2,727,Correct,1,768
1,DPXZX,231,2,589,Correct,1,949
1,RYRYR,113,1,654,Correct,1,831
1,PDPNP,91,[1][3],[850][1570],Incorrect,1,708
1,KXKXK,13,1,995,Correct,1,910
1,ZYZYZ,152,1,613,Correct,1,767
1,VKVKV,153,1,1016,Correct,1,830
1,YZYZY,154,1,984,Correct,1,757
1,NLNZN,161,2,724,Correct,1,934
1,ZNDYZ,233,2,863,Correct,1,879
1,PCPXP,222,2,871,Correct,1,721
1,ZVZFZ,162,2,687,Correct,1,790
1,RCRZR,163,2,606,Correct,1,755
1,LRLRL,151,2,765,Incorrect,1,862
1,ZDZDZ,10,[1][3],[894][1086],Correct,1,790
1,RNRZR,14,2,687,Correct,1,730
1,CXCYC,162,2,552,Correct,1,881
1,RCRLR,163,2,528,Correct,1,678
1,FRFRF,151,1,846,Correct,1,900
1,XFXFX,152,1,763,Correct,1,670
1,RPRLR,161,2,729,Correct,1,717
1,YXYRY,162,2,628,Correct,1,795
1,FYFYF,151,1,703,Correct,1,938
1,YZYVY,161,2,737,Correct,1,709
1,YKYKY,151,1,890,Correct,1,911
1,XRXRX,152,1,548,Correct,1,673
1,XVXZX,161,2,736,Correct,1,946
1,PDPDP,11,[1][3],[638][878],Correct,1,916
1,ZFZFZ,13,1,646,Correct,1,800
1,PXPXP,152,1,715,Correct,1,706
1,LYLYL,153,1,775,Correct,1,807
1,NKNKD,225,1,613,Correct,1,692
1,ZNZNZ,113,1,562,Correct,1,891
1,PYPZP,161,2,818,Correct,1,851
1,XPXPX,151,1,536,Correct,1,901
1,VLVLV,152,1,507,Correct,1,835
1,PKPXP,161,2,708,Correct,1,725
1,FZFZF,151,1,1021,Correct,1,910
1,LDLDL,12,[1][3],[688][928],Correct,1,787
2,U,5,3,2326,New Target,2,937
2,ZVZFZ,161,2,902,Correct,2,736
2,FZFZF,151,1,701,Correct,2,716
2,RFRFR,152,1,769,Correct,2,652
2,NZNKN,161,2,713,Correct,2,837
2,FZFNF,162,2,813,Correct,2,659
2,RXRXR,151,1,749,Correct,2,668
2,KRKYK,161,2,542,Correct,2,656
2,NZNPN,162,2,707,Correct,2,814
2,XPXPX,151,1,656,Correct,2,787
2,CUCUC,7,[1][3],[785][993],Correct,2,776
2,RFRFR,13,1,631,Correct,2,919
2,VYVXV,161,2,570,Correct,2,749
2,VDVDV,191,1,737,Correct,2,678
2,ZKZRZ,15,2,633,Correct,2,901
2,XCXCX,151,1,751,Correct,2,661
2,CNCUC,82,[2],[840],Incorrect,2,807
2,RCRCR,13,1,658,Correct,2,777
2,ZPZXZ,161,2,644,Correct,2,699
2,FKFYF,162,2,736,Correct,2,887
2,ZFZYZ,163,2,710,Correct,2,928
2,PXPXP,151,1,674,Correct,2,771
2,URCKC,231,2,558,Correct,2,892
2,PCPCP,113,1,615,Correct,2,674
2,XNXNX,152,1,762,Correct,2,764
2,RCRZR,161,2,679,Correct,2,805
2,XVXVX,151,1,606,Correct,2,948
2,NRNRN,152,2,530,Incorrect,2,727
2,FPFPF,225,1,672,Correct,2,946
2,XVXFX,222,2,738,Correct,2,749
2,PRPRP,151,1,784,Correct,2,721
2,FYFCF,161,2,538,Correct,2,751
2,XUXFX,91,[1][3],[829][1117],Incorrect,2,891
2,CYCVC,14,2,1535,Correct,2,772
2,VDVKV,172,2,894,Correct,2,812
2,YCYCY,15,1,691,Correct,2,847
2,NKNLN,161,2,623,Correct,2,828
2,XPUKX,233,2,724,Correct,2,697
2,ZPZPZ,113,1,709,Correct,2,673
2,KRKRK,152,1,788,Correct,2,771
2,XKXKX,153,1,601,Correct,2,914
2,YUYVY,101,[2],[1433],Incorrect,2,930
2,XKXFU,235,2,957,Correct,2,692
2,NFNFN,113,1,733,Correct,2,861
2,KDKDK,193,1,662,Correct,2,890
2,XYXKX,16,2,723,Correct,2,857
2,YZUZY,223,2,1036,Incorrect,2,895
2,KFKVK,222,2,972,Correct,2,785
2,LYLYL,151,1,665,Correct,2,912
2,CXCDC,184,2,1061,Incorrect,2,874
2,XZXNX,16,2,594,Correct,2,907
2,PXPXP,151,1,790,Correct,2,721
2,ZRZYZ,161,2,589,Correct,2,899
2,PUPYP,111,[2],[811],Incorrect,2,724
2,RNRNR,14,1,788,Correct,2,879
2,KDKDK,195,1,606,Correct,2,766
2,KNKNK,15,1,621,Correct,2,832
