Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,926
1,DLDUD,16,,,False,0,716
1,PDPGP,16,,,False,0,780
1,MWMWM,15,,,False,0,654
1,FTFTF,15,,,False,0,843
1,AXAMA,16,,,False,0,700
1,RYRGR,16,,,False,0,734
1,DODOD,15,12,1231,False,0,948
1,QTQAQ,16,,,False,0,664
1,YEYEY,15,,,False,0,756
2,GYGDG,16,2,1479,Correct,0,703
2,SWSWS,15,1,1118,Correct,0,894
2,HLHUH,16,2,1083,Correct,0,705
2,DEDED,15,1,1103,Correct,0,938
2,ZPZOZ,16,2,860,Correct,0,827
2,ATATA,15,1,1197,Correct,0,786
2,QOQOQ,15,1,1102,Correct,0,898
2,FPFGF,16,2,1098,Correct,0,740
2,TRTET,16,2,1161,Correct,0,697
2,DQDQD,15,,,False,0,720
4,PLPLP,15,1,903,Correct,0,919
4,ATAIA,16,2,981,Correct,0,875
4,SKSGS,16,2,1139,Correct,0,801
4,ZYZYZ,15,1,775,Correct,0,924
4,QSQSQ,15,1,849,Correct,0,723
4,TZTDT,16,2,1013,Correct,0,828
4,JYJGJ,16,2,900,Correct,0,777
4,DYDYD,15,1,884,Correct,0,845
4,LTLCL,16,2,806,Correct,0,811
4,FQFEF,16,2,919,Correct,0,894
AT Practice
1,TKTKT,15,,,False,0,821
1,SLSUS,16,2,910,Correct,0,763
1,VZVGV,7,2,1499,False,0,909
1,XWXZX,7,,,False,0,819
1,ATATA,15,1,1039,Correct,0,743
1,HXZMH,16,3,1100,False,0,753
1,TZTZT,7,3,1081,Correct,0,750
1,UOUOU,15,3,985,False,0,697
1,ZTWAW,16,2,1064,Correct,0,812
1,RZRER,7,3,1382,Correct,0,693
2,JYJDJ,16,2,1078,Correct,0,918
2,DWDWD,15,1,1313,Correct,0,786
2,GNGNG,7,3,1166,Correct,0,879
2,NEZEZ,16,1,1042,Correct,0,870
2,RNROR,7,3,870,Correct,0,682
2,QTQNQ,7,3,986,Correct,0,774
2,HOHON,15,1,798,Correct,0,690
2,KPKGK,16,3,990,False,0,949
2,DRDED,16,1,1179,False,0,851
2,LNLNL,7,3,964,Correct,0,746
4,GLGLG,15,1,950,Correct,0,845
4,DTDID,16,2,1495,Correct,0,715
4,SMSGS,16,2,1511,Correct,0,691
4,ZFZYZ,7,2,1063,False,0,664
4,TSTFT,7,,,False,0,831
4,OFOFO,7,2,1545,False,0,807
4,WYFGW,16,2,1510,Correct,0,684
4,WYWYW,15,1,979,Correct,0,738
4,MFMCM,7,2,1324,False,0,930
4,HQHEH,16,1,993,False,0,694
1,TKTKT,15,2,1482,False,0,728
1,SLSUS,16,3,823,False,0,749
1,VZVGV,7,2,732,False,0,799
1,XWXZX,7,3,986,Correct,0,667
1,ATATA,15,2,854,False,0,911
1,HXZMH,16,2,1315,Correct,0,944
1,TZTZT,7,,,False,0,847
1,UOUOU,15,1,884,Correct,0,940
1,ZTWAW,16,2,944,Correct,0,888
1,RZRER,7,2,910,False,0,871
2,JYJDJ,16,1,854,False,0,776
2,DWDWD,15,1,1159,Correct,0,818
2,GNGNG,7,3,1071,Correct,0,846
2,NEZEZ,16,1,1018,Correct,0,773
2,RNROR,7,3,873,Correct,0,775
2,QTQNQ,7,3,858,Correct,0,869
2,HOHON,15,1,921,Correct,0,911
2,KPKGK,16,2,1414,Correct,0,897
2,DRDED,16,1,816,False,0,897
2,LNLNL,7,20,962,False,0,919
4,GLGLG,15,1,684,Correct,0,753
4,DTDID,16,2,1047,Correct,0,812
4,SMSGS,16,2,1352,Correct,0,702
4,ZFZYZ,7,2,1258,False,0,770
4,TSTFT,7,2,1470,False,0,772
4,OFOFO,7,1,874,False,0,755
4,WYFGW,16,,,False,0,865
4,WYWYW,15,1,1125,Correct,0,691
4,MFMCM,7,2,1449,False,0,913
4,HQHEH,16,,,False,0,823
1,TKTKT,15,1,998,Correct,0,736
1,SLSUS,16,2,1138,Correct,0,841
1,VZVGV,7,3,1303,Correct,0,926
1,XWXZX,7,2,1386,False,0,757
1,ATATA,15,1,701,Correct,0,657
1,HXZMH,16,3,1381,False,0,841
1,TZTZT,7,3,947,Correct,0,828
1,UOUOU,15,1,803,Correct,0,782
1,ZTWAW,16,2,956,Correct,0,780
1,RZRER,7,3,1053,Correct,0,737
Trials
1,D,5,3,1072,New Target,1,884
1,ZNZYZ,161,2,1468,Correct,1,758
1,FZFZF,151,1,1560,Correct,1,937
1,RKRKR,152,1,958,Correct,1,910
1,RXRNR,161,2,1198,Correct,1,934
1,CNCFC,162,2,1511,Correct,1,848
1,PDPDP,7,3,836,Correct,1,883
1,CPCFC,14,2,1566,Correct,1,796
1,VLVNV,162,2,1017,Correct,1,822
1,KFKFK,151,1,877,Correct,1,723
1,ZNZNZ,152,1,1181,Correct,1,924
1,KCKPD,235,2,1113,Correct,1,809
1,ZKZFZ,222,2,1001,Correct,1,655
1,NRNZN,162,2,1415,Correct,1,904
1,KXKRK,163,2,1125,Correct,1,890
1,YPYZY,164,2,1162,Correct,1,651
1,FKDKF,223,2,1007,Incorrect,1,948
1,RPRPR,113,1,795,Correct,1,919
1,VRVKV,161,2,1091,Correct,1,839
1,RFRPR,162,2,1293,Correct,1,941
1,KVKVK,151,1,985,Correct,1,710
1,YKYVY,161,2,1015,Correct,1,867
1,VDVDV,8,3,888,Correct,1,818
1,DVZVZ,221,1,910,Correct,1,831
1,YFYFY,113,1,803,Correct,1,830
1,ZYZYZ,152,1,721,Correct,1,725
1,VLVXV,161,2,777,Correct,1,890
1,DPXZX,231,1,1157,Incorrect,1,783
1,RYRYR,113,1,1072,Correct,1,859
1,PDPNP,91,3,859,Correct,1,894
1,KXKXK,13,1,882,Correct,1,781
1,ZYZYZ,152,1,681,Correct,1,742
1,VKVKV,153,1,845,Correct,1,662
1,YZYZY,154,1,897,Correct,1,863
1,NLNZN,161,2,891,Correct,1,730
1,ZNDYZ,233,2,1228,Correct,1,911
1,PCPXP,222,2,833,Correct,1,888
1,ZVZFZ,162,2,745,Correct,1,770
1,RCRZR,163,2,756,Correct,1,810
1,LRLRL,151,1,789,Correct,1,746
1,ZDZDZ,10,3,744,Correct,1,936
1,RNRZR,14,2,910,Correct,1,939
1,CXCYC,162,2,824,Correct,1,658
1,RCRLR,163,2,749,Correct,1,907
1,FRFRF,151,2,885,Incorrect,1,925
1,XFXFX,152,1,665,Correct,1,798
1,RPRLR,161,2,870,Correct,1,804
1,YXYRY,162,2,734,Correct,1,764
1,FYFYF,151,2,1035,Incorrect,1,780
1,YZYVY,161,2,679,Correct,1,890
1,YKYKY,151,1,776,Correct,1,738
1,XRXRX,152,1,717,Correct,1,945
1,XVXZX,161,2,782,Correct,1,697
1,PDPDP,11,3,758,Correct,1,873
1,ZFZFZ,13,1,686,Correct,1,832
1,PXPXP,152,1,971,Correct,1,837
1,LYLYL,153,1,659,Correct,1,729
1,NKNKD,225,1,659,Correct,1,733
1,ZNZNZ,113,1,643,Correct,1,799
1,PYPZP,161,2,721,Correct,1,877
1,XPXPX,151,1,607,Correct,1,841
1,VLVLV,152,1,586,Correct,1,904
1,PKPXP,161,2,793,Correct,1,861
1,FZFZF,151,1,659,Correct,1,769
1,LDLDL,12,3,530,Correct,1,801
2,U,5,3,1071,New Target,2,931
2,ZVZFZ,161,2,748,Correct,2,891
2,FZFZF,151,1,713,Correct,2,799
2,RFRFR,152,1,761,Correct,2,660
2,NZNKN,161,2,888,Correct,2,797
2,FZFNF,162,2,1313,Correct,2,712
2,RXRXR,151,1,633,Correct,2,670
2,KRKYK,161,2,821,Correct,2,916
2,NZNPN,162,2,825,Correct,2,908
2,XPXPX,151,1,607,Correct,2,828
2,CUCUC,7,3,835,Correct,2,684
2,RFRFR,13,1,690,Correct,2,657
2,VYVXV,161,2,890,Correct,2,950
2,VDVDV,191,1,543,Correct,2,818
2,ZKZRZ,15,2,1027,Correct,2,797
2,XCXCX,151,1,690,Correct,2,886
2,CNCUC,82,3,649,Correct,2,873
2,RCRCR,13,1,600,Correct,2,771
2,ZPZXZ,161,2,758,Correct,2,859
2,FKFYF,162,1,737,Incorrect,2,836
2,ZFZYZ,163,2,921,Correct,2,836
2,PXPXP,151,1,993,Correct,2,730
2,URCKC,231,2,851,Correct,2,831
2,PCPCP,113,1,701,Correct,2,709
2,XNXNX,152,1,741,Correct,2,915
2,RCRZR,161,2,972,Correct,2,901
2,XVXVX,151,1,810,Correct,2,872
2,NRNRN,152,1,758,Correct,2,702
2,FPFPF,225,1,869,Correct,2,760
2,XVXFX,222,2,801,Correct,2,683
2,PRPRP,151,1,838,Correct,2,934
2,FYFCF,161,2,795,Correct,2,905
2,XUXFX,91,2,806,Incorrect,2,772
2,CYCVC,14,,,Incorrect,2,783
