Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,820
1,DLDUD,16,,,False,0,931
1,PDPGP,16,2,1365,Correct,0,875
1,MWMWM,15,1,1551,Correct,0,922
1,FTFTF,15,2,1493,False,0,891
1,AXAMA,16,,,False,0,920
1,RYRGR,16,,,False,0,800
1,DODOD,15,1,1051,Correct,0,724
1,QTQAQ,16,,,False,0,679
1,YEYEY,15,1,965,Correct,0,784
2,GYGDG,16,2,896,Correct,0,875
2,SWSWS,15,1,640,Correct,0,869
2,HLHUH,16,2,922,Correct,0,838
2,DEDED,15,1,1038,Correct,0,802
2,ZPZOZ,16,2,808,Correct,0,792
2,ATATA,15,1,616,Correct,0,927
2,QOQOQ,15,2,896,False,0,909
2,FPFGF,16,2,831,Correct,0,841
2,TRTET,16,2,643,Correct,0,786
2,DQDQD,15,1,716,Correct,0,901
AT Practice
1,TKTKT,15,1,1249,Correct,0,868
1,SLSUS,16,,,False,0,672
1,VZVGV,7,2,1008,False,0,803
1,XWXZX,7,3,1133,Correct,0,850
1,ATATA,15,1,839,Correct,0,821
1,HXZMH,16,1,1047,False,0,862
1,TZTZT,7,3,845,Correct,0,938
1,UOUOU,15,1,839,Correct,0,654
1,ZTWAW,16,2,826,Correct,0,874
1,RZRER,7,3,796,Correct,0,887
2,JYJDJ,16,1,1220,False,0,678
2,DWDWD,15,1,840,Correct,0,835
2,GNGNG,7,3,606,Correct,0,778
2,NEZEZ,16,1,848,Correct,0,708
2,RNROR,7,1,996,False,0,817
2,QTQNQ,7,2,1041,False,0,832
2,HOHON,15,1,1232,Correct,0,764
2,KPKGK,16,1,1223,False,0,742
2,DRDED,16,2,826,Correct,0,903
2,LNLNL,7,3,748,Correct,0,896
4,GLGLG,15,1,860,Correct,0,882
4,DTDID,16,2,896,Correct,0,801
4,SMSGS,16,2,927,Correct,0,915
4,ZFZYZ,7,3,829,Correct,0,834
4,TSTFT,7,2,900,False,0,716
4,OFOFO,7,3,664,Correct,0,772
4,WYFGW,16,2,882,Correct,0,799
4,WYWYW,15,1,1204,Correct,0,813
4,MFMCM,7,3,1146,Correct,0,861
4,HQHEH,16,2,1055,Correct,0,892
Trials
1,D,5,3,2612,New Target,1,718
1,ZNZYZ,161,,,Incorrect,1,674
1,FZFZF,151,,,Incorrect,1,781
1,RKRKR,152,1,1023,Correct,1,783
1,RXRNR,161,2,954,Correct,1,944
1,CNCFC,162,2,1182,Correct,1,787
1,PDPDP,7,16,1045,Incorrect,1,848
1,CPCFC,14,2,1317,Correct,1,837
1,VLVNV,162,1,1034,Incorrect,1,827
1,KFKFK,151,2,1278,Incorrect,1,717
1,ZNZNZ,152,2,1417,Incorrect,1,679
1,KCKPD,235,2,972,Correct,1,748
1,ZKZFZ,222,,,Incorrect,1,742
1,NRNZN,162,2,1069,Correct,1,767
1,KXKRK,163,2,1536,Correct,1,730
1,YPYZY,164,2,1377,Correct,1,655
1,FKDKF,223,16,981,Incorrect,1,818
1,RPRPR,113,1,834,Correct,1,930
1,VRVKV,161,2,862,Correct,1,688
1,RFRPR,162,2,1122,Correct,1,910
1,KVKVK,151,1,1290,Correct,1,899
1,YKYVY,161,2,981,Correct,1,658
1,VDVDV,8,16,1015,Incorrect,1,844
1,DVZVZ,221,1,934,Correct,1,875
1,YFYFY,113,1,1450,Correct,1,819
1,ZYZYZ,152,1,783,Correct,1,666
1,VLVXV,161,2,1384,Correct,1,851
1,DPXZX,231,2,1351,Correct,1,949
1,RYRYR,113,1,911,Correct,1,671
1,PDPNP,91,16,1399,Incorrect,1,743
1,KXKXK,13,,,Incorrect,1,906
1,ZYZYZ,152,1,752,Correct,1,814
1,VKVKV,153,1,782,Correct,1,793
1,YZYZY,154,1,636,Correct,1,701
1,NLNZN,161,2,820,Correct,1,931
1,ZNDYZ,233,16,1198,Incorrect,1,726
1,PCPXP,222,2,1253,Correct,1,876
1,ZVZFZ,162,2,1163,Correct,1,903
1,RCRZR,163,2,1593,Correct,1,727
1,LRLRL,151,1,930,Correct,1,835
1,ZDZDZ,10,1,677,Incorrect,1,820
1,RNRZR,14,2,1249,Correct,1,847
1,CXCYC,162,2,1131,Correct,1,757
1,RCRLR,163,2,1255,Correct,1,812
1,FRFRF,151,1,1210,Correct,1,919
1,XFXFX,152,1,1258,Correct,1,689
1,RPRLR,161,2,1267,Correct,1,791
1,YXYRY,162,2,1173,Correct,1,943
1,FYFYF,151,1,740,Correct,1,793
1,YZYVY,161,2,779,Correct,1,946
1,YKYKY,151,1,757,Correct,1,789
1,XRXRX,152,1,758,Correct,1,678
1,XVXZX,161,2,690,Correct,1,745
1,PDPDP,11,1,796,Incorrect,1,939
1,ZFZFZ,13,1,1050,Correct,1,652
1,PXPXP,152,1,1335,Correct,1,894
1,LYLYL,153,1,846,Correct,1,793
1,NKNKD,225,1,822,Correct,1,784
1,ZNZNZ,113,1,815,Correct,1,835
1,PYPZP,161,2,887,Correct,1,828
1,XPXPX,151,1,815,Correct,1,704
1,VLVLV,152,1,842,Correct,1,757
1,PKPXP,161,2,938,Correct,1,931
1,FZFZF,151,1,590,Correct,1,766
1,LDLDL,12,16,944,Incorrect,1,805
2,U,5,3,538,New Target,2,677
2,ZVZFZ,161,,,Incorrect,2,853
2,FZFZF,151,1,768,Correct,2,906
2,RFRFR,152,1,975,Correct,2,713
2,NZNKN,161,2,1015,Correct,2,693
2,FZFNF,162,2,1064,Correct,2,754
2,RXRXR,151,1,1076,Correct,2,895
2,KRKYK,161,2,1507,Correct,2,837
2,NZNPN,162,2,1346,Correct,2,741
2,XPXPX,151,1,637,Correct,2,668
2,CUCUC,7,10,1145,Incorrect,2,902
2,RFRFR,13,1,1367,Correct,2,755
2,VYVXV,161,2,829,Correct,2,762
2,VDVDV,191,1,1475,Correct,2,855
2,ZKZRZ,15,2,995,Correct,2,757
2,XCXCX,151,1,794,Correct,2,682
2,CNCUC,82,10,864,Incorrect,2,932
2,RCRCR,13,1,755,Correct,2,944
2,ZPZXZ,161,2,661,Correct,2,654
2,FKFYF,162,2,866,Correct,2,801
2,ZFZYZ,163,2,812,Correct,2,721
2,PXPXP,151,1,707,Correct,2,825
2,URCKC,231,2,911,Correct,2,875
2,PCPCP,113,1,658,Correct,2,857
2,XNXNX,152,1,806,Correct,2,671
2,RCRZR,161,2,753,Correct,2,779
2,XVXVX,151,1,680,Correct,2,928
2,NRNRN,152,2,568,Incorrect,2,726
2,FPFPF,225,1,733,Correct,2,684
2,XVXFX,222,2,579,Correct,2,931
2,PRPRP,151,2,886,Incorrect,2,737
2,FYFCF,161,2,846,Correct,2,751
2,XUXFX,91,10,1064,Incorrect,2,793
2,CYCVC,14,2,724,Correct,2,861
2,VDVKV,172,2,1106,Correct,2,795
2,YCYCY,15,1,717,Correct,2,890
2,NKNLN,161,2,671,Correct,2,669
2,XPUKX,233,10,799,Incorrect,2,773
2,ZPZPZ,113,1,642,Correct,2,913
2,KRKRK,152,1,1090,Correct,2,813
2,XKXKX,153,1,881,Correct,2,760
2,YUYVY,101,10,900,Incorrect,2,866
2,XKXFU,235,2,809,Correct,2,860
2,NFNFN,113,1,1295,Correct,2,914
2,KDKDK,193,1,722,Correct,2,947
2,XYXKX,16,2,735,Correct,2,761
2,YZUZY,223,10,875,Incorrect,2,772
2,KFKVK,222,2,1102,Correct,2,896
2,LYLYL,151,1,796,Correct,2,776
2,CXCDC,184,2,872,Incorrect,2,772
2,XZXNX,16,1,1515,Incorrect,2,878
2,PXPXP,151,1,1447,Correct,2,887
2,ZRZYZ,161,2,849,Correct,2,936
2,PUPYP,111,10,869,Incorrect,2,877
2,RNRNR,14,1,781,Correct,2,787
2,KDKDK,195,1,584,Correct,2,825
2,KNKNK,15,1,919,Correct,2,835
2,PRPKP,161,2,649,Correct,2,844
2,UNYNY,221,1,922,Correct,2,753
2,NYNYN,113,1,988,Correct,2,884
2,YXYXY,152,1,968,Incorrect,2,941
2,RDRDR,196,1,695,Correct,2,899
2,FCFCF,15,1,487,Correct,2,763
2,ZKZKZ,152,1,591,Correct,2,731
2,ZUZUZ,12,1,402,Incorrect,2,728
3,E,5,3,2966,New Target,3,717
3,YZYZY,151,1,1145,Correct,3,726
3,VFVNV,161,2,1100,Correct,3,668
3,KYKYK,151,1,1038,Correct,3,650
3,NKNKN,152,1,915,Correct,3,664
3,XVXNX,161,2,957,Correct,3,701
3,RERFR,71,6,811,Incorrect,3,906
3,XNXNX,13,1,1000,Correct,3,777
3,NXNXN,152,1,740,Correct,3,892
3,ZLZNZ,161,2,908,Correct,3,918
3,CUCNC,171,6,813,Incorrect,3,886
3,FYFRF,16,2,1516,Correct,3,650
3,ZLZLZ,151,1,823,Correct,3,907
3,YZYZY,152,1,1329,Correct,3,794
