Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1032,Correct,0,787
1,DLDUD,16,2,913,Correct,0,894
1,PDPGP,16,2,888,Correct,0,659
1,MWMWM,15,1,902,Correct,0,934
1,FTFTF,15,1,929,Correct,0,942
1,AXAMA,16,2,825,Correct,0,664
1,RYRGR,16,2,832,Correct,0,719
1,DODOD,15,1,790,Correct,0,774
1,QTQAQ,16,2,877,Correct,0,714
1,YEYEY,15,1,829,Correct,0,904
2,GYGDG,16,,,False,0,779
2,SWSWS,15,1,1028,Correct,0,891
2,HLHUH,16,2,791,Correct,0,662
2,DEDED,15,1,727,Correct,0,917
2,ZPZOZ,16,2,766,Correct,0,819
2,ATATA,15,1,505,Correct,0,689
2,QOQOQ,15,1,670,Correct,0,694
2,FPFGF,16,2,771,Correct,0,932
2,TRTET,16,2,847,Correct,0,678
2,DQDQD,15,1,1206,Correct,0,747
DT Practice
1,TKTKT,15,,,False,0,946
1,SLSUS,16,2,1296,Correct,0,766
1,VZVGV,7,,,False,0,812
1,XWXZX,7,,,False,0,822
1,ATATA,15,1,1156,Correct,0,722
1,HXZMH,16,,,False,0,754
1,TZTZT,7,[2][3],[1321][1529],False,0,720
1,UOUOU,15,2,1298,False,0,943
1,ZTWAW,16,2,1380,Correct,0,775
1,RZRER,7,,,False,0,668
2,JYJDJ,16,1,1255,False,0,853
2,DWDWD,15,1,1512,Correct,0,885
2,GNGNG,7,,,False,0,823
2,NEZEZ,16,1,1473,Correct,0,889
2,RNROR,7,[2],[1132],False,0,690
2,QTQNQ,7,[2],[1310],False,0,854
2,HOHON,15,1,1476,Correct,0,712
2,KPKGK,16,2,1313,Correct,0,775
2,DRDED,16,2,1122,Correct,0,877
2,LNLNL,7,[1][3],[975][1151],Correct,0,810
4,GLGLG,15,1,776,Correct,0,706
4,DTDID,16,2,788,Correct,0,656
4,SMSGS,16,2,903,Correct,0,852
4,ZFZYZ,7,[2],[1381],False,0,658
4,TSTFT,7,[2][3],[1238][1510],Correct,0,760
4,OFOFO,7,[1][3],[1166][1390],Correct,0,910
4,WYFGW,16,2,1003,Correct,0,736
4,WYWYW,15,1,1023,Correct,0,658
4,MFMCM,7,[2],[1253],False,0,818
4,HQHEH,16,2,1033,Correct,0,833
