Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,682
1,DLDUD,16,2,1483,Correct,0,851
1,PDPGP,16,2,1129,Correct,0,716
1,MWMWM,15,1,1054,Correct,0,872
1,FTFTF,15,1,984,Correct,0,875
1,AXAMA,16,2,786,Correct,0,888
1,RYRGR,16,1,732,False,0,746
1,DODOD,15,1,993,Correct,0,910
1,QTQAQ,16,2,1076,Correct,0,724
1,YEYEY,15,1,735,Correct,0,746
2,GYGDG,16,2,1014,Correct,0,795
2,SWSWS,15,1,646,Correct,0,727
2,HLHUH,16,,,False,0,664
2,DEDED,15,1,657,Correct,0,792
2,ZPZOZ,16,2,750,Correct,0,727
2,ATATA,15,1,664,Correct,0,717
2,QOQOQ,15,1,689,Correct,0,803
2,FPFGF,16,2,496,Correct,0,653
2,TRTET,16,2,784,Correct,0,792
2,DQDQD,15,2,835,False,0,885
4,PLPLP,15,1,921,Correct,0,856
4,ATAIA,16,2,1049,Correct,0,799
4,SKSGS,16,2,671,Correct,0,915
4,ZYZYZ,15,1,744,Correct,0,803
4,QSQSQ,15,1,619,Correct,0,924
4,TZTDT,16,2,585,Correct,0,777
4,JYJGJ,16,2,963,Correct,0,924
4,DYDYD,15,1,719,Correct,0,886
4,LTLCL,16,2,553,Correct,0,775
4,FQFEF,16,2,920,Correct,0,801
DT Practice
1,TKTKT,15,1,1109,Correct,0,775
1,SLSUS,16,2,1166,Correct,0,831
1,VZVGV,7,,,False,0,882
1,XWXZX,7,[2],[1405],False,0,911
1,ATATA,15,1,1107,Correct,0,686
1,HXZMH,16,2,1371,Correct,0,905
1,TZTZT,7,[1][3],[1167][1391],Correct,0,836
1,UOUOU,15,2,1190,False,0,681
1,ZTWAW,16,2,1549,Correct,0,860
1,RZRER,7,,,False,0,866
2,JYJDJ,16,2,1271,Correct,0,770
2,DWDWD,15,1,993,Correct,0,675
2,GNGNG,7,[1][3],[1121][1409],Correct,0,713
2,NEZEZ,16,1,814,Correct,0,741
2,RNROR,7,[2][3],[1338][1594],Correct,0,673
2,QTQNQ,7,[2][3],[1004][1212],Correct,0,826
2,HOHON,15,1,883,Correct,0,917
2,KPKGK,16,2,1078,Correct,0,735
2,DRDED,16,2,1085,Correct,0,905
2,LNLNL,7,[1][3],[1139][1315],Correct,0,872
4,GLGLG,15,,,False,0,704
4,DTDID,16,,,False,0,680
4,SMSGS,16,2,824,Correct,0,932
4,ZFZYZ,7,[2],[1467],False,0,949
4,TSTFT,7,,,False,0,797
4,OFOFO,7,[1],[1372],False,0,722
4,WYFGW,16,,,False,0,888
4,WYWYW,15,1,1360,Correct,0,823
4,MFMCM,7,[2][3],[1285][1525],Correct,0,711
4,HQHEH,16,2,1412,Correct,0,929
1,TKTKT,15,,,False,0,713
1,SLSUS,16,2,1128,Correct,0,762
1,VZVGV,7,[2],[1402],False,0,875
1,XWXZX,7,[2][3],[1292][1452],Correct,0,905
1,ATATA,15,1,854,Correct,0,684
1,HXZMH,16,2,1375,Correct,0,680
1,TZTZT,7,[1][3],[1080][1208],Correct,0,724
1,UOUOU,15,1,1135,Correct,0,916
1,ZTWAW,16,2,1065,Correct,0,806
1,RZRER,7,,,False,0,910
2,JYJDJ,16,2,1116,Correct,0,734
2,DWDWD,15,1,968,Correct,0,756
2,GNGNG,7,[2][1],[1124][1460],False,0,913
2,NEZEZ,16,,,False,0,722
2,RNROR,7,,,False,0,842
2,QTQNQ,7,[2][3],[921][1177],Correct,0,914
2,HOHON,15,1,1075,Correct,0,681
2,KPKGK,16,2,1116,Correct,0,818
2,DRDED,16,2,932,Correct,0,830
2,LNLNL,7,[1][3],[954][1450],Correct,0,676
4,GLGLG,15,1,1307,Correct,0,899
4,DTDID,16,2,1050,Correct,0,927
4,SMSGS,16,2,1096,Correct,0,839
4,ZFZYZ,7,[2],[1591],False,0,789
4,TSTFT,7,[2],[1526],False,0,931
4,OFOFO,7,[1][3],[806][1270],Correct,0,817
4,WYFGW,16,2,1181,Correct,0,756
4,WYWYW,15,1,824,Correct,0,700
4,MFMCM,7,[2][3],[1279][1471],Correct,0,931
4,HQHEH,16,2,1395,Correct,0,669
Trials
1,D,5,3,1648,New Target,1,768
1,ZNZYZ,161,2,1075,Correct,1,702
1,FZFZF,151,,,Incorrect,1,878
1,RKRKR,152,1,1439,Correct,1,663
1,RXRNR,161,2,914,Correct,1,764
1,CNCFC,162,2,961,Correct,1,924
1,PDPDP,7,[1][3],[919][1143],Correct,1,673
1,CPCFC,14,2,1152,Correct,1,746
1,VLVNV,162,2,695,Correct,1,938
1,KFKFK,151,,,Incorrect,1,686
1,ZNZNZ,152,1,775,Correct,1,664
1,KCKPD,235,2,799,Correct,1,855
1,ZKZFZ,222,2,599,Correct,1,861
1,NRNZN,162,2,667,Correct,1,711
1,KXKRK,163,2,560,Correct,1,651
1,YPYZY,164,2,496,Correct,1,899
1,FKDKF,223,2,615,Incorrect,1,715
1,RPRPR,113,1,1541,Correct,1,897
1,VRVKV,161,2,943,Correct,1,896
1,RFRPR,162,,,Incorrect,1,785
1,KVKVK,151,2,1319,Incorrect,1,910
1,YKYVY,161,,,Incorrect,1,713
1,VDVDV,8,[1][3],[1304][1384],Correct,1,895
1,DVZVZ,221,1,1383,Correct,1,757
1,YFYFY,113,1,846,Correct,1,720
1,ZYZYZ,152,1,708,Correct,1,811
1,VLVXV,161,2,583,Correct,1,713
1,DPXZX,231,2,948,Correct,1,893
1,RYRYR,113,1,1050,Correct,1,790
1,PDPNP,91,[2][3],[1276][1547],Correct,1,700
1,KXKXK,13,1,1591,Correct,1,720
1,ZYZYZ,152,1,784,Correct,1,928
1,VKVKV,153,1,671,Correct,1,696
1,YZYZY,154,1,762,Correct,1,848
1,NLNZN,161,2,769,Correct,1,876
1,ZNDYZ,233,2,1007,Correct,1,672
1,PCPXP,222,,,Incorrect,1,790
1,ZVZFZ,162,2,736,Correct,1,762
1,RCRZR,163,2,618,Correct,1,836
1,LRLRL,151,1,697,Correct,1,876
1,ZDZDZ,10,[1][3],[1195][1339],Correct,1,662
1,RNRZR,14,2,744,Correct,1,858
1,CXCYC,162,2,1459,Correct,1,774
1,RCRLR,163,2,600,Correct,1,745
1,FRFRF,151,1,757,Correct,1,950
1,XFXFX,152,,,Incorrect,1,694
1,RPRLR,161,2,860,Correct,1,925
1,YXYRY,162,,,Incorrect,1,914
1,FYFYF,151,1,1263,Correct,1,652
1,YZYVY,161,2,1132,Correct,1,651
1,YKYKY,151,1,1028,Correct,1,877
1,XRXRX,152,1,731,Correct,1,671
1,XVXZX,161,2,898,Correct,1,875
1,PDPDP,11,[1][3],[977][1073],Correct,1,836
1,ZFZFZ,13,1,1178,Correct,1,849
1,PXPXP,152,1,872,Correct,1,734
1,LYLYL,153,1,731,Correct,1,855
1,NKNKD,225,1,766,Correct,1,658
1,ZNZNZ,113,1,637,Correct,1,714
1,PYPZP,161,2,811,Correct,1,827
1,XPXPX,151,1,686,Correct,1,923
1,VLVLV,152,1,690,Correct,1,678
1,PKPXP,161,2,1036,Correct,1,921
1,FZFZF,151,1,1063,Correct,1,902
1,LDLDL,12,[1][3],[1079][1399],Correct,1,736
2,U,5,3,1988,New Target,2,703
2,ZVZFZ,161,2,691,Correct,2,756
2,FZFZF,151,1,1135,Correct,2,882
2,RFRFR,152,1,1201,Correct,2,713
2,NZNKN,161,2,763,Correct,2,736
2,FZFNF,162,2,1100,Correct,2,664
2,RXRXR,151,2,685,Incorrect,2,688
2,KRKYK,161,2,932,Correct,2,948
2,NZNPN,162,2,840,Correct,2,829
2,XPXPX,151,1,667,Correct,2,864
2,CUCUC,7,[1][3],[1017][1113],Correct,2,865
2,RFRFR,13,1,988,Correct,2,804
2,VYVXV,161,2,874,Correct,2,864
2,VDVDV,191,1,1138,Correct,2,738
2,ZKZRZ,15,2,747,Correct,2,918
2,XCXCX,151,1,646,Correct,2,840
2,CNCUC,82,[2][3],[1369][1561],Correct,2,753
2,RCRCR,13,1,720,Correct,2,786
2,ZPZXZ,161,2,1017,Correct,2,947
2,FKFYF,162,2,639,Correct,2,687
2,ZFZYZ,163,2,586,Correct,2,915
2,PXPXP,151,2,527,Incorrect,2,676
2,URCKC,231,2,629,Correct,2,739
2,PCPCP,113,1,913,Correct,2,887
2,XNXNX,152,1,787,Correct,2,919
2,RCRZR,161,2,1293,Correct,2,781
2,XVXVX,151,1,1412,Correct,2,826
2,NRNRN,152,1,863,Correct,2,940
2,FPFPF,225,1,1115,Correct,2,677
2,XVXFX,222,2,717,Correct,2,706
2,PRPRP,151,1,1385,Correct,2,722
2,FYFCF,161,2,1070,Correct,2,778
2,XUXFX,91,[2],[1535],Incorrect,2,666
2,CYCVC,14,,,Incorrect,2,920
