Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,736
1,DLDUD,16,2,846,Correct,0,836
1,PDPGP,16,2,1368,Correct,0,669
1,MWMWM,15,1,1012,Correct,0,888
1,FTFTF,15,2,1350,False,0,720
1,AXAMA,16,1,716,False,0,682
1,RYRGR,16,1,946,False,0,930
1,DODOD,15,1,1205,Correct,0,754
1,QTQAQ,16,2,877,Correct,0,731
1,YEYEY,15,1,495,Correct,0,813
2,GYGDG,16,2,895,Correct,0,799
2,SWSWS,15,1,622,Correct,0,899
2,HLHUH,16,2,991,Correct,0,667
2,DEDED,15,1,474,Correct,0,861
2,ZPZOZ,16,2,705,Correct,0,686
2,ATATA,15,1,572,Correct,0,715
2,QOQOQ,15,1,641,Correct,0,663
2,FPFGF,16,2,738,Correct,0,708
2,TRTET,16,2,881,Correct,0,662
2,DQDQD,15,1,410,Correct,0,656
4,PLPLP,15,,,False,0,724
4,ATAIA,16,2,952,Correct,0,801
4,SKSGS,16,2,778,Correct,0,786
4,ZYZYZ,15,1,1012,Correct,0,695
4,QSQSQ,15,1,661,Correct,0,659
4,TZTDT,16,2,746,Correct,0,914
4,JYJGJ,16,2,672,Correct,0,888
4,DYDYD,15,2,913,False,0,653
4,LTLCL,16,2,719,Correct,0,894
4,FQFEF,16,2,707,Correct,0,916
AT Practice
1,TKTKT,15,,,False,0,773
1,SLSUS,16,2,1181,Correct,0,756
1,VZVGV,7,3,1069,Correct,0,932
1,XWXZX,7,2,780,False,0,761
1,ATATA,15,1,1262,Correct,0,881
1,HXZMH,16,3,562,False,0,764
1,TZTZT,7,2,813,False,0,934
1,UOUOU,15,1,1172,Correct,0,748
1,ZTWAW,16,3,608,False,0,671
1,RZRER,7,1,847,False,0,725
2,JYJDJ,16,1,1231,False,0,696
2,DWDWD,15,2,1042,False,0,833
2,GNGNG,7,1,996,False,0,684
2,NEZEZ,16,3,1456,False,0,892
2,RNROR,7,1,1198,False,0,784
2,QTQNQ,7,3,917,Correct,0,744
2,HOHON,15,2,708,False,0,877
2,KPKGK,16,3,1199,False,0,816
2,DRDED,16,2,1125,Correct,0,861
2,LNLNL,7,3,960,Correct,0,760
4,GLGLG,15,2,1367,False,0,793
4,DTDID,16,2,934,Correct,0,826
4,SMSGS,16,2,1395,Correct,0,895
4,ZFZYZ,7,,,False,0,940
4,TSTFT,7,3,1060,Correct,0,868
4,OFOFO,7,3,849,Correct,0,754
4,WYFGW,16,2,1225,Correct,0,662
4,WYWYW,15,3,1374,False,0,877
4,MFMCM,7,,,False,0,797
4,HQHEH,16,2,1169,Correct,0,844
1,TKTKT,15,2,1410,False,0,763
1,SLSUS,16,2,1157,Correct,0,650
1,VZVGV,7,3,1298,Correct,0,713
1,XWXZX,7,3,1202,Correct,0,838
1,ATATA,15,1,1347,Correct,0,914
1,HXZMH,16,3,1001,False,0,661
1,TZTZT,7,3,836,Correct,0,854
1,UOUOU,15,1,932,Correct,0,916
1,ZTWAW,16,3,1108,False,0,769
1,RZRER,7,2,1374,False,0,827
2,JYJDJ,16,,,False,0,851
2,DWDWD,15,1,1014,Correct,0,789
2,GNGNG,7,1,1255,False,0,670
2,NEZEZ,16,1,1534,Correct,0,769
2,RNROR,7,3,936,Correct,0,779
2,QTQNQ,7,3,797,Correct,0,686
2,HOHON,15,2,1075,False,0,822
2,KPKGK,16,2,990,Correct,0,823
2,DRDED,16,2,1084,Correct,0,822
2,LNLNL,7,3,819,Correct,0,891
4,GLGLG,15,1,1213,Correct,0,728
4,DTDID,16,2,966,Correct,0,707
4,SMSGS,16,2,1128,Correct,0,744
4,ZFZYZ,7,3,832,Correct,0,848
4,TSTFT,7,3,1003,Correct,0,674
4,OFOFO,7,3,715,Correct,0,698
4,WYFGW,16,2,865,Correct,0,925
4,WYWYW,15,1,815,Correct,0,884
4,MFMCM,7,1,967,False,0,764
4,HQHEH,16,2,759,Correct,0,768
Trials
1,D,5,3,40156,New Target,1,879
1,ZNZYZ,161,1,1320,Incorrect,1,882
1,FZFZF,151,1,1131,Correct,1,886
1,RKRKR,152,1,812,Correct,1,675
1,RXRNR,161,1,638,Incorrect,1,943
1,CNCFC,162,1,509,Incorrect,1,849
1,PDPDP,7,3,887,Correct,1,656
1,CPCFC,14,1,863,Incorrect,1,764
1,VLVNV,162,1,877,Incorrect,1,664
1,KFKFK,151,20,704,Incorrect,1,905
1,ZNZNZ,152,1,745,Correct,1,925
1,KCKPD,235,1,785,Incorrect,1,897
1,ZKZFZ,222,1,911,Incorrect,1,728
1,NRNZN,162,1,816,Incorrect,1,913
1,KXKRK,163,1,1078,Incorrect,1,839
1,YPYZY,164,1,642,Incorrect,1,909
1,FKDKF,223,1,1023,Correct,1,864
1,RPRPR,113,20,722,Incorrect,1,792
1,VRVKV,161,1,1068,Incorrect,1,838
1,RFRPR,162,1,702,Incorrect,1,766
1,KVKVK,151,1,604,Correct,1,747
1,YKYVY,161,1,754,Incorrect,1,673
1,VDVDV,8,3,781,Correct,1,816
1,DVZVZ,221,20,1155,Incorrect,1,920
1,YFYFY,113,20,896,Incorrect,1,748
1,ZYZYZ,152,20,833,Incorrect,1,948
1,VLVXV,161,1,780,Incorrect,1,683
1,DPXZX,231,1,743,Incorrect,1,737
1,RYRYR,113,1,702,Correct,1,947
1,PDPNP,91,3,985,Correct,1,848
1,KXKXK,13,20,1353,Incorrect,1,914
1,ZYZYZ,152,20,791,Incorrect,1,916
1,VKVKV,153,20,710,Incorrect,1,659
1,YZYZY,154,20,740,Incorrect,1,768
1,NLNZN,161,1,831,Incorrect,1,814
1,ZNDYZ,233,1,1079,Incorrect,1,823
1,PCPXP,222,1,787,Incorrect,1,856
1,ZVZFZ,162,1,698,Incorrect,1,910
1,RCRZR,163,1,744,Incorrect,1,768
1,LRLRL,151,3,899,Incorrect,1,837
1,ZDZDZ,10,3,871,Correct,1,911
1,RNRZR,14,1,936,Incorrect,1,850
1,CXCYC,162,,,Incorrect,1,696
1,RCRLR,163,1,609,Incorrect,1,694
1,FRFRF,151,20,630,Incorrect,1,677
1,XFXFX,152,20,859,Incorrect,1,685
1,RPRLR,161,1,701,Incorrect,1,911
1,YXYRY,162,1,793,Incorrect,1,842
1,FYFYF,151,20,1076,Incorrect,1,876
1,YZYVY,161,1,1092,Incorrect,1,741
1,YKYKY,151,20,947,Incorrect,1,749
1,XRXRX,152,20,933,Incorrect,1,871
1,XVXZX,161,1,764,Incorrect,1,710
1,PDPDP,11,20,733,Incorrect,1,672
1,ZFZFZ,13,20,1447,Incorrect,1,872
1,PXPXP,152,20,870,Incorrect,1,799
1,LYLYL,153,20,1002,Incorrect,1,893
1,NKNKD,225,20,973,Incorrect,1,798
1,ZNZNZ,113,20,1249,Incorrect,1,760
1,PYPZP,161,1,893,Incorrect,1,708
1,XPXPX,151,20,1393,Incorrect,1,889
1,VLVLV,152,20,1278,Incorrect,1,895
1,PKPXP,161,1,887,Incorrect,1,783
1,FZFZF,151,20,744,Incorrect,1,948
1,LDLDL,12,3,708,Correct,1,810
2,U,5,3,5135,New Target,2,816
2,ZVZFZ,161,1,1453,Incorrect,2,914
2,FZFZF,151,20,801,Incorrect,2,731
2,RFRFR,152,20,1028,Incorrect,2,950
2,NZNKN,161,1,1446,Incorrect,2,807
2,FZFNF,162,1,1191,Incorrect,2,842
2,RXRXR,151,20,912,Incorrect,2,799
2,KRKYK,161,1,1493,Incorrect,2,779
2,NZNPN,162,1,792,Incorrect,2,692
2,XPXPX,151,20,787,Incorrect,2,742
2,CUCUC,7,3,867,Correct,2,684
2,RFRFR,13,,,Incorrect,2,764
2,VYVXV,161,1,844,Incorrect,2,665
2,VDVDV,191,,,Incorrect,2,682
2,ZKZRZ,15,1,1476,Incorrect,2,805
2,XCXCX,151,20,1361,Incorrect,2,926
2,CNCUC,82,1,947,Incorrect,2,890
2,RCRCR,13,20,1076,Incorrect,2,865
2,ZPZXZ,161,1,889,Incorrect,2,666
2,FKFYF,162,1,1040,Incorrect,2,779
2,ZFZYZ,163,1,914,Incorrect,2,726
2,PXPXP,151,20,1143,Incorrect,2,760
2,URCKC,231,1,1206,Incorrect,2,823
2,PCPCP,113,20,860,Incorrect,2,850
2,XNXNX,152,20,1037,Incorrect,2,919
2,RCRZR,161,1,969,Incorrect,2,884
2,XVXVX,151,20,1177,Incorrect,2,846
2,NRNRN,152,20,1135,Incorrect,2,934
2,FPFPF,225,20,1073,Incorrect,2,697
2,XVXFX,222,1,1522,Incorrect,2,755
2,PRPRP,151,20,990,Incorrect,2,862
2,FYFCF,161,1,769,Incorrect,2,775
2,XUXFX,91,3,859,Correct,2,846
2,CYCVC,14,1,1159,Incorrect,2,698
2,VDVKV,172,1,964,Incorrect,2,764
