Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,949
1,DLDUD,16,,,False,0,716
1,PDPGP,16,,,False,0,881
1,MWMWM,15,,,False,0,922
1,FTFTF,15,1,831,Correct,0,895
1,AXAMA,16,2,838,Correct,0,700
1,RYRGR,16,2,854,Correct,0,920
1,DODOD,15,1,718,Correct,0,653
1,QTQAQ,16,2,917,Correct,0,885
1,YEYEY,15,1,743,Correct,0,779
2,GYGDG,16,2,833,Correct,0,776
2,SWSWS,15,1,635,Correct,0,658
2,HLHUH,16,2,648,Correct,0,797
2,DEDED,15,1,567,Correct,0,706
2,ZPZOZ,16,2,581,Correct,0,815
2,ATATA,15,1,593,Correct,0,890
2,QOQOQ,15,2,957,False,0,824
2,FPFGF,16,2,923,Correct,0,846
2,TRTET,16,2,793,Correct,0,919
2,DQDQD,15,2,751,False,0,816
4,PLPLP,15,1,920,Correct,0,681
4,ATAIA,16,2,687,Correct,0,675
4,SKSGS,16,2,730,Correct,0,742
4,ZYZYZ,15,1,888,Correct,0,663
4,QSQSQ,15,1,761,Correct,0,889
4,TZTDT,16,2,800,Correct,0,809
4,JYJGJ,16,2,770,Correct,0,891
4,DYDYD,15,1,658,Correct,0,948
4,LTLCL,16,2,921,Correct,0,928
4,FQFEF,16,2,874,Correct,0,851
1,SKSKS,15,1,885,Correct,0,677
1,DLDUD,16,2,841,Correct,0,762
1,PDPGP,16,2,1008,Correct,0,716
1,MWMWM,15,1,721,Correct,0,733
1,FTFTF,15,1,725,Correct,0,950
1,AXAMA,16,2,820,Correct,0,680
1,RYRGR,16,2,807,Correct,0,855
1,DODOD,15,1,634,Correct,0,875
1,QTQAQ,16,2,743,Correct,0,805
1,YEYEY,15,1,751,Correct,0,846
DT Practice
1,TKTKT,15,2,936,False,0,810
1,SLSUS,16,,,False,0,844
1,VZVGV,7,[2],[949],False,0,883
1,XWXZX,7,[2],[1232],False,0,686
1,ATATA,15,1,651,Correct,0,887
1,HXZMH,16,2,791,Correct,0,763
1,TZTZT,7,[1],[701],False,0,733
1,UOUOU,15,1,813,Correct,0,865
1,ZTWAW,16,2,724,Correct,0,734
1,RZRER,7,[2][3],[675][1091],Correct,0,656
2,JYJDJ,16,2,603,Correct,0,907
2,DWDWD,15,2,792,False,0,806
2,GNGNG,7,[1][3],[736][976],Correct,0,827
2,NEZEZ,16,1,1154,Correct,0,849
2,RNROR,7,[2][3],[670][974],Correct,0,826
2,QTQNQ,7,[2][3],[802][1074],Correct,0,864
2,HOHON,15,1,872,Correct,0,697
2,KPKGK,16,2,953,Correct,0,909
2,DRDED,16,2,827,Correct,0,759
2,LNLNL,7,[1][3],[688][1296],Correct,0,724
4,GLGLG,15,1,926,Correct,0,748
4,DTDID,16,2,833,Correct,0,808
4,SMSGS,16,2,815,Correct,0,925
4,ZFZYZ,7,[2],[845],False,0,662
4,TSTFT,7,[2],[1132],False,0,753
4,OFOFO,7,[1][3],[856][1480],Correct,0,660
4,WYFGW,16,2,1223,Correct,0,861
4,WYWYW,15,1,766,Correct,0,783
4,MFMCM,7,[2][3],[1063][1590],Correct,0,696
4,HQHEH,16,2,790,Correct,0,871
