Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,682,Correct,0,660
1,DLDUD,16,2,654,Correct,0,937
1,PDPGP,16,2,735,Correct,0,668
1,MWMWM,15,1,666,Correct,0,730
1,FTFTF,15,2,740,False,0,767
1,AXAMA,16,2,770,Correct,0,662
1,RYRGR,16,2,740,Correct,0,915
1,DODOD,15,1,609,Correct,0,684
1,QTQAQ,16,2,668,Correct,0,826
1,YEYEY,15,1,661,Correct,0,802
DT Practice
1,TKTKT,15,2,1038,False,0,805
1,SLSUS,16,2,1307,Correct,0,827
1,VZVGV,7,[1][2],[779][1499],False,0,807
1,XWXZX,7,[2][3],[1171][1507],Correct,0,817
1,ATATA,15,1,726,Correct,0,834
1,HXZMH,16,,,False,0,936
1,TZTZT,7,[1][3],[674][1057],Correct,0,838
1,UOUOU,15,1,856,Correct,0,688
1,ZTWAW,16,2,826,Correct,0,866
1,RZRER,7,[1][2],[975][1455],False,0,796
2,JYJDJ,16,2,858,Correct,0,684
2,DWDWD,15,2,926,False,0,766
2,GNGNG,7,[1],[1099],False,0,923
2,NEZEZ,16,2,937,False,0,909
2,RNROR,7,[1],[1108],False,0,684
2,QTQNQ,7,,,False,0,914
2,HOHON,15,1,1074,Correct,0,920
2,KPKGK,16,2,804,Correct,0,673
2,DRDED,16,2,794,Correct,0,717
2,LNLNL,7,[1][3],[722][1042],Correct,0,668
4,GLGLG,15,1,865,Correct,0,838
4,DTDID,16,2,773,Correct,0,760
4,SMSGS,16,2,930,Correct,0,691
4,ZFZYZ,7,[2][3],[1000][1255],Correct,0,837
4,TSTFT,7,[2][3],[847][1198],Correct,0,861
4,OFOFO,7,[1][3],[643][1042],Correct,0,725
4,WYFGW,16,2,807,Correct,0,851
4,WYWYW,15,1,747,Correct,0,891
4,MFMCM,7,[2][3],[929][1201],Correct,0,817
4,HQHEH,16,2,769,Correct,0,762
Trials
1,D,5,3,6719,New Target,1,825
1,ZNZYZ,161,2,687,Correct,1,872
1,FZFZF,151,1,766,Correct,1,721
1,RKRKR,152,1,680,Correct,1,821
1,RXRNR,161,2,613,Correct,1,865
1,CNCFC,162,2,615,Correct,1,733
1,PDPDP,7,[1],[538],Incorrect,1,914
1,CPCFC,14,2,697,Correct,1,772
1,VLVNV,162,2,727,Correct,1,764
1,KFKFK,151,1,743,Correct,1,724
1,ZNZNZ,152,1,687,Correct,1,888
1,KCKPD,235,2,681,Correct,1,847
1,ZKZFZ,222,2,1154,Correct,1,921
1,NRNZN,162,2,811,Correct,1,856
1,KXKRK,163,2,1107,Correct,1,920
1,YPYZY,164,2,721,Correct,1,781
1,FKDKF,223,2,1085,Incorrect,1,757
1,RPRPR,113,1,856,Correct,1,874
1,VRVKV,161,2,822,Correct,1,715
1,RFRPR,162,2,861,Correct,1,818
1,KVKVK,151,1,741,Correct,1,757
1,YKYVY,161,2,845,Correct,1,895
1,VDVDV,8,[1][3],[848][1280],Correct,1,909
1,DVZVZ,221,1,1343,Correct,1,934
1,YFYFY,113,1,900,Correct,1,754
1,ZYZYZ,152,1,691,Correct,1,937
1,VLVXV,161,2,768,Correct,1,847
1,DPXZX,231,2,967,Correct,1,860
1,RYRYR,113,1,714,Correct,1,791
1,PDPNP,91,[2][3],[871][1223],Correct,1,851
1,KXKXK,13,1,933,Correct,1,886
1,ZYZYZ,152,1,716,Correct,1,747
1,VKVKV,153,1,716,Correct,1,710
1,YZYZY,154,1,716,Correct,1,713
1,NLNZN,161,2,747,Correct,1,769
1,ZNDYZ,233,2,921,Correct,1,746
1,PCPXP,222,2,820,Correct,1,712
1,ZVZFZ,162,2,692,Correct,1,914
1,RCRZR,163,2,733,Correct,1,949
1,LRLRL,151,1,724,Correct,1,932
1,ZDZDZ,10,[1][3],[671][1055],Correct,1,840
1,RNRZR,14,2,711,Correct,1,852
1,CXCYC,162,2,697,Correct,1,710
1,RCRLR,163,2,635,Correct,1,702
1,FRFRF,151,1,719,Correct,1,724
1,XFXFX,152,1,686,Correct,1,724
1,RPRLR,161,2,680,Correct,1,922
1,YXYRY,162,2,696,Correct,1,734
1,FYFYF,151,1,616,Correct,1,722
1,YZYVY,161,2,533,Correct,1,842
1,YKYKY,151,1,556,Correct,1,702
1,XRXRX,152,1,612,Correct,1,656
1,XVXZX,161,2,557,Correct,1,671
1,PDPDP,11,[1][3],[501][789],Correct,1,761
1,ZFZFZ,13,1,684,Correct,1,949
1,PXPXP,152,1,788,Correct,1,926
1,LYLYL,153,1,573,Correct,1,818
1,NKNKD,225,1,643,Correct,1,717
1,ZNZNZ,113,1,584,Correct,1,663
1,PYPZP,161,2,717,Correct,1,691
1,XPXPX,151,1,557,Correct,1,695
1,VLVLV,152,1,641,Correct,1,811
1,PKPXP,161,2,993,Correct,1,761
1,FZFZF,151,1,696,Correct,1,697
1,LDLDL,12,[1][3],[582][854],Correct,1,729
2,U,5,3,5542,New Target,2,763
2,ZVZFZ,161,2,632,Correct,2,771
2,FZFZF,151,1,664,Correct,2,831
2,RFRFR,152,1,657,Correct,2,924
2,NZNKN,161,2,708,Correct,2,658
2,FZFNF,162,1,707,Incorrect,2,731
2,RXRXR,151,1,734,Correct,2,830
2,KRKYK,161,2,697,Correct,2,857
2,NZNPN,162,2,823,Correct,2,786
2,XPXPX,151,1,686,Correct,2,815
2,CUCUC,7,[1][3],[750][1006],Correct,2,712
2,RFRFR,13,1,727,Correct,2,889
2,VYVXV,161,2,724,Correct,2,767
2,VDVDV,191,1,677,Correct,2,700
2,ZKZRZ,15,2,756,Correct,2,768
2,XCXCX,151,1,561,Correct,2,712
2,CNCUC,82,[2][3],[1018][1258],Correct,2,840
2,RCRCR,13,1,690,Correct,2,859
2,ZPZXZ,161,2,735,Correct,2,733
2,FKFYF,162,2,843,Correct,2,789
2,ZFZYZ,163,2,756,Correct,2,766
2,PXPXP,151,1,607,Correct,2,759
2,URCKC,231,2,666,Correct,2,910
2,PCPCP,113,1,631,Correct,2,846
2,XNXNX,152,2,601,Incorrect,2,765
2,RCRZR,161,2,660,Correct,2,932
2,XVXVX,151,1,614,Correct,2,770
2,NRNRN,152,1,690,Correct,2,890
2,FPFPF,225,1,719,Correct,2,811
2,XVXFX,222,2,678,Correct,2,908
2,PRPRP,151,1,760,Correct,2,692
2,FYFCF,161,2,824,Correct,2,695
2,XUXFX,91,[1][2],[729][1561],Incorrect,2,837
2,CYCVC,14,2,1214,Correct,2,661
2,VDVKV,172,2,792,Correct,2,787
2,YCYCY,15,1,661,Correct,2,760
2,NKNLN,161,2,638,Correct,2,899
2,XPUKX,233,2,987,Correct,2,874
2,ZPZPZ,113,1,670,Correct,2,773
2,KRKRK,152,1,736,Correct,2,699
2,XKXKX,153,1,956,Correct,2,765
2,YUYVY,101,[2][3],[711][967],Correct,2,758
2,XKXFU,235,2,737,Correct,2,708
2,NFNFN,113,1,911,Correct,2,710
2,KDKDK,193,1,616,Correct,2,699
2,XYXKX,16,2,629,Correct,2,884
2,YZUZY,223,1,913,Correct,2,882
2,KFKVK,222,2,657,Correct,2,897
2,LYLYL,151,1,629,Correct,2,683
2,CXCDC,184,2,762,Incorrect,2,726
2,XZXNX,16,2,794,Correct,2,666
2,PXPXP,151,2,617,Incorrect,2,676
2,ZRZYZ,161,2,715,Correct,2,783
2,PUPYP,111,[2][3],[765][957],Correct,2,789
2,RNRNR,14,1,852,Correct,2,878
2,KDKDK,195,1,704,Correct,2,707
2,KNKNK,15,1,624,Correct,2,748
2,PRPKP,161,2,650,Correct,2,934
2,UNYNY,221,2,895,Incorrect,2,676
2,NYNYN,113,1,858,Correct,2,677
2,YXYXY,152,1,769,Incorrect,2,786
2,RDRDR,196,1,655,Correct,2,707
2,FCFCF,15,1,571,Correct,2,901
2,ZKZKZ,152,1,652,Correct,2,852
2,ZUZUZ,12,[1][3],[750][974],Correct,2,726
3,E,5,3,3785,New Target,3,651
3,YZYZY,151,1,665,Correct,3,777
3,VFVNV,161,2,584,Correct,3,845
3,KYKYK,151,2,661,Incorrect,3,893
3,NKNKN,152,1,744,Correct,3,701
3,XVXNX,161,2,605,Correct,3,943
3,RERFR,71,[2][3],[959][1391],Correct,3,760
3,XNXNX,13,1,619,Correct,3,864
3,NXNXN,152,1,665,Correct,3,916
3,ZLZNZ,161,2,726,Correct,3,861
3,CUCNC,171,2,757,Correct,3,736
3,FYFRF,16,2,819,Correct,3,746
3,ZLZLZ,151,1,700,Correct,3,790
3,YZYZY,152,1,726,Correct,3,926
3,CYCYC,153,1,741,Correct,3,692
3,VUVUV,192,1,688,Correct,3,847
3,PXPRP,16,2,704,Correct,3,699
3,YPYPY,151,1,641,Correct,3,681
3,CECEC,8,[1][3],[698][970],Correct,3,896
3,VNENV,223,2,748,Incorrect,3,720
