Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,700
1,DLDUD,16,,,False,0,917
1,PDPGP,16,1,993,False,0,806
1,MWMWM,15,1,1084,Correct,0,928
1,FTFTF,15,1,744,Correct,0,762
1,AXAMA,16,2,816,Correct,0,826
1,RYRGR,16,2,674,Correct,0,825
1,DODOD,15,1,776,Correct,0,902
1,QTQAQ,16,2,738,Correct,0,696
1,YEYEY,15,1,827,Correct,0,813
2,GYGDG,16,2,690,Correct,0,692
2,SWSWS,15,1,559,Correct,0,732
2,HLHUH,16,2,653,Correct,0,794
2,DEDED,15,1,539,Correct,0,757
2,ZPZOZ,16,2,541,Correct,0,793
2,ATATA,15,1,488,Correct,0,878
2,QOQOQ,15,1,692,Correct,0,891
2,FPFGF,16,2,596,Correct,0,681
2,TRTET,16,2,565,Correct,0,691
2,DQDQD,15,2,865,False,0,843
4,PLPLP,15,1,823,Correct,0,699
4,ATAIA,16,2,574,Correct,0,788
4,SKSGS,16,2,705,Correct,0,655
4,ZYZYZ,15,1,643,Correct,0,946
4,QSQSQ,15,1,801,Correct,0,709
4,TZTDT,16,2,602,Correct,0,745
4,JYJGJ,16,1,1075,False,0,891
4,DYDYD,15,1,697,Correct,0,947
4,LTLCL,16,2,1124,Correct,0,809
4,FQFEF,16,2,666,Correct,0,902
AT Practice
1,TKTKT,15,,,False,0,926
1,SLSUS,16,2,881,Correct,0,946
1,VZVGV,7,3,921,Correct,0,675
1,XWXZX,7,3,651,Correct,0,748
1,ATATA,15,1,1114,Correct,0,677
1,HXZMH,16,3,849,False,0,863
1,TZTZT,7,3,680,Correct,0,728
1,UOUOU,15,1,1043,Correct,0,827
1,ZTWAW,16,2,1123,Correct,0,716
1,RZRER,7,3,926,Correct,0,780
2,JYJDJ,16,2,1397,Correct,0,797
2,DWDWD,15,1,1149,Correct,0,944
2,GNGNG,7,3,691,Correct,0,929
2,NEZEZ,16,2,1297,False,0,733
2,RNROR,7,3,676,Correct,0,793
2,QTQNQ,7,3,810,Correct,0,912
2,HOHON,15,1,1069,Correct,0,829
2,KPKGK,16,2,975,Correct,0,654
2,DRDED,16,2,920,Correct,0,950
2,LNLNL,7,3,631,Correct,0,838
4,GLGLG,15,1,1119,Correct,0,782
4,DTDID,16,2,727,Correct,0,844
4,SMSGS,16,2,732,Correct,0,849
4,ZFZYZ,7,3,784,Correct,0,948
4,TSTFT,7,3,775,Correct,0,782
4,OFOFO,7,3,610,Correct,0,738
4,WYFGW,16,2,1266,Correct,0,692
4,WYWYW,15,1,915,Correct,0,871
4,MFMCM,7,3,901,Correct,0,812
4,HQHEH,16,2,794,Correct,0,686
Trials
1,D,5,3,9934,New Target,1,854
1,ZNZYZ,161,,,Incorrect,1,699
1,FZFZF,151,1,1214,Correct,1,749
1,RKRKR,152,1,1253,Correct,1,834
1,RXRNR,161,2,1100,Correct,1,800
1,CNCFC,162,2,797,Correct,1,734
1,PDPDP,7,3,1047,Correct,1,774
1,CPCFC,14,2,1001,Correct,1,734
1,VLVNV,162,2,795,Correct,1,825
1,KFKFK,151,1,895,Correct,1,912
1,ZNZNZ,152,1,1015,Correct,1,775
1,KCKPD,235,2,1023,Correct,1,676
1,ZKZFZ,222,2,802,Correct,1,740
1,NRNZN,162,2,717,Correct,1,720
1,KXKRK,163,2,621,Correct,1,730
1,YPYZY,164,2,607,Correct,1,764
1,FKDKF,223,2,826,Incorrect,1,940
1,RPRPR,113,1,849,Correct,1,843
1,VRVKV,161,2,701,Correct,1,666
1,RFRPR,162,2,781,Correct,1,779
1,KVKVK,151,1,775,Correct,1,767
1,YKYVY,161,2,788,Correct,1,748
1,VDVDV,8,3,513,Correct,1,757
1,DVZVZ,221,1,856,Correct,1,760
1,YFYFY,113,1,604,Correct,1,901
1,ZYZYZ,152,1,714,Correct,1,925
1,VLVXV,161,2,654,Correct,1,686
1,DPXZX,231,2,838,Correct,1,924
1,RYRYR,113,1,642,Correct,1,721
1,PDPNP,91,3,733,Correct,1,936
1,KXKXK,13,1,1061,Correct,1,909
1,ZYZYZ,152,1,582,Correct,1,779
1,VKVKV,153,1,546,Correct,1,947
1,YZYZY,154,1,668,Correct,1,663
1,NLNZN,161,2,781,Correct,1,722
1,ZNDYZ,233,2,1125,Correct,1,840
1,PCPXP,222,2,781,Correct,1,939
1,ZVZFZ,162,2,582,Correct,1,799
1,RCRZR,163,2,564,Correct,1,864
1,LRLRL,151,1,642,Correct,1,882
1,ZDZDZ,10,3,771,Correct,1,726
1,RNRZR,14,2,690,Correct,1,705
1,CXCYC,162,2,611,Correct,1,716
1,RCRLR,163,2,666,Correct,1,693
1,FRFRF,151,3,989,Incorrect,1,665
1,XFXFX,152,1,978,Correct,1,771
1,RPRLR,161,2,739,Correct,1,916
1,YXYRY,162,2,668,Correct,1,859
1,FYFYF,151,1,1101,Correct,1,785
1,YZYVY,161,2,649,Correct,1,870
1,YKYKY,151,1,760,Correct,1,833
1,XRXRX,152,1,634,Correct,1,652
1,XVXZX,161,2,710,Correct,1,900
1,PDPDP,11,3,732,Correct,1,910
1,ZFZFZ,13,1,793,Correct,1,766
1,PXPXP,152,1,693,Correct,1,759
1,LYLYL,153,1,561,Correct,1,881
1,NKNKD,225,1,644,Correct,1,803
1,ZNZNZ,113,1,689,Correct,1,855
1,PYPZP,161,1,781,Incorrect,1,868
1,XPXPX,151,1,643,Correct,1,905
1,VLVLV,152,1,684,Correct,1,927
1,PKPXP,161,2,744,Correct,1,900
1,FZFZF,151,1,676,Correct,1,846
1,LDLDL,12,3,837,Correct,1,717
2,U,5,3,2290,New Target,2,904
2,ZVZFZ,161,2,871,Correct,2,740
2,FZFZF,151,1,889,Correct,2,898
2,RFRFR,152,1,642,Correct,2,722
2,NZNKN,161,2,625,Correct,2,775
2,FZFNF,162,2,654,Correct,2,853
2,RXRXR,151,1,745,Correct,2,857
2,KRKYK,161,2,659,Correct,2,859
2,NZNPN,162,2,560,Correct,2,857
2,XPXPX,151,1,820,Correct,2,744
2,CUCUC,7,3,763,Correct,2,856
2,RFRFR,13,2,600,Incorrect,2,739
2,VYVXV,161,2,644,Correct,2,927
2,VDVDV,191,1,1412,Correct,2,749
2,ZKZRZ,15,2,646,Correct,2,846
2,XCXCX,151,1,1064,Correct,2,698
2,CNCUC,82,3,627,Correct,2,906
2,RCRCR,13,1,1045,Correct,2,765
2,ZPZXZ,161,2,653,Correct,2,939
2,FKFYF,162,2,702,Correct,2,706
2,ZFZYZ,163,2,758,Correct,2,890
2,PXPXP,151,1,1021,Correct,2,883
2,URCKC,231,2,577,Correct,2,696
2,PCPCP,113,1,614,Correct,2,688
2,XNXNX,152,1,653,Correct,2,730
2,RCRZR,161,2,634,Correct,2,846
2,XVXVX,151,1,662,Correct,2,856
2,NRNRN,152,1,740,Correct,2,809
2,FPFPF,225,1,595,Correct,2,672
2,XVXFX,222,2,550,Correct,2,765
2,PRPRP,151,1,640,Correct,2,650
2,FYFCF,161,2,657,Correct,2,801
2,XUXFX,91,3,741,Correct,2,725
2,CYCVC,14,2,742,Correct,2,674
2,VDVKV,172,2,694,Correct,2,667
2,YCYCY,15,1,725,Correct,2,753
2,NKNLN,161,2,531,Correct,2,718
2,XPUKX,233,2,914,Correct,2,920
2,ZPZPZ,113,1,757,Correct,2,833
2,KRKRK,152,1,592,Correct,2,806
2,XKXKX,153,1,597,Correct,2,747
2,YUYVY,101,3,923,Correct,2,726
2,XKXFU,235,1,725,Incorrect,2,683
2,NFNFN,113,1,701,Correct,2,930
2,KDKDK,193,1,795,Correct,2,751
2,XYXKX,16,2,661,Correct,2,763
2,YZUZY,223,2,815,Incorrect,2,931
2,KFKVK,222,2,803,Correct,2,928
2,LYLYL,151,1,765,Correct,2,829
2,CXCDC,184,2,893,Incorrect,2,696
2,XZXNX,16,2,961,Correct,2,813
2,PXPXP,151,1,806,Correct,2,769
2,ZRZYZ,161,2,725,Correct,2,674
2,PUPYP,111,3,827,Correct,2,933
2,RNRNR,14,1,738,Correct,2,845
2,KDKDK,195,2,957,Incorrect,2,838
2,KNKNK,15,1,642,Correct,2,770
2,PRPKP,161,2,784,Correct,2,875
2,UNYNY,221,1,969,Correct,2,799
2,NYNYN,113,1,897,Correct,2,694
2,YXYXY,152,1,698,Incorrect,2,689
2,RDRDR,196,1,581,Correct,2,812
2,FCFCF,15,1,611,Correct,2,919
2,ZKZKZ,152,1,531,Correct,2,767
2,ZUZUZ,12,3,786,Correct,2,907
3,E,5,3,2083,New Target,3,858
3,YZYZY,151,1,970,Correct,3,879
3,VFVNV,161,2,658,Correct,3,690
3,KYKYK,151,1,721,Correct,3,783
3,NKNKN,152,1,604,Correct,3,894
3,XVXNX,161,2,622,Correct,3,741
