Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1308,Correct,0,791
1,DLDUD,16,2,938,Correct,0,895
1,PDPGP,16,2,1165,Correct,0,703
1,MWMWM,15,1,883,Correct,0,838
1,FTFTF,15,1,700,Correct,0,658
1,AXAMA,16,2,699,Correct,0,660
1,RYRGR,16,2,662,Correct,0,724
1,DODOD,15,1,702,Correct,0,908
1,QTQAQ,16,2,1080,Correct,0,770
1,YEYEY,15,1,630,Correct,0,717
AT Practice
1,TKTKT,15,1,1120,Correct,0,693
1,SLSUS,16,2,741,Correct,0,879
1,VZVGV,7,2,860,False,0,838
1,XWXZX,7,3,1363,Correct,0,692
1,ATATA,15,1,1415,Correct,0,710
1,HXZMH,16,2,1190,Correct,0,771
1,TZTZT,7,,,False,0,938
1,UOUOU,15,2,1572,False,0,719
1,ZTWAW,16,,,False,0,844
1,RZRER,7,3,1055,Correct,0,851
2,JYJDJ,16,2,1285,Correct,0,898
2,DWDWD,15,1,798,Correct,0,673
2,GNGNG,7,3,717,Correct,0,937
2,NEZEZ,16,1,1076,Correct,0,857
2,RNROR,7,2,786,False,0,719
2,QTQNQ,7,3,796,Correct,0,699
2,HOHON,15,1,1011,Correct,0,828
2,KPKGK,16,2,1012,Correct,0,754
2,DRDED,16,2,1133,Correct,0,934
2,LNLNL,7,3,662,Correct,0,782
Trials
1,D,5,3,28255,New Target,1,804
1,BNBYB,161,2,1082,Correct,1,887
1,FBFBF,151,1,908,Correct,1,726
1,RKRKR,152,1,914,Correct,1,797
1,QSQNQ,161,2,733,Correct,1,706
1,CTCFC,162,2,826,Correct,1,760
1,PDPDP,7,3,768,Correct,1,804
1,OPOFO,14,2,918,Correct,1,942
1,HLHNH,162,2,736,Correct,1,651
1,MFMFM,151,1,786,Correct,1,652
1,BTBTB,152,1,990,Correct,1,715
1,MCMPD,235,2,835,Correct,1,757
1,BMBFB,222,2,918,Correct,1,918
1,NTNZN,162,2,779,Correct,1,758
1,MXMRM,163,2,811,Correct,1,683
1,APABA,164,2,981,Correct,1,766
1,FMDMF,223,1,782,Correct,1,653
1,QPQPQ,113,1,857,Correct,1,798
1,VQVMV,161,2,667,Correct,1,929
1,RERPR,162,2,809,Correct,1,867
1,KVKVK,151,1,662,Correct,1,685
1,AKAHA,161,2,783,Correct,1,919
1,VDVDV,8,3,492,Correct,1,683
1,DUGUG,221,1,966,Correct,1,684
1,AFAFA,113,1,684,Correct,1,692
1,GYGYG,152,1,798,Correct,1,713
1,VXVSV,161,2,674,Correct,1,941
1,DOWGW,231,2,1023,Correct,1,886
1,QYQYQ,113,1,543,Correct,1,842
1,ODONO,91,3,1200,Correct,1,816
1,MSMSM,13,1,716,Correct,1,777
1,GYGYG,152,1,811,Correct,1,745
1,UMUMU,153,1,829,Correct,1,950
1,BZBZB,154,1,758,Correct,1,788
1,NTNBN,161,2,765,Correct,1,914
1,GNDYG,233,2,871,Correct,1,759
1,OCOSO,222,2,1081,Correct,1,901
1,BHBFB,162,2,752,Correct,1,939
1,QCQBQ,163,2,848,Correct,1,705
1,LQLQL,151,1,851,Correct,1,909
1,ZDZDZ,10,3,793,Correct,1,803
1,QNQZQ,14,2,864,Correct,1,913
1,CSCYC,162,2,675,Correct,1,906
1,RCRLR,163,2,641,Correct,1,860
1,FRFRF,151,1,699,Correct,1,903
1,WFWFW,152,1,663,Correct,1,804
1,QOQLQ,161,2,675,Correct,1,907
1,AWAQA,162,2,772,Correct,1,703
1,EAEAE,151,1,736,Correct,1,818
1,AGAUA,161,2,713,Correct,1,895
1,YMYMY,151,1,650,Correct,1,712
1,XQXQX,152,1,697,Correct,1,820
1,SHSGS,161,2,585,Correct,1,690
1,PDPDP,11,3,699,Correct,1,764
1,ZGZGZ,13,1,857,Correct,1,806
1,OXOXO,152,1,667,Correct,1,903
1,LYLYL,153,1,903,Correct,1,927
1,NKNKD,225,1,989,Correct,1,767
1,GNGNG,113,1,841,Correct,1,939
1,OYOBO,161,2,726,Correct,1,665
1,SOSOS,151,1,809,Correct,1,654
1,VHVHV,152,1,728,Correct,1,704
1,OKOXO,161,1,738,Incorrect,1,882
1,EZEZE,151,1,849,Correct,1,723
1,LDLDL,12,3,647,Correct,1,825
2,U,5,3,4116,New Target,2,830
2,BVBEB,161,2,1420,Correct,2,700
2,FBFBF,151,1,732,Correct,2,875
2,RFRFR,152,1,920,Correct,2,790
2,NBNKN,161,2,747,Correct,2,884
2,MKMNM,162,2,1114,Correct,2,677
2,QXQXQ,151,1,909,Correct,2,667
2,MQMYM,161,2,718,Correct,2,905
2,TGTPT,162,2,715,Correct,2,841
2,XOXOX,151,3,647,Incorrect,2,786
2,CUCUC,7,1,812,Incorrect,2,670
2,RFRFR,13,1,888,Correct,2,750
2,VYVSV,161,2,719,Correct,2,746
2,VDVDV,191,1,1150,Correct,2,746
2,GKGQG,15,2,681,Correct,2,844
2,SCSCS,151,1,809,Correct,2,687
2,CTCUC,82,3,946,Correct,2,847
2,RCRCR,13,1,663,Correct,2,734
2,BOBXB,161,2,688,Correct,2,903
2,FMFAF,162,2,794,Correct,2,939
2,BEBAB,163,2,756,Correct,2,820
2,PWPWP,151,1,658,Correct,2,666
2,UQCKC,231,2,734,Correct,2,835
2,OCOCO,113,1,744,Correct,2,815
2,TNTNT,152,1,993,Correct,2,879
2,QCQGQ,161,2,761,Correct,2,667
2,WVWVW,151,1,737,Correct,2,867
2,TQTQT,152,1,649,Correct,2,875
2,FOFOF,225,1,614,Correct,2,845
2,WVWFW,222,2,827,Correct,2,661
2,SWSWS,151,1,677,Correct,2,698
2,FYFCF,161,2,707,Correct,2,847
2,SUSWS,91,2,654,Incorrect,2,895
2,CACHC,14,2,865,Correct,2,674
2,VDVKV,172,2,1260,Correct,2,753
2,YCYCY,15,1,620,Correct,2,942
2,NMNTN,161,2,633,Correct,2,872
2,XOUKX,233,2,871,Correct,2,827
2,BPBPB,113,1,800,Correct,2,712
2,MRMRM,152,1,772,Correct,2,941
2,XMXMX,153,1,682,Correct,2,948
2,AUAHA,101,3,681,Correct,2,771
2,XKXEU,235,2,904,Correct,2,745
2,TFTFT,113,1,615,Correct,2,949
2,MDMDM,193,1,774,Correct,2,880
2,WYWMW,16,2,669,Correct,2,872
2,AZUZA,223,1,1356,Correct,2,799
2,KEKHK,222,2,874,Correct,2,937
2,LALAL,151,1,595,Correct,2,699
2,CWCDC,184,2,691,Incorrect,2,811
2,SGSTS,16,2,719,Correct,2,798
2,PXPXP,151,1,654,Correct,2,708
2,GRGYG,161,2,767,Correct,2,711
2,PUPOP,111,3,1046,Correct,2,876
2,RNRNR,14,1,844,Correct,2,703
2,KDKDK,195,1,750,Correct,2,940
2,KTKTK,15,1,730,Correct,2,820
2,OROKO,161,2,953,Correct,2,729
2,UNANA,221,1,1264,Correct,2,730
2,TATAT,113,1,662,Correct,2,862
2,AWAWA,152,1,801,Incorrect,2,926
2,RDRDR,196,1,857,Correct,2,834
2,FCFCF,15,1,620,Correct,2,930
2,ZMZMZ,152,1,713,Correct,2,933
2,BUBUB,12,3,608,Correct,2,917
3,E,5,3,7523,New Target,3,684
3,YZYZY,151,1,695,Correct,3,817
3,VFVNV,161,2,727,Correct,3,753
3,KAKAK,151,1,593,Correct,3,825
3,TKTKT,152,1,727,Correct,3,681
3,WHWTW,161,2,646,Correct,3,704
3,QEQFQ,71,3,985,Correct,3,701
3,XNXNX,13,1,700,Correct,3,781
3,TXTXT,152,1,943,Correct,3,656
3,GLGNG,161,2,644,Correct,3,739
3,CUCTC,171,2,837,Correct,3,775
3,FAFQF,16,2,812,Correct,3,824
3,ZLZLZ,151,1,761,Correct,3,710
3,YZYZY,152,1,600,Correct,3,686
3,CYCYC,153,1,620,Correct,3,712
3,HUHUH,192,1,1160,Correct,3,874
3,OSORO,16,2,765,Correct,3,657
3,YOYOY,151,1,659,Correct,3,884
3,CECEC,8,3,594,Correct,3,824
3,VNENV,223,1,980,Correct,3,743
3,KQKFK,222,2,740,Correct,3,802
3,XLXLE,225,1,1012,Correct,3,703
3,QUQUQ,193,1,903,Correct,3,712
3,SWSLS,16,2,776,Correct,3,895
3,NBNPN,162,2,904,Correct,3,677
3,SGSGS,151,1,1019,Correct,3,841
3,FBFBF,152,1,805,Correct,3,947
3,PFPFP,153,1,754,Correct,3,713
3,AGASA,161,2,674,Correct,3,669
3,KEKEK,9,3,767,Correct,3,831
3,CWCOC,14,2,827,Correct,3,755
3,HXHXH,151,1,694,Correct,3,707
3,NUNZN,174,2,696,Correct,3,672
3,QMQVQ,16,2,694,Correct,3,821
3,SQSQS,151,1,598,Correct,3,750
3,ERNFN,231,2,936,Incorrect,3,731
3,AQANA,222,2,830,Correct,3,714
3,OBOEO,102,3,728,Correct,3,773
