Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,1491,Correct,0,741
1,DLDUD,16,2,940,Correct,0,814
1,PDPGP,16,2,1246,Correct,0,728
1,MWMWM,15,1,878,Correct,0,940
1,FTFTF,15,1,895,Correct,0,866
1,AXAMA,16,2,772,Correct,0,746
1,RYRGR,16,2,784,Correct,0,661
1,DODOD,15,1,851,Correct,0,859
1,QTQAQ,16,2,764,Correct,0,717
1,YEYEY,15,1,950,Correct,0,688
2,GYGDG,16,2,818,Correct,0,663
2,SWSWS,15,1,662,Correct,0,808
2,HLHUH,16,2,760,Correct,0,656
2,DEDED,15,1,802,Correct,0,702
2,ZPZOZ,16,2,613,Correct,0,816
2,ATATA,15,1,1097,Correct,0,665
2,QOQOQ,15,1,782,Correct,0,923
2,FPFGF,16,2,720,Correct,0,886
2,TRTET,16,,,False,0,874
2,DQDQD,15,1,1544,Correct,0,892
AT Practice
1,TKTKT,15,1,1488,Correct,0,898
1,SLSUS,16,2,943,Correct,0,742
1,VZVGV,7,3,767,Correct,0,863
1,XWXZX,7,3,808,Correct,0,736
1,ATATA,15,1,913,Correct,0,741
1,HXZMH,16,,,False,0,838
1,TZTZT,7,3,855,Correct,0,816
1,UOUOU,15,1,1000,Correct,0,902
1,ZTWAW,16,2,1416,Correct,0,756
1,RZRER,7,3,694,Correct,0,808
2,JYJDJ,16,2,1024,Correct,0,740
2,DWDWD,15,1,827,Correct,0,897
2,GNGNG,7,3,1103,Correct,0,827
2,NEZEZ,16,3,928,False,0,651
2,RNROR,7,3,864,Correct,0,806
2,QTQNQ,7,3,949,Correct,0,706
2,HOHON,15,1,1019,Correct,0,665
2,KPKGK,16,2,828,Correct,0,763
2,DRDED,16,2,866,Correct,0,780
2,LNLNL,7,3,763,Correct,0,665
4,GLGLG,15,1,916,Correct,0,832
4,DTDID,16,2,679,Correct,0,746
4,SMSGS,16,2,692,Correct,0,772
4,ZFZYZ,7,3,681,Correct,0,927
4,TSTFT,7,3,623,Correct,0,883
4,OFOFO,7,3,648,Correct,0,885
4,WYFGW,16,2,1136,Correct,0,932
4,WYWYW,15,2,854,False,0,892
4,MFMCM,7,3,773,Correct,0,898
4,HQHEH,16,2,992,Correct,0,729
Trials
1,D,5,3,18821,New Target,1,841
1,BNBYB,161,2,1300,Correct,1,856
1,FBFBF,151,1,1083,Correct,1,746
1,RKRKR,152,2,836,Incorrect,1,940
1,QSQNQ,161,2,861,Correct,1,793
1,CTCFC,162,2,819,Correct,1,818
1,PDPDP,7,1,847,Incorrect,1,693
1,OPOFO,14,2,1065,Correct,1,699
1,HLHNH,162,2,1044,Correct,1,942
1,MFMFM,151,1,784,Correct,1,934
1,BTBTB,152,1,1196,Correct,1,747
1,MCMPD,235,2,692,Correct,1,854
1,BMBFB,222,2,848,Correct,1,880
1,NTNZN,162,2,920,Correct,1,793
1,MXMRM,163,2,809,Correct,1,904
1,APABA,164,2,799,Correct,1,870
1,FMDMF,223,1,860,Correct,1,741
1,QPQPQ,113,1,787,Correct,1,838
1,VQVMV,161,2,684,Correct,1,873
1,RERPR,162,2,1004,Correct,1,745
1,KVKVK,151,2,775,Incorrect,1,948
1,AKAHA,161,2,821,Correct,1,678
1,VDVDV,8,1,602,Incorrect,1,885
1,DUGUG,221,2,648,Incorrect,1,905
1,AFAFA,113,2,604,Incorrect,1,715
1,GYGYG,152,1,881,Correct,1,741
1,VXVSV,161,2,728,Correct,1,720
1,DOWGW,231,2,807,Correct,1,739
1,QYQYQ,113,1,772,Correct,1,680
1,ODONO,91,1,1293,Incorrect,1,832
1,MSMSM,13,1,760,Correct,1,729
1,GYGYG,152,1,690,Correct,1,844
1,UMUMU,153,1,642,Correct,1,738
1,BZBZB,154,1,1237,Correct,1,746
1,NTNBN,161,2,643,Correct,1,661
1,GNDYG,233,2,804,Correct,1,767
1,OCOSO,222,2,991,Correct,1,793
1,BHBFB,162,2,897,Correct,1,824
1,QCQBQ,163,2,621,Correct,1,676
1,LQLQL,151,1,948,Correct,1,669
1,ZDZDZ,10,3,677,Correct,1,833
1,QNQZQ,14,2,936,Correct,1,688
1,CSCYC,162,2,665,Correct,1,834
1,RCRLR,163,2,517,Correct,1,888
1,FRFRF,151,1,590,Correct,1,714
1,WFWFW,152,2,464,Incorrect,1,830
1,QOQLQ,161,2,651,Correct,1,668
1,AWAQA,162,2,633,Correct,1,868
1,EAEAE,151,1,645,Correct,1,880
1,AGAUA,161,2,531,Correct,1,841
1,YMYMY,151,1,633,Correct,1,707
1,XQXQX,152,1,726,Correct,1,907
1,SHSGS,161,2,664,Correct,1,675
1,PDPDP,11,1,675,Incorrect,1,863
1,ZGZGZ,13,1,766,Correct,1,901
1,OXOXO,152,1,795,Correct,1,763
1,LYLYL,153,1,742,Correct,1,779
1,NKNKD,225,1,1014,Correct,1,651
1,GNGNG,113,1,696,Correct,1,766
1,OYOBO,161,2,662,Correct,1,834
1,SOSOS,151,1,578,Correct,1,850
1,VHVHV,152,1,611,Correct,1,817
1,OKOXO,161,2,1010,Correct,1,815
1,EZEZE,151,1,801,Correct,1,840
1,LDLDL,12,3,760,Correct,1,827
2,U,5,3,5072,New Target,2,685
2,BVBEB,161,2,1250,Correct,2,914
2,FBFBF,151,1,798,Correct,2,671
2,RFRFR,152,1,762,Correct,2,763
2,NBNKN,161,2,630,Correct,2,823
2,MKMNM,162,2,1000,Correct,2,777
2,QXQXQ,151,1,970,Correct,2,769
2,MQMYM,161,2,683,Correct,2,875
2,TGTPT,162,2,666,Correct,2,755
2,XOXOX,151,1,684,Correct,2,725
2,CUCUC,7,3,902,Correct,2,871
2,RFRFR,13,2,988,Incorrect,2,799
2,VYVSV,161,2,670,Correct,2,855
2,VDVDV,191,1,1095,Correct,2,933
2,GKGQG,15,2,721,Correct,2,931
2,SCSCS,151,1,867,Correct,2,685
2,CTCUC,82,2,678,Incorrect,2,914
2,RCRCR,13,2,680,Incorrect,2,746
2,BOBXB,161,2,729,Correct,2,704
2,FMFAF,162,2,1111,Correct,2,722
2,BEBAB,163,2,906,Correct,2,670
2,PWPWP,151,1,1023,Correct,2,775
2,UQCKC,231,2,613,Correct,2,723
2,OCOCO,113,1,950,Correct,2,801
2,TNTNT,152,1,762,Correct,2,766
2,QCQGQ,161,2,1265,Correct,2,938
2,WVWVW,151,2,899,Incorrect,2,949
2,TQTQT,152,1,629,Correct,2,879
2,FOFOF,225,1,600,Correct,2,783
2,WVWFW,222,2,745,Correct,2,791
2,SWSWS,151,1,594,Correct,2,854
2,FYFCF,161,2,611,Correct,2,838
2,SUSWS,91,2,703,Incorrect,2,887
2,CACHC,14,2,650,Correct,2,837
2,VDVKV,172,2,629,Correct,2,874
2,YCYCY,15,1,825,Correct,2,727
2,NMNTN,161,2,690,Correct,2,845
2,XOUKX,233,2,609,Correct,2,787
2,BPBPB,113,2,647,Incorrect,2,674
2,MRMRM,152,1,759,Correct,2,774
2,XMXMX,153,1,724,Correct,2,782
2,AUAHA,101,2,597,Incorrect,2,696
2,XKXEU,235,2,627,Correct,2,880
2,TFTFT,113,1,724,Correct,2,750
2,MDMDM,193,1,695,Correct,2,650
2,WYWMW,16,2,1121,Correct,2,879
2,AZUZA,223,1,625,Correct,2,690
2,KEKHK,222,2,752,Correct,2,823
2,LALAL,151,1,727,Correct,2,864
2,CWCDC,184,2,529,Incorrect,2,855
2,SGSTS,16,2,628,Correct,2,877
2,PXPXP,151,1,889,Correct,2,702
2,GRGYG,161,2,588,Correct,2,909
2,PUPOP,111,1,952,Incorrect,2,944
2,RNRNR,14,1,1096,Correct,2,893
2,KDKDK,195,2,792,Incorrect,2,776
2,KTKTK,15,1,739,Correct,2,709
2,OROKO,161,2,1339,Correct,2,925
2,UNANA,221,,,Incorrect,2,726
2,TATAT,113,3,1040,Incorrect,2,738
2,AWAWA,152,1,873,Incorrect,2,904
2,RDRDR,196,1,1181,Correct,2,848
2,FCFCF,15,1,672,Correct,2,657
2,ZMZMZ,152,1,573,Correct,2,842
2,BUBUB,12,3,768,Correct,2,774
3,E,5,3,1600,New Target,3,844
3,YZYZY,151,1,755,Correct,3,862
3,VFVNV,161,2,684,Correct,3,816
3,KAKAK,151,1,1065,Correct,3,826
3,TKTKT,152,2,744,Incorrect,3,789
3,WHWTW,161,2,836,Correct,3,788
3,QEQFQ,71,3,1134,Correct,3,685
3,XNXNX,13,1,647,Correct,3,939
3,TXTXT,152,2,615,Incorrect,3,747
3,GLGNG,161,2,787,Correct,3,944
3,CUCTC,171,2,867,Correct,3,657
3,FAFQF,16,2,908,Correct,3,694
3,ZLZLZ,151,1,929,Correct,3,786
3,YZYZY,152,1,822,Correct,3,774
3,CYCYC,153,1,641,Correct,3,745
3,HUHUH,192,1,893,Correct,3,932
