Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,1,956,Correct,0,738
1,DLDUD,16,2,1130,Correct,0,850
1,PDPGP,16,2,983,Correct,0,701
1,MWMWM,15,1,1203,Correct,0,938
1,FTFTF,15,1,932,Correct,0,883
1,AXAMA,16,2,899,Correct,0,829
1,RYRGR,16,2,981,Correct,0,842
1,DODOD,15,1,745,Correct,0,697
1,QTQAQ,16,2,1067,Correct,0,931
1,YEYEY,15,1,1184,Correct,0,930
2,GYGDG,16,2,935,Correct,0,878
2,SWSWS,15,1,825,Correct,0,792
2,HLHUH,16,2,1003,Correct,0,877
2,DEDED,15,1,1004,Correct,0,707
2,ZPZOZ,16,2,923,Correct,0,756
2,ATATA,15,1,764,Correct,0,769
2,QOQOQ,15,1,1200,Correct,0,837
2,FPFGF,16,2,855,Correct,0,773
2,TRTET,16,2,1086,Correct,0,728
2,DQDQD,15,1,1125,Correct,0,918
4,PLPLP,15,1,1003,Correct,0,775
4,ATAIA,16,2,744,Correct,0,870
4,SKSGS,16,2,835,Correct,0,770
4,ZYZYZ,15,1,852,Correct,0,947
4,QSQSQ,15,1,963,Correct,0,900
4,TZTDT,16,2,787,Correct,0,800
4,JYJGJ,16,2,1033,Correct,0,794
4,DYDYD,15,1,1031,Correct,0,798
4,LTLCL,16,2,1157,Correct,0,758
4,FQFEF,16,2,1041,Correct,0,758
DT Practice
1,TKTKT,15,2,1358,False,0,947
1,SLSUS,16,,,False,0,678
1,VZVGV,7,[1],[1184],False,0,892
1,XWXZX,7,,,False,0,660
1,ATATA,15,,,False,0,869
1,HXZMH,16,,,False,0,875
1,TZTZT,7,[1],[1213],False,0,841
1,UOUOU,15,,,False,0,802
1,ZTWAW,16,,,False,0,679
1,RZRER,7,,,False,0,895
2,JYJDJ,16,2,1361,Correct,0,943
2,DWDWD,15,,,False,0,840
2,GNGNG,7,,,False,0,693
2,NEZEZ,16,1,1162,Correct,0,919
2,RNROR,7,[2],[1255],False,0,790
2,QTQNQ,7,,,False,0,782
2,HOHON,15,,,False,0,774
2,KPKGK,16,2,1067,Correct,0,655
2,DRDED,16,2,1489,Correct,0,940
2,LNLNL,7,[1],[1294],False,0,812
4,GLGLG,15,,,False,0,787
4,DTDID,16,2,886,Correct,0,679
4,SMSGS,16,2,1061,Correct,0,901
4,ZFZYZ,7,[1],[1054],False,0,757
4,TSTFT,7,[2],[1577],False,0,945
4,OFOFO,7,[1],[1596],False,0,928
4,WYFGW,16,,,False,0,651
4,WYWYW,15,1,903,Correct,0,800
4,MFMCM,7,,,False,0,680
4,HQHEH,16,2,1097,Correct,0,915
1,TKTKT,15,1,1425,Correct,0,807
1,SLSUS,16,2,925,Correct,0,857
1,VZVGV,7,[2],[1546],False,0,763
1,XWXZX,7,[2],[1207],False,0,877
1,ATATA,15,2,1226,False,0,913
1,HXZMH,16,,,False,0,714
1,TZTZT,7,[1][3],[1103][1598],Correct,0,730
1,UOUOU,15,2,1429,False,0,663
1,ZTWAW,16,,,False,0,717
1,RZRER,7,,,False,0,766
