Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,781
1,DLDUD,16,,,False,0,650
1,PDPGP,16,1,945,False,0,768
1,MWMWM,15,,,False,0,892
1,FTFTF,15,1,743,Correct,0,682
1,AXAMA,16,2,798,Correct,0,822
1,RYRGR,16,2,826,Correct,0,651
1,DODOD,15,1,577,Correct,0,734
1,QTQAQ,16,2,1030,Correct,0,653
1,YEYEY,15,1,721,Correct,0,821
2,GYGDG,16,2,937,Correct,0,765
2,SWSWS,15,1,682,Correct,0,794
2,HLHUH,16,2,816,Correct,0,868
2,DEDED,15,2,790,False,0,791
2,ZPZOZ,16,2,680,Correct,0,882
2,ATATA,15,1,656,Correct,0,893
2,QOQOQ,15,1,797,Correct,0,765
2,FPFGF,16,2,646,Correct,0,751
2,TRTET,16,2,688,Correct,0,868
2,DQDQD,15,1,839,Correct,0,828
4,PLPLP,15,1,761,Correct,0,728
4,ATAIA,16,2,719,Correct,0,847
4,SKSGS,16,2,660,Correct,0,870
4,ZYZYZ,15,1,753,Correct,0,751
4,QSQSQ,15,1,573,Correct,0,654
4,TZTDT,16,2,598,Correct,0,942
4,JYJGJ,16,1,609,False,0,909
4,DYDYD,15,1,655,Correct,0,758
4,LTLCL,16,2,613,Correct,0,925
4,FQFEF,16,2,562,Correct,0,807
AT Practice
1,TKTKT,15,1,1002,Correct,0,921
1,SLSUS,16,2,649,Correct,0,736
1,VZVGV,7,2,637,False,0,916
1,XWXZX,7,3,763,Correct,0,785
1,ATATA,15,1,692,Correct,0,719
1,HXZMH,16,2,733,Correct,0,806
1,TZTZT,7,3,840,Correct,0,721
1,UOUOU,15,1,716,Correct,0,772
1,ZTWAW,16,3,723,False,0,893
1,RZRER,7,2,960,False,0,685
2,JYJDJ,16,2,1389,Correct,0,800
2,DWDWD,15,1,1021,Correct,0,772
2,GNGNG,7,3,873,Correct,0,893
2,NEZEZ,16,1,861,Correct,0,725
2,RNROR,7,2,732,False,0,927
2,QTQNQ,7,3,801,Correct,0,904
2,HOHON,15,1,1018,Correct,0,667
2,KPKGK,16,2,755,Correct,0,895
2,DRDED,16,2,814,Correct,0,723
2,LNLNL,7,3,560,Correct,0,863
4,GLGLG,15,2,727,False,0,850
4,DTDID,16,2,853,Correct,0,676
4,SMSGS,16,2,732,Correct,0,674
4,ZFZYZ,7,3,683,Correct,0,674
4,TSTFT,7,3,800,Correct,0,918
4,OFOFO,7,3,859,Correct,0,681
4,WYFGW,16,2,787,Correct,0,714
4,WYWYW,15,1,942,Correct,0,715
4,MFMCM,7,2,645,False,0,653
4,HQHEH,16,2,802,Correct,0,740
Trials
1,D,5,3,5312,New Target,1,771
1,BNBYB,161,2,822,Correct,1,721
1,FBFBF,151,1,951,Correct,1,914
1,RKRKR,152,1,828,Correct,1,799
1,QSQNQ,161,2,709,Correct,1,842
1,CTCFC,162,2,1148,Correct,1,935
1,PDPDP,7,3,581,Correct,1,872
1,OPOFO,14,1,689,Incorrect,1,920
1,HLHNH,162,2,861,Correct,1,787
1,MFMFM,151,1,649,Correct,1,666
1,BTBTB,152,1,726,Correct,1,835
1,MCMPD,235,2,654,Correct,1,940
1,BMBFB,222,2,762,Correct,1,868
1,NTNZN,162,2,1219,Correct,1,925
1,MXMRM,163,2,602,Correct,1,877
1,APABA,164,2,631,Correct,1,937
1,FMDMF,223,1,697,Correct,1,719
1,QPQPQ,113,1,964,Correct,1,859
1,VQVMV,161,2,569,Correct,1,768
1,RERPR,162,2,584,Correct,1,938
1,KVKVK,151,2,681,Incorrect,1,763
1,AKAHA,161,2,777,Correct,1,701
1,VDVDV,8,1,519,Incorrect,1,745
1,DUGUG,221,1,697,Correct,1,852
1,AFAFA,113,1,854,Correct,1,794
1,GYGYG,152,1,849,Correct,1,720
1,VXVSV,161,2,717,Correct,1,726
1,DOWGW,231,2,855,Correct,1,872
1,QYQYQ,113,1,673,Correct,1,812
1,ODONO,91,3,834,Correct,1,667
1,MSMSM,13,1,854,Correct,1,887
1,GYGYG,152,1,652,Correct,1,835
1,UMUMU,153,1,616,Correct,1,869
1,BZBZB,154,1,584,Correct,1,820
1,NTNBN,161,2,669,Correct,1,733
1,GNDYG,233,2,779,Correct,1,869
1,OCOSO,222,2,880,Correct,1,937
1,BHBFB,162,2,599,Correct,1,831
1,QCQBQ,163,2,550,Correct,1,877
1,LQLQL,151,1,780,Correct,1,693
1,ZDZDZ,10,3,646,Correct,1,798
1,QNQZQ,14,2,895,Correct,1,948
1,CSCYC,162,2,568,Correct,1,682
1,RCRLR,163,2,699,Correct,1,833
1,FRFRF,151,1,627,Correct,1,930
1,WFWFW,152,2,877,Incorrect,1,912
1,QOQLQ,161,2,968,Correct,1,745
1,AWAQA,162,2,651,Correct,1,810
1,EAEAE,151,1,762,Correct,1,749
1,AGAUA,161,2,664,Correct,1,716
1,YMYMY,151,1,628,Correct,1,889
1,XQXQX,152,1,853,Correct,1,794
1,SHSGS,161,2,700,Correct,1,812
1,PDPDP,11,3,678,Correct,1,882
1,ZGZGZ,13,1,696,Correct,1,663
1,OXOXO,152,1,723,Correct,1,856
1,LYLYL,153,1,788,Correct,1,665
1,NKNKD,225,1,692,Correct,1,677
1,GNGNG,113,1,741,Correct,1,720
1,OYOBO,161,2,881,Correct,1,804
1,SOSOS,151,1,681,Correct,1,712
1,VHVHV,152,1,849,Correct,1,933
1,OKOXO,161,2,888,Correct,1,771
1,EZEZE,151,1,655,Correct,1,767
1,LDLDL,12,1,703,Incorrect,1,747
2,U,5,3,6266,New Target,2,687
2,BVBEB,161,2,1046,Correct,2,659
2,FBFBF,151,1,769,Correct,2,930
2,RFRFR,152,2,753,Incorrect,2,664
2,NBNKN,161,2,721,Correct,2,709
2,MKMNM,162,2,840,Correct,2,933
2,QXQXQ,151,1,656,Correct,2,799
2,MQMYM,161,2,634,Correct,2,881
2,TGTPT,162,2,617,Correct,2,787
2,XOXOX,151,1,726,Correct,2,858
2,CUCUC,7,1,674,Incorrect,2,774
2,RFRFR,13,1,884,Correct,2,736
2,VYVSV,161,2,776,Correct,2,883
2,VDVDV,191,3,656,Incorrect,2,905
2,GKGQG,15,2,620,Correct,2,942
2,SCSCS,151,1,666,Correct,2,847
2,CTCUC,82,3,659,Correct,2,949
2,RCRCR,13,1,674,Correct,2,783
2,BOBXB,161,2,577,Correct,2,787
2,FMFAF,162,2,631,Correct,2,726
2,BEBAB,163,1,645,Incorrect,2,822
2,PWPWP,151,1,697,Correct,2,709
2,UQCKC,231,2,586,Correct,2,700
2,OCOCO,113,1,711,Correct,2,875
2,TNTNT,152,1,800,Correct,2,927
2,QCQGQ,161,2,763,Correct,2,780
2,WVWVW,151,3,1044,Incorrect,2,785
2,TQTQT,152,1,640,Correct,2,917
2,FOFOF,225,1,546,Correct,2,750
2,WVWFW,222,2,707,Correct,2,883
2,SWSWS,151,1,690,Correct,2,725
2,FYFCF,161,2,586,Correct,2,940
2,SUSWS,91,3,806,Correct,2,941
2,CACHC,14,1,818,Incorrect,2,681
2,VDVKV,172,2,796,Correct,2,752
2,YCYCY,15,1,661,Correct,2,849
2,NMNTN,161,2,689,Correct,2,891
2,XOUKX,233,2,1437,Correct,2,857
2,BPBPB,113,1,741,Correct,2,657
2,MRMRM,152,1,879,Correct,2,882
2,XMXMX,153,1,840,Correct,2,746
2,AUAHA,101,3,861,Correct,2,899
2,XKXEU,235,2,769,Correct,2,851
2,TFTFT,113,1,663,Correct,2,930
2,MDMDM,193,1,1174,Correct,2,783
2,WYWMW,16,2,653,Correct,2,911
2,AZUZA,223,1,1167,Correct,2,722
2,KEKHK,222,2,681,Correct,2,791
2,LALAL,151,1,685,Correct,2,683
2,CWCDC,184,2,681,Incorrect,2,788
2,SGSTS,16,2,690,Correct,2,922
2,PXPXP,151,1,886,Correct,2,660
2,GRGYG,161,2,754,Correct,2,711
2,PUPOP,111,1,744,Incorrect,2,888
2,RNRNR,14,1,1022,Correct,2,948
2,KDKDK,195,3,616,Incorrect,2,935
2,KTKTK,15,1,694,Correct,2,892
2,OROKO,161,2,874,Correct,2,679
2,UNANA,221,1,835,Correct,2,704
2,TATAT,113,1,779,Correct,2,837
2,AWAWA,152,1,601,Incorrect,2,748
2,RDRDR,196,1,749,Correct,2,748
2,FCFCF,15,1,490,Correct,2,753
2,ZMZMZ,152,1,668,Correct,2,908
2,BUBUB,12,3,592,Correct,2,693
3,E,5,3,2899,New Target,3,886
3,YZYZY,151,1,787,Correct,3,897
3,VFVNV,161,2,559,Correct,3,699
3,KAKAK,151,1,576,Correct,3,873
3,TKTKT,152,1,757,Correct,3,720
3,WHWTW,161,2,626,Correct,3,785
3,QEQFQ,71,3,738,Correct,3,858
3,XNXNX,13,1,604,Correct,3,772
