Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,742
1,DLDUD,16,2,1025,Correct,0,913
1,PDPGP,16,2,907,Correct,0,919
1,MWMWM,15,1,684,Correct,0,795
1,FTFTF,15,1,627,Correct,0,841
1,AXAMA,16,2,737,Correct,0,808
1,RYRGR,16,2,581,Correct,0,917
1,DODOD,15,1,707,Correct,0,751
1,QTQAQ,16,2,750,Correct,0,733
1,YEYEY,15,1,478,Correct,0,927
2,GYGDG,16,2,646,Correct,0,692
2,SWSWS,15,1,500,Correct,0,738
2,HLHUH,16,2,604,Correct,0,664
2,DEDED,15,1,612,Correct,0,944
2,ZPZOZ,16,2,605,Correct,0,936
2,ATATA,15,1,679,Correct,0,852
2,QOQOQ,15,2,498,False,0,754
2,FPFGF,16,2,656,Correct,0,878
2,TRTET,16,2,666,Correct,0,847
2,DQDQD,15,2,686,False,0,944
AT Practice
1,TKTKT,15,1,1243,Correct,0,826
1,SLSUS,16,2,686,Correct,0,827
1,VZVGV,7,3,915,Correct,0,897
1,XWXZX,7,2,728,False,0,685
1,ATATA,15,1,647,Correct,0,680
1,HXZMH,16,2,786,Correct,0,862
1,TZTZT,7,3,645,Correct,0,833
1,UOUOU,15,1,671,Correct,0,883
1,ZTWAW,16,2,601,Correct,0,849
1,RZRER,7,3,801,Correct,0,899
2,JYJDJ,16,2,818,Correct,0,815
2,DWDWD,15,1,662,Correct,0,868
2,GNGNG,7,3,723,Correct,0,791
2,NEZEZ,16,2,620,False,0,771
2,RNROR,7,3,799,Correct,0,658
2,QTQNQ,7,3,832,Correct,0,914
2,HOHON,15,1,690,Correct,0,880
2,KPKGK,16,2,934,Correct,0,937
2,DRDED,16,1,680,False,0,808
2,LNLNL,7,3,756,Correct,0,829
4,GLGLG,15,1,1044,Correct,0,882
4,DTDID,16,2,777,Correct,0,651
4,SMSGS,16,2,811,Correct,0,934
4,ZFZYZ,7,3,702,Correct,0,899
4,TSTFT,7,3,705,Correct,0,937
4,OFOFO,7,3,700,Correct,0,739
4,WYFGW,16,2,597,Correct,0,842
4,WYWYW,15,1,741,Correct,0,721
4,MFMCM,7,3,784,Correct,0,719
4,HQHEH,16,2,823,Correct,0,740
Trials
1,D,5,3,27459,New Target,1,812
1,BNBYB,161,2,980,Correct,1,837
1,FBFBF,151,1,761,Correct,1,691
1,RKRKR,152,1,771,Correct,1,868
1,QSQNQ,161,2,749,Correct,1,757
1,CTCFC,162,2,761,Correct,1,878
1,PDPDP,7,3,593,Correct,1,889
1,OPOFO,14,2,754,Correct,1,800
1,HLHNH,162,3,573,Incorrect,1,822
1,MFMFM,151,1,914,Correct,1,685
1,BTBTB,152,1,710,Correct,1,801
1,MCMPD,235,2,740,Correct,1,781
1,BMBFB,222,2,814,Correct,1,843
1,NTNZN,162,2,679,Correct,1,774
1,MXMRM,163,2,744,Correct,1,744
1,APABA,164,2,817,Correct,1,815
1,FMDMF,223,1,812,Correct,1,706
1,QPQPQ,113,1,812,Correct,1,656
1,VQVMV,161,2,707,Correct,1,830
1,RERPR,162,2,701,Correct,1,832
1,KVKVK,151,1,1084,Correct,1,702
1,AKAHA,161,2,730,Correct,1,854
1,VDVDV,8,1,823,Incorrect,1,776
1,DUGUG,221,1,917,Correct,1,661
1,AFAFA,113,1,663,Correct,1,852
1,GYGYG,152,1,643,Correct,1,804
1,VXVSV,161,2,692,Correct,1,817
1,DOWGW,231,2,811,Correct,1,941
1,QYQYQ,113,1,670,Correct,1,932
1,ODONO,91,3,734,Correct,1,793
1,MSMSM,13,1,601,Correct,1,789
1,GYGYG,152,1,636,Correct,1,739
1,UMUMU,153,1,767,Correct,1,711
1,BZBZB,154,1,697,Correct,1,929
1,NTNBN,161,2,643,Correct,1,803
1,GNDYG,233,2,741,Correct,1,726
1,OCOSO,222,2,945,Correct,1,843
1,BHBFB,162,2,1011,Correct,1,807
1,QCQBQ,163,2,856,Correct,1,752
1,LQLQL,151,1,755,Correct,1,699
1,ZDZDZ,10,3,781,Correct,1,783
1,QNQZQ,14,2,805,Correct,1,860
1,CSCYC,162,2,665,Correct,1,921
1,RCRLR,163,2,743,Correct,1,876
1,FRFRF,151,2,688,Incorrect,1,927
1,WFWFW,152,1,594,Correct,1,668
1,QOQLQ,161,2,743,Correct,1,760
1,AWAQA,162,2,743,Correct,1,650
1,EAEAE,151,1,679,Correct,1,715
1,AGAUA,161,2,682,Correct,1,699
1,YMYMY,151,1,618,Correct,1,717
1,XQXQX,152,1,584,Correct,1,831
1,SHSGS,161,2,693,Correct,1,892
1,PDPDP,11,3,785,Correct,1,833
1,ZGZGZ,13,1,680,Correct,1,944
1,OXOXO,152,1,733,Correct,1,664
1,LYLYL,153,1,776,Correct,1,770
1,NKNKD,225,2,1104,Incorrect,1,818
1,GNGNG,113,1,761,Correct,1,934
1,OYOBO,161,2,873,Correct,1,670
1,SOSOS,151,1,640,Correct,1,750
1,VHVHV,152,1,591,Correct,1,831
1,OKOXO,161,2,909,Correct,1,850
1,EZEZE,151,1,641,Correct,1,861
1,LDLDL,12,3,750,Correct,1,868
2,U,5,3,1510,New Target,2,878
2,BVBEB,161,2,807,Correct,2,929
2,FBFBF,151,1,557,Correct,2,835
2,RFRFR,152,1,821,Correct,2,665
2,NBNKN,161,2,736,Correct,2,753
2,MKMNM,162,1,655,Incorrect,2,693
2,QXQXQ,151,1,628,Correct,2,660
2,MQMYM,161,2,673,Correct,2,892
2,TGTPT,162,2,820,Correct,2,710
2,XOXOX,151,1,526,Correct,2,747
2,CUCUC,7,1,723,Incorrect,2,784
2,RFRFR,13,1,627,Correct,2,777
2,VYVSV,161,2,690,Correct,2,887
2,VDVDV,191,3,812,Incorrect,2,883
2,GKGQG,15,2,729,Correct,2,668
2,SCSCS,151,1,614,Correct,2,837
2,CTCUC,82,3,851,Correct,2,865
2,RCRCR,13,1,714,Correct,2,809
2,BOBXB,161,2,694,Correct,2,811
2,FMFAF,162,2,822,Correct,2,700
2,BEBAB,163,2,833,Correct,2,720
2,PWPWP,151,1,746,Correct,2,821
2,UQCKC,231,2,1123,Correct,2,822
2,OCOCO,113,1,622,Correct,2,859
2,TNTNT,152,1,827,Correct,2,872
2,QCQGQ,161,1,822,Incorrect,2,729
2,WVWVW,151,1,1119,Correct,2,784
2,TQTQT,152,1,648,Correct,2,894
2,FOFOF,225,1,501,Correct,2,823
2,WVWFW,222,2,762,Correct,2,732
2,SWSWS,151,1,639,Correct,2,950
2,FYFCF,161,2,673,Correct,2,710
2,SUSWS,91,3,727,Correct,2,666
2,CACHC,14,2,687,Correct,2,889
2,VDVKV,172,2,651,Correct,2,881
2,YCYCY,15,1,621,Correct,2,700
2,NMNTN,161,2,674,Correct,2,690
2,XOUKX,233,2,1243,Correct,2,913
2,BPBPB,113,1,1029,Correct,2,770
2,MRMRM,152,1,858,Correct,2,693
2,XMXMX,153,1,788,Correct,2,730
2,AUAHA,101,2,721,Incorrect,2,738
2,XKXEU,235,2,786,Correct,2,706
2,TFTFT,113,1,619,Correct,2,773
2,MDMDM,193,1,844,Correct,2,804
2,WYWMW,16,2,1110,Correct,2,760
2,AZUZA,223,2,1048,Incorrect,2,671
2,KEKHK,222,2,1143,Correct,2,842
2,LALAL,151,1,1075,Correct,2,773
2,CWCDC,184,2,887,Incorrect,2,702
2,SGSTS,16,2,733,Correct,2,847
2,PXPXP,151,1,913,Correct,2,666
2,GRGYG,161,2,1303,Correct,2,741
2,PUPOP,111,1,969,Incorrect,2,886
2,RNRNR,14,1,998,Correct,2,913
2,KDKDK,195,1,678,Correct,2,832
2,KTKTK,15,1,1125,Correct,2,757
2,OROKO,161,1,593,Incorrect,2,812
2,UNANA,221,1,1025,Correct,2,861
2,TATAT,113,1,773,Correct,2,766
2,AWAWA,152,1,685,Incorrect,2,943
2,RDRDR,196,1,1032,Correct,2,862
2,FCFCF,15,1,761,Correct,2,821
2,ZMZMZ,152,1,628,Correct,2,837
2,BUBUB,12,1,546,Incorrect,2,827
3,E,5,3,3799,New Target,3,870
3,YZYZY,151,1,1176,Correct,3,898
3,VFVNV,161,2,995,Correct,3,877
3,KAKAK,151,1,615,Correct,3,744
3,TKTKT,152,1,711,Correct,3,788
3,WHWTW,161,2,654,Correct,3,940
3,QEQFQ,71,3,825,Correct,3,939
3,XNXNX,13,1,639,Correct,3,886
3,TXTXT,152,1,595,Correct,3,677
3,GLGNG,161,2,857,Correct,3,668
3,CUCTC,171,2,1230,Correct,3,893
3,FAFQF,16,2,755,Correct,3,931
3,ZLZLZ,151,1,656,Correct,3,732
3,YZYZY,152,1,762,Correct,3,929
3,CYCYC,153,1,849,Correct,3,924
3,HUHUH,192,1,954,Correct,3,731
3,OSORO,16,2,796,Correct,3,846
