Trial No,Stimulus,Trigger,Response,Response Time(ms),Correct,Block,Fixation Duration
Practice
OT Practice
1,SKSKS,15,,,False,0,853
1,DLDUD,16,2,1163,Correct,0,895
1,PDPGP,16,1,802,False,0,875
1,MWMWM,15,1,1229,Correct,0,666
1,FTFTF,15,1,919,Correct,0,657
1,AXAMA,16,2,812,Correct,0,754
1,RYRGR,16,2,737,Correct,0,848
1,DODOD,15,1,694,Correct,0,868
1,QTQAQ,16,2,1050,Correct,0,911
1,YEYEY,15,1,667,Correct,0,690
2,GYGDG,16,2,746,Correct,0,853
2,SWSWS,15,1,549,Correct,0,733
2,HLHUH,16,2,789,Correct,0,815
2,DEDED,15,1,610,Correct,0,660
2,ZPZOZ,16,2,676,Correct,0,668
2,ATATA,15,1,589,Correct,0,881
2,QOQOQ,15,1,602,Correct,0,794
2,FPFGF,16,2,693,Correct,0,892
2,TRTET,16,2,653,Correct,0,885
2,DQDQD,15,1,651,Correct,0,747
4,PLPLP,15,1,646,Correct,0,950
4,ATAIA,16,2,646,Correct,0,708
4,SKSGS,16,2,799,Correct,0,850
4,ZYZYZ,15,1,755,Correct,0,881
4,QSQSQ,15,1,725,Correct,0,938
4,TZTDT,16,2,644,Correct,0,659
4,JYJGJ,16,2,834,Correct,0,719
4,DYDYD,15,1,864,Correct,0,924
4,LTLCL,16,2,671,Correct,0,944
4,FQFEF,16,2,801,Correct,0,658
1,SKSKS,15,1,633,Correct,0,714
1,DLDUD,16,2,722,Correct,0,921
1,PDPGP,16,2,870,Correct,0,922
1,MWMWM,15,1,797,Correct,0,688
1,FTFTF,15,1,629,Correct,0,759
1,AXAMA,16,2,703,Correct,0,903
1,RYRGR,16,2,792,Correct,0,792
1,DODOD,15,1,680,Correct,0,916
1,QTQAQ,16,2,595,Correct,0,802
1,YEYEY,15,2,560,False,0,868
2,GYGDG,16,2,850,Correct,0,737
2,SWSWS,15,1,544,Correct,0,905
2,HLHUH,16,2,803,Correct,0,679
2,DEDED,15,1,701,Correct,0,688
2,ZPZOZ,16,2,628,Correct,0,870
2,ATATA,15,1,703,Correct,0,906
2,QOQOQ,15,1,598,Correct,0,875
2,FPFGF,16,2,758,Correct,0,697
2,TRTET,16,2,714,Correct,0,862
2,DQDQD,15,1,806,Correct,0,685
4,PLPLP,15,1,662,Correct,0,927
4,ATAIA,16,2,600,Correct,0,663
4,SKSGS,16,2,610,Correct,0,894
4,ZYZYZ,15,1,514,Correct,0,686
4,QSQSQ,15,1,568,Correct,0,651
4,TZTDT,16,2,660,Correct,0,839
4,JYJGJ,16,2,691,Correct,0,752
4,DYDYD,15,1,634,Correct,0,875
4,LTLCL,16,2,656,Correct,0,910
4,FQFEF,16,2,651,Correct,0,858
DT Practice
1,TKTKT,15,1,850,Correct,0,677
1,SLSUS,16,2,970,Correct,0,716
1,VZVGV,7,[2][3],[1289][1465],Correct,0,822
1,XWXZX,7,[2][3],[828][1084],Correct,0,664
1,ATATA,15,1,1274,Correct,0,766
1,HXZMH,16,,,False,0,696
1,TZTZT,7,[1][3],[1111][1303],Correct,0,864
1,UOUOU,15,1,792,Correct,0,681
1,ZTWAW,16,2,954,Correct,0,910
1,RZRER,7,[2][3],[1127][1335],Correct,0,708
2,JYJDJ,16,2,897,Correct,0,870
2,DWDWD,15,1,915,Correct,0,793
2,GNGNG,7,[1][3],[867][995],Correct,0,730
2,NEZEZ,16,1,1202,Correct,0,685
2,RNROR,7,[2][3],[940][1132],Correct,0,816
2,QTQNQ,7,[2],[1012],False,0,868
2,HOHON,15,1,1258,Correct,0,701
2,KPKGK,16,2,1035,Correct,0,948
2,DRDED,16,2,849,Correct,0,907
2,LNLNL,7,[1][3],[929][1169],Correct,0,769
4,GLGLG,15,2,1226,False,0,840
4,DTDID,16,2,1068,Correct,0,909
4,SMSGS,16,2,935,Correct,0,790
4,ZFZYZ,7,[2][3],[1029][1221],Correct,0,795
4,TSTFT,7,[2][3],[817][1057],Correct,0,895
4,OFOFO,7,[1][3],[681][841],Correct,0,736
4,WYFGW,16,2,1325,Correct,0,677
4,WYWYW,15,1,948,Correct,0,708
4,MFMCM,7,[2][3],[983][1176],Correct,0,769
4,HQHEH,16,2,1007,Correct,0,935
Trials
1,D,5,3,6835,New Target,1,816
1,ZNZYZ,161,2,956,Correct,1,661
1,FZFZF,151,1,1396,Correct,1,662
1,RKRKR,152,1,827,Correct,1,687
1,RXRNR,161,2,757,Correct,1,747
1,CNCFC,162,2,1011,Correct,1,700
1,PDPDP,7,[1][3],[737][849],Correct,1,715
1,CPCFC,14,2,920,Correct,1,826
1,VLVNV,162,2,751,Correct,1,717
1,KFKFK,151,1,714,Correct,1,779
1,ZNZNZ,152,1,743,Correct,1,722
1,KCKPD,235,2,909,Correct,1,902
1,ZKZFZ,222,2,753,Correct,1,893
1,NRNZN,162,2,822,Correct,1,921
1,KXKRK,163,2,906,Correct,1,932
1,YPYZY,164,2,860,Correct,1,844
1,FKDKF,223,2,752,Incorrect,1,905
1,RPRPR,113,1,696,Correct,1,861
1,VRVKV,161,2,872,Correct,1,733
1,RFRPR,162,2,912,Correct,1,794
1,KVKVK,151,1,855,Correct,1,787
1,YKYVY,161,2,964,Correct,1,688
1,VDVDV,8,[1][3],[695][855],Correct,1,798
1,DVZVZ,221,1,853,Correct,1,887
1,YFYFY,113,1,665,Correct,1,866
1,ZYZYZ,152,1,553,Correct,1,784
1,VLVXV,161,2,550,Correct,1,906
1,DPXZX,231,2,652,Correct,1,710
1,RYRYR,113,1,828,Correct,1,785
1,PDPNP,91,[2][3],[960][1088],Correct,1,939
1,KXKXK,13,1,780,Correct,1,762
1,ZYZYZ,152,1,867,Correct,1,924
1,VKVKV,153,1,666,Correct,1,810
1,YZYZY,154,1,643,Correct,1,899
1,NLNZN,161,2,725,Correct,1,753
1,ZNDYZ,233,2,866,Correct,1,751
1,PCPXP,222,2,748,Correct,1,710
1,ZVZFZ,162,2,660,Correct,1,940
1,RCRZR,163,2,655,Correct,1,879
1,LRLRL,151,1,637,Correct,1,875
1,ZDZDZ,10,[1][3],[737][849],Correct,1,776
1,RNRZR,14,2,668,Correct,1,804
1,CXCYC,162,2,758,Correct,1,866
1,RCRLR,163,2,654,Correct,1,938
1,FRFRF,151,1,602,Correct,1,913
1,XFXFX,152,1,813,Correct,1,754
1,RPRLR,161,2,740,Correct,1,884
1,YXYRY,162,2,1085,Correct,1,921
1,FYFYF,151,1,604,Correct,1,818
1,YZYVY,161,2,699,Correct,1,836
1,YKYKY,151,1,715,Correct,1,701
1,XRXRX,152,1,676,Correct,1,940
1,XVXZX,161,2,728,Correct,1,695
1,PDPDP,11,[1][3],[996][1092],Correct,1,833
1,ZFZFZ,13,1,826,Correct,1,787
1,PXPXP,152,1,1289,Correct,1,658
1,LYLYL,153,1,599,Correct,1,671
1,NKNKD,225,1,540,Correct,1,687
1,ZNZNZ,113,1,571,Correct,1,949
1,PYPZP,161,2,702,Correct,1,787
1,XPXPX,151,1,775,Correct,1,927
1,VLVLV,152,1,577,Correct,1,850
1,PKPXP,161,2,770,Correct,1,852
1,FZFZF,151,1,703,Correct,1,687
1,LDLDL,12,[1][3],[679][791],Correct,1,938
2,U,5,3,2100,New Target,2,808
2,ZVZFZ,161,2,719,Correct,2,925
2,FZFZF,151,1,648,Correct,2,861
2,RFRFR,152,1,633,Correct,2,781
2,NZNKN,161,2,696,Correct,2,763
2,FZFNF,162,2,857,Correct,2,704
2,RXRXR,151,1,562,Correct,2,740
2,KRKYK,161,2,632,Correct,2,702
2,NZNPN,162,2,680,Correct,2,761
2,XPXPX,151,1,596,Correct,2,851
2,CUCUC,7,[1][3],[770][881],Correct,2,948
2,RFRFR,13,1,700,Correct,2,845
2,VYVXV,161,2,710,Correct,2,854
2,VDVDV,191,1,973,Correct,2,914
2,ZKZRZ,15,2,910,Correct,2,881
2,XCXCX,151,1,689,Correct,2,860
2,CNCUC,82,[2],[949],Incorrect,2,777
2,RCRCR,13,1,787,Correct,2,808
2,ZPZXZ,161,2,673,Correct,2,742
2,FKFYF,162,2,799,Correct,2,842
2,ZFZYZ,163,2,755,Correct,2,943
2,PXPXP,151,1,751,Correct,2,812
2,URCKC,231,2,871,Correct,2,807
2,PCPCP,113,1,660,Correct,2,650
2,XNXNX,152,1,1112,Correct,2,693
2,RCRZR,161,2,787,Correct,2,906
2,XVXVX,151,1,702,Correct,2,790
2,NRNRN,152,1,786,Correct,2,697
2,FPFPF,225,1,687,Correct,2,681
2,XVXFX,222,2,662,Correct,2,949
2,PRPRP,151,1,679,Correct,2,780
2,FYFCF,161,2,696,Correct,2,753
2,XUXFX,91,[2][3],[796][908],Correct,2,711
2,CYCVC,14,2,1095,Correct,2,852
2,VDVKV,172,2,1089,Correct,2,857
2,YCYCY,15,1,627,Correct,2,713
